Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1993-01-19,0.31,0.35,0.31,0.31,0.27,3697205,0.0,0.0
1993-01-20,0.35,0.35,0.31,0.31,0.27,297626,0.0,0.0
1993-01-21,0.35,0.35,0.31,0.31,0.27,124252,0.0,0.0
1993-01-22,0.35,0.35,0.31,0.35,0.31,83798,0.0,0.0
1993-01-25,0.31,0.36,0.31,0.33,0.29,959337,0.0,0.0
1993-01-26,0.33,0.38,0.33,0.35,0.31,118472,0.0,0.0
1993-01-27,0.35,0.45,0.35,0.4,0.35,983899,0.0,0.0
1993-01-28,0.4,0.45,0.35,0.38,0.34,551908,0.0,0.0
1993-01-29,0.4,0.4,0.35,0.36,0.32,141589,0.0,0.0
1993-02-01,0.35,0.38,0.35,0.35,0.31,1317644,0.0,0.0
1993-02-02,0.35,0.38,0.35,0.37,0.33,1573371,0.0,0.0
1993-02-03,0.35,0.38,0.35,0.35,0.31,177709,0.0,0.0
1993-02-04,0.35,0.38,0.35,0.37,0.33,759957,0.0,0.0
1993-02-05,0.35,0.42,0.35,0.38,0.34,976675,0.0,0.0
1993-02-08,0.38,0.42,0.38,0.42,0.37,2922800,0.0,0.0
1993-02-09,0.42,0.43,0.37,0.37,0.33,1765527,0.0,0.0
1993-02-10,0.4,0.4,0.37,0.38,0.34,258617,0.0,0.0
1993-02-11,0.37,0.41,0.37,0.37,0.33,192156,0.0,0.0
1993-02-12,0.37,0.47,0.37,0.42,0.37,2945917,0.0,0.0
1993-02-16,0.45,0.45,0.42,0.42,0.37,1323423,0.0,0.0
1993-02-17,0.42,0.47,0.42,0.45,0.4,1863773,0.0,0.0
1993-02-18,0.42,0.45,0.42,0.45,0.4,720948,0.0,0.0
1993-02-19,0.42,0.45,0.42,0.45,0.4,2107941,0.0,0.0
1993-02-22,0.45,0.45,0.42,0.42,0.37,927552,0.0,0.0
1993-02-23,0.42,0.45,0.42,0.45,0.4,430546,0.0,0.0
1993-02-24,0.45,0.48,0.42,0.45,0.4,2252420,0.0,0.0
1993-02-25,0.45,0.48,0.45,0.48,0.43,351083,0.0,0.0
1993-02-26,0.48,0.48,0.45,0.46,0.41,2896794,0.0,0.0
1993-03-01,0.45,0.47,0.43,0.47,0.41,484003,0.0,0.0
1993-03-02,0.43,0.47,0.42,0.47,0.41,1671616,0.0,0.0
1993-03-03,0.42,0.47,0.42,0.42,0.37,163261,0.0,0.0
1993-03-04,0.47,0.47,0.4,0.42,0.37,1517024,0.0,0.0
1993-03-05,0.4,0.44,0.4,0.42,0.37,150258,0.0,0.0
