Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1984-06-01,0.0,1.42,1.41,1.41,1.37,7340000,0.0,0.0
1984-06-04,0.0,1.42,1.41,1.41,1.37,4067000,0.0,0.0
1984-06-05,0.0,1.41,1.4,1.4,1.36,2089000,0.0,0.0
1984-06-06,0.0,1.5,1.48,1.48,1.44,1894000,0.0,0.0
1984-06-07,0.0,1.65,1.64,1.64,1.59,2078000,0.0,0.0
1984-06-08,0.0,1.76,1.74,1.74,1.69,2227000,0.0,0.0
1984-06-11,0.0,1.65,1.62,1.62,1.58,1219000,0.0,0.0
1984-06-12,0.0,1.62,1.61,1.61,1.57,670000,0.0,0.0
1984-06-13,0.0,1.7,1.69,1.69,1.64,1339000,0.0,0.0
1984-06-14,0.0,1.66,1.64,1.64,1.59,680000,0.0,0.0
1984-06-15,0.0,1.7,1.69,1.69,1.64,704000,0.0,0.0
1984-06-18,0.0,1.75,1.74,1.74,1.69,480000,0.0,0.0
1984-06-19,0.0,1.88,1.86,1.86,1.81,1581000,0.0,0.0
1984-06-20,0.0,2.08,2.06,2.06,2.01,2273000,0.0,0.0
1984-06-21,0.0,2.06,2.04,2.04,1.98,2039000,0.0,0.0
1984-06-22,0.0,2.28,2.26,2.26,2.2,1199000,0.0,0.0
1984-06-25,0.0,2.25,2.24,2.24,2.18,1579000,0.0,0.0
1984-06-26,0.0,2.31,2.3,2.3,2.24,1040000,0.0,0.0
1984-06-27,0.0,2.25,2.24,2.24,2.18,1046000,0.0,0.0
1984-06-28,0.0,2.36,2.35,2.35,2.29,563000,0.0,0.0
1984-06-29,0.0,2.56,2.54,2.54,2.47,1019000,0.0,0.0
1984-07-02,0.0,2.5,2.47,2.47,2.41,940000,0.0,0.0
1984-07-03,0.0,2.55,2.53,2.53,2.46,339000,0.0,0.0
1984-07-05,0.0,2.66,2.65,2.65,2.58,1428000,0.0,0.0
1984-07-06,0.0,2.64,2.62,2.62,2.55,728000,0.0,0.0
1984-07-09,0.0,2.6,2.58,2.58,2.51,963000,0.0,0.0
1984-07-10,0.0,2.53,2.51,2.51,2.44,1938000,0.0,0.0
1984-07-11,0.0,2.41,2.4,2.4,2.34,980000,0.0,0.0
1984-07-12,0.0,2.34,2.34,2.34,2.27,1021000,0.0,0.0
1984-07-13,0.0,2.38,2.36,2.36,2.3,223000,0.0,0.0
1984-07-16,0.0,2.29,2.26,2.26,2.2,473000,0.0,0.0
1984-07-17,0.0,2.35,2.34,2.34,2.27,350000,0.0,0.0
1984-07-18,0.0,2.35,2.33,2.33,2.26,150000,0.0,0.0
1984-07-19,0.0,2.1,2.09,2.09,2.03,761000,0.0,0.0
1984-07-20,0.0,1.94,1.9,1.9,1.85,723000,0.0,0.0
1984-07-23,0.0,1.98,1.96,1.96,1.91,580000,0.0,0.0
1984-07-24,0.0,1.95,1.92,1.92,1.87,321000,0.0,0.0
1984-07-25,0.0,2.09,2.06,2.06,2.01,649000,0.0,0.0
1984-07-26,0.0,2.16,2.15,2.15,2.09,674000,0.0,0.0
1984-07-27,0.0,2.14,2.12,2.12,2.07,330000,0.0,0.0
1984-07-30,0.0,2.14,2.11,2.11,2.06,156000,0.0,0.0
1984-07-31,0.0,2.11,2.09,2.09,2.03,242000,0.0,0.0
1984-08-01,0.0,2.36,2.35,2.35,2.29,843000,0.0,0.0
1984-08-02,0.0,2.49,2.47,2.47,2.41,756000,0.0,0.0
1984-08-03,0.0,2.35,2.34,2.34,2.27,1030000,0.0,0.0
1984-08-06,0.0,2.31,2.29,2.29,2.23,1028000,0.0,0.0
1984-08-07,0.0,2.38,2.22,2.38,2.31,628000,0.0,0.0
1984-08-08,0.0,2.44,2.35,2.35,2.29,662000,0.0,0.0
1984-08-09,0.0,2.58,2.34,2.56,2.49,798000,0.0,0.0
1984-08-10,0.0,2.74,2.59,2.67,2.6,1352000,0.0,0.0
