Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1995-11-21,1.08,1.33,1.08,1.28,1.02,51412800,0.0,0.0
1995-11-22,1.28,1.61,1.27,1.56,1.24,11921600,0.0,0.0
1995-11-24,1.56,1.7,1.56,1.69,1.34,2419200,0.0,0.0
1995-11-27,1.78,1.81,1.53,1.58,1.25,6720000,0.0,0.0
1995-11-28,1.58,1.61,1.56,1.59,1.27,3451200,0.0,0.0
1995-11-29,1.56,1.81,1.56,1.8,1.43,3628800,0.0,0.0
1995-11-30,1.8,1.98,1.77,1.89,1.5,8254400,0.0,0.0
1995-12-01,1.92,1.97,1.86,1.88,1.49,2616000,0.0,0.0
1995-12-04,1.88,2.41,1.88,2.34,1.86,5961600,0.0,0.0
1995-12-05,2.34,2.38,2.2,2.21,1.75,2907200,0.0,0.0
1995-12-06,2.23,2.27,2.08,2.09,1.66,3456000,0.0,0.0
1995-12-07,2.09,2.09,1.98,1.98,1.58,2665600,0.0,0.0
1995-12-08,1.98,2.27,1.98,2.2,1.75,3099200,0.0,0.0
1995-12-11,2.22,2.23,2.17,2.23,1.77,564800,0.0,0.0
1995-12-12,2.25,2.36,2.17,2.3,1.82,2086400,0.0,0.0
1995-12-13,2.34,2.34,2.28,2.31,1.84,1510400,0.0,0.0
1995-12-14,2.3,2.33,2.3,2.3,1.82,668800,0.0,0.0
1995-12-15,2.3,2.34,2.23,2.23,1.77,2635200,0.0,0.0
1995-12-18,2.25,2.3,1.97,2.02,1.6,1246400,0.0,0.0
1995-12-19,1.95,2.06,1.91,2.03,1.61,4568000,0.0,0.0
1995-12-20,2.09,2.16,2.0,2.12,1.69,2275200,0.0,0.0
1995-12-21,2.16,2.17,2.09,2.11,1.67,321600,0.0,0.0
1995-12-22,2.06,2.19,2.06,2.12,1.69,1657600,0.0,0.0
1995-12-26,2.12,2.28,2.11,2.27,1.8,2286400,0.0,0.0
1995-12-27,2.28,2.36,2.2,2.33,1.85,2633600,0.0,0.0
1995-12-28,2.3,2.5,2.3,2.45,1.95,2569600,0.0,0.0
1995-12-29,2.48,2.61,2.45,2.51,1.99,1920000,0.0,0.0
1996-01-02,2.5,2.5,2.38,2.38,1.89,1892800,0.0,0.0
1996-01-03,2.38,2.41,2.09,2.12,1.69,3336000,0.0,0.0
1996-01-04,2.14,2.14,1.69,1.88,1.49,6041600,0.0,0.0
1996-01-05,1.89,2.06,1.81,1.94,1.54,3273600,0.0,0.0
1996-01-08,1.97,2.0,1.95,1.95,1.55,166400,0.0,0.0
1996-01-09,2.0,2.0,1.66,1.69,1.34,2500800,0.0,0.0
1996-01-10,1.61,1.72,1.58,1.62,1.29,3016000,0.0,0.0
1996-01-11,1.77,1.89,1.73,1.8,1.43,3654400,0.0,0.0
1996-01-12,1.88,1.88,1.69,1.75,1.39,793600,0.0,0.0
1996-01-15,1.75,1.77,1.64,1.7,1.35,668800,0.0,0.0
1996-01-16,1.67,1.69,1.42,1.69,1.34,3932800,0.0,0.0
1996-01-17,1.59,1.69,1.58,1.67,1.33,1545600,0.0,0.0
1996-01-18,1.62,1.69,1.62,1.69,1.34,3180800,0.0,0.0
1996-01-19,1.68,1.92,1.64,1.83,1.45,4825600,0.0,0.0
1996-01-22,1.88,1.94,1.83,1.88,1.49,1913600,0.0,0.0
