Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2000-06-30,0.77,0.86,0.53,0.61,0.51,95540000,0.0,0.0
2000-07-03,0.61,0.67,0.61,0.65,0.54,9654000,0.0,0.0
2000-07-05,0.66,0.69,0.64,0.66,0.55,8202000,0.0,0.0
2000-07-06,0.67,0.74,0.66,0.74,0.62,8446000,0.0,0.0
2000-07-07,0.74,0.76,0.69,0.69,0.58,4748000,0.0,0.0
2000-07-10,0.7,0.7,0.67,0.67,0.56,4172000,0.0,0.0
2000-07-11,0.66,0.66,0.59,0.6,0.5,6186000,0.0,0.0
2000-07-12,0.61,0.64,0.61,0.62,0.52,2454000,0.0,0.0
2000-07-13,0.64,0.64,0.57,0.57,0.48,6010000,0.0,0.0
2000-07-14,0.57,0.58,0.54,0.55,0.46,6308000,0.0,0.0
2000-07-17,0.53,0.54,0.47,0.47,0.4,7264000,0.0,0.0
2000-07-18,0.48,0.51,0.41,0.41,0.35,7556000,0.0,0.0
2000-07-19,0.42,0.44,0.41,0.42,0.35,2886000,0.0,0.0
2000-07-20,0.41,0.44,0.41,0.44,0.37,2390000,0.0,0.0
2000-07-21,0.46,0.49,0.44,0.47,0.39,6068000,0.0,0.0
2000-07-24,0.47,0.47,0.41,0.42,0.35,2786000,0.0,0.0
2000-07-25,0.41,0.41,0.38,0.39,0.32,3162000,0.0,0.0
2000-07-26,0.38,0.38,0.32,0.34,0.28,4940000,0.0,0.0
2000-07-27,0.32,0.34,0.28,0.3,0.25,3564000,0.0,0.0
2000-07-28,0.3,0.3,0.24,0.29,0.25,8902000,0.0,0.0
2000-07-31,0.28,0.32,0.25,0.3,0.25,6476000,0.0,0.0
2000-08-01,0.32,0.32,0.29,0.3,0.25,2380000,0.0,0.0
2000-08-02,0.29,0.31,0.28,0.29,0.25,2540000,0.0,0.0
2000-08-03,0.29,0.3,0.28,0.29,0.24,1790000,0.0,0.0
2000-08-04,0.3,0.3,0.28,0.29,0.24,1170000,0.0,0.0
2000-08-07,0.29,0.3,0.28,0.29,0.24,716000,0.0,0.0
2000-08-08,0.31,0.31,0.29,0.29,0.24,1502000,0.0,0.0
2000-08-09,0.29,0.31,0.29,0.3,0.25,1366000,0.0,0.0
2000-08-10,0.3,0.3,0.29,0.29,0.25,968000,0.0,0.0
2000-08-11,0.3,0.3,0.26,0.27,0.23,984000,0.0,0.0
2000-08-14,0.28,0.28,0.24,0.25,0.21,12756000,0.0,0.0
2000-08-15,0.25,0.25,0.25,0.25,0.21,1364000,0.0,0.0
2000-08-16,0.25,0.26,0.25,0.25,0.21,2280000,0.0,0.0
2000-08-17,0.26,0.29,0.25,0.28,0.24,1838000,0.0,0.0
2000-08-18,0.27,0.31,0.26,0.31,0.26,2378000,0.0,0.0
2000-08-21,0.31,0.31,0.29,0.3,0.25,924000,0.0,0.0
2000-08-22,0.3,0.32,0.3,0.32,0.26,3136000,0.0,0.0
2000-08-23,0.31,0.31,0.3,0.31,0.26,3400000,0.0,0.0
2000-08-24,0.31,0.31,0.29,0.3,0.25,1342000,0.0,0.0
2000-08-25,0.3,0.36,0.3,0.33,0.27,2650000,0.0,0.0
2000-08-28,0.33,0.33,0.31,0.32,0.27,1398000,0.0,0.0
2000-08-29,0.33,0.34,0.33,0.33,0.28,1464000,0.0,0.0
2000-08-30,0.36,0.38,0.33,0.35,0.29,3900000,0.0,0.0
2000-08-31,0.35,0.38,0.34,0.38,0.32,5512000,0.0,0.0
2000-09-01,0.38,0.39,0.36,0.38,0.31,1494000,0.0,0.0
2000-09-05,0.37,0.37,0.34,0.35,0.29,1016000,0.0,0.0
2000-09-06,0.34,0.35,0.32,0.32,0.27,1028000,0.0,0.0
2000-09-07,0.32,0.34,0.32,0.33,0.28,530000,0.0,0.0
2000-09-08,0.32,0.33,0.31,0.31,0.26,494000,0.0,0.0
2000-09-11,0.32,0.34,0.3,0.3,0.25,1240000,0.0,0.0
2000-09-12,0.31,0.32,0.3,0.32,0.27,2880000,0.0,0.0
2000-09-13,0.32,0.32,0.3,0.31,0.26,244000,0.0,0.0
2000-09-14,0.32,0.33,0.32,0.33,0.28,886000,0.0,0.0
2000-09-15,0.33,0.34,0.31,0.32,0.27,588000,0.0,0.0
2000-09-18,0.33,0.33,0.31,0.31,0.26,402000,0.0,0.0
2000-09-19,0.32,0.36,0.32,0.35,0.29,1022000,0.0,0.0
2000-09-20,0.36,0.36,0.31,0.31,0.26,758000,0.0,0.0
2000-09-21,0.31,0.32,0.3,0.3,0.25,2072000,0.0,0.0
2000-09-22,0.29,0.3,0.28,0.28,0.24,806000,0.0,0.0
2000-09-25,0.29,0.3,0.29,0.29,0.24,226000,0.0,0.0
2000-09-26,0.29,0.29,0.27,0.28,0.23,896000,0.0,0.0
2000-09-27,0.28,0.29,0.27,0.28,0.23,2594000,0.0,0.0
2000-09-28,0.27,0.28,0.27,0.27,0.23,470000,0.0,0.0
2000-09-29,0.27,0.27,0.27,0.27,0.23,278000,0.0,0.0
2000-10-02,0.27,0.27,0.26,0.26,0.21,1914000,0.0,0.0
2000-10-03,0.26,0.27,0.24,0.24,0.2,630000,0.0,0.0
2000-10-04,0.24,0.26,0.23,0.25,0.21,1156000,0.0,0.0
2000-10-05,0.24,0.26,0.24,0.24,0.2,564000,0.0,0.0
2000-10-06,0.24,0.25,0.23,0.23,0.19,1358000,0.0,0.0
2000-10-09,0.24,0.25,0.19,0.21,0.18,2098000,0.0,0.0
2000-10-10,0.21,0.22,0.19,0.21,0.17,1850000,0.0,0.0
2000-10-11,0.19,0.2,0.19,0.2,0.17,1438000,0.0,0.0
2000-10-12,0.19,0.2,0.19,0.19,0.16,1140000,0.0,0.0
2000-10-13,0.2,0.2,0.17,0.19,0.16,5488000,0.0,0.0
2000-10-16,0.2,0.21,0.19,0.2,0.17,994000,0.0,0.0
2000-10-17,0.19,0.24,0.18,0.19,0.16,722000,0.0,0.0
2000-10-18,0.19,0.19,0.16,0.17,0.15,2758000,0.0,0.0
2000-10-19,0.19,0.2,0.18,0.2,0.16,3480000,0.0,0.0
2000-10-20,0.2,0.23,0.2,0.22,0.18,2468000,0.0,0.0
2000-10-23,0.23,0.23,0.2,0.2,0.16,356000,0.0,0.0
2000-10-24,0.2,0.2,0.19,0.2,0.16,144000,0.0,0.0
2000-10-25,0.2,0.2,0.19,0.19,0.16,382000,0.0,0.0
2000-10-26,0.19,0.19,0.17,0.18,0.15,2096000,0.0,0.0
2000-10-27,0.19,0.19,0.18,0.18,0.15,90000,0.0,0.0
2000-10-30,0.18,0.19,0.17,0.17,0.15,1184000,0.0,0.0
2000-10-31,0.18,0.19,0.17,0.17,0.15,1088000,0.0,0.0
2000-11-01,0.19,0.25,0.17,0.22,0.19,4526000,0.0,0.0
2000-11-02,0.23,0.23,0.22,0.23,0.2,2896000,0.0,0.0
2000-11-03,0.23,0.26,0.23,0.25,0.21,5636000,0.0,0.0
2000-11-06,0.26,0.26,0.24,0.25,0.21,1812000,0.0,0.0
2000-11-07,0.25,0.25,0.25,0.25,0.21,814000,0.0,0.0
2000-11-08,0.25,0.25,0.24,0.25,0.21,1554000,0.0,0.0
2000-11-09,0.24,0.26,0.24,0.25,0.21,270000,0.0,0.0
2000-11-10,0.25,0.25,0.22,0.22,0.19,158000,0.0,0.0
2000-11-13,0.25,0.25,0.22,0.22,0.19,564000,0.0,0.0
2000-11-14,0.24,0.26,0.23,0.25,0.21,764000,0.0,0.0
2000-11-15,0.25,0.25,0.24,0.25,0.21,384000,0.0,0.0
