Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1999-01-22,0.44,0.49,0.39,0.41,0.38,271468800,0.0,0.0
1999-01-25,0.44,0.46,0.41,0.45,0.42,51048000,0.0,0.0
1999-01-26,0.46,0.47,0.41,0.42,0.38,34320000,0.0,0.0
1999-01-27,0.42,0.43,0.4,0.42,0.38,24436800,0.0,0.0
1999-01-28,0.42,0.42,0.41,0.42,0.38,22752000,0.0,0.0
1999-01-29,0.42,0.42,0.4,0.4,0.36,24403200,0.0,0.0
1999-02-01,0.4,0.41,0.4,0.4,0.37,15470400,0.0,0.0
1999-02-02,0.4,0.41,0.36,0.37,0.34,26409600,0.0,0.0
1999-02-03,0.37,0.39,0.36,0.38,0.35,7512000,0.0,0.0
1999-02-04,0.39,0.41,0.38,0.4,0.37,18192000,0.0,0.0
1999-02-05,0.41,0.42,0.4,0.41,0.38,13684800,0.0,0.0
1999-02-08,0.42,0.42,0.4,0.4,0.37,15408000,0.0,0.0
1999-02-09,0.41,0.41,0.38,0.38,0.35,8697600,0.0,0.0
1999-02-10,0.38,0.39,0.37,0.38,0.35,14822400,0.0,0.0
1999-02-11,0.38,0.43,0.38,0.41,0.38,13224000,0.0,0.0
1999-02-12,0.42,0.44,0.42,0.43,0.4,10972800,0.0,0.0
1999-02-16,0.44,0.46,0.39,0.44,0.4,21100800,0.0,0.0
1999-02-17,0.43,0.43,0.41,0.41,0.38,6772800,0.0,0.0
1999-02-18,0.43,0.43,0.41,0.42,0.39,7070400,0.0,0.0
1999-02-19,0.42,0.44,0.41,0.43,0.4,7536000,0.0,0.0
1999-02-22,0.44,0.45,0.41,0.44,0.4,20524800,0.0,0.0
1999-02-23,0.45,0.47,0.42,0.46,0.42,13809600,0.0,0.0
1999-02-24,0.53,0.55,0.48,0.49,0.45,61276800,0.0,0.0
1999-02-25,0.52,0.53,0.47,0.48,0.44,14913600,0.0,0.0
1999-02-26,0.48,0.5,0.45,0.46,0.42,17260800,0.0,0.0
1999-03-01,0.47,0.48,0.44,0.46,0.42,9216000,0.0,0.0
1999-03-02,0.46,0.46,0.45,0.46,0.42,5524800,0.0,0.0
1999-03-03,0.46,0.46,0.42,0.42,0.39,6139200,0.0,0.0
1999-03-04,0.45,0.45,0.41,0.42,0.38,5736000,0.0,0.0
1999-03-05,0.42,0.44,0.42,0.44,0.4,7876800,0.0,0.0
1999-03-08,0.43,0.46,0.42,0.45,0.41,7588800,0.0,0.0
1999-03-09,0.44,0.47,0.44,0.46,0.42,14318400,0.0,0.0
1999-03-10,0.47,0.47,0.45,0.45,0.41,23534400,0.0,0.0
1999-03-11,0.44,0.45,0.43,0.43,0.4,5428800,0.0,0.0
1999-03-12,0.43,0.43,0.42,0.42,0.39,9076800,0.0,0.0
1999-03-15,0.43,0.45,0.43,0.44,0.41,10881600,0.0,0.0
1999-03-16,0.45,0.45,0.42,0.43,0.39,7915200,0.0,0.0
1999-03-17,0.43,0.44,0.42,0.43,0.4,5136000,0.0,0.0
