Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1991-10-24,1.19,1.19,1.13,1.14,1.12,21520308,0.0,0.0
1991-10-25,1.14,1.17,1.14,1.17,1.15,2115239,0.0,0.0
1991-10-28,1.16,1.26,1.16,1.26,1.23,2660850,0.0,0.0
1991-10-29,1.25,1.27,1.25,1.26,1.23,2511633,0.0,0.0
1991-10-30,1.26,1.32,1.26,1.29,1.27,2615288,0.0,0.0
1991-10-31,1.33,1.33,1.27,1.27,1.24,1101473,0.0,0.0
1991-11-01,1.27,1.29,1.25,1.26,1.23,703941,0.0,0.0
1991-11-04,1.26,1.28,1.24,1.24,1.21,609398,0.0,0.0
1991-11-05,1.27,1.27,1.24,1.26,1.23,387281,0.0,0.0
1991-11-06,1.25,1.26,1.24,1.26,1.23,755198,0.0,0.0
1991-11-07,1.26,1.26,1.24,1.26,1.23,264263,0.0,0.0
1991-11-08,1.24,1.26,1.24,1.24,1.21,321216,0.0,0.0
1991-11-11,1.24,1.27,1.24,1.25,1.22,187945,0.0,0.0
1991-11-12,1.28,1.28,1.25,1.27,1.24,617372,0.0,0.0
1991-11-13,1.25,1.27,1.25,1.26,1.23,53536,0.0,0.0
1991-11-14,1.28,1.28,1.25,1.28,1.26,210727,0.0,0.0
1991-11-15,1.25,1.29,1.25,1.25,1.22,220978,0.0,0.0
1991-11-18,1.25,1.26,1.22,1.22,1.19,341719,0.0,0.0
1991-11-19,1.24,1.24,1.03,1.09,1.06,894164,0.0,0.0
1991-11-20,1.09,1.17,1.09,1.15,1.13,455625,0.0,0.0
1991-11-21,1.19,1.23,1.15,1.23,1.2,129853,0.0,0.0
1991-11-22,1.23,1.24,1.21,1.21,1.18,158330,0.0,0.0
1991-11-25,1.21,1.23,1.19,1.19,1.16,281348,0.0,0.0
1991-11-26,1.19,1.19,1.17,1.19,1.16,58092,0.0,0.0
1991-11-27,1.17,1.19,1.15,1.15,1.13,190223,0.0,0.0
1991-11-29,1.14,1.19,1.14,1.14,1.12,14808,0.0,0.0
1991-12-02,1.19,1.2,1.15,1.2,1.17,243759,0.0,0.0
1991-12-03,1.15,1.15,1.15,1.15,1.13,2278,0.0,0.0
1991-12-04,1.19,1.23,1.15,1.23,1.2,321216,0.0,0.0
1991-12-05,1.23,1.23,1.21,1.21,1.18,25059,0.0,0.0
1991-12-06,1.19,1.23,1.19,1.22,1.19,69483,0.0,0.0
1991-12-09,1.19,1.23,1.19,1.2,1.17,33033,0.0,0.0
1991-12-10,1.21,1.26,1.21,1.23,1.2,219839,0.0,0.0
1991-12-11,1.22,1.26,1.22,1.23,1.2,288183,0.0,0.0
1991-12-12,1.23,1.26,1.23,1.23,1.2,152634,0.0,0.0
1991-12-13,1.23,1.25,1.22,1.25,1.22,167442,0.0,0.0
1991-12-16,1.25,1.25,1.22,1.23,1.2,68344,0.0,0.0
1991-12-17,1.23,1.26,1.23,1.24,1.21,223256,0.0,0.0
1991-12-18,1.24,1.25,1.23,1.23,1.2,378169,0.0,0.0
1991-12-19,1.23,1.23,1.22,1.23,1.2,121880,0.0,0.0
1991-12-20,1.26,1.26,1.22,1.22,1.19,6834,0.0,0.0
1991-12-23,1.22,1.26,1.22,1.23,1.2,258567,0.0,0.0
1991-12-24,1.23,1.32,1.23,1.28,1.26,207309,0.0,0.0
1991-12-26,1.32,1.32,1.29,1.32,1.29,116184,0.0,0.0
1991-12-27,1.32,1.35,1.31,1.34,1.31,361083,0.0,0.0
1991-12-30,1.33,1.4,1.31,1.4,1.37,275653,0.0,0.0
1991-12-31,1.46,1.49,1.44,1.45,1.42,521691,0.0,0.0
1992-01-02,1.45,1.45,1.39,1.44,1.41,306408,0.0,0.0
1992-01-03,1.42,1.45,1.42,1.45,1.42,17086,0.0,0.0
1992-01-06,1.44,1.47,1.44,1.44,1.41,154913,0.0,0.0
1992-01-07,1.44,1.53,1.44,1.49,1.46,718748,0.0,0.0
1992-01-08,1.53,1.53,1.49,1.49,1.46,94542,0.0,0.0
1992-01-09,1.54,1.54,1.49,1.49,1.46,394116,0.0,0.0
1992-01-10,1.49,1.5,1.48,1.48,1.45,102516,0.0,0.0
1992-01-13,1.49,1.51,1.46,1.47,1.44,112767,0.0,0.0
1992-01-14,1.44,1.48,1.44,1.48,1.45,36450,0.0,0.0
1992-01-15,1.44,1.45,1.43,1.45,1.42,593452,0.0,0.0
1992-01-16,1.43,1.45,1.37,1.38,1.35,350831,0.0,0.0
1992-01-17,1.38,1.38,1.36,1.36,1.33,56953,0.0,0.0
1992-01-20,1.34,1.38,1.34,1.38,1.35,143522,0.0,0.0
1992-01-21,1.36,1.38,1.36,1.36,1.33,83152,0.0,0.0
1992-01-22,1.38,1.38,1.38,1.38,1.35,13669,0.0,0.0
1992-01-23,1.4,1.43,1.4,1.43,1.39,318938,0.0,0.0
1992-01-24,1.44,1.49,1.4,1.46,1.43,306408,0.0,0.0
1992-01-27,1.49,1.49,1.45,1.45,1.42,48980,0.0,0.0
1992-01-28,1.44,1.47,1.44,1.47,1.44,4556,0.0,0.0
1992-01-29,1.44,1.44,1.44,1.44,1.41,21642,0.0,0.0
1992-01-30,1.44,1.44,1.44,1.44,1.41,0,0.0,0.0
1992-01-31,1.44,1.47,1.44,1.44,1.41,26198,0.0,0.0
1992-02-03,1.47,1.48,1.45,1.45,1.42,123019,0.0,0.0
1992-02-04,1.5,1.5,1.48,1.48,1.45,34172,0.0,0.0
1992-02-05,1.54,1.56,1.53,1.56,1.52,118463,0.0,0.0
1992-02-06,1.54,1.57,1.54,1.57,1.53,18225,0.0,0.0
1992-02-07,1.57,1.59,1.56,1.56,1.52,312103,0.0,0.0
1992-02-10,1.53,1.56,1.48,1.49,1.46,222117,0.0,0.0
1992-02-11,1.49,1.49,1.49,1.49,1.46,0,0.0,0.0
1992-02-12,1.51,1.51,1.49,1.49,1.46,75178,0.0,0.0
1992-02-13,1.53,1.53,1.49,1.5,1.47,68344,0.0,0.0
1992-02-14,1.49,1.53,1.49,1.53,1.49,9113,0.0,0.0
1992-02-18,1.49,1.53,1.49,1.53,1.49,92264,0.0,0.0
1992-02-19,1.49,1.5,1.49,1.5,1.47,54675,0.0,0.0
1992-02-20,1.49,1.57,1.49,1.55,1.51,424870,0.0,0.0
1992-02-21,1.54,1.57,1.54,1.55,1.51,205031,0.0,0.0
1992-02-24,1.54,1.58,1.54,1.58,1.54,1139,0.0,0.0
1992-02-25,1.58,1.58,1.53,1.56,1.52,75178,0.0,0.0
1992-02-26,1.53,1.57,1.53,1.57,1.53,23920,0.0,0.0
1992-02-27,1.57,1.58,1.55,1.55,1.51,247177,0.0,0.0
1992-02-28,1.55,1.57,1.54,1.55,1.51,429427,0.0,0.0
1992-03-02,1.54,1.54,1.54,1.54,1.5,6834,0.0,0.0
1992-03-03,1.55,1.55,1.55,1.55,1.51,39867,0.0,0.0
1992-03-04,1.54,1.54,1.49,1.49,1.46,193641,0.0,0.0
1992-03-05,1.51,1.51,1.43,1.43,1.39,194780,0.0,0.0
1992-03-06,1.43,1.47,1.43,1.44,1.41,130992,0.0,0.0
1992-03-09,1.43,1.45,1.43,1.45,1.42,34172,0.0,0.0
1992-03-10,1.43,1.47,1.43,1.45,1.42,82013,0.0,0.0
1992-03-11,1.43,1.46,1.43,1.43,1.39,63788,0.0,0.0
1992-03-12,1.47,1.47,1.47,1.47,1.44,79734,0.0,0.0
1992-03-13,1.46,1.47,1.45,1.45,1.42,74039,0.0,0.0
1992-03-16,1.45,1.49,1.45,1.49,1.46,64927,0.0,0.0
1992-03-17,1.51,1.54,1.49,1.54,1.5,623067,0.0,0.0
1992-03-18,1.51,1.55,1.51,1.54,1.5,613955,0.0,0.0
1992-03-19,1.51,1.56,1.51,1.51,1.48,36450,0.0,0.0
1992-03-20,1.56,1.56,1.51,1.51,1.48,11391,0.0,0.0
1992-03-23,1.51,1.56,1.51,1.51,1.48,15947,0.0,0.0
1992-03-24,1.51,1.56,1.51,1.56,1.52,63788,0.0,0.0
1992-03-25,1.54,1.54,1.54,1.54,1.5,5695,0.0,0.0
1992-03-26,1.58,1.58,1.56,1.56,1.52,36450,0.0,0.0
