Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1980-03-17,0.0,1.27,1.25,1.25,0.37,84645,0.0,0.0
1980-03-18,0.0,1.22,1.2,1.2,0.35,240570,0.0,0.0
1980-03-19,0.0,1.21,1.18,1.18,0.35,142560,0.0,0.0
1980-03-20,0.0,1.12,1.1,1.1,0.32,267300,0.0,0.0
1980-03-21,0.0,1.13,1.11,1.11,0.33,115830,0.0,0.0
1980-03-24,0.0,1.11,1.09,1.09,0.32,294030,0.0,0.0
1980-03-25,0.0,1.13,1.11,1.11,0.32,169290,0.0,0.0
1980-03-26,0.0,1.13,1.11,1.11,0.32,53460,0.0,0.0
1980-03-27,0.0,1.1,1.08,1.08,0.32,703890,0.0,0.0
1980-03-28,0.0,1.13,1.11,1.11,0.33,133650,0.0,0.0
1980-03-31,0.0,1.13,1.11,1.11,0.33,93555,0.0,0.0
1980-04-01,0.0,1.13,1.11,1.11,0.33,44550,0.0,0.0
1980-04-02,0.0,1.12,1.09,1.09,0.32,173745,0.0,0.0
1980-04-03,0.0,1.12,1.09,1.09,0.32,102465,0.0,0.0
1980-04-07,0.0,1.12,1.09,1.09,0.32,841995,0.0,0.0
1980-04-08,0.0,1.11,1.09,1.09,0.32,855360,0.0,0.0
1980-04-09,0.0,1.14,1.12,1.12,0.33,2713095,0.0,0.0
1980-04-10,0.0,1.13,1.11,1.11,0.33,35640,0.0,0.0
1980-04-11,0.0,1.13,1.11,1.11,0.33,142560,0.0,0.0
1980-04-14,0.0,1.12,1.1,1.1,0.32,57915,0.0,0.0
1980-04-15,0.0,1.12,1.1,1.1,0.32,31185,0.0,0.0
1980-04-16,0.0,1.12,1.09,1.09,0.32,490050,0.0,0.0
1980-04-17,0.0,1.09,1.07,1.07,0.31,93555,0.0,0.0
1980-04-18,0.0,1.08,1.06,1.06,0.31,155925,0.0,0.0
1980-04-21,0.0,1.08,1.06,1.06,0.31,40095,0.0,0.0
1980-04-22,0.0,1.09,1.07,1.07,0.31,89100,0.0,0.0
1980-04-23,0.0,0.95,0.93,0.93,0.27,663795,0.0,0.0
1980-04-24,0.0,1.01,0.99,0.99,0.29,547965,0.0,0.0
1980-04-25,0.0,1.0,0.98,0.98,0.29,200475,0.0,0.0
1980-04-28,0.0,1.01,0.99,0.99,0.29,80190,0.0,0.0
1980-04-29,0.0,1.01,0.99,0.99,0.29,338580,0.0,0.0
1980-04-30,0.0,1.03,1.01,1.01,0.3,200475,0.0,0.0
1980-05-01,0.0,1.03,1.0,1.0,0.29,1073655,0.0,0.0
1980-05-02,0.0,1.02,1.0,1.0,0.29,628155,0.0,0.0
1980-05-05,0.0,1.03,1.0,1.0,0.29,414315,0.0,0.0
1980-05-06,0.0,1.04,1.02,1.02,0.3,227205,0.0,0.0
1980-05-07,0.0,1.08,1.05,1.05,0.31,151470,0.0,0.0
