Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1992-10-28,2.08,2.11,1.97,1.97,1.38,19343700,0.0,0.0
1992-10-29,1.97,2.06,1.97,2.0,1.39,4667400,0.0,0.0
1992-10-30,1.97,2.03,1.94,1.94,1.36,4563000,0.0,0.0
1992-11-02,1.94,1.97,1.86,1.86,1.3,3475800,0.0,0.0
1992-11-03,1.86,1.92,1.86,1.89,1.32,1044000,0.0,0.0
1992-11-04,1.9,1.94,1.86,1.92,1.34,897300,0.0,0.0
1992-11-05,1.89,1.94,1.89,1.94,1.36,490500,0.0,0.0
1992-11-06,1.94,2.08,1.89,2.0,1.39,1603800,0.0,0.0
1992-11-09,2.06,2.14,2.03,2.08,1.45,2086200,0.0,0.0
1992-11-10,2.14,2.25,2.11,2.17,1.51,848700,0.0,0.0
1992-11-11,2.25,2.36,2.17,2.31,1.61,1459800,0.0,0.0
1992-11-12,2.31,2.31,2.25,2.28,1.59,655200,0.0,0.0
1992-11-13,2.25,2.31,2.25,2.31,1.61,531900,0.0,0.0
1992-11-16,2.31,2.31,2.08,2.17,1.51,1015200,0.0,0.0
1992-11-17,2.17,2.28,2.08,2.19,1.53,716400,0.0,0.0
1992-11-18,2.28,2.33,2.19,2.28,1.59,413100,0.0,0.0
1992-11-19,2.39,2.39,2.25,2.25,1.57,795600,0.0,0.0
1992-11-20,2.31,2.31,2.19,2.28,1.59,809100,0.0,0.0
1992-11-23,2.31,2.31,2.25,2.25,1.57,218700,0.0,0.0
1992-11-24,2.36,2.39,2.28,2.33,1.63,1695600,0.0,0.0
1992-11-25,2.33,2.36,2.28,2.36,1.65,716400,0.0,0.0
1992-11-27,2.36,2.36,2.28,2.36,1.65,413100,0.0,0.0
1992-11-30,2.36,2.36,2.28,2.33,1.63,1309500,0.0,0.0
1992-12-01,2.36,2.43,2.33,2.43,1.7,348300,0.0,0.0
1992-12-02,2.44,2.56,2.36,2.5,1.74,443700,0.0,0.0
1992-12-03,2.5,2.56,2.47,2.5,1.74,439200,0.0,0.0
1992-12-04,2.56,2.56,2.47,2.56,1.78,88200,0.0,0.0
1992-12-07,2.47,2.56,2.47,2.47,1.72,797400,0.0,0.0
1992-12-08,2.56,2.58,2.47,2.58,1.8,448200,0.0,0.0
1992-12-09,2.58,2.61,2.5,2.61,1.82,280800,0.0,0.0
1992-12-10,2.53,2.61,2.53,2.58,1.8,211500,0.0,0.0
1992-12-11,2.53,2.58,2.53,2.58,1.8,468900,0.0,0.0
1992-12-14,2.53,2.61,2.53,2.61,1.82,500400,0.0,0.0
1992-12-15,2.61,2.61,2.5,2.5,1.74,528300,0.0,0.0
1992-12-16,2.5,2.58,2.5,2.51,1.75,473400,0.0,0.0
1992-12-17,2.58,2.61,2.53,2.61,1.82,206100,0.0,0.0
1992-12-18,2.64,2.81,2.58,2.81,1.96,522000,0.0,0.0
1992-12-21,2.78,2.81,2.67,2.69,1.88,448200,0.0,0.0
1992-12-22,2.67,2.75,2.61,2.69,1.88,2104200,0.0,0.0
1992-12-23,2.69,2.69,2.61,2.69,1.88,97200,0.0,0.0
1992-12-24,2.69,2.72,2.61,2.72,1.9,245700,0.0,0.0
1992-12-28,2.72,2.78,2.67,2.78,1.94,144000,0.0,0.0
1992-12-29,2.72,2.78,2.72,2.72,1.9,36900,0.0,0.0
1992-12-30,2.72,2.83,2.72,2.78,1.94,116100,0.0,0.0
1992-12-31,2.72,2.83,2.72,2.83,1.98,339300,0.0,0.0
1993-01-04,2.81,2.92,2.78,2.83,1.98,306900,0.0,0.0
1993-01-05,2.83,2.92,2.75,2.83,1.98,148500,0.0,0.0
1993-01-06,2.81,2.83,2.64,2.69,1.88,463500,0.0,0.0
1993-01-07,2.61,2.67,2.33,2.36,1.65,1692900,0.0,0.0
1993-01-08,2.39,2.39,2.25,2.31,1.61,885600,0.0,0.0
1993-01-11,2.31,2.33,2.25,2.32,1.62,554400,0.0,0.0
1993-01-12,2.33,2.36,2.29,2.33,1.63,471600,0.0,0.0
1993-01-13,2.36,2.36,2.31,2.31,1.61,259200,0.0,0.0
1993-01-14,2.36,2.36,2.31,2.36,1.65,313200,0.0,0.0
1993-01-15,2.36,2.36,2.31,2.36,1.65,98100,0.0,0.0
1993-01-18,2.36,2.36,2.19,2.28,1.59,596700,0.0,0.0
1993-01-19,2.28,2.28,2.19,2.28,1.59,215100,0.0,0.0
1993-01-20,2.28,2.33,2.14,2.32,1.62,2341800,0.0,0.0
1993-01-21,2.33,2.33,2.25,2.33,1.63,608400,0.0,0.0
1993-01-22,2.33,2.33,2.25,2.33,1.63,812700,0.0,0.0
1993-01-25,2.33,2.33,2.25,2.31,1.61,675900,0.0,0.0
1993-01-26,2.33,2.33,2.25,2.28,1.59,979200,0.0,0.0
1993-01-27,2.33,2.42,2.25,2.4,1.68,941400,0.0,0.0
1993-01-28,2.44,2.53,2.42,2.5,1.74,523800,0.0,0.0
1993-01-29,2.5,2.5,2.42,2.5,1.74,2851200,0.0,0.0
1993-02-01,2.5,2.5,2.42,2.5,1.74,611100,0.0,0.0
1993-02-02,2.53,2.53,2.44,2.53,1.76,230400,0.0,0.0
1993-02-03,2.44,2.58,2.44,2.57,1.79,1307700,0.0,0.0
1993-02-04,2.58,2.61,2.56,2.58,1.8,351900,0.0,0.0
1993-02-05,2.53,2.58,2.44,2.58,1.8,666900,0.0,0.0
1993-02-08,2.53,2.61,2.5,2.56,1.78,349200,0.0,0.0
1993-02-09,2.56,2.64,2.53,2.56,1.78,448200,0.0,0.0
1993-02-10,2.56,2.58,2.53,2.58,1.8,430200,0.0,0.0
1993-02-11,2.58,2.64,2.53,2.58,1.8,117900,0.0,0.0
1993-02-12,2.58,2.61,2.53,2.56,1.78,135900,0.0,0.0
1993-02-16,2.61,2.61,2.14,2.17,1.51,852300,0.0,0.0
1993-02-17,2.28,2.31,2.17,2.31,1.61,995400,0.0,0.0
1993-02-18,2.39,2.39,2.31,2.32,1.62,560700,0.0,0.0
1993-02-19,2.39,2.42,2.31,2.39,1.67,82800,0.0,0.0
1993-02-22,2.28,2.36,2.28,2.28,1.59,99900,0.0,0.0
1993-02-23,2.28,2.31,2.14,2.22,1.55,357300,0.0,0.0
1993-02-24,2.14,2.22,2.11,2.19,1.53,633600,0.0,0.0
1993-02-25,2.25,2.31,2.22,2.22,1.55,1766700,0.0,0.0
1993-02-26,2.31,2.31,2.22,2.25,1.57,140400,0.0,0.0
1993-03-01,2.17,2.22,2.17,2.17,1.51,117000,0.0,0.0
1993-03-02,2.17,2.25,2.17,2.25,1.57,93600,0.0,0.0
1993-03-03,2.28,2.33,2.22,2.32,1.62,248400,0.0,0.0
1993-03-04,2.33,2.33,2.28,2.32,1.62,163800,0.0,0.0
1993-03-05,2.33,2.33,2.25,2.28,1.59,443700,0.0,0.0
1993-03-08,2.25,2.31,2.22,2.28,1.59,155700,0.0,0.0
1993-03-09,2.28,2.28,2.22,2.24,1.56,209700,0.0,0.0
1993-03-10,2.25,2.25,2.17,2.24,1.56,126000,0.0,0.0
1993-03-11,2.28,2.31,2.22,2.31,1.61,168300,0.0,0.0
1993-03-12,2.28,2.28,2.19,2.22,1.55,246600,0.0,0.0
1993-03-15,2.19,2.28,2.19,2.22,1.55,361800,0.0,0.0
1993-03-16,2.19,2.25,2.14,2.14,1.49,324000,0.0,0.0
1993-03-17,2.14,2.19,2.11,2.17,1.51,3598200,0.0,0.0
1993-03-18,2.17,2.19,2.11,2.19,1.53,314100,0.0,0.0
1993-03-19,2.25,2.33,2.22,2.28,1.59,1232100,0.0,0.0
1993-03-22,2.25,2.31,2.19,2.19,1.53,292500,0.0,0.0
1993-03-23,2.25,2.25,2.17,2.17,1.51,805500,0.0,0.0
1993-03-24,2.19,2.19,2.11,2.14,1.49,109800,0.0,0.0
1993-03-25,2.14,2.19,2.11,2.19,1.53,92700,0.0,0.0
1993-03-26,2.19,2.19,2.11,2.11,1.47,91800,0.0,0.0
1993-03-29,2.19,2.22,2.11,2.22,1.55,249300,0.0,0.0
1993-03-30,2.18,2.22,2.17,2.22,1.55,180900,0.0,0.0
1993-03-31,2.25,2.25,2.17,2.17,1.51,101700,0.0,0.0
1993-04-01,2.25,2.25,2.14,2.17,1.51,149400,0.0,0.0
1993-04-02,2.22,2.22,2.11,2.17,1.51,384300,0.0,0.0
1993-04-05,2.17,2.17,2.11,2.11,1.47,1152900,0.0,0.0
1993-04-06,2.17,2.17,2.0,2.01,1.4,1538100,0.0,0.0
1993-04-07,2.0,2.06,1.75,1.89,1.32,1333800,0.0,0.0
1993-04-08,1.89,2.0,1.83,1.94,1.36,680400,0.0,0.0
1993-04-12,1.94,1.94,1.89,1.89,1.32,587700,0.0,0.0
1993-04-13,1.9,1.97,1.89,1.92,1.34,413100,0.0,0.0
1993-04-14,1.97,2.0,1.92,1.97,1.38,774900,0.0,0.0
1993-04-15,1.97,2.0,1.92,1.92,1.34,121500,0.0,0.0
