Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1972-06-01,0.0,1.6,1.58,1.6,0.42,318600,0.0,0.0
1972-06-02,1.6,1.62,1.6,1.6,0.42,140400,0.0,0.0
1972-06-05,1.6,1.6,1.54,1.57,0.41,469800,0.0,0.0
1972-06-06,1.56,1.56,1.56,1.56,0.41,140400,0.0,0.0
1972-06-07,1.56,1.56,1.55,1.55,0.41,178200,0.0,0.0
1972-06-08,1.55,1.56,1.54,1.55,0.41,432000,0.0,0.0
1972-06-09,1.55,1.56,1.55,1.55,0.41,199800,0.0,0.0
1972-06-12,1.55,1.56,1.55,1.55,0.4,183600,0.0,0.0
1972-06-13,1.55,1.57,1.55,1.57,0.41,415800,0.0,0.0
1972-06-14,1.57,1.59,1.57,1.58,0.41,216000,0.0,0.0
1972-06-15,1.58,1.59,1.58,1.58,0.41,178200,0.0,0.0
1972-06-16,1.58,1.59,1.57,1.58,0.41,183600,0.0,0.0
1972-06-19,1.58,1.58,1.56,1.57,0.41,324000,0.0,0.0
1972-06-20,1.57,1.57,1.56,1.57,0.41,129600,0.0,0.0
1972-06-21,1.57,1.58,1.57,1.57,0.41,356400,0.0,0.0
1972-06-22,1.57,1.59,1.57,1.58,0.41,324000,0.0,0.0
1972-06-23,1.58,1.59,1.58,1.59,0.42,275400,0.0,0.0
1972-06-26,1.59,1.59,1.58,1.58,0.41,194400,0.0,0.0
1972-06-27,1.58,1.58,1.57,1.57,0.41,669600,0.0,0.0
1972-06-28,1.57,1.57,1.56,1.57,0.41,75600,0.0,0.0
1972-06-29,1.57,1.58,1.55,1.57,0.41,280800,0.0,0.0
1972-06-30,1.57,1.57,1.55,1.55,0.41,135000,0.0,0.0
1972-07-03,1.55,1.56,1.54,1.55,0.41,216000,0.0,0.0
1972-07-05,1.55,1.55,1.53,1.55,0.41,372600,0.0,0.0
1972-07-06,1.55,1.59,1.55,1.57,0.41,793800,0.0,0.0
1972-07-07,1.57,1.57,1.55,1.55,0.4,259200,0.0,0.0
1972-07-10,1.55,1.56,1.53,1.55,0.4,372600,0.0,0.0
1972-07-11,1.55,1.56,1.54,1.56,0.41,1080000,0.0,0.0
