Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2012-04-12,33.25,34.21,32.0,34.0,23.95,654700,0.0,0.0
2012-04-13,34.0,37.45,33.91,37.0,26.06,1685000,0.0,0.0
2012-04-16,37.0,37.0,35.99,36.55,25.75,550200,0.0,0.0
2012-04-17,36.4,36.75,36.0,36.0,25.36,179600,0.0,0.0
2012-04-18,36.0,36.44,34.5,36.0,25.36,207100,0.0,0.0
2012-04-19,36.0,37.22,35.8,36.0,25.36,598100,0.0,0.0
2012-04-20,36.1,37.0,36.1,36.32,25.58,149700,0.0,0.0
2012-04-23,36.24,36.24,35.42,35.68,25.13,95700,0.0,0.0
2012-04-24,36.0,36.0,34.68,34.75,24.48,124500,0.0,0.0
2012-04-25,34.8,35.5,34.5,34.75,24.48,266200,0.0,0.0
2012-04-26,34.61,34.99,34.44,34.95,24.62,183900,0.0,0.0
2012-04-27,35.25,35.25,33.97,34.11,24.03,536000,0.0,0.0
2012-04-30,34.34,34.9,34.0,34.05,23.98,4105700,0.0,0.0
2012-05-01,33.74,34.1,32.58,32.76,23.08,6878600,0.0,0.0
2012-05-02,32.6,32.67,31.63,32.0,22.54,11287600,0.0,0.0
2012-05-03,31.93,31.98,31.05,31.39,22.11,11800000,0.0,0.0
2012-05-04,30.85,31.09,30.12,30.16,21.24,10881000,0.0,0.0
2012-05-07,30.1,30.55,29.25,29.35,20.67,12257200,0.0,0.0
2012-05-08,29.09,30.41,28.75,30.1,21.2,14601300,0.0,0.0
2012-05-09,29.81,32.89,29.73,32.49,22.89,13990000,0.0,0.0
2012-05-10,33.05,33.35,31.52,32.48,22.88,8862000,0.0,0.0
2012-05-11,31.73,32.15,31.4,31.83,22.42,4460100,0.0,0.0
2012-05-14,31.19,31.58,30.77,31.32,22.06,6398200,0.0,0.0
2012-05-15,31.35,32.32,31.06,31.67,22.31,6362800,0.0,0.0
2012-05-16,31.46,32.39,31.25,32.1,22.61,6118600,0.0,0.0
2012-05-17,31.89,32.0,31.2,31.26,22.02,5850500,0.0,0.0
2012-05-18,31.43,31.69,30.99,31.38,22.1,7940800,0.0,0.0
2012-05-21,31.23,32.34,30.95,32.19,22.67,5480100,0.0,0.0
2012-05-22,31.88,32.27,31.33,31.63,22.28,5415000,0.0,0.0
2012-05-23,31.35,31.49,30.88,31.41,22.12,5268900,0.0,0.0
2012-05-24,31.42,31.44,30.75,31.13,21.93,4210400,0.0,0.0
2012-05-25,31.01,31.41,30.83,31.3,22.05,3217900,0.0,0.0
2012-05-29,31.28,31.72,30.86,31.01,21.84,3979600,0.0,0.0
2012-05-30,30.79,30.83,30.18,30.44,21.44,6000600,0.0,0.0
2012-05-31,30.26,30.35,29.72,30.03,21.15,8098000,0.0,0.0
2012-06-01,29.5,30.17,29.38,29.92,21.08,5701700,0.0,0.0
2012-06-04,29.3,30.19,29.25,29.53,20.8,4844900,0.0,0.0
2012-06-05,29.37,30.1,29.32,29.9,21.06,4046500,0.0,0.0
2012-06-06,30.03,32.0,29.82,31.53,22.21,8609400,0.0,0.0
2012-06-07,32.07,32.75,31.74,31.83,22.42,7694300,0.0,0.0
2012-06-08,31.66,32.35,31.51,32.12,22.62,4302100,0.0,0.0
2012-06-11,32.45,33.05,32.23,32.6,22.96,5999000,0.0,0.0
2012-06-12,32.56,33.74,32.49,33.49,23.59,6809900,0.0,0.0
2012-06-13,33.27,33.49,32.54,32.77,23.08,2876200,0.0,0.0
2012-06-14,32.77,33.64,32.31,33.53,23.62,4460000,0.0,0.0
2012-06-15,33.6,34.91,33.38,34.9,24.58,9892400,0.0,0.0
2012-06-18,34.38,34.5,33.83,33.86,23.85,4254400,0.0,0.0
2012-06-19,34.06,34.53,33.73,33.86,23.85,4873500,0.0,0.0
2012-06-20,33.79,34.85,33.48,34.66,24.41,4628400,0.0,0.0
2012-06-21,34.7,34.76,33.06,33.48,23.58,3489900,0.0,0.0
2012-06-22,33.65,34.71,33.03,34.16,24.06,4359500,0.0,0.0
2012-06-25,33.69,33.69,32.76,32.87,23.15,3518600,0.0,0.0
2012-06-26,32.81,33.98,32.4,32.58,22.95,3274700,0.0,0.0
2012-06-27,32.61,33.4,31.42,31.89,22.46,3615600,0.0,0.0
2012-06-28,31.54,32.4,31.29,32.31,22.76,3115900,0.0,0.0
2012-06-29,32.78,33.38,32.65,33.24,23.41,4599500,0.0,0.0
2012-07-02,33.59,34.32,33.37,34.0,23.95,3868500,0.0,0.0
2012-07-03,34.02,34.63,33.83,34.24,24.12,3647400,0.0,0.0
2012-07-05,33.83,34.24,33.54,33.8,23.81,2711300,0.0,0.0
2012-07-06,33.4,33.68,32.92,33.37,23.51,1907800,0.0,0.0
2012-07-09,33.08,33.76,32.65,33.25,23.42,2264600,0.0,0.0
2012-07-10,33.47,33.47,32.5,32.68,23.02,2972900,0.0,0.0
2012-07-11,32.66,33.64,32.35,33.48,23.58,2583000,0.0,0.0
2012-07-12,33.15,33.19,32.55,33.01,23.25,3505600,0.0,0.0
2012-07-13,33.61,35.08,33.51,34.94,24.61,4801300,0.0,0.0
2012-07-16,34.69,36.12,34.56,36.1,25.43,4895700,0.0,0.0
2012-07-17,36.16,36.8,35.86,36.69,25.84,3604100,0.0,0.0
2012-07-18,36.65,37.67,36.59,37.1,26.13,2839200,0.0,0.0
2012-07-19,36.92,37.0,35.5,35.6,25.21,3758600,0.2,0.0
2012-07-20,35.18,35.44,34.91,35.32,25.01,3290000,0.0,0.0
2012-07-23,34.79,35.28,34.5,35.02,24.8,3245900,0.0,0.0
2012-07-24,35.25,35.42,34.61,35.23,24.95,2351600,0.0,0.0
2012-07-25,35.6,35.89,34.87,35.4,25.07,3551300,0.0,0.0
2012-07-26,35.76,36.06,35.59,35.96,25.47,2951300,0.0,0.0
2012-07-27,36.23,36.91,35.9,36.52,25.86,6158600,0.0,0.0
2012-07-30,36.86,37.65,36.83,37.65,26.66,2830300,0.0,0.0
2012-07-31,37.74,38.36,37.51,37.6,26.63,6958400,0.0,0.0
2012-08-01,39.08,40.18,37.78,38.27,27.1,6639700,0.0,0.0
2012-08-02,37.94,39.07,37.84,38.3,27.12,4434800,0.0,0.0
2012-08-03,38.6,39.85,38.6,39.67,28.09,4516000,0.0,0.0
2012-08-06,39.94,40.35,39.77,40.07,28.38,3405100,0.0,0.0
2012-08-07,40.39,40.83,39.59,39.77,28.17,4636800,0.0,0.0
2012-08-08,39.6,40.2,39.46,40.15,28.43,4002600,0.0,0.0
2012-08-09,39.9,40.6,39.88,40.32,28.55,2888200,0.0,0.0
2012-08-10,40.26,40.43,39.75,40.0,28.33,2107700,0.0,0.0
2012-08-13,39.86,40.35,39.77,40.15,28.43,2213500,0.0,0.0
2012-08-14,40.19,40.45,39.8,39.93,28.28,2533900,0.0,0.0
2012-08-15,40.54,40.66,39.93,40.36,28.58,4009400,0.0,0.0
2012-08-16,40.53,41.26,40.37,41.18,29.16,3862100,0.0,0.0
2012-08-17,41.62,42.93,41.47,42.77,30.29,5536300,0.0,0.0
2012-08-20,42.87,43.45,42.75,43.07,30.5,3809500,0.0,0.0
2012-08-21,43.38,43.38,41.49,41.55,29.43,4469400,0.0,0.0
2012-08-22,41.36,41.53,40.42,41.48,29.38,4384500,0.0,0.0
2012-08-23,41.48,41.63,41.05,41.33,29.27,1996300,0.0,0.0
2012-08-24,41.15,41.54,40.74,41.36,29.29,2562300,0.0,0.0
2012-08-27,41.43,42.39,40.97,41.07,29.09,3779200,0.0,0.0
2012-08-28,40.9,42.47,40.9,41.96,29.72,3770300,0.0,0.0
2012-08-29,41.9,42.39,41.65,41.98,29.73,2674300,0.0,0.0
2012-08-30,41.79,42.7,41.62,42.48,30.08,2523800,0.0,0.0
2012-08-31,42.7,43.0,41.1,42.0,29.74,5791200,0.0,0.0
2012-09-04,42.07,42.45,41.48,42.41,30.04,2620700,0.0,0.0
2012-09-05,42.49,42.58,41.43,41.74,29.56,2881800,0.0,0.0
2012-09-06,42.16,43.74,42.16,43.42,30.75,4222200,0.0,0.0
2012-09-07,43.48,44.31,43.36,44.26,31.35,3458100,0.0,0.0
2012-09-10,43.93,44.85,43.93,44.54,31.54,4417300,0.0,0.0
2012-09-11,44.64,46.1,44.46,45.59,32.29,6304700,0.0,0.0
2012-09-12,46.14,47.41,46.04,46.28,32.78,5269800,0.0,0.0
2012-09-13,46.3,46.85,45.37,46.64,33.03,5292000,0.0,0.0
2012-09-14,47.16,48.22,46.01,46.73,33.09,6718600,0.0,0.0
2012-09-17,46.17,46.97,46.0,46.14,32.68,4833400,0.0,0.0
2012-09-18,45.53,45.78,44.44,45.52,32.24,6108200,0.0,0.0
2012-09-19,45.53,46.6,45.51,45.57,32.27,3505400,0.0,0.0
2012-09-20,45.39,46.31,45.17,45.78,32.42,3233500,0.0,0.0
2012-09-21,46.04,47.09,46.04,46.82,33.16,5960500,0.0,0.0
2012-09-24,46.69,46.92,46.26,46.74,33.1,2453800,0.0,0.0
2012-09-25,47.0,47.3,45.96,45.98,32.56,2912200,0.0,0.0
2012-09-26,45.69,46.33,45.23,45.53,32.24,3626000,0.0,0.0
2012-09-27,45.8,46.74,45.68,46.53,32.95,3180100,0.0,0.0
2012-09-28,46.43,46.53,46.02,46.37,32.84,3253700,0.0,0.0
2012-10-01,46.6,47.02,46.26,46.56,32.97,2785500,0.0,0.0
2012-10-02,46.68,46.96,46.27,46.42,32.87,2911900,0.0,0.0
2012-10-03,46.27,46.41,45.0,45.16,31.98,5392000,0.0,0.0
2012-10-04,45.59,45.66,45.08,45.39,32.15,6196000,0.0,0.0
2012-10-05,45.87,47.68,45.76,46.02,32.59,7658200,0.0,0.0
2012-10-08,45.96,46.57,45.56,45.93,32.53,3414600,0.0,0.0
2012-10-09,46.16,46.75,46.06,46.09,32.64,3667800,0.0,0.0
2012-10-10,46.02,46.33,44.69,45.15,31.98,5564600,0.0,0.0
2012-10-11,45.38,45.65,44.57,44.6,31.76,4600600,0.25,0.0
2012-10-12,44.33,44.62,42.45,43.92,31.28,6634300,0.0,0.0
2012-10-15,43.85,44.43,43.41,44.38,31.61,2722000,0.0,0.0
2012-10-16,44.77,46.79,44.6,46.49,33.11,5742000,0.0,0.0
2012-10-17,46.55,47.22,46.31,46.65,33.22,2842000,0.0,0.0
2012-10-18,46.62,46.63,45.39,45.56,32.45,3402300,0.0,0.0
2012-10-19,45.53,46.09,44.55,44.64,31.79,3002400,0.0,0.0
2012-10-22,44.73,45.73,44.73,45.58,32.46,3421700,0.0,0.0
2012-10-23,44.91,45.08,43.93,44.92,31.99,4079100,0.0,0.0
2012-10-24,45.0,45.65,44.66,44.78,31.89,3478700,0.0,0.0
2012-10-25,45.14,45.45,44.55,45.03,32.07,2903900,0.0,0.0
2012-10-26,45.57,47.62,44.82,47.5,33.83,6123800,0.0,0.0
2012-10-31,47.82,48.4,46.64,47.16,33.59,4791200,0.0,0.0
2012-11-01,47.0,47.65,46.39,47.38,33.74,4291500,0.0,0.0
2012-11-02,48.01,48.15,46.07,46.21,32.91,2826000,0.0,0.0
2012-11-05,46.23,47.9,46.23,47.76,34.01,3024100,0.0,0.0
2012-11-06,48.0,51.0,47.86,50.04,35.64,8220800,0.0,0.0
2012-11-07,49.23,50.08,48.75,49.46,35.22,6708500,0.0,0.0
2012-11-08,49.34,49.97,48.94,49.0,34.9,3699100,0.0,0.0
2012-11-09,48.11,48.56,47.17,47.41,33.76,5424200,0.0,0.0
2012-11-12,47.43,48.11,47.28,47.35,33.72,2699200,0.0,0.0
2012-11-13,47.0,47.76,46.56,46.86,33.37,3129100,0.0,0.0
2012-11-14,47.17,47.46,45.71,45.76,32.59,3542400,0.0,0.0
2012-11-15,45.53,46.19,44.94,45.34,32.29,3805000,0.0,0.0
2012-11-16,45.56,45.92,44.95,45.77,32.6,4591900,0.0,0.0
2012-11-19,46.4,48.25,46.38,48.12,34.27,4339700,0.0,0.0
2012-11-20,48.19,49.07,47.87,49.06,34.94,3492900,0.0,0.0
2012-11-21,49.32,49.65,48.84,49.39,35.17,3805700,0.0,0.0
2012-11-23,49.58,50.0,49.41,49.82,35.48,1698700,0.0,0.0
2012-11-26,49.55,49.98,49.07,49.56,35.29,2943300,0.0,0.0
2012-11-27,49.51,50.42,49.01,50.06,35.65,4638900,0.0,0.0
2012-11-28,49.66,51.27,49.25,51.0,36.32,5404800,0.0,0.0
2012-11-29,51.2,51.66,50.83,51.56,36.72,3951100,0.0,0.0
2012-11-30,51.68,52.53,51.45,52.37,37.3,5323100,0.0,0.0
2012-12-03,52.65,52.76,51.02,51.56,36.72,5670000,0.0,0.0
2012-12-04,51.48,52.24,51.48,51.56,36.72,3726600,0.0,0.0
2012-12-05,51.45,51.95,50.27,50.69,36.1,3332400,0.0,0.0
2012-12-06,50.69,51.21,50.3,50.97,36.3,3405700,0.0,0.0
2012-12-07,51.19,52.75,51.06,52.34,37.27,4854900,0.0,0.0
2012-12-10,52.21,54.32,52.2,53.58,38.16,7741300,0.0,0.0
2012-12-11,53.72,53.92,52.73,53.04,37.77,5205500,0.0,0.0
2012-12-12,53.33,53.5,52.94,53.05,37.78,8427100,0.0,0.0
2012-12-13,52.6,52.6,51.24,52.21,37.18,7136600,0.0,0.0
2012-12-14,52.0,53.54,51.8,53.47,38.08,5120800,0.0,0.0
2012-12-17,53.56,53.86,53.18,53.52,38.11,4292300,0.0,0.0
2012-12-18,53.44,53.7,53.0,53.17,37.87,3922800,0.0,0.0
