Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2015-07-06,38.0,39.75,36.0,36.71,36.71,5866600,0.0,0.0
2015-07-07,37.72,37.81,36.0,36.62,36.62,7359000,0.0,0.0
2015-07-08,36.34,36.36,34.53,34.7,34.7,5387700,0.0,0.0
2015-07-09,35.1,35.52,33.99,34.5,34.5,3760100,0.0,0.0
2015-07-10,34.66,35.19,33.98,34.69,34.69,4472800,0.0,0.0
2015-07-13,35.59,37.5,35.5,36.78,36.78,7626000,0.0,0.0
2015-07-14,36.99,37.74,36.6,36.93,36.93,4653300,0.0,0.0
2015-07-15,37.98,38.2,37.03,37.51,37.51,13072800,0.0,0.0
2015-07-16,38.82,39.97,38.08,38.63,38.63,21348500,0.0,0.0
2015-07-17,39.42,40.2,38.18,38.39,38.39,45720200,0.0,0.0
2015-07-20,41.46,42.55,39.8,40.47,40.47,52286500,0.0,0.0
2015-07-21,41.08,41.11,39.12,39.35,39.35,32954600,0.0,0.0
2015-07-22,39.35,39.72,38.1,38.39,38.39,25363900,0.0,0.0
2015-07-23,38.74,38.75,36.93,37.01,37.01,19250200,0.0,0.0
2015-07-24,37.71,38.0,36.91,37.0,37.0,14274300,0.0,0.0
2015-07-27,36.78,37.38,36.22,36.39,36.39,16179900,0.0,0.0
2015-07-28,37.19,38.0,36.83,37.6,37.6,18986000,0.0,0.0
2015-07-29,38.03,38.1,37.62,37.95,37.95,11788400,0.0,0.0
2015-07-30,38.04,39.01,37.72,38.45,38.45,13845100,0.0,0.0
2015-07-31,39.14,39.2,38.22,38.7,38.7,12480600,0.0,0.0
2015-08-03,39.25,39.88,38.9,39.39,39.39,15126600,0.0,0.0
2015-08-04,39.91,39.91,38.43,38.95,38.95,10992200,0.0,0.0
2015-08-05,39.7,39.88,39.17,39.27,39.27,9463100,0.0,0.0
2015-08-06,39.63,39.74,38.55,38.85,38.85,7324100,0.0,0.0
2015-08-07,39.04,39.23,38.6,39.13,39.13,8331300,0.0,0.0
2015-08-10,39.43,39.69,38.77,39.05,39.05,7998900,0.0,0.0
2015-08-11,38.93,39.28,38.72,38.85,38.85,8184000,0.0,0.0
2015-08-12,38.55,38.58,37.01,38.19,38.19,21350600,0.0,0.0
2015-08-13,38.4,38.49,37.44,37.62,37.62,7863500,0.0,0.0
2015-08-14,37.49,38.18,37.38,38.14,38.14,6271100,0.0,0.0
2015-08-17,38.3,38.75,37.7,38.73,38.73,4931700,0.0,0.0
2015-08-18,39.0,39.0,37.87,37.99,37.99,4678800,0.0,0.0
2015-08-19,37.87,38.1,37.03,37.19,37.19,6923400,0.0,0.0
2015-08-20,36.85,37.34,35.88,35.98,35.98,10645700,0.0,0.0
2015-08-21,35.57,36.11,33.83,34.25,34.25,16824100,0.0,0.0
2015-08-24,31.17,34.85,30.0,33.75,33.75,19676600,0.0,0.0
2015-08-25,35.44,35.46,32.7,32.7,32.7,15557100,0.0,0.0
2015-08-26,33.7,33.84,31.71,33.17,33.17,25350400,0.0,0.0
2015-08-27,33.87,34.77,33.16,34.62,34.62,18909600,0.0,0.0
2015-08-28,34.51,35.26,34.37,35.04,35.04,8344800,0.0,0.0
2015-08-31,35.5,35.51,34.77,35.0,35.0,12123800,0.0,0.0
2015-09-01,34.15,34.68,33.41,33.77,33.77,13376000,0.0,0.0
2015-09-02,34.6,35.08,33.83,35.07,35.07,7521000,0.0,0.0
2015-09-03,35.01,35.46,34.77,35.31,35.31,6683800,0.0,0.0
2015-09-04,34.71,34.72,33.78,34.29,34.29,7483100,0.0,0.0
2015-09-08,34.81,34.89,34.25,34.7,34.7,7674500,0.0,0.0
2015-09-09,34.92,34.95,33.88,34.37,34.37,10946900,0.0,0.0
2015-09-10,34.23,34.29,32.95,33.46,33.46,12134500,0.0,0.0
2015-09-11,33.27,33.59,32.61,33.55,33.55,9184200,0.0,0.0
2015-09-14,33.7,33.95,33.2,33.77,33.77,7897700,0.0,0.0
2015-09-15,33.72,33.95,32.67,33.8,33.8,11874900,0.0,0.0
2015-09-16,33.46,34.06,33.36,33.77,33.77,7183900,0.0,0.0
2015-09-17,33.72,33.99,33.08,33.32,33.32,7846800,0.0,0.0
2015-09-18,32.9,33.78,32.55,32.92,32.92,16488100,0.0,0.0
2015-09-21,33.66,34.62,33.43,34.25,34.25,12736500,0.0,0.0
2015-09-22,33.94,34.1,33.19,33.35,33.35,8538000,0.0,0.0
2015-09-23,33.49,34.34,33.26,34.16,34.16,5405500,0.0,0.0
2015-09-24,34.0,34.07,33.38,33.91,33.91,6544500,0.0,0.0
2015-09-25,34.6,34.69,33.5,33.77,33.77,6566800,0.0,0.0
2015-09-28,33.68,33.68,32.15,32.25,32.25,7407300,0.0,0.0
2015-09-29,32.27,32.67,30.3,30.63,30.63,12008100,0.0,0.0
2015-09-30,31.2,31.28,30.64,31.04,31.04,13672000,0.0,0.0
2015-10-01,30.82,31.59,30.75,31.48,31.48,9657000,0.0,0.0
2015-10-02,30.82,32.86,30.75,32.83,32.83,7609800,0.0,0.0
2015-10-05,32.95,33.02,32.38,32.67,32.67,6119100,0.0,0.0
2015-10-06,32.91,32.91,31.78,31.86,31.86,7409800,0.0,0.0
2015-10-07,32.31,32.47,31.52,32.38,32.38,6969600,0.0,0.0
2015-10-08,32.44,32.45,31.09,31.67,31.67,9281500,0.0,0.0
2015-10-09,31.69,32.45,31.41,32.06,32.06,5911400,0.0,0.0
2015-10-12,32.19,32.67,32.1,32.63,32.63,3915500,0.0,0.0
2015-10-13,32.6,33.48,32.34,33.22,33.22,8787700,0.0,0.0
2015-10-14,33.4,34.46,33.4,34.05,34.05,8198300,0.0,0.0
2015-10-15,34.45,34.72,34.16,34.62,34.62,9103200,0.0,0.0
2015-10-16,34.75,35.05,33.95,34.29,34.29,5390700,0.0,0.0
2015-10-19,34.43,34.9,33.79,34.84,34.84,5855700,0.0,0.0
2015-10-20,34.8,34.99,34.59,34.87,34.87,6084200,0.0,0.0
2015-10-21,34.75,34.8,32.88,33.83,33.83,9054500,0.0,0.0
2015-10-22,34.43,35.25,34.26,34.79,34.79,8735500,0.0,0.0
2015-10-23,35.73,35.75,34.8,34.99,34.99,8909100,0.0,0.0
2015-10-26,36.05,36.59,35.51,36.44,36.44,11554600,0.0,0.0
2015-10-27,36.39,36.39,35.31,35.94,35.94,8502400,0.0,0.0
2015-10-28,36.21,36.65,35.81,36.52,36.52,11634300,0.0,0.0
2015-10-29,34.73,36.5,34.5,35.91,35.91,25137300,0.0,0.0
2015-10-30,35.64,36.49,35.24,36.01,36.01,13409200,0.0,0.0
2015-11-02,35.58,37.41,35.45,36.99,36.99,11254900,0.0,0.0
2015-11-03,37.05,38.44,37.0,37.9,37.9,12025200,0.0,0.0
2015-11-04,38.45,38.52,37.33,37.6,37.6,12226800,0.0,0.0
2015-11-05,37.82,37.98,36.66,36.71,36.71,9068900,0.0,0.0
2015-11-06,36.59,36.7,35.8,36.24,36.24,10256800,0.0,0.0
2015-11-09,36.1,36.74,35.65,36.6,36.6,11571500,0.0,0.0
2015-11-10,36.58,37.2,36.5,37.0,37.0,36384400,0.0,0.0
2015-11-11,37.19,37.32,35.75,36.33,36.33,12762500,0.0,0.0
2015-11-12,35.94,36.05,34.83,35.57,35.57,11835900,0.0,0.0
2015-11-13,35.18,35.5,34.5,34.53,34.53,7364400,0.0,0.0
2015-11-16,34.55,35.66,34.53,35.61,35.61,6734500,0.0,0.0
2015-11-17,35.89,36.45,35.71,36.21,36.21,7344900,0.0,0.0
2015-11-18,36.32,36.95,35.78,36.22,36.22,8323100,0.0,0.0
2015-11-19,36.45,36.5,35.91,36.19,36.19,5041300,0.0,0.0
2015-11-20,36.45,36.45,35.92,36.36,36.36,4543400,0.0,0.0
2015-11-23,36.5,36.65,35.41,35.56,35.56,6961000,0.0,0.0
2015-11-24,35.25,35.3,34.88,35.12,35.12,8390100,0.0,0.0
2015-11-25,35.2,35.86,35.13,35.36,35.36,3881800,0.0,0.0
2015-11-27,35.52,35.7,35.06,35.18,35.18,2549400,0.0,0.0
2015-11-30,35.36,35.44,34.69,35.26,35.26,9357300,0.0,0.0
2015-12-01,35.41,35.41,33.85,35.17,35.17,14893900,0.0,0.0
2015-12-02,35.23,36.17,34.93,35.15,35.15,5762400,0.0,0.0
2015-12-03,35.2,35.23,33.85,34.23,34.23,7311900,0.0,0.0
2015-12-04,34.38,35.82,34.22,35.62,35.62,10664300,0.0,0.0
2015-12-07,35.71,35.8,34.85,35.16,35.16,4918000,0.0,0.0
2015-12-08,34.63,35.7,34.52,35.6,35.6,7420800,0.0,0.0
2015-12-09,35.39,35.6,34.83,35.07,35.07,7381700,0.0,0.0
2015-12-10,35.16,35.91,35.16,35.49,35.49,6949700,0.0,0.0
2015-12-11,35.15,35.33,34.42,34.69,34.69,8309200,0.0,0.0
2015-12-14,34.61,35.22,34.33,35.01,35.01,5784400,0.0,0.0
2015-12-15,35.19,36.51,35.18,36.32,36.32,11709900,0.0,0.0
2015-12-16,36.12,36.25,35.19,35.98,35.98,7076300,0.0,0.0
2015-12-17,36.0,36.58,35.51,35.54,35.54,6454100,0.0,0.0
2015-12-18,35.35,35.76,34.73,34.98,34.98,13745900,0.0,0.0
2015-12-21,35.21,36.15,35.11,36.08,36.08,5856000,0.0,0.0
2015-12-22,36.12,36.89,35.78,36.81,36.81,6030900,0.0,0.0
2015-12-23,36.79,37.68,36.77,37.11,37.11,7579500,0.0,0.0
2015-12-24,37.01,37.23,36.82,37.07,37.07,2133400,0.0,0.0
2015-12-28,36.7,37.0,36.25,36.61,36.61,4930100,0.0,0.0
2015-12-29,36.92,37.45,36.75,37.08,37.08,3436600,0.0,0.0
2015-12-30,37.07,37.25,36.46,36.48,36.48,4106700,0.0,0.0
2015-12-31,36.3,36.5,36.05,36.2,36.2,4481900,0.0,0.0
2016-01-04,35.13,35.56,34.28,34.75,34.75,12287700,0.0,0.0
2016-01-05,34.98,34.98,33.86,34.31,34.31,11227700,0.0,0.0
2016-01-06,33.7,34.01,33.21,33.98,33.98,8441300,0.0,0.0
2016-01-07,33.15,34.16,33.02,33.13,33.13,11041100,0.0,0.0
2016-01-08,33.46,33.88,32.63,32.69,32.69,7848800,0.0,0.0
2016-01-11,33.02,33.43,32.47,33.04,33.04,8937400,0.0,0.0
2016-01-12,33.35,33.57,32.66,33.08,33.08,7854000,0.0,0.0
2016-01-13,33.28,33.57,31.97,32.12,32.12,8069400,0.0,0.0
2016-01-14,32.15,33.04,31.7,32.87,32.87,7749500,0.0,0.0
2016-01-15,31.62,32.54,31.62,32.31,32.31,12174400,0.0,0.0
2016-01-19,32.76,33.18,31.93,32.2,32.2,6674700,0.0,0.0
2016-01-20,31.43,31.7,30.52,31.2,31.2,13170600,0.0,0.0
2016-01-21,31.61,31.74,30.9,31.2,31.2,9978900,0.0,0.0
2016-01-22,31.65,31.97,31.54,31.69,31.69,9444000,0.0,0.0
2016-01-25,31.98,31.98,31.35,31.47,31.47,7591800,0.0,0.0
2016-01-26,31.49,31.98,31.39,31.97,31.97,8617000,0.0,0.0
2016-01-27,31.96,32.63,31.38,31.59,31.59,12711700,0.0,0.0
2016-01-28,33.63,34.75,33.35,34.24,34.24,20378600,0.0,0.0
2016-01-29,34.49,36.26,34.36,36.14,36.14,21201100,0.0,0.0
2016-02-01,35.65,37.32,35.59,37.08,37.08,17356000,0.0,0.0
2016-02-02,36.53,37.77,36.44,36.83,36.83,17310600,0.0,0.0
2016-02-03,36.87,37.55,36.07,37.01,37.01,14543100,0.0,0.0
2016-02-04,36.66,37.28,36.54,37.17,37.17,10212300,0.0,0.0
2016-02-05,37.16,37.16,34.82,35.07,35.07,16245800,0.0,0.0
2016-02-08,34.0,34.29,31.98,33.61,33.61,20629000,0.0,0.0
2016-02-09,32.8,33.86,31.64,32.7,32.7,16439200,0.0,0.0
2016-02-10,33.62,33.94,32.82,32.9,32.9,8636500,0.0,0.0
2016-02-11,32.12,33.64,32.01,33.52,33.52,13170100,0.0,0.0
2016-02-12,33.97,34.44,33.81,34.3,34.3,9437100,0.0,0.0
2016-02-16,34.65,35.52,34.48,35.46,35.46,9152400,0.0,0.0
2016-02-17,35.98,36.91,35.81,36.36,36.36,12070600,0.0,0.0
2016-02-18,36.41,36.53,35.66,36.31,36.31,9022100,0.0,0.0
2016-02-19,36.0,36.24,35.61,35.76,35.76,9652800,0.0,0.0
