Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1991-12-13,0.53,0.59,0.52,0.56,0.36,143667200,0.0,0.0
1991-12-16,0.56,0.58,0.54,0.55,0.36,22585600,0.0,0.0
1991-12-17,0.58,0.58,0.55,0.55,0.36,16176000,0.0,0.0
1991-12-18,0.55,0.57,0.55,0.57,0.37,10899200,0.0,0.0
1991-12-19,0.57,0.57,0.55,0.55,0.35,7299200,0.0,0.0
1991-12-20,0.55,0.57,0.55,0.56,0.36,5235200,0.0,0.0
1991-12-23,0.57,0.57,0.55,0.56,0.36,7894400,0.0,0.0
1991-12-24,0.55,0.6,0.55,0.6,0.39,7129600,0.0,0.0
1991-12-26,0.59,0.69,0.59,0.69,0.45,8672000,0.0,0.0
1991-12-27,0.7,0.7,0.65,0.66,0.43,6396800,0.0,0.0
1991-12-30,0.66,0.68,0.65,0.68,0.44,6627200,0.0,0.0
1991-12-31,0.68,0.78,0.67,0.77,0.5,12572800,0.0,0.0
1992-01-02,0.77,0.87,0.77,0.86,0.56,22121600,0.0,0.0
1992-01-03,0.87,0.89,0.84,0.88,0.57,6092800,0.0,0.0
1992-01-06,0.9,0.9,0.76,0.82,0.53,15987200,0.0,0.0
1992-01-07,0.81,0.84,0.79,0.8,0.52,4940800,0.0,0.0
1992-01-08,0.8,0.8,0.68,0.7,0.46,36828800,0.0,0.0
1992-01-09,0.73,0.77,0.72,0.77,0.5,20809600,0.0,0.0
1992-01-10,0.78,0.79,0.73,0.75,0.49,7961600,0.0,0.0
1992-01-13,0.77,0.84,0.74,0.81,0.53,8499200,0.0,0.0
1992-01-14,0.84,0.84,0.8,0.82,0.53,3628800,0.0,0.0
1992-01-15,0.84,0.85,0.81,0.83,0.54,5910400,0.0,0.0
1992-01-16,0.84,0.84,0.77,0.8,0.52,3654400,0.0,0.0
1992-01-17,0.79,0.81,0.79,0.79,0.51,1574400,0.0,0.0
1992-01-20,0.78,0.8,0.74,0.78,0.51,3350400,0.0,0.0
1992-01-21,0.8,0.8,0.73,0.75,0.49,3724800,0.0,0.0
1992-01-22,0.75,0.78,0.73,0.78,0.51,5132800,0.0,0.0
1992-01-23,0.8,0.8,0.73,0.73,0.48,3248000,0.0,0.0
1992-01-24,0.73,0.76,0.73,0.74,0.48,355200,0.0,0.0
1992-01-27,0.76,0.76,0.71,0.73,0.47,2675200,0.0,0.0
1992-01-28,0.73,0.73,0.69,0.7,0.46,3673600,0.0,0.0
1992-01-29,0.71,0.73,0.69,0.72,0.47,1702400,0.0,0.0
1992-01-30,0.71,0.77,0.71,0.74,0.48,2505600,0.0,0.0
1992-01-31,0.74,0.75,0.73,0.75,0.49,1702400,0.0,0.0
1992-02-03,0.75,0.8,0.74,0.77,0.5,2611200,0.0,0.0
1992-02-04,0.77,0.8,0.76,0.78,0.51,4233600,0.0,0.0
1992-02-05,0.77,0.79,0.77,0.77,0.5,3280000,0.0,0.0
1992-02-06,0.8,0.8,0.76,0.76,0.49,7232000,0.0,0.0
1992-02-07,0.78,0.78,0.68,0.73,0.48,8979200,0.0,0.0
1992-02-10,0.71,0.73,0.69,0.7,0.46,4940800,0.0,0.0
1992-02-11,0.71,0.73,0.7,0.71,0.46,1667200,0.0,0.0
1992-02-12,0.71,0.77,0.7,0.75,0.49,3603200,0.0,0.0
1992-02-13,0.77,0.77,0.71,0.71,0.46,1398400,0.0,0.0
1992-02-14,0.73,0.73,0.7,0.73,0.47,2825600,0.0,0.0
1992-02-18,0.73,0.73,0.7,0.71,0.46,1078400,0.0,0.0
1992-02-19,0.69,0.71,0.68,0.69,0.45,1408000,0.0,0.0
1992-02-20,0.69,0.73,0.69,0.73,0.47,5705600,0.0,0.0
1992-02-21,0.7,0.73,0.66,0.66,0.43,3836800,0.0,0.0
1992-02-24,0.66,0.68,0.58,0.61,0.4,12384000,0.0,0.0
1992-02-25,0.63,0.65,0.6,0.62,0.41,3513600,0.0,0.0
1992-02-26,0.66,0.66,0.62,0.65,0.42,3200000,0.0,0.0
1992-02-27,0.65,0.65,0.61,0.63,0.41,1209600,0.0,0.0
1992-02-28,0.64,0.65,0.62,0.64,0.42,3011200,0.0,0.0
1992-03-02,0.64,0.65,0.62,0.64,0.42,1257600,0.0,0.0
1992-03-03,0.65,0.66,0.62,0.62,0.4,4022400,0.0,0.0
1992-03-04,0.62,0.62,0.61,0.61,0.4,5580800,0.0,0.0
1992-03-05,0.62,0.62,0.59,0.59,0.39,1920000,0.0,0.0
1992-03-06,0.61,0.61,0.55,0.58,0.37,6329600,0.0,0.0
1992-03-09,0.59,0.59,0.55,0.58,0.37,2809600,0.0,0.0
1992-03-10,0.59,0.62,0.58,0.62,0.4,1900800,0.0,0.0
1992-03-11,0.62,0.62,0.57,0.58,0.37,5577600,0.0,0.0
1992-03-12,0.59,0.62,0.57,0.6,0.39,1644800,0.0,0.0
1992-03-13,0.59,0.62,0.59,0.6,0.39,4976000,0.0,0.0
1992-03-16,0.6,0.6,0.58,0.58,0.37,739200,0.0,0.0
1992-03-17,0.59,0.61,0.59,0.59,0.38,1865600,0.0,0.0
1992-03-18,0.62,0.65,0.61,0.64,0.41,3753600,0.0,0.0
1992-03-19,0.64,0.68,0.62,0.68,0.44,6108800,0.0,0.0
1992-03-20,0.69,0.73,0.69,0.7,0.45,5392000,0.0,0.0
1992-03-23,0.71,0.72,0.66,0.67,0.44,5219200,0.0,0.0
1992-03-24,0.7,0.7,0.66,0.67,0.44,5760000,0.0,0.0
1992-03-25,0.69,0.7,0.67,0.69,0.45,3718400,0.0,0.0
1992-03-26,0.7,0.7,0.68,0.7,0.45,2089600,0.0,0.0
1992-03-27,0.68,0.7,0.67,0.67,0.44,1456000,0.0,0.0
1992-03-30,0.67,0.7,0.65,0.67,0.44,2339200,0.0,0.0
1992-03-31,0.65,0.73,0.62,0.72,0.47,5353600,0.0,0.0
1992-04-01,0.67,0.72,0.67,0.68,0.44,3868800,0.0,0.0
1992-04-02,0.7,0.7,0.61,0.65,0.42,2947200,0.0,0.0
1992-04-03,0.63,0.69,0.63,0.65,0.42,3414400,0.0,0.0
1992-04-06,0.66,0.66,0.63,0.66,0.43,2742400,0.0,0.0
1992-04-07,0.68,0.69,0.66,0.66,0.43,2579200,0.0,0.0
1992-04-08,0.65,0.69,0.65,0.66,0.43,3123200,0.0,0.0
1992-04-09,0.66,0.67,0.64,0.66,0.43,4313600,0.0,0.0
1992-04-10,0.67,0.67,0.66,0.67,0.44,592000,0.0,0.0
1992-04-13,0.67,0.7,0.66,0.69,0.45,2115200,0.0,0.0
1992-04-14,0.7,0.73,0.69,0.7,0.46,1955200,0.0,0.0
1992-04-15,0.73,0.74,0.7,0.73,0.47,6112000,0.0,0.0
1992-04-16,0.74,0.75,0.71,0.71,0.46,2646400,0.0,0.0
1992-04-20,0.7,0.77,0.7,0.72,0.47,3318400,0.0,0.0
1992-04-21,0.75,0.75,0.72,0.73,0.47,1952000,0.0,0.0
1992-04-22,0.74,0.75,0.72,0.75,0.49,2198400,0.0,0.0
1992-04-23,0.73,0.75,0.7,0.73,0.47,1555200,0.0,0.0
1992-04-24,0.71,0.73,0.71,0.71,0.46,2112000,0.0,0.0
1992-04-27,0.73,0.73,0.7,0.7,0.46,1984000,0.0,0.0
1992-04-28,0.73,0.73,0.66,0.66,0.43,1923200,0.0,0.0
1992-04-29,0.68,0.68,0.66,0.68,0.44,563200,0.0,0.0
1992-04-30,0.68,0.68,0.64,0.66,0.43,3433600,0.0,0.0
1992-05-01,0.66,0.66,0.65,0.66,0.43,1120000,0.0,0.0
1992-05-04,0.66,0.68,0.65,0.66,0.43,3014400,0.0,0.0
1992-05-05,0.68,0.69,0.66,0.67,0.44,300800,0.0,0.0
1992-05-06,0.68,0.69,0.66,0.67,0.44,1779200,0.0,0.0
1992-05-07,0.69,0.69,0.66,0.66,0.43,412800,0.0,0.0
1992-05-08,0.66,0.69,0.66,0.66,0.43,179200,0.0,0.0
1992-05-11,0.69,0.69,0.65,0.66,0.43,1318400,0.0,0.0
1992-05-12,0.66,0.66,0.62,0.62,0.41,1654400,0.0,0.0
1992-05-13,0.64,0.64,0.59,0.6,0.39,3331200,0.0,0.0
1992-05-14,0.62,0.62,0.59,0.6,0.39,6102400,0.0,0.0
1992-05-15,0.59,0.6,0.58,0.59,0.38,1612800,0.0,0.0
1992-05-18,0.6,0.6,0.58,0.58,0.38,2275200,0.0,0.0
1992-05-19,0.59,0.59,0.58,0.58,0.37,1500800,0.0,0.0
1992-05-20,0.59,0.59,0.55,0.55,0.36,7673600,0.0,0.0
1992-05-21,0.56,0.58,0.54,0.56,0.36,4457600,0.0,0.0
1992-05-22,0.56,0.58,0.55,0.57,0.37,1846400,0.0,0.0
1992-05-26,0.58,0.59,0.55,0.59,0.38,3257600,0.0,0.0
1992-05-27,0.59,0.59,0.56,0.57,0.37,4080000,0.0,0.0
1992-05-28,0.56,0.58,0.56,0.56,0.36,630400,0.0,0.0
1992-05-29,0.58,0.58,0.56,0.57,0.37,1504000,0.0,0.0
1992-06-01,0.58,0.6,0.57,0.59,0.39,2649600,0.0,0.0
1992-06-02,0.6,0.62,0.58,0.58,0.37,2208000,0.0,0.0
1992-06-03,0.6,0.61,0.59,0.61,0.4,3337600,0.0,0.0
1992-06-04,0.62,0.65,0.6,0.63,0.41,8780800,0.0,0.0
1992-06-05,0.63,0.64,0.62,0.63,0.41,1609600,0.0,0.0
1992-06-08,0.62,0.63,0.59,0.59,0.39,2060800,0.0,0.0
1992-06-09,0.59,0.59,0.56,0.57,0.37,2982400,0.0,0.0
1992-06-10,0.56,0.59,0.55,0.55,0.36,5728000,0.0,0.0
1992-06-11,0.58,0.59,0.55,0.59,0.38,11107200,0.0,0.0
1992-06-12,0.6,0.64,0.58,0.64,0.42,4480000,0.0,0.0
1992-06-15,0.62,0.65,0.61,0.64,0.42,3379200,0.0,0.0
1992-06-16,0.63,0.63,0.61,0.61,0.4,857600,0.0,0.0
1992-06-17,0.61,0.61,0.55,0.57,0.37,2147200,0.0,0.0
1992-06-18,0.57,0.59,0.55,0.56,0.36,4064000,0.0,0.0
1992-06-19,0.57,0.58,0.55,0.56,0.36,1315200,0.0,0.0
1992-06-22,0.55,0.58,0.53,0.55,0.36,2668800,0.0,0.0
1992-06-23,0.55,0.56,0.54,0.56,0.36,2051200,0.0,0.0
1992-06-24,0.56,0.57,0.55,0.55,0.36,496000,0.0,0.0
1992-06-25,0.57,0.58,0.56,0.56,0.36,1321600,0.0,0.0
1992-06-26,0.58,0.58,0.56,0.56,0.36,451200,0.0,0.0
1992-06-29,0.59,0.59,0.58,0.59,0.39,1881600,0.0,0.0
1992-06-30,0.59,0.61,0.58,0.61,0.4,1715200,0.0,0.0
1992-07-01,0.61,0.62,0.59,0.61,0.4,1414400,0.0,0.0
1992-07-02,0.62,0.63,0.6,0.6,0.39,1993600,0.0,0.0
1992-07-06,0.61,0.61,0.59,0.59,0.38,710400,0.0,0.0
1992-07-07,0.6,0.6,0.59,0.59,0.39,752000,0.0,0.0
1992-07-08,0.59,0.61,0.59,0.6,0.39,774400,0.0,0.0
1992-07-09,0.59,0.61,0.59,0.59,0.39,777600,0.0,0.0
1992-07-10,0.59,0.61,0.59,0.59,0.39,2630400,0.0,0.0
1992-07-13,0.59,0.6,0.59,0.59,0.38,300800,0.0,0.0
1992-07-14,0.6,0.6,0.59,0.6,0.39,428800,0.0,0.0
1992-07-15,0.6,0.6,0.54,0.56,0.36,13004800,0.0,0.0
1992-07-16,0.55,0.58,0.55,0.56,0.36,1001600,0.0,0.0
1992-07-17,0.55,0.58,0.55,0.56,0.36,777600,0.0,0.0
1992-07-20,0.55,0.55,0.53,0.54,0.35,2838400,0.0,0.0
1992-07-21,0.55,0.55,0.48,0.5,0.32,8291200,0.0,0.0
1992-07-22,0.5,0.5,0.47,0.47,0.31,11747200,0.0,0.0
1992-07-23,0.47,0.51,0.47,0.51,0.33,1884800,0.0,0.0
1992-07-24,0.5,0.5,0.48,0.48,0.31,1491200,0.0,0.0
1992-07-27,0.5,0.51,0.49,0.49,0.32,1593600,0.0,0.0
1992-07-28,0.51,0.55,0.5,0.54,0.35,4758400,0.0,0.0
1992-07-29,0.55,0.55,0.53,0.54,0.35,4019200,0.0,0.0
1992-07-30,0.53,0.55,0.53,0.55,0.35,2569600,0.0,0.0
1992-07-31,0.55,0.55,0.53,0.55,0.36,5424000,0.0,0.0
1992-08-03,0.55,0.57,0.55,0.55,0.36,1891200,0.0,0.0
1992-08-04,0.57,0.57,0.55,0.55,0.35,1555200,0.0,0.0
1992-08-05,0.53,0.55,0.52,0.52,0.34,1139200,0.0,0.0
1992-08-06,0.53,0.53,0.48,0.48,0.31,2902400,0.0,0.0
1992-08-07,0.48,0.51,0.48,0.51,0.33,992000,0.0,0.0
1992-08-10,0.51,0.51,0.49,0.49,0.32,697600,0.0,0.0
1992-08-11,0.51,0.51,0.49,0.49,0.32,1587200,0.0,0.0
1992-08-12,0.51,0.51,0.49,0.51,0.33,1267200,0.0,0.0
1992-08-13,0.51,0.51,0.49,0.51,0.33,1209600,0.0,0.0
1992-08-14,0.51,0.51,0.49,0.51,0.33,528000,0.0,0.0
1992-08-17,0.5,0.52,0.49,0.5,0.32,1110400,0.0,0.0
1992-08-18,0.52,0.52,0.49,0.5,0.32,246400,0.0,0.0
1992-08-19,0.52,0.52,0.48,0.48,0.31,1856000,0.0,0.0
1992-08-20,0.5,0.5,0.48,0.48,0.31,4016000,0.0,0.0
1992-08-21,0.49,0.5,0.48,0.48,0.31,2390400,0.0,0.0
1992-08-24,0.48,0.5,0.48,0.48,0.31,1260800,0.0,0.0
1992-08-25,0.48,0.5,0.48,0.48,0.31,659200,0.0,0.0
1992-08-26,0.48,0.5,0.48,0.48,0.31,412800,0.0,0.0
1992-08-27,0.5,0.5,0.48,0.48,0.31,774400,0.0,0.0
1992-08-28,0.5,0.5,0.48,0.5,0.32,134400,0.0,0.0
1992-08-31,0.49,0.5,0.48,0.48,0.31,486400,0.0,0.0
1992-09-01,0.49,0.49,0.48,0.48,0.31,2883200,0.0,0.0
1992-09-02,0.48,0.51,0.48,0.51,0.33,92800,0.0,0.0
