Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1996-06-28,2.01,2.05,1.9,1.97,1.88,18237981,0.0,0.0
1996-07-01,1.95,2.05,1.93,2.05,1.96,2616640,0.0,0.0
1996-07-02,2.05,2.32,1.97,2.29,2.19,3023758,0.0,0.0
1996-07-03,2.31,2.36,2.18,2.27,2.17,2081768,0.0,0.0
1996-07-05,2.24,2.31,2.11,2.21,2.11,1711590,0.0,0.0
1996-07-08,2.31,2.34,2.11,2.18,2.08,1342182,0.0,0.0
1996-07-09,2.23,2.27,2.11,2.11,2.02,2475803,0.0,0.0
1996-07-10,2.18,2.18,2.06,2.11,2.02,1647714,0.0,0.0
1996-07-11,2.13,2.13,2.01,2.01,1.93,1074362,0.0,0.0
1996-07-12,2.1,2.1,2.01,2.06,1.97,253968,0.0,0.0
1996-07-15,2.1,2.1,1.9,1.98,1.9,847330,0.0,0.0
1996-07-16,2.05,2.05,1.82,1.95,1.86,1055891,0.0,0.0
1996-07-17,1.93,2.03,1.93,1.98,1.9,1962480,0.0,0.0
1996-07-18,2.31,2.47,2.27,2.34,2.24,2688982,0.0,0.0
1996-07-19,2.52,2.57,2.47,2.53,2.42,2338814,0.0,0.0
1996-07-22,2.61,2.68,2.57,2.68,2.56,858104,0.0,0.0
1996-07-23,3.09,3.12,2.73,2.76,2.64,3293888,0.0,0.0
1996-07-24,2.79,2.79,2.66,2.78,2.66,1225203,0.0,0.0
1996-07-25,2.76,2.99,2.76,2.99,2.86,507166,0.0,0.0
1996-07-26,3.0,3.1,3.0,3.09,2.95,1832418,0.0,0.0
1996-07-29,3.05,3.18,3.04,3.15,3.01,2217987,0.0,0.0
1996-07-30,3.18,3.18,2.89,2.99,2.86,1780854,0.0,0.0
1996-07-31,2.92,2.99,2.86,2.91,2.78,459451,0.0,0.0
1996-08-01,2.86,2.89,2.55,2.65,2.53,1612312,0.0,0.0
1996-08-02,2.63,2.63,2.5,2.53,2.42,444059,0.0,0.0
1996-08-05,2.57,2.6,2.52,2.6,2.49,984318,0.0,0.0
1996-08-06,2.6,2.6,2.57,2.6,2.49,701875,0.0,0.0
1996-08-07,2.61,2.63,2.57,2.57,2.46,835016,0.0,0.0
1996-08-08,2.63,2.7,2.57,2.63,2.52,1047426,0.0,0.0
1996-08-09,2.66,2.66,2.57,2.57,2.46,649542,0.0,0.0
1996-08-12,2.63,2.73,2.57,2.73,2.61,653390,0.0,0.0
1996-08-13,2.79,3.02,2.73,2.91,2.78,1573062,0.0,0.0
1996-08-14,2.96,3.25,2.92,3.2,3.06,2516592,0.0,0.0
1996-08-15,3.25,3.25,2.99,3.09,2.95,842712,0.0,0.0
1996-08-16,3.09,3.09,2.99,3.02,2.89,598749,0.0,0.0
1996-08-19,3.04,3.04,2.94,2.97,2.84,1136699,0.0,0.0
1996-08-20,3.0,3.02,2.94,3.02,2.89,448677,0.0,0.0
1996-08-21,3.04,3.09,2.99,3.05,2.92,284752,0.0,0.0
1996-08-22,3.09,3.09,3.02,3.05,2.92,237806,0.0,0.0
1996-08-23,3.05,3.05,2.89,2.91,2.78,1291389,0.0,0.0
1996-08-26,2.89,2.97,2.89,2.97,2.84,344011,0.0,0.0
1996-08-27,2.99,2.99,2.92,2.92,2.8,35402,0.0,0.0
1996-08-28,2.91,2.99,2.91,2.96,2.83,66186,0.0,0.0
1996-08-29,3.02,3.22,3.02,3.15,3.01,860413,0.0,0.0
1996-08-30,3.15,3.15,2.99,3.1,2.97,347090,0.0,0.0
1996-09-03,3.09,3.25,3.02,3.18,3.05,620298,0.0,0.0
1996-09-04,3.15,3.64,3.15,3.64,3.48,2035592,0.0,0.0
1996-09-05,3.64,3.64,3.44,3.52,3.37,1943240,0.0,0.0
1996-09-06,3.54,3.54,3.44,3.52,3.37,77730,0.0,0.0
1996-09-09,3.44,3.52,3.38,3.51,3.36,357094,0.0,0.0
1996-09-10,3.54,3.57,3.48,3.57,3.42,1043578,0.0,0.0
1996-09-11,3.61,3.64,3.56,3.64,3.48,319384,0.0,0.0
1996-09-12,3.65,4.01,3.59,3.93,3.76,1382202,0.0,0.0
1996-09-13,3.93,4.0,3.83,4.0,3.82,1557670,0.0,0.0
1996-09-16,3.96,4.0,3.61,3.87,3.7,1489176,0.0,0.0
1996-09-17,3.77,3.8,3.62,3.62,3.47,1145934,0.0,0.0
1996-09-18,3.51,3.77,3.48,3.74,3.57,883501,0.0,0.0
1996-09-19,3.74,3.74,3.67,3.7,3.54,115440,0.0,0.0
1996-09-20,3.74,3.8,3.64,3.67,3.51,1910147,0.0,0.0
1996-09-23,3.67,3.67,3.54,3.54,3.39,564117,0.0,0.0
1996-09-24,3.61,3.61,3.54,3.61,3.45,126984,0.0,0.0
1996-09-25,3.61,3.8,3.57,3.61,3.45,1143626,0.0,0.0
1996-09-26,3.67,3.74,3.64,3.74,3.57,139298,0.0,0.0
1996-09-27,3.69,3.8,3.65,3.74,3.57,467147,0.0,0.0
1996-09-30,3.74,3.96,3.64,3.83,3.67,1550744,0.0,0.0
1996-10-01,3.87,3.91,3.8,3.88,3.71,317845,0.0,0.0
1996-10-02,3.87,3.98,3.87,3.91,3.75,714189,0.0,0.0
1996-10-03,3.93,3.93,3.83,3.88,3.71,259355,0.0,0.0
1996-10-04,3.87,3.93,3.87,3.9,3.73,511014,0.0,0.0
1996-10-07,3.87,4.09,3.87,4.03,3.85,825011,0.0,0.0
1996-10-08,4.09,4.09,3.87,3.93,3.76,1030494,0.0,0.0
1996-10-09,3.93,4.0,3.87,4.0,3.82,475613,0.0,0.0
1996-10-10,3.94,4.06,3.93,4.03,3.85,402501,0.0,0.0
1996-10-11,4.03,4.08,3.98,4.06,3.89,653390,0.0,0.0
1996-10-14,4.06,4.06,3.69,3.72,3.56,601827,0.0,0.0
1996-10-15,3.85,3.85,3.36,3.41,3.26,1429147,0.0,0.0
1996-10-16,3.51,3.65,3.46,3.61,3.45,460990,0.0,0.0
1996-10-17,3.57,3.67,3.3,3.33,3.19,711110,0.0,0.0
1996-10-18,3.38,3.49,3.18,3.28,3.14,1422990,0.0,0.0
1996-10-21,3.28,3.61,3.25,3.46,3.31,816546,0.0,0.0
1996-10-22,3.57,3.83,3.54,3.77,3.61,519480,0.0,0.0
1996-10-23,3.75,3.86,3.7,3.86,3.69,248581,0.0,0.0
1996-10-24,3.9,3.9,3.61,3.65,3.5,211640,0.0,0.0
1996-10-25,3.61,3.78,3.61,3.77,3.6,266282,0.0,0.0
1996-10-28,3.78,3.78,3.56,3.57,3.42,257816,0.0,0.0
1996-10-29,3.46,3.54,3.25,3.44,3.29,1223664,0.0,0.0
1996-10-30,3.48,3.61,3.43,3.46,3.31,487157,0.0,0.0
1996-10-31,3.46,3.57,3.46,3.56,3.4,204714,0.0,0.0
1996-11-01,3.44,3.48,3.23,3.23,3.09,956613,0.0,0.0
1996-11-04,3.23,3.25,3.07,3.07,2.94,1550744,0.0,0.0
1996-11-05,3.07,3.18,3.07,3.09,2.95,641077,0.0,0.0
1996-11-06,3.18,3.48,3.18,3.41,3.26,718806,0.0,0.0
1996-11-07,3.48,3.64,3.38,3.54,3.39,883501,0.0,0.0
1996-11-08,3.59,3.59,3.38,3.51,3.36,841173,0.0,0.0
1996-11-11,3.54,3.59,3.54,3.54,3.39,122366,0.0,0.0
1996-11-12,3.77,3.9,3.74,3.83,3.67,931986,0.0,0.0
1996-11-13,3.82,3.82,3.67,3.8,3.64,301683,0.0,0.0
1996-11-14,3.78,3.78,3.74,3.76,3.6,70803,0.0,0.0
1996-11-15,3.74,3.85,3.61,3.78,3.62,571043,0.0,0.0
1996-11-18,3.75,3.82,3.75,3.82,3.65,44637,0.0,0.0
1996-11-19,3.8,3.9,3.74,3.9,3.73,276286,0.0,0.0
1996-11-20,3.9,3.9,3.72,3.75,3.59,657238,0.0,0.0
1996-11-21,3.78,3.78,3.65,3.65,3.5,213949,0.0,0.0
1996-11-22,3.64,3.64,3.56,3.62,3.47,148533,0.0,0.0
1996-11-25,3.62,3.62,3.43,3.51,3.36,684944,0.0,0.0
1996-11-26,3.41,3.52,3.39,3.49,3.34,287061,0.0,0.0
1996-11-27,3.46,3.51,3.41,3.41,3.26,288600,0.0,0.0
1996-11-29,3.41,3.49,3.41,3.46,3.31,148533,0.0,0.0
1996-12-02,3.43,3.44,3.36,3.43,3.28,201635,0.0,0.0
1996-12-03,3.43,3.43,3.35,3.35,3.2,206253,0.0,0.0
1996-12-04,3.35,3.38,3.31,3.31,3.17,171621,0.0,0.0
1996-12-05,3.38,3.43,3.31,3.38,3.23,579509,0.0,0.0
1996-12-06,3.26,3.52,3.26,3.49,3.34,488696,0.0,0.0
1996-12-09,3.49,3.49,3.36,3.41,3.26,597210,0.0,0.0
1996-12-10,3.36,3.41,3.36,3.41,3.26,213949,0.0,0.0
1996-12-11,3.31,3.39,3.31,3.39,3.25,48485,0.0,0.0
1996-12-12,3.31,3.41,3.31,3.39,3.25,79269,0.0,0.0
1996-12-13,3.38,3.38,3.31,3.31,3.17,235498,0.0,0.0
1996-12-16,3.31,3.31,3.22,3.28,3.14,262434,0.0,0.0
1996-12-17,3.25,3.28,3.22,3.28,3.14,161616,0.0,0.0
1996-12-18,3.22,3.31,3.22,3.25,3.11,177008,0.0,0.0
1996-12-19,3.26,3.26,3.23,3.23,3.09,20779,0.0,0.0
1996-12-20,3.22,3.26,3.18,3.18,3.05,233189,0.0,0.0
1996-12-23,3.26,3.3,3.17,3.18,3.05,335546,0.0,0.0
1996-12-24,3.2,3.2,3.2,3.2,3.06,1539,0.0,0.0
1996-12-26,3.18,3.18,3.12,3.18,3.05,75421,0.0,0.0
1996-12-27,3.12,3.18,3.1,3.1,2.97,193170,0.0,0.0
1996-12-30,3.18,3.18,3.05,3.13,3.0,375565,0.0,0.0
1996-12-31,3.13,3.36,3.05,3.35,3.2,486387,0.0,0.0
1997-01-02,3.33,3.33,3.23,3.3,3.15,116210,0.0,0.0
1997-01-03,3.3,3.38,3.28,3.32,3.18,504858,0.0,0.0
1997-01-06,3.38,3.38,3.33,3.38,3.23,278595,0.0,0.0
1997-01-07,3.33,3.46,3.33,3.44,3.29,608754,0.0,0.0
1997-01-08,3.43,3.57,3.43,3.57,3.42,191630,0.0,0.0
1997-01-09,3.57,3.65,3.44,3.46,3.31,784222,0.0,0.0
1997-01-10,3.44,3.52,3.43,3.48,3.33,310918,0.0,0.0
1997-01-13,3.44,3.54,3.44,3.54,3.39,133141,0.0,0.0
1997-01-14,3.49,3.54,3.49,3.54,3.39,152381,0.0,0.0
1997-01-15,3.49,3.57,3.49,3.49,3.34,131602,0.0,0.0
1997-01-16,3.48,3.54,3.48,3.54,3.39,37710,0.0,0.0
1997-01-17,3.48,3.56,3.48,3.51,3.36,30784,0.0,0.0
1997-01-20,3.51,3.57,3.49,3.51,3.36,124675,0.0,0.0
1997-01-21,3.48,3.7,3.48,3.62,3.47,422510,0.0,0.0
1997-01-22,3.56,3.59,3.49,3.54,3.39,97739,0.0,0.0
1997-01-23,3.51,3.57,3.49,3.49,3.34,75421,0.0,0.0
1997-01-24,3.52,3.52,3.43,3.44,3.29,40019,0.0,0.0
1997-01-27,3.54,3.54,3.25,3.28,3.14,279365,0.0,0.0
1997-01-28,3.35,3.35,3.13,3.15,3.01,370178,0.0,0.0
1997-01-29,3.22,3.28,3.18,3.28,3.14,311688,0.0,0.0
1997-01-30,3.18,3.28,3.18,3.25,3.11,33862,0.0,0.0
1997-01-31,3.26,3.28,3.25,3.26,3.12,73112,0.0,0.0
1997-02-03,3.28,3.28,3.26,3.26,3.12,80808,0.0,0.0
1997-02-04,3.28,3.57,3.28,3.54,3.39,838094,0.0,0.0
1997-02-05,3.54,3.57,3.48,3.51,3.36,344011,0.0,0.0
1997-02-06,3.48,3.52,3.48,3.52,3.37,13083,0.0,0.0
1997-02-07,3.52,3.52,3.48,3.48,3.33,42328,0.0,0.0
1997-02-10,3.48,3.51,3.38,3.41,3.26,111592,0.0,0.0
1997-02-11,3.41,3.41,3.36,3.38,3.23,95430,0.0,0.0
1997-02-12,3.39,3.39,3.31,3.39,3.25,9235,0.0,0.0
1997-02-13,3.41,3.46,3.36,3.39,3.25,319384,0.0,0.0
1997-02-14,3.39,3.39,3.31,3.38,3.23,153920,0.0,0.0
1997-02-18,3.38,3.41,3.31,3.35,3.2,59259,0.0,0.0
1997-02-19,3.39,3.41,3.38,3.38,3.23,63107,0.0,0.0
1997-02-20,3.39,3.48,3.38,3.41,3.26,559499,0.0,0.0
1997-02-21,3.39,3.48,3.39,3.46,3.31,34632,0.0,0.0
1997-02-24,3.46,3.46,3.39,3.44,3.29,191630,0.0,0.0
1997-02-25,3.39,3.43,3.36,3.39,3.25,403270,0.0,0.0
1997-02-26,3.33,3.41,3.3,3.3,3.15,394805,0.0,0.0
1997-02-27,3.35,3.35,3.28,3.35,3.2,46946,0.0,0.0
1997-02-28,3.35,3.35,3.31,3.35,3.2,154690,0.0,0.0
1997-03-03,3.31,3.38,3.28,3.28,3.14,511784,0.0,0.0
1997-03-04,3.54,3.61,3.43,3.49,3.34,3541699,0.0,0.0
1997-03-05,4.03,4.06,3.7,3.98,3.81,5983640,0.0,0.0
1997-03-06,4.11,4.32,4.04,4.24,4.06,7047997,0.0,0.0
1997-03-07,4.32,4.58,4.29,4.56,4.37,4910048,0.0,0.0
1997-03-10,4.79,4.84,4.58,4.82,4.62,3835686,0.0,0.0
1997-03-11,4.84,4.84,4.4,4.61,4.41,3641747,0.0,0.0
1997-03-12,4.48,4.55,4.02,4.29,4.1,3321594,0.0,0.0
1997-03-13,4.27,4.32,4.09,4.18,4.0,1302163,0.0,0.0
1997-03-14,4.22,4.32,4.19,4.32,4.13,1808560,0.0,0.0
1997-03-17,4.35,4.35,4.08,4.14,3.96,2256467,0.0,0.0
1997-03-18,4.14,4.3,4.09,4.17,3.99,1742374,0.0,0.0
1997-03-19,4.16,4.26,4.14,4.2,4.02,2018661,0.0,0.0
1997-03-20,4.19,4.19,4.04,4.06,3.89,1669262,0.0,0.0
1997-03-21,4.16,4.16,3.93,3.93,3.76,1075901,0.0,0.0
1997-03-24,3.96,4.06,3.96,4.04,3.87,905819,0.0,0.0
1997-03-25,4.13,4.13,4.03,4.09,3.92,1252139,0.0,0.0
1997-03-26,4.09,4.24,4.06,4.24,4.06,2344202,0.0,0.0
1997-03-27,4.4,4.47,4.29,4.35,4.16,3781814,0.0,0.0
1997-03-31,4.35,4.35,4.27,4.32,4.13,533333,0.0,0.0
1997-04-01,4.3,4.32,4.13,4.16,3.98,962000,0.0,0.0
1997-04-02,4.16,4.26,4.14,4.24,4.06,2143336,0.0,0.0
1997-04-03,4.16,4.26,4.06,4.08,3.9,1131312,0.0,0.0
1997-04-04,4.11,4.19,4.04,4.17,3.99,1109763,0.0,0.0
1997-04-07,4.19,4.48,4.13,4.45,4.26,1197498,0.0,0.0
1997-04-08,4.35,4.43,4.22,4.34,4.15,1428378,0.0,0.0
1997-04-09,4.42,4.52,4.37,4.4,4.21,1405290,0.0,0.0
1997-04-10,4.48,4.48,4.35,4.39,4.2,283213,0.0,0.0
1997-04-11,4.4,4.4,4.3,4.32,4.13,96200,0.0,0.0
1997-04-14,4.32,4.43,4.32,4.43,4.24,464838,0.0,0.0
1997-04-15,4.45,4.45,4.32,4.39,4.2,230110,0.0,0.0
1997-04-16,4.45,4.45,4.32,4.32,4.13,23858,0.0,0.0
1997-04-17,4.35,4.45,4.35,4.39,4.2,381722,0.0,0.0
1997-04-18,4.45,4.45,4.35,4.45,4.26,126984,0.0,0.0
1997-04-21,4.45,4.45,4.32,4.37,4.18,407118,0.0,0.0
1997-04-22,4.39,4.61,4.34,4.55,4.35,834246,0.0,0.0
1997-04-23,4.58,4.71,4.53,4.61,4.41,888888,0.0,0.0
1997-04-24,4.71,4.71,4.55,4.55,4.35,485618,0.0,0.0
1997-04-25,4.53,4.61,4.53,4.58,4.38,132371,0.0,0.0
1997-04-28,4.61,4.61,4.45,4.45,4.26,467917,0.0,0.0
1997-04-29,4.55,4.63,4.37,4.58,4.38,5583448,0.0,0.0
1997-04-30,4.61,4.61,4.5,4.52,4.32,683405,0.0,0.0
1997-05-01,4.58,4.6,4.55,4.58,4.38,91582,0.0,0.0
1997-05-02,4.55,4.56,4.47,4.48,4.29,714189,0.0,0.0
