Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2006-05-10,17.13,17.13,16.25,16.46,9.34,4323992,0.0,0.0
2006-05-11,15.26,16.33,15.26,15.97,9.06,6547571,0.0,0.0
2006-05-12,15.65,15.82,15.4,15.44,8.76,3815260,0.0,0.0
2006-05-15,15.1,15.47,14.89,15.36,8.71,6803474,0.0,0.0
2006-05-16,15.25,15.67,15.25,15.65,8.88,3799539,0.0,0.0
2006-05-17,15.41,15.62,15.32,15.38,8.73,3708525,0.0,0.0
2006-05-18,15.4,15.43,15.22,15.25,8.65,8314070,0.0,0.0
2006-05-19,15.24,15.57,15.23,15.37,8.72,6415660,0.0,0.0
2006-05-22,15.4,15.42,15.23,15.26,8.66,7958406,0.0,0.0
2006-05-23,15.31,15.52,15.23,15.24,8.65,9256833,0.0,0.0
2006-05-24,15.23,15.32,15.08,15.3,8.68,9385080,0.0,0.0
2006-05-25,15.25,15.41,15.25,15.36,8.71,5105885,0.0,0.0
2006-05-26,15.26,15.39,15.25,15.37,8.72,2416008,0.0,0.0
2006-05-30,15.36,15.55,15.19,15.2,8.63,6937158,0.0,0.0
2006-05-31,15.18,15.31,15.18,15.19,8.62,8894314,0.0,0.0
2006-06-01,15.1,15.51,15.1,15.46,8.77,5892388,0.0,0.0
2006-06-02,15.37,15.48,15.24,15.34,8.7,3440684,0.0,0.0
2006-06-05,15.25,15.36,15.18,15.19,8.62,3904028,0.0,0.0
2006-06-06,15.14,15.34,15.14,15.2,8.63,5068298,0.0,0.0
2006-06-07,15.17,15.24,15.14,15.2,8.63,11283608,0.0,0.0
2006-06-08,15.08,15.2,15.08,15.14,8.59,8515364,0.0,0.0
2006-06-09,15.1,15.18,15.06,15.08,8.56,3676020,0.0,0.0
2006-06-12,15.06,15.1,14.7,14.77,8.38,4399995,0.0,0.0
2006-06-13,14.81,15.08,14.07,14.14,8.02,9240994,0.0,0.0
2006-06-14,14.09,14.37,13.77,14.21,8.07,6401476,0.0,0.0
2006-06-15,14.18,14.42,14.18,14.3,8.11,7068005,0.0,0.0
2006-06-16,14.19,14.5,14.09,14.39,8.17,3018473,0.0,0.0
2006-06-19,14.3,14.47,14.22,14.39,8.17,6444737,0.0,0.0
2006-06-20,14.42,14.64,14.26,14.51,8.23,4796320,0.0,0.0
2006-06-21,14.38,14.75,14.38,14.66,8.32,3537962,0.0,0.0
2006-06-22,14.55,14.72,14.42,14.59,8.28,3785119,0.0,0.0
