Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1985-08-08,0.0,0.56,0.55,0.55,0.42,6630400,0.0,0.0
1985-08-09,0.0,0.55,0.55,0.55,0.42,10294400,0.0,0.0
1985-08-12,0.0,0.55,0.54,0.54,0.41,3756800,0.0,0.0
1985-08-13,0.0,0.53,0.52,0.52,0.4,15484800,0.0,0.0
1985-08-14,0.0,0.54,0.52,0.52,0.4,5305600,0.0,0.0
1985-08-15,0.0,0.53,0.52,0.52,0.4,4633600,0.0,0.0
1985-08-16,0.0,0.53,0.52,0.52,0.4,2230400,0.0,0.0
1985-08-19,0.0,0.53,0.52,0.52,0.4,665600,0.0,0.0
1985-08-20,0.0,0.53,0.53,0.53,0.4,1875200,0.0,0.0
1985-08-21,0.0,0.54,0.53,0.53,0.41,7030400,0.0,0.0
1985-08-22,0.0,0.54,0.54,0.54,0.41,6822400,0.0,0.0
1985-08-23,0.0,0.54,0.53,0.53,0.41,2720000,0.0,0.0
1985-08-26,0.0,0.54,0.53,0.53,0.4,2262400,0.0,0.0
1985-08-27,0.0,0.53,0.52,0.52,0.4,2342400,0.0,0.0
1985-08-28,0.0,0.53,0.52,0.52,0.4,342400,0.0,0.0
1985-08-29,0.0,0.53,0.52,0.52,0.4,368000,0.0,0.0
1985-08-30,0.0,0.53,0.52,0.52,0.4,963200,0.0,0.0
1985-09-03,0.0,0.52,0.52,0.52,0.39,1718400,0.0,0.0
1985-09-04,0.0,0.52,0.52,0.52,0.39,1708800,0.0,0.0
1985-09-05,0.0,0.52,0.52,0.52,0.39,1651200,0.0,0.0
1985-09-06,0.0,0.53,0.52,0.52,0.4,2441600,0.0,0.0
1985-09-09,0.0,0.53,0.52,0.52,0.4,2803200,0.0,0.0
1985-09-10,0.0,0.53,0.52,0.52,0.4,1958400,0.0,0.0
1985-09-11,0.0,0.52,0.52,0.52,0.39,2272000,0.0,0.0
1985-09-12,0.0,0.52,0.51,0.51,0.39,4339200,0.0,0.0
1985-09-13,0.0,0.47,0.46,0.46,0.35,2185600,0.0,0.0
1985-09-16,0.0,0.46,0.45,0.45,0.34,2265600,0.0,0.0
1985-09-17,0.0,0.41,0.41,0.41,0.31,2179200,0.0,0.0
1985-09-18,0.0,0.46,0.45,0.45,0.35,2150400,0.0,0.0
1985-09-19,0.0,0.48,0.48,0.48,0.37,1712000,0.0,0.0
1985-09-20,0.0,0.48,0.48,0.48,0.36,444800,0.0,0.0
1985-09-23,0.0,0.49,0.48,0.48,0.36,441600,0.0,0.0
