Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1997-05-29,2.82,3.3,2.72,3.27,2.71,67771860,0.0,0.0
1997-05-30,3.11,3.21,3.0,3.17,2.63,18499260,0.0,0.0
1997-06-02,3.14,3.37,3.14,3.3,2.73,7742280,0.0,0.0
1997-06-03,3.27,3.32,3.24,3.24,2.68,2595060,0.0,0.0
1997-06-04,3.22,3.32,3.22,3.29,2.72,3551340,0.0,0.0
1997-06-05,3.32,3.32,3.25,3.25,2.69,2825940,0.0,0.0
1997-06-06,3.24,3.37,3.19,3.33,2.76,4427280,0.0,0.0
1997-06-09,3.37,3.53,3.35,3.48,2.88,1139580,0.0,0.0
1997-06-10,3.53,3.53,3.38,3.41,2.82,869700,0.0,0.0
1997-06-11,3.38,3.43,3.29,3.35,2.77,1648140,0.0,0.0
1997-06-12,3.35,3.35,3.27,3.3,2.73,1443780,0.0,0.0
1997-06-13,3.35,3.35,3.29,3.29,2.72,982020,0.0,0.0
1997-06-16,3.27,3.3,3.25,3.25,2.69,560820,0.0,0.0
1997-06-17,3.22,3.25,3.14,3.19,2.64,1308060,0.0,0.0
1997-06-18,3.19,3.19,3.06,3.11,2.57,528840,0.0,0.0
1997-06-19,3.14,3.17,3.11,3.12,2.59,343980,0.0,0.0
1997-06-20,3.14,3.17,3.12,3.12,2.59,567060,0.0,0.0
1997-06-23,3.12,3.17,3.08,3.08,2.55,343980,0.0,0.0
1997-06-24,3.12,3.19,3.08,3.19,2.64,734760,0.0,0.0
1997-06-25,3.19,3.37,3.16,3.33,2.75,1982760,0.0,0.0
1997-06-26,3.35,3.52,3.35,3.48,2.88,940680,0.0,0.0
1997-06-27,3.48,3.48,3.43,3.43,2.84,1146600,0.0,0.0
1997-06-30,3.46,3.48,3.43,3.48,2.88,1640340,0.0,0.0
1997-07-01,3.46,3.51,3.45,3.48,2.88,2576340,0.0,0.0
1997-07-02,3.51,3.51,3.48,3.49,2.89,274560,0.0,0.0
1997-07-03,3.48,3.56,3.46,3.49,2.89,826020,0.0,0.0
1997-07-07,3.49,3.53,3.37,3.41,2.82,421980,0.0,0.0
1997-07-08,3.38,3.38,3.3,3.33,2.76,541320,0.0,0.0
1997-07-09,3.38,3.43,3.33,3.37,2.78,691080,0.0,0.0
1997-07-10,3.35,3.46,3.35,3.41,2.82,768300,0.0,0.0
1997-07-11,3.43,3.48,3.43,3.48,2.88,228540,0.0,0.0
1997-07-14,3.41,3.48,3.41,3.41,2.82,415740,0.0,0.0
1997-07-15,3.41,3.43,3.4,3.41,2.82,253500,0.0,0.0
1997-07-16,3.4,3.46,3.4,3.41,2.82,562380,0.0,0.0
1997-07-17,3.46,3.46,3.41,3.45,2.85,102180,0.0,0.0
1997-07-18,3.43,3.45,3.4,3.43,2.84,184080,0.0,0.0
1997-07-21,3.43,3.48,3.41,3.46,2.86,794820,0.0,0.0
1997-07-22,3.45,3.51,3.45,3.51,2.9,254280,0.0,0.0
1997-07-23,3.53,3.54,3.48,3.54,2.93,166920,0.0,0.0
1997-07-24,3.57,3.69,3.54,3.69,3.05,169260,0.0,0.0
1997-07-25,3.69,3.81,3.67,3.75,3.1,414960,0.0,0.0
1997-07-28,3.8,3.8,3.72,3.73,3.09,275340,0.0,0.0
1997-07-29,3.67,3.67,3.59,3.62,3.0,385320,0.0,0.0
1997-07-30,3.59,3.59,3.59,3.59,2.97,7020,0.0,0.0
1997-07-31,3.59,3.62,3.59,3.62,3.0,1488240,0.0,0.0
1997-08-01,3.64,3.64,3.61,3.62,3.0,195780,0.0,0.0
1997-08-04,3.61,3.65,3.61,3.64,3.01,294840,0.0,0.0
1997-08-05,3.61,3.67,3.61,3.65,3.02,437580,0.0,0.0
1997-08-06,3.64,3.73,3.64,3.73,3.09,550680,0.0,0.0
1997-08-07,3.73,3.73,3.72,3.73,3.08,730860,0.0,0.0
1997-08-08,3.69,3.7,3.65,3.7,3.06,398580,0.0,0.0
1997-08-11,3.67,3.72,3.41,3.43,2.84,1866540,0.0,0.0
1997-08-12,3.46,3.46,3.14,3.29,2.72,2507700,0.0,0.0
1997-08-13,3.32,3.32,3.27,3.27,2.71,1765140,0.0,0.0
1997-08-14,3.3,3.3,3.27,3.27,2.71,155220,0.0,0.0
1997-08-15,3.27,3.27,3.25,3.25,2.69,33540,0.0,0.0
1997-08-18,3.25,3.3,3.19,3.22,2.67,118560,0.0,0.0
1997-08-19,3.19,3.22,3.14,3.17,2.63,3198000,0.0,0.0
1997-08-20,3.17,3.17,2.8,2.95,2.44,6836700,0.0,0.0
1997-08-21,3.0,3.0,2.94,2.95,2.44,2070120,0.0,0.0
1997-08-22,2.93,3.01,2.93,3.01,2.49,1744080,0.0,0.0
1997-08-25,3.03,3.12,3.01,3.11,2.57,1759680,0.0,0.0
1997-08-26,3.12,3.3,3.12,3.3,2.73,2465580,0.0,0.0
1997-08-27,3.43,3.49,3.43,3.49,2.89,1039740,0.0,0.0
1997-08-28,3.49,3.49,3.45,3.48,2.88,925860,0.0,0.0
1997-08-29,3.51,3.62,3.46,3.53,2.92,1826760,0.0,0.0
1997-09-02,3.54,3.57,3.49,3.49,2.89,269100,0.0,0.0
1997-09-03,3.49,3.52,3.45,3.46,2.86,991380,0.0,0.0
1997-09-04,3.45,3.48,3.45,3.48,2.88,290160,0.0,0.0
1997-09-05,3.49,3.49,3.43,3.46,2.86,1161420,0.0,0.0
1997-09-08,3.49,3.49,3.43,3.45,2.85,2687880,0.0,0.0
1997-09-09,3.45,3.53,3.43,3.5,2.9,1585740,0.0,0.0
1997-09-10,3.48,3.51,3.46,3.51,2.9,1320540,0.0,0.0
1997-09-11,3.46,3.49,3.45,3.45,2.85,731640,0.0,0.0
1997-09-12,3.47,3.47,3.41,3.45,2.85,1148940,0.0,0.0
1997-09-15,3.43,3.48,3.43,3.46,2.86,222300,0.0,0.0
1997-09-16,3.46,3.49,3.46,3.49,2.89,900900,0.0,0.0
1997-09-17,3.46,3.51,3.46,3.51,2.9,47580,0.0,0.0
1997-09-18,3.51,3.53,3.48,3.51,2.9,376740,0.0,0.0
1997-09-19,3.53,3.53,3.48,3.53,2.92,47580,0.0,0.0
1997-09-22,3.51,3.51,3.48,3.48,2.88,613860,0.0,0.0
1997-09-23,3.48,3.48,3.44,3.45,2.85,653640,0.0,0.0
1997-09-24,3.49,3.49,3.45,3.49,2.89,397800,0.0,0.0
1997-09-25,3.46,3.59,3.46,3.54,2.93,262080,0.0,0.0
1997-09-26,3.57,3.59,3.54,3.59,2.97,152880,0.0,0.0
1997-09-29,3.57,3.72,3.54,3.72,3.08,390000,0.0,0.0
1997-09-30,3.73,3.86,3.73,3.85,3.19,1429740,0.0,0.0
1997-10-01,3.83,3.86,3.81,3.83,3.17,2071680,0.0,0.0
1997-10-02,3.83,3.85,3.83,3.83,3.17,15600,0.0,0.0
1997-10-03,3.85,3.86,3.83,3.86,3.2,1365000,0.0,0.0
1997-10-06,3.86,3.86,3.83,3.85,3.18,165360,0.0,0.0
1997-10-07,3.85,3.88,3.85,3.88,3.21,251160,0.0,0.0
1997-10-08,3.85,3.88,3.83,3.85,3.18,83460,0.0,0.0
1997-10-09,3.81,3.81,3.77,3.81,3.16,74880,0.0,0.0
1997-10-10,3.75,3.78,3.73,3.73,3.09,96720,0.0,0.0
1997-10-13,3.75,3.78,3.69,3.69,3.05,346320,0.0,0.0
1997-10-14,3.69,3.72,3.69,3.72,3.08,526500,0.0,0.0
1997-10-15,3.7,3.7,3.65,3.65,3.02,71760,0.0,0.0
1997-10-16,3.65,3.69,3.51,3.51,2.9,429780,0.0,0.0
1997-10-17,3.51,3.52,3.49,3.49,2.89,69420,0.0,0.0
1997-10-20,3.53,3.56,3.53,3.53,2.92,90480,0.0,0.0
1997-10-21,3.56,3.56,3.51,3.51,2.9,189540,0.0,0.0
1997-10-22,3.51,3.53,3.51,3.53,2.92,340080,0.0,0.0
1997-10-23,3.48,3.51,3.41,3.43,2.84,390780,0.0,0.0
1997-10-24,3.48,3.48,3.4,3.4,2.81,380640,0.0,0.0
1997-10-27,3.38,3.4,2.74,2.76,2.28,1119300,0.0,0.0
1997-10-28,2.71,3.17,2.71,3.04,2.52,2364960,0.0,0.0
1997-10-29,3.17,3.34,3.17,3.32,2.74,560040,0.0,0.0
1997-10-30,3.33,3.33,3.17,3.17,2.63,467220,0.0,0.0
1997-10-31,3.17,3.21,3.17,3.21,2.65,1881360,0.0,0.0
1997-11-03,3.22,3.22,3.19,3.22,2.67,163800,0.0,0.0
1997-11-04,3.19,3.24,3.19,3.24,2.68,772200,0.0,0.0
1997-11-05,3.25,3.25,3.19,3.19,2.64,92040,0.0,0.0
1997-11-06,3.19,3.25,3.19,3.19,2.64,127140,0.0,0.0
1997-11-07,3.21,3.21,3.04,3.08,2.55,260520,0.0,0.0
