Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1999-06-16,9.06,9.31,8.12,8.88,8.65,5718100,0.0,0.0
1999-06-17,8.75,8.88,7.75,8.69,8.47,542200,0.0,0.0
1999-06-18,8.56,9.12,8.56,9.0,8.77,557600,0.0,0.0
1999-06-21,9.06,9.75,9.0,9.25,9.01,218000,0.0,0.0
1999-06-22,9.06,9.5,9.0,9.06,8.83,281400,0.0,0.0
1999-06-23,9.0,9.5,9.0,9.38,9.14,395200,0.0,0.0
1999-06-24,9.38,9.62,9.0,9.12,8.89,238100,0.0,0.0
1999-06-25,9.12,9.22,9.0,9.19,8.95,172400,0.0,0.0
1999-06-28,9.0,9.38,9.0,9.25,9.01,81400,0.0,0.0
1999-06-29,9.38,10.25,9.25,9.38,9.14,321500,0.0,0.0
1999-06-30,9.38,10.12,9.38,9.69,9.44,429900,0.0,0.0
1999-07-01,9.81,10.38,9.5,9.94,9.68,363500,0.0,0.0
1999-07-02,10.12,10.88,10.12,10.88,10.6,460800,0.0,0.0
1999-07-06,10.88,11.0,10.5,10.69,10.41,565900,0.0,0.0
1999-07-07,10.69,11.12,10.38,10.88,10.6,270500,0.0,0.0
1999-07-08,11.75,13.0,11.38,12.25,11.94,1793800,0.0,0.0
1999-07-09,12.25,13.75,12.19,13.5,13.16,1738400,0.0,0.0
1999-07-12,14.0,15.38,13.62,14.81,14.43,5465000,0.0,0.0
1999-07-13,15.31,15.31,12.62,13.38,13.03,2568600,0.0,0.0
1999-07-14,13.75,13.75,11.88,13.38,13.03,970700,0.0,0.0
1999-07-15,13.81,14.0,12.75,13.12,12.79,572700,0.0,0.0
1999-07-16,13.38,14.25,13.19,14.0,13.64,793100,0.0,0.0
1999-07-19,14.25,14.38,13.5,14.0,13.64,336500,0.0,0.0
1999-07-20,14.0,14.06,12.5,12.94,12.61,324300,0.0,0.0
1999-07-21,13.0,13.31,12.5,12.5,12.18,237600,0.0,0.0
1999-07-22,12.75,12.75,11.88,12.0,11.69,165100,0.0,0.0
1999-07-23,12.12,12.25,11.0,11.5,11.21,178500,0.0,0.0
1999-07-26,11.5,11.5,9.75,10.38,10.11,363400,0.0,0.0
1999-07-27,10.41,10.88,9.88,10.38,10.11,312600,0.0,0.0
1999-07-28,10.56,11.88,10.25,11.25,10.96,176700,0.0,0.0
1999-07-29,11.0,11.75,10.56,11.38,11.08,165400,0.0,0.0
1999-07-30,11.38,12.06,10.5,11.12,10.84,237500,0.0,0.0
1999-08-02,11.5,13.25,10.88,11.25,10.96,503900,0.0,0.0
1999-08-03,11.75,12.5,11.62,12.12,11.82,265300,0.0,0.0
1999-08-04,12.0,12.06,11.25,11.5,11.21,186900,0.0,0.0
1999-08-05,11.38,11.62,10.25,11.62,11.33,188600,0.0,0.0
1999-08-06,11.5,11.5,10.5,11.0,10.72,77400,0.0,0.0
1999-08-09,11.06,11.44,9.88,10.0,9.74,105900,0.0,0.0
1999-08-10,9.88,10.25,9.06,9.16,8.92,369700,0.0,0.0
1999-08-11,9.5,10.0,9.12,9.88,9.62,351000,0.0,0.0
1999-08-12,10.44,11.5,10.0,10.94,10.66,413900,0.0,0.0
1999-08-13,11.38,11.62,10.62,11.0,10.72,275600,0.0,0.0
1999-08-16,11.25,11.25,10.75,10.88,10.6,98900,0.0,0.0
1999-08-17,11.0,11.5,10.88,11.5,11.21,149100,0.0,0.0
1999-08-18,11.5,11.62,10.94,10.94,10.66,100300,0.0,0.0
1999-08-19,10.97,11.31,10.75,11.12,10.84,39200,0.0,0.0
1999-08-20,11.25,11.38,11.0,11.25,10.96,42400,0.0,0.0
1999-08-23,11.44,11.5,10.88,10.94,10.66,65000,0.0,0.0
1999-08-24,11.25,11.25,10.62,11.12,10.84,108000,0.0,0.0
1999-08-25,10.88,11.25,10.88,11.0,10.72,112800,0.0,0.0
1999-08-26,11.09,11.09,10.75,10.94,10.66,135500,0.0,0.0
1999-08-27,10.94,11.06,10.62,10.94,10.66,434800,0.0,0.0
1999-08-30,11.0,11.25,10.88,11.0,10.72,88500,0.0,0.0
1999-08-31,11.0,11.44,10.81,11.44,11.15,153000,0.0,0.0
1999-09-01,11.44,11.94,11.12,11.25,10.96,87000,0.0,0.0
1999-09-02,11.25,11.38,10.81,11.06,10.78,80800,0.0,0.0
1999-09-03,11.22,11.75,11.0,11.75,11.45,91900,0.0,0.0
1999-09-07,12.0,12.06,11.25,11.31,11.02,58300,0.0,0.0
1999-09-08,11.38,11.44,11.25,11.38,11.08,96100,0.0,0.0
1999-09-09,11.41,12.62,11.31,12.5,12.18,179900,0.0,0.0
1999-09-10,12.5,13.5,12.31,12.56,12.24,249300,0.0,0.0
1999-09-13,12.81,12.94,11.81,12.44,12.12,363900,0.0,0.0
1999-09-14,12.5,13.0,12.25,13.0,12.67,238300,0.0,0.0
1999-09-15,12.94,13.5,12.88,13.38,13.03,271500,0.0,0.0
1999-09-16,13.72,13.75,13.12,13.19,12.85,159600,0.0,0.0
1999-09-17,13.31,13.75,13.12,13.75,13.4,199700,0.0,0.0
1999-09-20,13.69,13.69,12.5,12.94,12.61,90500,0.0,0.0
1999-09-21,12.84,13.19,12.38,12.62,12.3,129200,0.0,0.0
1999-09-22,12.72,13.56,12.69,13.44,13.09,92200,0.0,0.0
