Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1992-06-26,0.33,0.35,0.32,0.34,0.27,224358400,0.0,0.0
1992-06-29,0.34,0.37,0.33,0.36,0.29,58732800,0.0,0.0
1992-06-30,0.37,0.37,0.34,0.35,0.28,34777600,0.0,0.0
1992-07-01,0.35,0.36,0.34,0.36,0.29,18316800,0.0,0.0
1992-07-02,0.36,0.36,0.35,0.36,0.29,13996800,0.0,0.0
1992-07-06,0.35,0.36,0.35,0.36,0.29,5753600,0.0,0.0
1992-07-07,0.36,0.36,0.35,0.36,0.29,10662400,0.0,0.0
1992-07-08,0.36,0.36,0.34,0.35,0.28,15500800,0.0,0.0
1992-07-09,0.35,0.36,0.35,0.36,0.29,3923200,0.0,0.0
1992-07-10,0.36,0.37,0.35,0.36,0.29,11040000,0.0,0.0
1992-07-13,0.36,0.37,0.36,0.37,0.3,5996800,0.0,0.0
1992-07-14,0.37,0.38,0.37,0.37,0.3,17062400,0.0,0.0
1992-07-15,0.38,0.38,0.37,0.38,0.31,4992000,0.0,0.0
1992-07-16,0.38,0.41,0.38,0.41,0.33,17062400,0.0,0.0
1992-07-17,0.41,0.44,0.4,0.43,0.35,15667200,0.0,0.0
1992-07-20,0.43,0.44,0.42,0.43,0.35,19744000,0.0,0.0
1992-07-21,0.44,0.45,0.43,0.44,0.35,7782400,0.0,0.0
1992-07-22,0.43,0.44,0.42,0.43,0.35,10892800,0.0,0.0
1992-07-23,0.43,0.44,0.43,0.44,0.35,10387200,0.0,0.0
1992-07-24,0.43,0.45,0.43,0.45,0.36,7052800,0.0,0.0
1992-07-27,0.45,0.46,0.45,0.46,0.37,11430400,0.0,0.0
1992-07-28,0.46,0.46,0.43,0.44,0.35,18009600,0.0,0.0
1992-07-29,0.44,0.44,0.41,0.42,0.33,30848000,0.0,0.0
1992-07-30,0.41,0.42,0.4,0.41,0.33,11737600,0.0,0.0
1992-07-31,0.41,0.42,0.41,0.42,0.33,6886400,0.0,0.0
1992-08-03,0.41,0.43,0.41,0.42,0.34,4832000,0.0,0.0
1992-08-04,0.42,0.43,0.41,0.43,0.34,6822400,0.0,0.0
1992-08-05,0.43,0.43,0.4,0.41,0.33,9516800,0.0,0.0
1992-08-06,0.41,0.41,0.4,0.41,0.33,3673600,0.0,0.0
1992-08-07,0.41,0.43,0.4,0.43,0.34,8825600,0.0,0.0
1992-08-10,0.42,0.43,0.41,0.43,0.34,5888000,0.0,0.0
1992-08-11,0.43,0.43,0.42,0.43,0.35,4147200,0.0,0.0
1992-08-12,0.42,0.43,0.4,0.41,0.33,12736000,0.0,0.0
1992-08-13,0.41,0.42,0.4,0.41,0.33,48320000,0.0,0.0
1992-08-14,0.41,0.41,0.38,0.39,0.31,17849600,0.0,0.0
1992-08-17,0.39,0.39,0.38,0.39,0.32,2681600,0.0,0.0
1992-08-18,0.38,0.39,0.38,0.39,0.31,2860800,0.0,0.0
1992-08-19,0.38,0.39,0.38,0.39,0.31,2380800,0.0,0.0
1992-08-20,0.39,0.4,0.38,0.39,0.31,2489600,0.0,0.0
1992-08-21,0.39,0.39,0.38,0.38,0.3,2048000,0.0,0.0
1992-08-24,0.38,0.39,0.38,0.38,0.31,6905600,0.0,0.0
1992-08-25,0.38,0.38,0.38,0.38,0.3,4128000,0.0,0.0
1992-08-26,0.38,0.38,0.36,0.38,0.3,19385600,0.0,0.0
1992-08-27,0.38,0.39,0.38,0.38,0.31,6169600,0.0,0.0
1992-08-28,0.38,0.39,0.38,0.39,0.31,3417600,0.0,0.0
1992-08-31,0.39,0.39,0.38,0.39,0.31,4441600,0.0,0.0
1992-09-01,0.39,0.4,0.39,0.39,0.32,2387200,0.0,0.0
1992-09-02,0.4,0.43,0.39,0.43,0.35,11692800,0.0,0.0
1992-09-03,0.43,0.45,0.43,0.45,0.36,16480000,0.0,0.0
1992-09-04,0.45,0.45,0.44,0.45,0.36,4249600,0.0,0.0
1992-09-08,0.45,0.5,0.45,0.49,0.39,17139200,0.0,0.0
1992-09-09,0.46,0.49,0.45,0.48,0.39,25299200,0.0,0.0
1992-09-10,0.47,0.48,0.46,0.48,0.38,8889600,0.0,0.0
1992-09-11,0.47,0.5,0.47,0.49,0.39,13036800,0.0,0.0
1992-09-14,0.5,0.52,0.49,0.51,0.41,13068800,0.0,0.0
1992-09-15,0.5,0.51,0.48,0.48,0.39,18099200,0.0,0.0
1992-09-16,0.46,0.48,0.46,0.46,0.37,14963200,0.0,0.0
1992-09-17,0.47,0.47,0.44,0.45,0.36,13459200,0.0,0.0
1992-09-18,0.44,0.45,0.42,0.43,0.34,17260800,0.0,0.0
1992-09-21,0.43,0.47,0.42,0.46,0.37,24012800,0.0,0.0
1992-09-22,0.46,0.48,0.45,0.48,0.39,19206400,0.0,0.0
