Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2020-11-04,25.87,25.87,25.87,25.87,25.87,0,0.0,0.0
2020-11-05,26.01,26.01,26.01,26.01,26.01,0,0.0,0.0
2020-11-06,25.75,25.76,25.74,25.76,25.76,302,0.0,0.0
2020-11-09,25.76,25.76,25.76,25.76,25.76,0,0.0,0.0
2020-11-10,25.76,25.76,25.76,25.76,25.76,0,0.0,0.0
2020-11-11,25.76,25.76,25.76,25.76,25.76,0,0.0,0.0
2020-11-12,27.2,27.2,27.0,27.0,27.0,115,0.0,0.0
2020-11-13,27.76,27.82,27.76,27.82,27.82,405,0.0,0.0
2020-11-16,27.82,27.82,27.82,27.82,27.82,0,0.0,0.0
2020-11-17,28.56,28.56,28.51,28.51,28.51,622,0.0,0.0
2020-11-18,28.83,28.95,28.77,28.77,28.77,9404,0.0,0.0
2020-11-19,28.38,28.41,28.38,28.41,28.41,1185,0.0,0.0
2020-11-20,28.43,28.43,28.16,28.16,28.16,535,0.0,0.0
2020-11-23,28.75,28.78,28.75,28.75,28.75,249,0.0,0.0
2020-11-24,29.28,29.41,29.28,29.38,29.38,5547,0.0,0.0
2020-11-25,29.07,29.22,29.07,29.2,29.2,643,0.0,0.0
2020-11-27,29.13,29.13,29.13,29.13,29.13,332,0.0,0.0
2020-11-30,29.09,29.09,28.47,28.51,28.51,776,0.0,0.0
2020-12-01,28.51,28.51,28.51,28.51,28.51,0,0.0,0.0
2020-12-02,28.94,28.98,28.94,28.95,28.95,1745,0.0,0.0
2020-12-03,29.46,29.47,29.27,29.27,29.27,272,0.0,0.0
2020-12-04,29.27,29.27,29.27,29.27,29.27,0,0.0,0.0
2020-12-07,29.67,29.67,29.59,29.59,29.59,521,0.0,0.0
2020-12-08,29.59,29.59,29.59,29.59,29.59,0,0.0,0.0
2020-12-09,30.0,30.0,29.64,29.82,29.82,1524,0.0,0.0
2020-12-10,29.57,29.73,29.57,29.66,29.66,881,0.0,0.0
2020-12-11,29.51,29.51,29.51,29.51,29.51,102,0.0,0.0
2020-12-14,29.35,29.35,29.22,29.22,29.22,383,0.0,0.0
2020-12-15,29.22,29.22,29.22,29.22,29.22,0,0.0,0.0
2020-12-16,29.22,29.22,29.22,29.22,29.22,0,0.0,0.0
2020-12-17,29.22,29.22,29.22,29.22,29.22,0,0.0,0.0
2020-12-18,29.18,29.18,29.01,29.13,29.13,353,0.0,0.0
2020-12-21,28.53,28.53,28.53,28.53,28.53,407,0.0,0.0
2020-12-22,28.53,28.53,28.53,28.53,28.53,0,0.0,0.0
2020-12-23,29.08,29.08,29.04,29.04,29.04,1112,0.0,0.0
2020-12-24,29.04,29.04,29.04,29.04,29.04,0,0.0,0.0
2020-12-28,29.04,29.04,29.04,29.04,29.04,0,0.0,0.0
2020-12-29,29.04,29.04,29.04,29.04,29.04,0,0.0,0.0
2020-12-30,29.04,29.04,29.04,29.04,29.04,0,0.0,0.0
2020-12-31,29.04,29.21,29.04,29.21,29.21,278,0.0,0.0
2021-01-04,28.72,28.72,28.37,28.37,28.37,310,0.0,0.0
2021-01-05,28.37,28.37,28.37,28.37,28.37,0,0.0,0.0
2021-01-06,28.75,28.94,28.75,28.94,28.94,490,0.0,0.0
2021-01-07,29.52,29.54,29.5,29.54,29.54,1113,0.0,0.0
2021-01-08,29.54,29.54,29.54,29.54,29.54,0,0.0,0.0
2021-01-11,28.94,29.17,28.94,29.17,29.17,358,0.0,0.0
2021-01-12,29.17,29.17,29.17,29.17,29.17,0,0.0,0.0
2021-01-13,29.63,29.63,29.63,29.63,29.63,501,0.0,0.0
2021-01-14,30.1,30.15,30.1,30.14,30.14,526,0.0,0.0
2021-01-15,30.07,30.07,29.74,29.74,29.74,350,0.0,0.0
2021-01-19,30.19,30.2,30.14,30.14,30.14,786,0.0,0.0
2021-01-20,30.14,30.14,30.14,30.14,30.14,0,0.0,0.0
2021-01-21,29.88,29.88,29.88,29.88,29.88,105,0.0,0.0
2021-01-22,29.88,29.88,29.88,29.88,29.88,0,0.0,0.0
2021-01-25,29.88,29.88,29.88,29.88,29.88,0,0.0,0.0
2021-01-26,29.74,29.74,29.74,29.74,29.74,118,0.0,0.0
2021-01-27,29.45,29.45,29.45,29.45,29.45,389,0.0,0.0
2021-01-28,29.45,29.45,29.45,29.45,29.45,0,0.0,0.0
2021-01-29,29.19,29.19,28.77,28.77,28.77,62538,0.0,0.0
2021-02-01,28.47,28.47,28.47,28.47,28.47,155,0.0,0.0
2021-02-02,28.47,28.47,28.47,28.47,28.47,0,0.0,0.0
2021-02-03,28.47,28.47,28.47,28.47,28.47,0,0.0,0.0
2021-02-04,29.75,29.8,29.75,29.8,29.8,1070,0.0,0.0
2021-02-05,29.84,29.84,29.82,29.82,29.82,148,0.0,0.0
2021-02-08,30.09,30.09,30.09,30.09,30.09,426,0.0,0.0
2021-02-09,30.09,30.09,30.09,30.09,30.09,0,0.0,0.0
2021-02-10,30.09,30.09,30.09,30.09,30.09,0,0.0,0.0
2021-02-11,30.09,30.09,30.09,30.09,30.09,0,0.0,0.0
2021-02-12,30.46,30.46,30.44,30.44,30.44,2738,0.0,0.0
2021-02-16,30.54,30.54,30.54,30.54,30.54,210,0.0,0.0
2021-02-17,30.16,30.39,30.16,30.39,30.39,414,0.0,0.0
2021-02-18,30.39,30.39,30.39,30.39,30.39,0,0.0,0.0
2021-02-19,30.39,30.39,30.39,30.39,30.39,0,0.0,0.0
2021-02-22,30.55,30.55,30.49,30.49,30.49,1076,0.0,0.0
2021-02-23,29.99,29.99,29.99,29.99,29.99,440,0.0,0.0
2021-02-24,30.49,30.98,30.49,30.98,30.98,997,0.0,0.0
2021-02-25,31.03,31.03,30.52,30.52,30.52,2886,0.0,0.0
2021-02-26,30.13,30.13,29.93,30.01,30.01,370,0.0,0.0
2021-03-01,30.01,30.01,30.01,30.01,30.01,0,0.0,0.0
2021-03-02,30.58,30.58,30.44,30.44,30.44,1064,0.0,0.0
2021-03-03,30.66,30.66,30.66,30.66,30.66,242,0.0,0.0
2021-03-04,30.89,30.89,30.89,30.89,30.89,840,0.0,0.0
2021-03-05,30.7,30.7,30.25,30.25,30.25,1252,0.0,0.0
2021-03-08,30.96,30.96,30.96,30.96,30.96,507,0.0,0.0
2021-03-09,31.15,31.4,31.09,31.09,31.09,1186,0.0,0.0
2021-03-10,31.6,31.65,31.6,31.65,31.65,649,0.0,0.0
2021-03-11,31.8,31.8,31.59,31.59,31.59,1299,0.0,0.0
2021-03-12,32.07,32.19,32.07,32.19,32.19,2305,0.0,0.0
2021-03-15,32.2,32.51,32.2,32.46,32.46,386,0.0,0.0
2021-03-16,32.48,32.48,32.48,32.48,32.48,620,0.0,0.0
2021-03-17,32.33,32.33,32.33,32.33,32.33,567,0.0,0.0
2021-03-18,32.48,32.65,32.3,32.3,32.3,1265,0.0,0.0
2021-03-19,32.09,32.09,32.09,32.09,32.09,1085,0.0,0.0
2021-03-22,31.89,32.02,31.89,32.02,32.02,785,0.0,0.0
2021-03-23,32.02,32.02,32.02,32.02,32.02,0,0.0,0.0
2021-03-24,32.02,32.02,32.02,32.02,32.02,0,0.0,0.0
2021-03-25,31.39,31.39,31.39,31.39,31.39,172,0.0,0.0
2021-03-26,31.39,31.39,31.39,31.39,31.39,0,0.0,0.0
2021-03-29,32.0,32.43,32.0,32.26,32.26,2079,0.0,0.0
2021-03-30,32.23,32.23,32.23,32.23,32.23,257,0.0,0.0
2021-03-31,32.34,32.34,32.34,32.34,32.34,331,0.0,0.0
2021-04-01,32.38,32.44,32.38,32.44,32.44,208,0.0,0.0
2021-04-05,32.92,33.04,32.92,33.04,33.04,140,0.0,0.0
2021-04-06,33.03,33.03,32.86,32.86,32.86,2104,0.0,0.0
2021-04-07,32.86,32.86,32.86,32.86,32.86,0,0.0,0.0
2021-04-08,32.57,32.88,32.57,32.88,32.88,191,0.0,0.0
2021-04-09,32.92,33.0,32.92,33.0,33.0,1011,0.0,0.0
2021-04-12,33.0,33.0,33.0,33.0,33.0,0,0.0,0.0
2021-04-13,32.8,32.84,32.8,32.84,32.84,165,0.0,0.0
2021-04-14,33.0,33.0,33.0,33.0,33.0,121,0.0,0.0
2021-04-15,33.09,33.15,33.09,33.15,33.15,142,0.0,0.0
2021-04-16,33.22,33.24,33.09,33.23,33.23,2979,0.0,0.0
2021-04-19,33.23,33.23,33.23,33.23,33.23,0,0.0,0.0
2021-04-20,33.23,33.23,33.23,33.23,33.23,0,0.0,0.0
2021-04-21,33.23,33.23,33.23,33.23,33.23,0,0.0,0.0
2021-04-22,32.98,32.98,32.98,32.98,32.98,272,0.0,0.0
2021-04-23,33.01,33.1,32.97,33.1,33.1,3343,0.0,0.0
2021-04-26,33.32,33.32,32.97,32.97,32.97,323,0.0,0.0
2021-04-27,32.97,32.97,32.97,32.97,32.97,256,0.0,0.0
2021-04-28,33.27,33.27,32.96,33.02,33.02,538,0.0,0.0
2021-04-29,33.02,33.02,33.02,33.02,33.02,0,0.0,0.0
2021-04-30,33.02,33.02,33.02,33.02,33.02,0,0.0,0.0
2021-05-03,33.66,33.71,33.66,33.71,33.71,738,0.0,0.0
2021-05-04,33.71,33.71,33.71,33.71,33.71,0,0.0,0.0
2021-05-05,33.54,33.54,33.33,33.33,33.33,1841,0.0,0.0
2021-05-06,33.33,33.33,33.33,33.33,33.33,0,0.0,0.0
2021-05-07,33.33,33.33,33.33,33.33,33.33,0,0.0,0.0
2021-05-10,33.33,33.33,33.33,33.33,33.33,0,0.0,0.0
2021-05-11,33.33,33.33,33.33,33.33,33.33,0,0.0,0.0
2021-05-12,33.33,33.33,33.33,33.33,33.33,0,0.0,0.0
2021-05-13,33.33,33.33,33.33,33.33,33.33,0,0.0,0.0
2021-05-14,33.68,33.79,33.64,33.79,33.79,2965,0.0,0.0
2021-05-17,33.65,33.81,33.65,33.81,33.81,723,0.0,0.0
2021-05-18,33.9,33.9,33.45,33.45,33.45,743,0.0,0.0
2021-05-19,33.45,33.45,33.45,33.45,33.45,0,0.0,0.0
2021-05-20,33.45,33.45,33.45,33.45,33.45,0,0.0,0.0
2021-05-21,33.77,33.77,33.68,33.68,33.68,382,0.0,0.0
2021-05-24,33.68,33.68,33.68,33.68,33.68,0,0.0,0.0
2021-05-25,33.86,33.86,33.86,33.86,33.86,380,0.0,0.0
2021-05-26,33.86,33.86,33.86,33.86,33.86,0,0.0,0.0
2021-05-27,33.86,33.86,33.86,33.86,33.86,0,0.0,0.0
2021-05-28,34.08,34.08,34.06,34.06,34.06,229,0.0,0.0
2021-06-01,34.06,34.06,34.06,34.06,34.06,0,0.0,0.0
2021-06-02,34.17,34.17,34.17,34.17,34.17,342,0.0,0.0
2021-06-03,34.04,34.24,34.04,34.2,34.2,4117,0.0,0.0
2021-06-04,34.49,34.49,34.41,34.41,34.41,1525,0.0,0.0
2021-06-07,34.66,34.66,34.27,34.33,34.33,1506,0.0,0.0
2021-06-08,34.35,34.39,34.34,34.39,34.39,366,0.0,0.0
2021-06-09,34.39,34.39,34.39,34.39,34.39,0,0.0,0.0
2021-06-10,34.2,34.2,34.17,34.2,34.2,478,0.0,0.0
2021-06-11,34.2,34.2,34.2,34.2,34.2,0,0.0,0.0
2021-06-14,34.14,34.18,34.1,34.15,34.15,769,0.0,0.0
2021-06-15,34.34,34.35,34.26,34.26,34.26,335,0.0,0.0
2021-06-16,34.29,34.29,34.0,34.0,34.0,534,0.0,0.0
2021-06-17,33.65,33.65,33.55,33.55,33.55,5540,0.0,0.0
2021-06-18,33.25,33.36,33.07,33.16,33.16,11949,0.0,0.0
2021-06-21,33.13,33.68,33.13,33.68,33.68,2682,0.0,0.0
2021-06-22,33.44,33.66,33.44,33.66,33.66,260,0.0,0.0
2021-06-23,33.55,33.55,33.4,33.4,33.4,419,0.0,0.0
2021-06-24,33.4,33.4,33.4,33.4,33.4,0,0.0,0.0
2021-06-25,33.72,33.82,33.72,33.82,33.82,502,0.0,0.0
2021-06-28,33.36,33.36,33.36,33.36,33.36,425,0.0,0.0
2021-06-29,33.42,33.42,33.01,33.01,33.01,420,0.0,0.0
2021-06-30,33.09,33.25,33.09,33.25,33.25,446,0.0,0.0
2021-07-01,33.44,33.46,33.43,33.46,33.46,1877,0.0,0.0
2021-07-02,33.44,33.44,33.37,33.37,33.37,2072,0.0,0.0
2021-07-06,33.37,33.37,33.37,33.37,33.37,0,0.0,0.0
2021-07-07,33.37,33.37,33.37,33.37,33.37,0,0.0,0.0
2021-07-08,33.37,33.37,33.37,33.37,33.37,0,0.0,0.0
2021-07-09,33.37,33.37,33.37,33.37,33.37,0,0.0,0.0
2021-07-12,33.35,33.37,33.33,33.37,33.37,673,0.0,0.0
2021-07-13,33.37,33.37,33.37,33.37,33.37,0,0.0,0.0
2021-07-14,33.37,33.37,33.37,33.37,33.37,0,0.0,0.0
2021-07-15,33.37,33.37,33.37,33.37,33.37,0,0.0,0.0
2021-07-16,32.9,32.9,32.75,32.75,32.75,319,0.0,0.0
2021-07-19,32.75,32.75,32.75,32.75,32.75,0,0.0,0.0
2021-07-20,32.2,32.95,32.19,32.89,32.89,628,0.0,0.0
2021-07-21,32.89,32.89,32.89,32.89,32.89,0,0.0,0.0
2021-07-22,32.89,32.89,32.89,32.89,32.89,0,0.0,0.0
2021-07-23,32.89,32.89,32.89,32.89,32.89,0,0.0,0.0
2021-07-26,33.12,33.12,33.12,33.12,33.12,522,0.0,0.0
2021-07-27,33.12,33.12,33.12,33.12,33.12,0,0.0,0.0
2021-07-28,33.12,33.12,33.12,33.12,33.12,0,0.0,0.0
2021-07-29,33.65,33.65,33.63,33.63,33.63,1075,0.0,0.0
2021-07-30,33.63,33.63,33.63,33.63,33.63,0,0.0,0.0
2021-08-02,33.63,33.63,33.63,33.63,33.63,0,0.0,0.0
2021-08-03,33.63,33.63,33.63,33.63,33.63,0,0.0,0.0
2021-08-04,33.63,33.63,33.63,33.63,33.63,0,0.0,0.0
2021-08-05,32.41,32.41,32.41,32.41,32.41,168,0.0,0.0
2021-08-06,32.41,32.41,32.41,32.41,32.41,0,0.0,0.0
2021-08-09,32.41,32.41,32.41,32.41,32.41,0,0.0,0.0
2021-08-10,32.96,33.09,32.96,33.09,33.09,906,0.0,0.0
2021-08-11,33.4,33.4,33.4,33.4,33.4,179,0.0,0.0
