Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1998-03-25,20.0,22.25,19.88,20.0,18.63,3980200,0.0,0.0
1998-03-26,21.0,21.38,19.88,21.0,19.56,664200,0.0,0.0
1998-03-27,21.25,21.75,20.94,21.25,19.79,276400,0.0,0.0
1998-03-30,20.88,21.25,20.5,21.12,19.67,376200,0.0,0.0
1998-03-31,21.25,21.5,21.0,21.44,19.97,452300,0.0,0.0
1998-04-01,21.12,21.12,20.75,20.88,19.44,146300,0.0,0.0
1998-04-02,20.88,21.25,20.69,21.25,19.79,85600,0.0,0.0
1998-04-03,21.0,22.0,20.69,21.88,20.37,225000,0.0,0.0
1998-04-06,22.0,22.56,22.0,22.38,20.84,124000,0.0,0.0
1998-04-07,22.13,22.56,22.12,22.31,20.78,122900,0.0,0.0
1998-04-08,22.13,22.38,21.5,21.88,20.37,55800,0.0,0.0
1998-04-09,21.75,22.0,21.62,22.0,20.49,39600,0.0,0.0
1998-04-13,22.12,22.12,21.62,21.62,20.14,100800,0.0,0.0
1998-04-14,21.75,21.88,21.62,21.62,20.14,57300,0.0,0.0
1998-04-15,21.63,21.75,21.5,21.75,20.26,108200,0.0,0.0
1998-04-16,21.75,21.75,21.62,21.75,20.26,32200,0.0,0.0
1998-04-17,21.63,21.94,21.5,21.94,20.43,47800,0.0,0.0
1998-04-20,21.63,22.0,21.27,21.94,20.43,237500,0.0,0.0
1998-04-21,22.13,23.0,22.0,23.0,21.42,234500,0.0,0.0
1998-04-22,23.12,23.12,21.5,22.5,20.96,132900,0.0,0.0
1998-04-23,22.88,22.88,22.5,22.88,21.3,27400,0.0,0.0
1998-04-24,22.75,22.75,22.38,22.75,21.19,7400,0.0,0.0
1998-04-27,22.38,22.44,22.0,22.44,20.9,101500,0.0,0.0
1998-04-28,22.13,22.38,21.62,21.62,20.14,73100,0.0,0.0
1998-04-29,21.88,22.38,21.88,22.12,20.61,74900,0.0,0.0
1998-04-30,22.5,22.5,22.12,22.5,20.96,16200,0.0,0.0
1998-05-01,22.25,22.5,22.25,22.25,20.72,74100,0.0,0.0
1998-05-04,22.25,22.38,22.12,22.25,20.72,179000,0.0,0.0
1998-05-05,22.25,22.25,21.25,21.38,19.91,241800,0.0,0.0
1998-05-06,21.38,21.75,21.12,21.19,19.73,39900,0.0,0.0
1998-05-07,21.38,21.38,20.75,20.88,19.44,40300,0.0,0.0
1998-05-08,21.12,21.12,20.12,20.12,18.74,72600,0.0,0.0
1998-05-11,20.56,20.56,20.12,20.38,18.98,154100,0.0,0.0
1998-05-12,20.56,20.56,20.0,20.0,18.63,53900,0.0,0.0
1998-05-13,20.13,20.5,20.12,20.25,18.86,123300,0.0,0.0
1998-05-14,20.5,20.5,20.12,20.12,18.74,29600,0.0,0.0
1998-05-15,20.25,20.5,20.12,20.38,18.98,54100,0.0,0.0
1998-05-18,20.0,20.25,20.0,20.0,18.63,12200,0.0,0.0
1998-05-19,20.0,20.75,20.0,20.38,18.98,38700,0.0,0.0
1998-05-20,20.38,20.62,20.25,20.38,18.98,114300,0.0,0.0
1998-05-21,20.38,20.62,20.12,20.19,18.8,157400,0.0,0.0
1998-05-22,20.5,20.5,20.12,20.25,18.86,7000,0.0,0.0
1998-05-26,20.5,20.5,19.38,19.38,18.04,182300,0.0,0.0
1998-05-27,19.38,19.38,18.88,19.0,17.7,132000,0.0,0.0
1998-05-28,18.88,19.38,18.88,19.25,17.93,97900,0.0,0.0
1998-05-29,19.25,19.5,19.12,19.5,18.16,4700,0.0,0.0
1998-06-01,19.25,19.5,19.06,19.06,17.75,178500,0.0,0.0
1998-06-02,19.5,19.5,19.0,19.25,17.93,6800,0.0,0.0
1998-06-03,19.13,19.5,19.0,19.0,17.7,397200,0.0,0.0
1998-06-04,19.0,19.5,19.0,19.0,17.7,10100,0.0,0.0
1998-06-05,19.38,19.62,19.25,19.62,18.28,17900,0.0,0.0
1998-06-08,19.38,19.62,19.38,19.62,18.28,267800,0.0,0.0
1998-06-09,19.75,19.75,19.62,19.75,18.39,19400,0.0,0.0
1998-06-10,19.75,20.62,19.69,20.5,19.09,238900,0.0,0.0
1998-06-11,20.63,20.75,20.38,20.5,19.09,18800,0.0,0.0
1998-06-12,20.62,20.62,20.38,20.38,18.98,136400,0.0,0.0
1998-06-15,20.62,20.62,20.25,20.25,18.86,185000,0.0,0.0
1998-06-16,20.62,20.62,20.12,20.62,19.21,132100,0.0,0.0
1998-06-17,20.62,20.62,20.25,20.5,19.09,147500,0.0,0.0
1998-06-18,20.88,21.0,20.38,21.0,19.56,69300,0.0,0.0
1998-06-19,20.88,21.12,20.62,21.12,19.67,24600,0.0,0.0
1998-06-22,21.0,21.12,20.75,21.12,19.67,15200,0.0,0.0
