Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1994-09-13,4.5,4.88,4.5,4.62,4.13,74000,0.0,0.0
1994-09-14,4.5,4.75,3.62,4.38,3.9,335100,0.0,0.0
1994-09-15,4.5,4.55,4.38,4.55,4.06,43600,0.0,0.0
1994-09-16,4.38,4.75,4.25,4.75,4.24,171900,0.0,0.0
1994-09-19,4.88,4.88,4.88,4.88,4.35,2100,0.0,0.0
1994-09-20,4.5,4.55,4.25,4.38,3.9,81000,0.0,0.0
1994-09-21,4.12,4.17,4.12,4.17,3.72,8000,0.0,0.0
1994-09-22,4.38,4.38,4.38,4.38,3.9,6100,0.0,0.0
1994-09-23,4.38,4.38,4.12,4.12,3.68,6700,0.0,0.0
1994-09-26,4.38,4.38,4.12,4.25,3.79,6600,0.0,0.0
1994-09-27,4.25,4.25,3.75,4.0,3.57,205500,0.0,0.0
1994-09-28,4.12,4.12,4.12,4.12,3.68,11600,0.0,0.0
1994-09-29,3.75,4.12,3.75,4.12,3.68,9600,0.0,0.0
1994-09-30,4.12,4.12,4.12,4.12,3.68,1000,0.0,0.0
1994-10-03,3.88,3.88,3.88,3.88,3.46,9000,0.0,0.0
1994-10-04,4.0,4.0,3.62,3.62,3.23,18300,0.0,0.0
1994-10-05,3.75,3.88,3.69,3.69,3.29,21100,0.0,0.0
1994-10-06,3.88,3.88,3.62,3.88,3.46,4000,0.0,0.0
1994-10-07,3.62,3.62,3.62,3.62,3.23,1600,0.0,0.0
1994-10-10,3.62,3.62,3.62,3.62,3.23,0,0.0,0.0
1994-10-11,3.62,3.62,3.62,3.62,3.23,0,0.0,0.0
1994-10-12,3.75,3.75,3.69,3.75,3.35,7000,0.0,0.0
1994-10-13,3.88,3.88,3.62,3.62,3.23,14200,0.0,0.0
1994-10-14,3.88,3.88,3.62,3.62,3.23,8500,0.0,0.0
1994-10-17,3.62,3.62,3.62,3.62,3.23,200,0.0,0.0
1994-10-18,3.62,3.88,3.62,3.88,3.46,6800,0.0,0.0
1994-10-19,3.88,3.88,3.62,3.62,3.23,5200,0.0,0.0
1994-10-20,3.62,3.62,3.62,3.62,3.23,900,0.0,0.0
1994-10-21,3.88,3.88,3.88,3.88,3.46,2000,0.0,0.0
1994-10-24,3.88,4.12,3.88,4.12,3.68,27300,0.0,0.0
1994-10-25,4.0,4.0,4.0,4.0,3.57,1200,0.0,0.0
1994-10-26,4.12,4.12,4.12,4.12,3.68,100,0.0,0.0
1994-10-27,4.12,4.12,4.12,4.12,3.68,12500,0.0,0.0
1994-10-28,4.12,4.12,4.12,4.12,3.68,1500,0.0,0.0
1994-10-31,3.75,3.75,3.75,3.75,3.35,400,0.0,0.0
1994-11-01,3.88,3.88,3.88,3.88,3.46,2000,0.0,0.0
1994-11-02,4.0,4.0,3.75,3.75,3.35,1300,0.0,0.0
1994-11-03,3.75,3.75,3.75,3.75,3.35,3600,0.0,0.0
1994-11-04,3.75,3.75,3.75,3.75,3.35,0,0.0,0.0
1994-11-07,4.0,4.0,3.75,3.75,3.35,8000,0.0,0.0
1994-11-08,3.75,3.75,3.75,3.75,3.35,4000,0.0,0.0
1994-11-09,3.62,3.62,3.62,3.62,3.23,12000,0.0,0.0
1994-11-10,3.88,3.88,3.62,3.62,3.23,20100,0.0,0.0
1994-11-11,3.62,3.62,3.62,3.62,3.23,0,0.0,0.0
1994-11-14,3.62,3.62,3.62,3.62,3.23,0,0.0,0.0
1994-11-15,3.5,3.88,3.5,3.5,3.12,31400,0.0,0.0
1994-11-16,3.88,3.88,3.5,3.5,3.12,3800,0.0,0.0
1994-11-17,3.5,3.62,3.5,3.62,3.23,2000,0.0,0.0
1994-11-18,3.5,3.5,3.5,3.5,3.12,9000,0.0,0.0
1994-11-21,3.5,3.5,3.5,3.5,3.12,500,0.0,0.0
1994-11-22,3.38,3.38,2.75,2.75,2.45,16300,0.0,0.0
1994-11-23,2.5,2.75,2.5,2.75,2.45,3600,0.0,0.0
1994-11-25,2.5,2.5,2.12,2.5,2.23,12500,0.0,0.0
1994-11-28,2.5,2.62,2.38,2.38,2.12,40500,0.0,0.0
1994-11-29,2.75,2.88,2.5,2.5,2.23,17200,0.0,0.0
1994-11-30,2.88,2.88,2.5,2.75,2.45,7000,0.0,0.0
1994-12-01,2.88,2.88,2.5,2.5,2.23,8500,0.0,0.0
1994-12-02,2.5,2.75,2.5,2.75,2.45,5500,0.0,0.0
1994-12-05,2.38,2.38,2.25,2.25,2.01,5900,0.0,0.0
1994-12-06,2.25,2.5,2.25,2.25,2.01,4700,0.0,0.0
1994-12-07,2.25,2.25,2.25,2.25,2.01,2600,0.0,0.0
