Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2012-04-19,32.0,35.85,30.91,35.48,35.48,14124400,0.0,0.0
2012-04-20,35.25,36.64,33.5,36.2,36.2,1796600,0.0,0.0
2012-04-23,36.78,37.24,35.76,35.93,35.93,930700,0.0,0.0
2012-04-24,36.04,37.34,34.65,35.8,35.8,506200,0.0,0.0
2012-04-25,36.78,37.15,34.57,34.72,34.72,520500,0.0,0.0
2012-04-26,34.59,35.3,33.34,35.11,35.11,234000,0.0,0.0
2012-04-27,36.0,36.97,35.02,35.06,35.06,380800,0.0,0.0
2012-04-30,36.13,36.13,33.6,33.95,33.95,301600,0.0,0.0
2012-05-01,34.29,36.94,33.93,35.91,35.91,679500,0.0,0.0
2012-05-02,35.51,36.2,35.2,35.28,35.28,260000,0.0,0.0
2012-05-03,36.5,36.5,32.2,32.68,32.68,1026700,0.0,0.0
2012-05-04,32.32,32.59,31.76,32.07,32.07,439300,0.0,0.0
2012-05-07,31.75,33.03,31.75,32.93,32.93,285900,0.0,0.0
2012-05-08,33.0,34.15,32.31,32.75,32.75,329300,0.0,0.0
2012-05-09,32.01,34.17,32.01,32.86,32.86,356800,0.0,0.0
2012-05-10,33.32,33.95,31.53,31.79,31.79,383000,0.0,0.0
2012-05-11,31.33,32.23,29.47,31.36,31.36,1023400,0.0,0.0
2012-05-14,31.28,32.92,30.43,31.02,31.02,702600,0.0,0.0
2012-05-15,31.39,31.85,31.2,31.62,31.62,351900,0.0,0.0
2012-05-16,31.64,31.9,30.41,30.97,30.97,238000,0.0,0.0
2012-05-17,31.11,31.18,29.87,30.62,30.62,404400,0.0,0.0
2012-05-18,31.09,31.09,28.49,29.06,29.06,814000,0.0,0.0
2012-05-21,29.48,30.14,28.82,30.02,30.02,599000,0.0,0.0
2012-05-22,30.42,32.55,30.09,31.63,31.63,508400,0.0,0.0
2012-05-23,31.1,35.8,30.0,34.89,34.89,799000,0.0,0.0
2012-05-24,35.5,36.5,33.58,34.59,34.59,534800,0.0,0.0
2012-05-25,35.08,36.34,34.43,35.93,35.93,296500,0.0,0.0
2012-05-29,36.72,37.57,35.94,36.38,36.38,564000,0.0,0.0
2012-05-30,36.08,36.08,33.57,34.3,34.3,882500,0.0,0.0
2012-05-31,34.25,34.99,31.36,32.56,32.56,988100,0.0,0.0
2012-06-01,31.56,31.97,26.97,27.24,27.24,1778900,0.0,0.0
2012-06-04,27.8,28.0,25.15,27.0,27.0,706200,0.0,0.0
2012-06-05,27.26,28.85,26.8,28.59,28.59,610400,0.0,0.0
2012-06-06,28.9,32.0,28.1,30.15,30.15,869300,0.0,0.0
2012-06-07,30.56,31.41,28.65,29.77,29.77,455200,0.0,0.0
2012-06-08,30.1,32.06,29.22,32.01,32.01,626600,0.0,0.0
2012-06-11,32.69,32.88,29.77,30.01,30.01,378500,0.0,0.0
2012-06-12,30.69,30.99,29.83,30.43,30.43,298700,0.0,0.0
2012-06-13,30.48,31.95,30.02,30.75,30.75,233900,0.0,0.0
2012-06-14,30.9,31.92,30.76,31.66,31.66,273500,0.0,0.0
2012-06-15,31.84,33.04,31.18,32.73,32.73,396800,0.0,0.0
2012-06-18,32.35,32.72,31.76,32.13,32.13,318200,0.0,0.0
2012-06-19,32.65,32.67,31.84,31.96,31.96,387900,0.0,0.0
