Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1993-01-29,43.97,43.97,43.75,43.94,25.22,1003200,0.0,0.0
1993-02-01,43.97,44.25,43.97,44.25,25.4,480500,0.0,0.0
1993-02-02,44.22,44.38,44.12,44.34,25.45,201300,0.0,0.0
1993-02-03,44.41,44.84,44.38,44.81,25.72,529400,0.0,0.0
1993-02-04,44.97,45.09,44.47,45.0,25.83,531500,0.0,0.0
1993-02-05,44.97,45.06,44.72,44.97,25.81,492100,0.0,0.0
1993-02-08,44.97,45.12,44.91,44.97,25.81,596100,0.0,0.0
1993-02-09,44.81,44.81,44.56,44.66,25.63,122100,0.0,0.0
1993-02-10,44.66,44.75,44.53,44.72,25.67,379600,0.0,0.0
1993-02-11,44.78,45.12,44.78,44.94,25.79,19500,0.0,0.0
1993-02-12,44.88,44.88,44.59,44.59,25.59,42500,0.0,0.0
1993-02-16,44.47,44.47,43.41,43.47,24.95,374800,0.0,0.0
1993-02-17,43.47,43.53,43.28,43.44,24.93,210900,0.0,0.0
1993-02-18,43.94,43.94,42.81,43.41,24.91,378100,0.0,0.0
1993-02-19,43.41,43.56,43.34,43.56,25.0,34900,0.0,0.0
1993-02-22,43.69,43.78,43.56,43.72,25.09,513600,0.0,0.0
1993-02-23,43.84,43.88,43.47,43.69,25.07,373700,0.0,0.0
1993-02-24,43.72,44.25,43.72,44.25,25.4,26300,0.0,0.0
1993-02-25,44.22,44.38,44.12,44.34,25.45,44500,0.0,0.0
1993-02-26,44.44,44.44,44.19,44.41,25.49,66200,0.0,0.0
1993-03-01,44.56,44.56,44.22,44.28,25.42,66500,0.0,0.0
1993-03-02,44.31,44.94,44.25,44.94,25.79,182400,0.0,0.0
1993-03-03,45.0,45.16,44.94,45.12,25.9,280100,0.0,0.0
1993-03-04,45.19,45.19,44.88,44.88,25.76,89500,0.0,0.0
1993-03-05,44.94,45.12,44.72,44.75,25.68,40000,0.0,0.0
1993-03-08,44.84,45.75,44.84,45.75,26.26,50800,0.0,0.0
1993-03-09,45.66,45.69,45.5,45.59,26.17,169300,0.0,0.0
1993-03-10,45.59,45.69,45.41,45.69,26.22,194400,0.0,0.0
1993-03-11,45.72,45.84,45.5,45.56,26.15,70900,0.0,0.0
1993-03-12,45.19,45.22,44.81,45.09,25.88,643600,0.0,0.0
1993-03-15,45.06,45.31,45.06,45.31,26.01,310800,0.0,0.0
1993-03-16,45.31,45.44,45.31,45.31,26.01,30800,0.0,0.0
1993-03-17,45.25,45.25,44.97,45.03,25.85,21800,0.0,0.0
1993-03-18,45.22,45.5,45.22,45.31,26.01,59300,0.0,0.0
1993-03-19,45.28,45.28,45.03,45.03,25.97,66900,0.21,0.0
1993-03-22,44.59,44.88,44.56,44.78,25.82,183400,0.0,0.0
1993-03-23,44.91,44.94,44.81,44.88,25.88,55200,0.0,0.0
1993-03-24,44.81,45.06,44.59,44.88,25.88,37200,0.0,0.0
1993-03-25,44.91,45.25,44.84,45.16,26.04,110100,0.0,0.0
1993-03-26,45.12,45.16,44.88,44.91,25.9,101500,0.0,0.0
1993-03-29,44.94,45.31,44.94,45.09,26.0,87100,0.0,0.0
1993-03-30,45.16,45.22,45.09,45.22,26.08,56000,0.0,0.0
1993-03-31,45.34,45.47,45.19,45.19,26.06,111600,0.0,0.0
1993-04-01,45.25,45.25,44.94,45.03,25.97,129500,0.0,0.0
1993-04-02,44.66,44.66,44.09,44.09,25.43,59400,0.0,0.0
1993-04-05,44.44,44.44,44.19,44.31,25.55,172200,0.0,0.0
1993-04-06,44.41,44.41,44.06,44.19,25.48,129700,0.0,0.0
1993-04-07,44.25,44.34,44.16,44.34,25.57,28000,0.0,0.0
1993-04-08,44.53,44.53,44.09,44.28,25.54,180800,0.0,0.0
1993-04-12,44.72,44.94,44.66,44.91,25.9,348500,0.0,0.0
1993-04-13,44.88,45.16,44.84,45.0,25.95,146100,0.0,0.0
1993-04-14,45.03,45.06,44.91,44.94,25.91,119600,0.0,0.0
1993-04-15,44.91,45.03,44.75,44.94,25.91,148600,0.0,0.0
1993-04-16,44.97,45.03,44.88,44.94,25.91,47900,0.0,0.0
1993-04-19,44.94,45.06,44.72,44.75,25.81,157000,0.0,0.0
1993-04-20,44.69,44.75,44.25,44.53,25.68,279500,0.0,0.0
1993-04-21,44.62,44.62,44.38,44.5,25.66,67900,0.0,0.0
1993-04-22,44.31,44.69,43.94,43.94,25.34,97700,0.0,0.0
1993-04-23,43.84,43.97,43.69,43.75,25.23,106000,0.0,0.0
1993-04-26,43.78,43.94,43.28,43.41,25.03,62600,0.0,0.0
1993-04-27,43.34,43.88,43.34,43.88,25.3,156800,0.0,0.0
1993-04-28,43.81,43.91,43.72,43.78,25.25,85900,0.0,0.0
1993-04-29,43.88,43.97,43.62,43.97,25.36,85000,0.0,0.0
1993-04-30,44.12,44.28,44.03,44.03,25.39,88500,0.0,0.0
1993-05-03,44.09,44.31,43.91,44.31,25.55,80500,0.0,0.0
1993-05-04,44.41,44.62,44.34,44.47,25.64,149100,0.0,0.0
