Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1996-11-22,4.38,4.66,4.22,4.66,3.09,16753600,0.0,0.0
1996-11-25,4.53,4.62,4.25,4.47,2.97,3246400,0.0,0.0
1996-11-26,4.53,4.53,4.34,4.41,2.93,1731600,0.0,0.0
1996-11-27,4.5,4.5,4.38,4.38,2.91,626400,0.0,0.0
1996-11-29,4.5,4.56,4.38,4.56,3.03,374000,0.0,0.0
1996-12-02,4.56,4.56,4.38,4.41,2.93,490400,0.0,0.0
1996-12-03,4.5,4.5,4.38,4.5,2.99,803200,0.0,0.0
1996-12-04,4.44,4.5,4.31,4.5,2.99,299200,0.0,0.0
1996-12-05,4.56,4.56,4.38,4.44,2.95,568000,0.0,0.0
1996-12-06,4.31,4.47,4.19,4.47,2.97,551600,0.0,0.0
1996-12-09,4.38,4.5,4.38,4.38,2.91,886800,0.0,0.0
1996-12-10,4.38,4.56,4.38,4.41,2.93,971200,0.0,0.0
1996-12-11,4.53,4.53,4.38,4.5,2.99,202800,0.0,0.0
1996-12-12,4.38,4.5,4.38,4.47,2.97,398000,0.0,0.0
1996-12-13,4.38,4.5,4.38,4.47,2.97,465200,0.0,0.0
1996-12-16,4.41,4.56,4.38,4.38,2.91,862000,0.0,0.0
1996-12-17,4.34,4.53,4.34,4.44,2.95,696800,0.0,0.0
1996-12-18,4.56,4.66,4.47,4.66,3.09,224000,0.0,0.0
1996-12-19,4.69,5.25,4.56,4.88,3.24,1774800,0.0,0.0
1996-12-20,5.0,5.0,4.81,4.94,3.28,679600,0.0,0.0
1996-12-23,4.94,4.94,4.81,4.91,3.26,422800,0.0,0.0
1996-12-24,4.91,4.91,4.75,4.81,3.2,64400,0.0,0.0
1996-12-26,4.81,4.81,4.69,4.75,3.15,166400,0.0,0.0
1996-12-27,4.75,4.88,4.75,4.78,3.18,346000,0.0,0.0
1996-12-30,4.75,4.84,4.75,4.84,3.22,136400,0.0,0.0
1996-12-31,4.84,4.84,4.69,4.78,3.18,77200,0.0,0.0
1997-01-02,4.78,4.78,4.69,4.75,3.15,267200,0.0,0.0
1997-01-03,4.75,4.94,4.75,4.88,3.24,223600,0.0,0.0
1997-01-06,4.91,5.09,4.84,5.06,3.36,296800,0.0,0.0
1997-01-07,5.06,5.66,5.03,5.44,3.61,1013600,0.0,0.0
1997-01-08,5.5,5.5,5.22,5.44,3.61,1590800,0.0,0.0
1997-01-09,5.34,5.62,5.34,5.53,3.67,778800,0.0,0.0
1997-01-10,5.62,5.97,5.5,5.94,3.94,946000,0.0,0.0
1997-01-13,5.88,6.03,5.84,5.97,3.96,761200,0.0,0.0
1997-01-14,6.0,6.0,5.81,5.88,3.9,253200,0.0,0.0
1997-01-15,5.88,5.88,5.62,5.69,3.78,448000,0.0,0.0
1997-01-16,5.78,5.78,5.69,5.78,3.84,556400,0.0,0.0
1997-01-17,5.78,5.84,5.72,5.84,3.88,83200,0.0,0.0
1997-01-20,5.88,6.12,5.75,6.09,4.05,396000,0.0,0.0
1997-01-21,6.19,6.34,6.06,6.16,4.09,768400,0.0,0.0
1997-01-22,6.19,6.19,5.62,5.81,3.86,508000,0.0,0.0
1997-01-23,5.69,5.81,5.31,5.41,3.59,603200,0.0,0.0
1997-01-24,5.44,5.44,5.19,5.44,3.61,884800,0.0,0.0
1997-01-27,5.5,5.56,5.41,5.56,3.69,192000,0.0,0.0
