Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2002-12-11,11.5,12.0,11.25,11.5,5.78,36719700,0.0,0.0
2002-12-12,11.5,11.59,11.02,11.18,5.62,9195600,0.0,0.0
2002-12-13,11.1,11.5,10.95,11.42,5.74,7739400,0.0,0.0
2002-12-16,11.32,11.62,11.13,11.61,5.83,3836400,0.0,0.0
2002-12-17,11.6,11.78,11.45,11.5,5.78,2729900,0.0,0.0
2002-12-18,11.42,11.43,11.13,11.2,5.63,2152800,0.0,0.0
2002-12-19,11.15,11.2,10.71,10.76,5.41,6450800,0.0,0.0
2002-12-20,10.85,10.94,10.56,10.81,5.43,2930900,0.0,0.0
2002-12-23,10.71,10.71,10.2,10.4,5.23,3455900,0.0,0.0
2002-12-24,10.4,10.45,10.0,10.24,5.15,3302500,0.0,0.0
2002-12-26,10.05,10.2,10.0,10.03,5.04,2019200,0.0,0.0
2002-12-27,10.0,10.13,9.86,10.13,5.09,1639400,0.0,0.0
2002-12-30,10.22,10.55,10.0,10.47,5.26,2742800,0.0,0.0
2002-12-31,10.3,10.96,10.3,10.73,5.39,3730800,0.0,0.0
2003-01-02,10.75,10.76,10.25,10.5,5.28,3473000,0.0,0.0
2003-01-03,10.5,10.75,10.33,10.75,5.4,1716600,0.0,0.0
2003-01-06,10.9,11.57,10.85,11.43,5.74,4041400,0.0,0.0
2003-01-07,11.5,12.25,11.4,12.25,6.16,6823500,0.0,0.0
2003-01-08,12.05,12.24,11.95,12.2,6.13,4623100,0.0,0.0
2003-01-09,12.3,12.95,12.25,12.6,6.33,9553400,0.0,0.0
2003-01-10,11.5,11.95,10.7,11.1,5.58,7554700,0.0,0.0
2003-01-13,11.15,11.28,10.15,10.23,5.14,2834700,0.0,0.0
2003-01-14,10.23,10.35,10.0,10.25,5.15,1629200,0.0,0.0
2003-01-15,10.36,10.88,10.19,10.77,5.41,2588100,0.0,0.0
2003-01-16,10.98,11.1,10.78,11.01,5.53,1443400,0.0,0.0
2003-01-17,10.98,11.0,10.4,10.8,5.43,2000000,0.0,0.0
2003-01-21,10.9,10.98,10.21,10.24,5.15,1165700,0.0,0.0
2003-01-22,10.34,10.34,9.3,9.52,4.78,3488500,0.0,0.0
2003-01-23,9.75,10.15,9.61,10.0,5.02,2498200,0.0,0.0
2003-01-24,10.17,10.43,9.8,9.95,5.0,2772100,0.0,0.0
2003-01-27,9.8,9.9,9.32,9.35,4.7,1150600,0.0,0.0
2003-01-28,9.43,9.71,9.4,9.4,4.72,1267000,0.0,0.0
2003-01-29,9.42,9.92,9.4,9.73,4.89,1174400,0.0,0.0
2003-01-30,9.79,9.89,9.4,9.4,4.72,720700,0.0,0.0
2003-01-31,9.3,9.34,8.99,9.18,4.61,1402500,0.0,0.0
2003-02-03,9.23,9.45,9.16,9.17,4.61,1002400,0.0,0.0
2003-02-04,9.18,9.18,8.95,9.05,4.55,1087700,0.0,0.0
2003-02-05,9.12,9.21,8.98,9.05,4.55,1233500,0.0,0.0
2003-02-06,9.1,9.34,9.03,9.05,4.55,923500,0.0,0.0
2003-02-07,9.15,9.17,8.96,9.0,4.52,1069500,0.0,0.0
2003-02-10,8.75,8.75,7.78,8.7,4.37,10046400,0.0,0.0
2003-02-11,8.7,8.93,8.23,8.93,4.49,2238900,0.0,0.0
2003-02-12,8.95,8.95,8.18,8.34,4.2,1726000,0.03,0.0
2003-02-13,8.35,8.45,8.0,8.06,4.06,2111000,0.0,0.0
2003-02-14,8.06,8.4,8.06,8.4,4.24,881000,0.0,0.0
2003-02-18,8.4,8.74,8.39,8.74,4.41,2049100,0.0,0.0
2003-02-19,8.81,9.0,8.74,8.99,4.53,1506300,0.0,0.0
2003-02-20,8.89,9.15,8.87,9.01,4.54,760000,0.0,0.0
2003-02-21,9.03,9.36,9.03,9.2,4.64,1519300,0.0,0.0
2003-02-24,9.25,9.4,8.88,9.0,4.54,1055600,0.0,0.0
2003-02-25,9.0,9.75,8.97,9.68,4.88,3049400,0.0,0.0
2003-02-26,9.65,9.74,9.42,9.52,4.8,782300,0.0,0.0
2003-02-27,9.42,9.69,9.32,9.45,4.76,387000,0.0,0.0
2003-02-28,9.5,9.5,9.18,9.27,4.67,808500,0.0,0.0
2003-03-03,9.25,9.52,9.22,9.3,4.69,575800,0.0,0.0
2003-03-04,9.33,9.39,9.2,9.27,4.67,517600,0.0,0.0
2003-03-05,9.23,9.42,9.14,9.29,4.68,1017700,0.0,0.0
2003-03-06,9.19,9.75,9.19,9.58,4.83,1481100,0.0,0.0
2003-03-07,9.48,9.84,9.39,9.7,4.89,898800,0.0,0.0
2003-03-10,9.45,9.76,9.45,9.76,4.92,1837100,0.0,0.0
2003-03-11,9.7,9.75,9.45,9.55,4.81,1960400,0.0,0.0
2003-03-12,9.35,9.4,8.95,9.03,4.55,4556400,0.0,0.0
2003-03-13,9.03,9.15,8.88,9.05,4.56,4223600,0.0,0.0
2003-03-14,9.02,9.1,8.75,8.96,4.52,2401400,0.0,0.0
2003-03-17,8.96,9.43,8.85,9.35,4.71,994400,0.0,0.0
2003-03-18,9.35,9.56,9.35,9.54,4.81,782500,0.0,0.0
2003-03-19,9.45,9.51,9.18,9.34,4.71,874000,0.0,0.0
2003-03-20,9.25,9.45,9.2,9.44,4.76,1609600,0.0,0.0
2003-03-21,9.5,9.99,9.4,9.8,4.94,2559900,0.0,0.0
2003-03-24,9.45,9.76,9.43,9.55,4.81,1945600,0.0,0.0
2003-03-25,9.5,10.22,9.45,10.0,5.04,4664700,0.0,0.0
2003-03-26,9.85,10.19,9.75,10.1,5.09,2908700,0.0,0.0
2003-03-27,9.95,10.89,9.94,10.88,5.49,4410700,0.0,0.0
2003-03-28,10.69,10.8,10.35,10.35,5.22,2628000,0.0,0.0
2003-03-31,10.0,10.44,9.98,10.32,5.2,1127600,0.0,0.0
2003-04-01,10.42,10.68,10.33,10.57,5.33,1558200,0.0,0.0
2003-04-02,10.75,10.95,10.56,10.74,5.41,4117900,0.0,0.0
2003-04-03,10.84,10.85,10.41,10.72,5.4,1517100,0.0,0.0
2003-04-04,10.62,10.63,10.15,10.27,5.18,4553400,0.0,0.0
2003-04-07,10.3,10.48,10.2,10.31,5.2,3600200,0.0,0.0
2003-04-08,10.35,10.66,10.25,10.52,5.3,2169200,0.0,0.0
2003-04-09,10.62,10.8,10.5,10.72,5.4,1889300,0.0,0.0
2003-04-10,10.72,10.9,10.56,10.83,5.46,1988500,0.0,0.0
2003-04-11,10.85,10.95,10.82,10.95,5.52,1500200,0.0,0.0
2003-04-14,10.9,11.05,10.66,11.05,5.57,991300,0.0,0.0
2003-04-15,11.0,11.45,10.9,11.45,5.77,2470200,0.0,0.0
2003-04-16,11.6,12.35,11.6,11.9,6.0,8202400,0.0,0.0
2003-04-17,11.87,12.25,11.8,12.25,6.18,2437600,0.0,0.0
2003-04-21,12.1,12.3,12.0,12.26,6.18,1866600,0.0,0.0
2003-04-22,12.19,12.45,12.0,12.35,6.23,1270200,0.0,0.0
2003-04-23,12.35,12.35,11.45,11.75,5.92,2737800,0.0,0.0
2003-04-24,11.65,11.73,11.46,11.5,5.8,1244800,0.0,0.0
2003-04-25,11.5,11.5,11.1,11.36,5.73,1543400,0.0,0.0
2003-04-28,11.33,11.7,11.3,11.48,5.79,1635800,0.0,0.0
2003-04-29,11.6,12.12,11.6,12.04,6.07,1513300,0.0,0.0
2003-04-30,11.91,12.09,11.58,12.09,6.1,3005000,0.0,0.0
2003-05-01,12.03,12.3,11.95,12.25,6.18,1312200,0.0,0.0
2003-05-02,12.18,12.32,11.85,12.29,6.2,1900900,0.0,0.0
2003-05-05,12.23,12.58,12.2,12.54,6.32,2176000,0.0,0.0
2003-05-06,12.25,12.54,12.25,12.5,6.3,758600,0.0,0.0
2003-05-07,12.42,12.8,12.4,12.7,6.42,990300,0.03,0.0
2003-05-08,12.6,12.75,12.5,12.72,6.43,815300,0.0,0.0
2003-05-09,12.75,12.77,12.45,12.59,6.36,1157400,0.0,0.0
2003-05-12,12.5,13.45,12.25,13.36,6.75,3123000,0.0,0.0
2003-05-13,13.3,14.22,13.25,13.93,7.04,4718700,0.0,0.0
2003-05-14,13.97,14.0,13.36,13.65,6.9,1354100,0.0,0.0
