Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1994-02-17,0.44,0.44,0.44,0.44,0.38,48000,0.0,0.0
1994-02-18,1.42,1.44,1.31,1.42,1.23,39870400,0.0,0.0
1994-02-22,1.41,1.44,1.36,1.42,1.23,9164800,0.0,0.0
1994-02-23,1.39,1.42,1.36,1.38,1.19,5124800,0.0,0.0
1994-02-24,1.38,1.38,1.31,1.31,1.13,2246400,0.0,0.0
1994-02-25,1.36,1.38,1.31,1.36,1.17,2414400,0.0,0.0
1994-02-28,1.34,1.38,1.34,1.34,1.16,1006400,0.0,0.0
1994-03-01,1.38,1.38,1.34,1.36,1.17,952000,0.0,0.0
1994-03-02,1.36,1.36,1.31,1.34,1.16,2105600,0.0,0.0
1994-03-03,1.36,1.36,1.33,1.36,1.17,680000,0.0,0.0
1994-03-04,1.33,1.48,1.33,1.48,1.28,1984000,0.0,0.0
1994-03-07,1.48,1.53,1.47,1.52,1.31,1929600,0.0,0.0
1994-03-08,1.52,1.52,1.47,1.5,1.29,1313600,0.0,0.0
1994-03-09,1.47,1.52,1.47,1.52,1.31,2572800,0.0,0.0
1994-03-10,1.47,1.52,1.45,1.45,1.25,2112000,0.0,0.0
1994-03-11,1.45,1.48,1.44,1.48,1.28,260800,0.0,0.0
1994-03-14,1.48,1.48,1.44,1.48,1.27,81600,0.0,0.0
1994-03-15,1.48,1.48,1.39,1.39,1.2,1931200,0.0,0.0
1994-03-16,1.39,1.44,1.39,1.42,1.23,211200,0.0,0.0
1994-03-17,1.44,1.47,1.41,1.47,1.27,528000,0.0,0.0
1994-03-18,1.47,1.52,1.45,1.48,1.28,1096000,0.0,0.0
1994-03-21,1.48,1.55,1.48,1.55,1.33,920000,0.0,0.0
1994-03-22,1.53,1.58,1.53,1.56,1.35,1142400,0.0,0.0
1994-03-23,1.53,1.58,1.53,1.58,1.36,635200,0.0,0.0
1994-03-24,1.58,1.58,1.5,1.55,1.33,2140800,0.0,0.0
1994-03-25,1.48,1.48,1.48,1.48,1.28,11200,0.0,0.0
1994-03-28,1.48,1.53,1.45,1.45,1.25,1056000,0.0,0.0
1994-03-29,1.44,1.47,1.44,1.44,1.24,182400,0.0,0.0
1994-03-30,1.44,1.47,1.42,1.47,1.27,387200,0.0,0.0
1994-03-31,1.41,1.44,1.36,1.44,1.24,1528000,0.0,0.0
1994-04-04,1.42,1.44,1.38,1.38,1.19,2270400,0.0,0.0
1994-04-05,1.42,1.47,1.41,1.45,1.25,872000,0.0,0.0
1994-04-06,1.47,1.47,1.47,1.47,1.27,8000,0.0,0.0
1994-04-07,1.42,1.47,1.42,1.47,1.27,166400,0.0,0.0
1994-04-08,1.42,1.42,1.42,1.42,1.23,3200,0.0,0.0
1994-04-11,1.44,1.47,1.42,1.47,1.27,230400,0.0,0.0
1994-04-12,1.45,1.45,1.44,1.44,1.24,76800,0.0,0.0
1994-04-13,1.44,1.45,1.42,1.42,1.23,219200,0.0,0.0
1994-04-14,1.45,1.45,1.41,1.45,1.25,145600,0.0,0.0
1994-04-15,1.42,1.45,1.42,1.45,1.25,16000,0.0,0.0
1994-04-18,1.45,1.5,1.42,1.42,1.23,784000,0.0,0.0
1994-04-19,1.45,1.45,1.41,1.41,1.21,89600,0.0,0.0
1994-04-20,1.44,1.44,1.44,1.44,1.24,80000,0.0,0.0
1994-04-21,1.45,1.45,1.41,1.45,1.25,17600,0.0,0.0
1994-04-22,1.41,1.45,1.38,1.42,1.23,182400,0.0,0.0
1994-04-25,1.42,1.42,1.38,1.38,1.19,200000,0.0,0.0
1994-04-26,1.36,1.38,1.36,1.37,1.18,1544000,0.0,0.0
1994-04-28,1.36,1.44,1.36,1.41,1.21,388800,0.0,0.0
1994-04-29,1.44,1.52,1.44,1.52,1.31,2176000,0.0,0.0
1994-05-02,1.52,1.52,1.45,1.52,1.31,4124800,0.0,0.0
1994-05-03,1.47,1.48,1.47,1.48,1.28,137600,0.0,0.0
1994-05-04,1.47,1.48,1.47,1.48,1.27,428800,0.0,0.0
1994-05-05,1.45,1.5,1.45,1.48,1.27,734400,0.0,0.0
1994-05-06,1.45,1.5,1.45,1.48,1.27,595200,0.0,0.0
1994-05-09,1.45,1.46,1.45,1.45,1.25,187200,0.0,0.0
1994-05-10,1.48,1.48,1.39,1.44,1.24,782400,0.0,0.0
1994-05-11,1.44,1.44,1.42,1.42,1.23,1304000,0.0,0.0
1994-05-12,1.45,1.47,1.45,1.47,1.27,324800,0.0,0.0
1994-05-13,1.44,1.44,1.44,1.44,1.24,1600,0.0,0.0
1994-05-16,1.44,1.47,1.44,1.44,1.24,467200,0.0,0.0
1994-05-17,1.44,1.48,1.44,1.48,1.28,472000,0.0,0.0
1994-05-18,1.45,1.45,1.42,1.43,1.23,755200,0.0,0.0
1994-05-19,1.45,1.45,1.42,1.42,1.23,9600,0.0,0.0
1994-05-20,1.45,1.45,1.45,1.45,1.25,19200,0.0,0.0
1994-05-23,1.42,1.45,1.42,1.44,1.24,294400,0.0,0.0
1994-05-24,1.42,1.45,1.42,1.45,1.25,12800,0.0,0.0
1994-05-25,1.42,1.42,1.42,1.42,1.23,20800,0.0,0.0
1994-05-26,1.45,1.48,1.45,1.46,1.26,174400,0.0,0.0
1994-05-27,1.44,1.48,1.44,1.45,1.25,41600,0.0,0.0
1994-05-31,1.46,1.5,1.44,1.5,1.29,836800,0.0,0.0
1994-06-01,1.52,1.56,1.47,1.5,1.29,579200,0.0,0.0
1994-06-02,1.5,1.56,1.5,1.56,1.35,108800,0.0,0.0
1994-06-03,1.5,1.58,1.5,1.56,1.35,211200,0.0,0.0
1994-06-06,1.58,1.63,1.58,1.63,1.41,328000,0.0,0.0
1994-06-07,1.61,1.62,1.58,1.59,1.37,168000,0.0,0.0
1994-06-08,1.55,1.58,1.53,1.53,1.32,313600,0.0,0.0
1994-06-09,1.56,1.56,1.52,1.52,1.31,1526400,0.0,0.0
1994-06-10,1.56,1.56,1.52,1.52,1.31,448000,0.0,0.0
1994-06-13,1.56,1.58,1.56,1.56,1.35,164800,0.0,0.0
1994-06-14,1.58,1.58,1.53,1.58,1.36,100800,0.0,0.0
1994-06-15,1.58,1.58,1.53,1.56,1.35,113600,0.0,0.0
1994-06-16,1.58,1.58,1.53,1.53,1.32,120000,0.0,0.0
1994-06-17,1.56,1.56,1.56,1.56,1.35,3200,0.0,0.0
1994-06-20,1.52,1.55,1.5,1.55,1.33,302400,0.0,0.0
1994-06-21,1.52,1.52,1.52,1.52,1.31,32000,0.0,0.0
1994-06-22,1.52,1.52,1.52,1.52,1.31,1600,0.0,0.0
1994-06-23,1.54,1.54,1.5,1.5,1.29,323200,0.0,0.0
1994-06-24,1.53,1.55,1.52,1.52,1.31,219200,0.0,0.0
1994-06-27,1.54,1.55,1.52,1.52,1.31,198400,0.0,0.0
1994-06-28,1.56,1.56,1.56,1.56,1.35,19200,0.0,0.0
1994-06-29,1.56,1.56,1.56,1.56,1.35,3200,0.0,0.0
1994-06-30,1.55,1.58,1.53,1.58,1.36,267200,0.0,0.0
1994-07-01,1.61,1.61,1.56,1.58,1.36,44800,0.0,0.0
1994-07-05,1.56,1.56,1.56,1.56,1.35,8000,0.0,0.0
1994-07-06,1.56,1.57,1.53,1.53,1.32,171200,0.0,0.0
1994-07-07,1.55,1.56,1.55,1.55,1.33,1633600,0.0,0.0
1994-07-08,1.58,1.62,1.56,1.58,1.36,748800,0.0,0.0
1994-07-11,1.58,1.58,1.58,1.58,1.36,1600,0.0,0.0
1994-07-12,1.58,1.58,1.58,1.58,1.36,3200,0.0,0.0
1994-07-13,1.62,1.67,1.62,1.63,1.41,457600,0.0,0.0
1994-07-14,1.66,1.69,1.64,1.64,1.41,619200,0.0,0.0
1994-07-15,1.69,1.7,1.66,1.66,1.43,353600,0.0,0.0
1994-07-18,1.7,1.77,1.7,1.72,1.48,739200,0.0,0.0
1994-07-19,1.74,1.78,1.72,1.77,1.52,1092800,0.0,0.0
1994-07-20,1.78,1.78,1.66,1.69,1.45,931200,0.0,0.0
1994-07-21,1.66,1.67,1.66,1.67,1.44,188800,0.0,0.0
1994-07-22,1.67,1.69,1.67,1.69,1.45,48000,0.0,0.0
1994-07-25,1.66,1.7,1.66,1.69,1.45,118400,0.0,0.0
1994-07-26,1.67,1.69,1.67,1.68,1.45,100800,0.0,0.0
1994-07-27,1.7,1.72,1.66,1.69,1.45,1369600,0.0,0.0
1994-07-28,1.66,1.7,1.64,1.64,1.41,203200,0.0,0.0
1994-07-29,1.67,1.67,1.67,1.67,1.44,1600,0.0,0.0
1994-08-01,1.66,1.67,1.66,1.67,1.44,252800,0.0,0.0
1994-08-02,1.66,1.69,1.66,1.69,1.45,337600,0.0,0.0
1994-08-03,1.66,1.66,1.62,1.62,1.4,113600,0.0,0.0
1994-08-04,1.62,1.67,1.59,1.59,1.37,131200,0.0,0.0
1994-08-05,1.61,1.61,1.56,1.56,1.35,19200,0.0,0.0
1994-08-08,1.59,1.62,1.56,1.62,1.4,8000,0.0,0.0
1994-08-09,1.58,1.62,1.58,1.58,1.36,35200,0.0,0.0
1994-08-10,1.58,1.61,1.58,1.59,1.37,41600,0.0,0.0
1994-08-11,1.58,1.58,1.58,1.58,1.36,4800,0.0,0.0
1994-08-12,1.58,1.62,1.58,1.62,1.4,44800,0.0,0.0
1994-08-15,1.62,1.62,1.59,1.59,1.37,30400,0.0,0.0
1994-08-16,1.66,1.66,1.59,1.61,1.39,244800,0.0,0.0
1994-08-17,1.62,1.62,1.59,1.61,1.39,14400,0.0,0.0
1994-08-18,1.59,1.62,1.56,1.61,1.39,28800,0.0,0.0
1994-08-19,1.56,1.58,1.56,1.58,1.36,17600,0.0,0.0
1994-08-22,1.59,1.59,1.56,1.56,1.35,20800,0.0,0.0
1994-08-23,1.55,1.59,1.55,1.59,1.37,171200,0.0,0.0
1994-08-24,1.55,1.62,1.55,1.61,1.39,270400,0.0,0.0
1994-08-25,1.62,1.62,1.58,1.58,1.36,649600,0.0,0.0
1994-08-26,1.64,1.64,1.63,1.63,1.41,1126400,0.0,0.0
1994-08-29,1.67,1.67,1.62,1.65,1.42,86400,0.0,0.0
1994-08-30,1.66,1.67,1.62,1.67,1.44,1432000,0.0,0.0
1994-08-31,1.65,1.69,1.62,1.69,1.45,796800,0.0,0.0
1994-09-01,1.66,1.7,1.64,1.7,1.47,2044800,0.0,0.0
1994-09-02,1.72,1.72,1.67,1.67,1.44,59200,0.0,0.0
1994-09-06,1.66,1.72,1.66,1.66,1.43,260800,0.0,0.0
1994-09-07,1.66,1.66,1.66,1.66,1.43,52800,0.0,0.0
1994-09-08,1.66,1.66,1.66,1.66,1.43,19200,0.0,0.0
1994-09-09,1.66,1.67,1.66,1.66,1.43,804800,0.0,0.0
1994-09-12,1.7,1.7,1.64,1.69,1.45,5683200,0.0,0.0
1994-09-13,1.69,1.69,1.68,1.68,1.45,73600,0.0,0.0
1994-09-14,1.69,1.69,1.67,1.67,1.44,49600,0.0,0.0
1994-09-15,1.67,1.72,1.67,1.72,1.48,52800,0.0,0.0
1994-09-16,1.72,1.72,1.66,1.67,1.44,361600,0.0,0.0
1994-09-19,1.69,1.69,1.69,1.69,1.45,1600,0.0,0.0
1994-09-20,1.64,1.69,1.64,1.66,1.43,76800,0.0,0.0
1994-09-21,1.67,1.69,1.66,1.66,1.43,2356800,0.0,0.0
1994-09-22,1.7,1.7,1.66,1.69,1.45,163200,0.0,0.0
1994-09-23,1.7,1.7,1.66,1.66,1.43,54400,0.0,0.0
1994-09-26,1.7,1.7,1.66,1.7,1.47,193600,0.0,0.0
1994-09-27,1.66,1.66,1.66,1.66,1.43,6400,0.0,0.0
1994-09-28,1.69,1.7,1.66,1.7,1.46,752000,0.0,0.0
1994-09-29,1.66,1.7,1.66,1.69,1.45,108800,0.0,0.0
1994-09-30,1.66,1.75,1.66,1.75,1.51,484800,0.0,0.0
1994-10-03,1.72,1.77,1.67,1.73,1.5,435200,0.0,0.0
1994-10-04,1.74,1.74,1.74,1.74,1.5,3200,0.0,0.0
1994-10-05,1.72,1.72,1.64,1.66,1.43,625600,0.0,0.0
1994-10-06,1.64,1.64,1.64,1.64,1.41,19200,0.0,0.0
1994-10-07,1.64,1.66,1.64,1.66,1.43,17600,0.0,0.0
1994-10-10,1.69,1.69,1.64,1.66,1.43,979200,0.0,0.0
1994-10-11,1.64,1.69,1.64,1.69,1.45,316800,0.0,0.0
1994-10-12,1.7,1.7,1.66,1.67,1.44,1036800,0.0,0.0
1994-10-13,1.65,1.66,1.64,1.64,1.41,808000,0.0,0.0
1994-10-14,1.64,1.64,1.64,1.64,1.41,17600,0.0,0.0
1994-10-17,1.64,1.64,1.64,1.64,1.41,0,0.0,0.0
1994-10-18,1.69,1.7,1.69,1.7,1.47,22400,0.0,0.0
1994-10-19,1.7,1.7,1.66,1.66,1.43,27200,0.0,0.0
1994-10-20,1.64,1.69,1.64,1.69,1.45,9600,0.0,0.0
1994-10-21,1.64,1.67,1.59,1.59,1.37,2240000,0.0,0.0
1994-10-24,1.64,1.64,1.48,1.49,1.29,3180800,0.0,0.0
1994-10-25,1.48,1.55,1.48,1.55,1.33,948800,0.0,0.0
1994-10-26,1.55,1.61,1.55,1.61,1.39,806400,0.0,0.0
1994-10-27,1.62,1.64,1.59,1.62,1.4,833600,0.0,0.0
1994-10-28,1.64,1.65,1.62,1.63,1.41,427200,0.0,0.0
1994-10-31,1.66,1.66,1.62,1.66,1.43,716800,0.0,0.0
1994-11-01,1.66,1.66,1.59,1.59,1.37,179200,0.0,0.0
1994-11-02,1.59,1.64,1.59,1.64,1.41,60800,0.0,0.0
1994-11-03,1.59,1.64,1.59,1.64,1.41,41600,0.0,0.0
1994-11-04,1.64,1.64,1.56,1.56,1.35,372800,0.0,0.0
1994-11-07,1.61,1.61,1.56,1.56,1.35,155200,0.0,0.0
1994-11-08,1.58,1.58,1.52,1.52,1.31,120000,0.0,0.0
1994-11-09,1.52,1.56,1.5,1.5,1.29,1137600,0.0,0.0
1994-11-10,1.5,1.55,1.5,1.5,1.29,1198400,0.0,0.0
1994-11-11,1.55,1.55,1.5,1.5,1.29,3200,0.0,0.0
1994-11-14,1.53,1.53,1.53,1.53,1.32,9600,0.0,0.0
1994-11-15,1.52,1.56,1.5,1.56,1.35,4619200,0.0,0.0
1994-11-16,1.53,1.56,1.52,1.53,1.32,1784000,0.0,0.0
1994-11-17,1.5,1.53,1.5,1.5,1.29,64000,0.0,0.0
1994-11-18,1.5,1.5,1.5,1.5,1.29,1600,0.0,0.0
1994-11-21,1.52,1.52,1.52,1.52,1.31,24000,0.0,0.0
1994-11-22,1.52,1.53,1.48,1.48,1.28,2844800,0.0,0.0
1994-11-23,1.47,1.5,1.47,1.48,1.27,57600,0.0,0.0
1994-11-25,1.49,1.49,1.49,1.49,1.29,20800,0.0,0.0
1994-11-28,1.49,1.49,1.49,1.49,1.29,0,0.0,0.0
1994-11-29,1.45,1.45,1.45,1.45,1.25,128000,0.0,0.0
1994-11-30,1.52,1.52,1.52,1.52,1.31,140800,0.0,0.0
1994-12-01,1.49,1.49,1.49,1.49,1.28,412800,0.0,0.0
1994-12-02,1.47,1.47,1.47,1.47,1.27,81600,0.0,0.0
1994-12-05,1.51,1.52,1.51,1.52,1.31,27200,0.0,0.0
1994-12-06,1.52,1.52,1.47,1.52,1.31,22400,0.0,0.0
1994-12-07,1.52,1.52,1.47,1.48,1.28,48000,0.0,0.0
1994-12-08,1.46,1.47,1.34,1.34,1.16,649600,0.0,0.0
1994-12-09,1.4,1.4,1.34,1.4,1.21,17600,0.0,0.0
1994-12-12,1.34,1.4,1.3,1.34,1.16,217600,0.0,0.0
1994-12-13,1.3,1.32,1.3,1.32,1.14,155200,0.0,0.0
1994-12-14,1.3,1.34,1.25,1.3,1.12,4766400,0.0,0.0
1994-12-15,1.3,1.3,1.22,1.22,1.05,1152000,0.0,0.0
1994-12-16,1.27,1.27,1.23,1.23,1.06,259200,0.0,0.0
1994-12-19,1.27,1.27,1.22,1.25,1.08,268800,0.0,0.0
1994-12-20,1.27,1.27,1.22,1.22,1.05,17600,0.0,0.0
1994-12-21,1.27,1.27,1.22,1.27,1.09,36800,0.0,0.0
1994-12-22,1.27,1.27,1.19,1.22,1.05,8136000,0.0,0.0
1994-12-23,1.22,1.22,1.22,1.22,1.05,0,0.0,0.0
1994-12-27,1.27,1.28,1.23,1.23,1.06,2833600,0.0,0.0
1994-12-28,1.28,1.28,1.28,1.28,1.1,27200,0.0,0.0
1994-12-29,1.28,1.28,1.23,1.28,1.1,228800,0.0,0.0
1994-12-30,1.28,1.31,1.27,1.31,1.13,3174400,0.0,0.0
1995-01-03,1.31,1.31,1.27,1.27,1.09,184000,0.0,0.0
1995-01-04,1.31,1.33,1.31,1.33,1.14,584000,0.0,0.0
1995-01-05,1.33,1.33,1.33,1.33,1.14,22400,0.0,0.0
1995-01-06,1.33,1.41,1.33,1.39,1.2,606400,0.0,0.0
1995-01-09,1.42,1.44,1.39,1.44,1.24,712000,0.0,0.0
1995-01-10,1.39,1.44,1.39,1.39,1.2,68800,0.0,0.0
1995-01-11,1.44,1.45,1.39,1.45,1.25,118400,0.0,0.0
1995-01-12,1.52,1.52,1.45,1.47,1.27,753600,0.0,0.0
1995-01-13,1.5,1.52,1.47,1.5,1.29,124800,0.0,0.0
1995-01-16,1.47,1.5,1.47,1.49,1.29,44800,0.0,0.0
1995-01-17,1.5,1.5,1.48,1.5,1.29,41600,0.0,0.0
1995-01-18,1.5,1.5,1.47,1.5,1.29,22400,0.0,0.0
1995-01-19,1.47,1.52,1.47,1.52,1.31,11200,0.0,0.0
1995-01-20,1.47,1.52,1.47,1.52,1.31,19200,0.0,0.0
1995-01-23,1.47,1.48,1.42,1.44,1.24,345600,0.0,0.0
