Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1972-06-01,0.0,1.7,1.69,1.7,0.76,825600,0.0,0.0
1972-06-02,1.72,1.74,1.72,1.73,0.78,2496000,0.0,0.0
1972-06-05,1.73,1.75,1.73,1.74,0.78,960000,0.0,0.0
1972-06-06,1.74,1.74,1.66,1.66,0.74,1824000,0.0,0.0
1972-06-07,1.66,1.67,1.66,1.66,0.74,604800,0.0,0.0
1972-06-08,1.66,1.68,1.65,1.66,0.74,1180800,0.0,0.0
1972-06-09,1.66,1.66,1.64,1.65,0.74,451200,0.0,0.0
1972-06-12,1.66,1.66,1.66,1.66,0.74,153600,0.0,0.0
1972-06-13,1.67,1.73,1.67,1.73,0.77,700800,0.0,0.0
1972-06-14,1.74,1.77,1.74,1.76,0.79,787200,0.0,0.0
1972-06-15,1.76,1.78,1.75,1.76,0.79,787200,0.0,0.0
1972-06-16,1.75,1.75,1.73,1.75,0.78,576000,0.0,0.0
1972-06-19,1.74,1.74,1.73,1.74,0.78,720000,0.0,0.0
1972-06-20,1.75,1.77,1.75,1.77,0.79,460800,0.0,0.0
1972-06-21,1.77,1.78,1.76,1.76,0.79,1872000,0.0,0.0
1972-06-22,1.76,1.76,1.75,1.76,0.79,604800,0.0,0.0
1972-06-23,1.76,1.78,1.76,1.78,0.8,787200,0.0,0.0
1972-06-26,1.78,1.78,1.77,1.78,0.8,470400,0.0,0.0
1972-06-27,1.78,1.78,1.75,1.76,0.79,1008000,0.0,0.0
1972-06-28,1.76,1.76,1.75,1.75,0.78,57600,0.0,0.0
1972-06-29,1.74,1.74,1.72,1.73,0.77,326400,0.0,0.0
1972-06-30,1.73,1.77,1.73,1.76,0.79,441600,0.0,0.0
1972-07-03,1.76,1.76,1.74,1.75,0.78,422400,0.0,0.0
1972-07-05,1.75,1.82,1.75,1.8,0.81,1065600,0.0,0.0
1972-07-06,1.81,1.83,1.81,1.83,0.82,1008000,0.0,0.0
1972-07-07,1.83,1.85,1.83,1.85,0.83,1094400,0.0,0.0
1972-07-10,1.85,1.85,1.81,1.81,0.81,1344000,0.0,0.0
1972-07-11,1.81,1.83,1.8,1.81,0.81,739200,0.0,0.0
1972-07-12,1.81,1.83,1.8,1.8,0.81,604800,0.0,0.0
1972-07-13,1.8,1.8,1.78,1.79,0.8,422400,0.0,0.0
1972-07-14,1.79,1.81,1.79,1.79,0.8,364800,0.0,0.0
1972-07-17,1.79,1.79,1.74,1.74,0.78,547200,0.0,0.0
1972-07-18,1.73,1.73,1.7,1.72,0.77,1161600,0.0,0.0
1972-07-19,1.73,1.76,1.73,1.74,0.78,1219200,0.0,0.0
1972-07-20,1.74,1.74,1.73,1.73,0.78,643200,0.0,0.0
1972-07-21,1.73,1.77,1.73,1.77,0.79,1420800,0.0,0.0
1972-07-24,1.79,1.83,1.79,1.82,0.82,2448000,0.0,0.0
1972-07-25,1.82,1.82,1.81,1.82,0.81,316800,0.0,0.0
1972-07-26,1.82,1.83,1.82,1.83,0.82,806400,0.0,0.0
1972-07-27,1.83,1.85,1.83,1.83,0.82,700800,0.0,0.0
1972-07-28,1.82,1.82,1.8,1.8,0.81,355200,0.0,0.0
1972-07-31,1.8,1.81,1.78,1.79,0.8,902400,0.0,0.0
1972-08-01,1.79,1.82,1.79,1.82,0.82,1843200,0.0,0.0
1972-08-02,1.83,1.84,1.83,1.84,0.83,1286400,0.0,0.0
1972-08-03,1.84,1.85,1.83,1.85,0.83,662400,0.0,0.0
1972-08-04,1.85,1.9,1.85,1.89,0.85,902400,0.0,0.0
1972-08-07,1.89,1.92,1.89,1.92,0.86,700800,0.0,0.0
1972-08-08,1.92,1.94,1.9,1.94,0.87,1123200,0.0,0.0
1972-08-09,1.94,1.98,1.94,1.97,0.88,2054400,0.0,0.0
1972-08-10,1.97,1.97,1.96,1.97,0.88,547200,0.0,0.0
1972-08-11,1.96,1.96,1.95,1.96,0.88,297600,0.0,0.0
1972-08-14,1.96,1.96,1.92,1.92,0.86,499200,0.0,0.0
1972-08-15,1.92,1.93,1.88,1.88,0.84,5212800,0.0,0.0
1972-08-16,1.88,1.88,1.85,1.85,0.83,844800,0.0,0.0
1972-08-17,1.85,1.86,1.83,1.83,0.82,518400,0.0,0.0
1972-08-18,1.84,1.85,1.84,1.85,0.83,134400,0.0,0.0
1972-08-21,1.85,1.85,1.81,1.81,0.81,796800,0.0,0.0
1972-08-22,1.81,1.81,1.8,1.8,0.81,2409600,0.0,0.0
1972-08-23,1.8,1.82,1.8,1.8,0.81,384000,0.0,0.0
1972-08-24,1.8,1.81,1.8,1.8,0.81,499200,0.0,0.0
1972-08-25,1.8,1.82,1.8,1.82,0.81,960000,0.0,0.0
1972-08-28,1.82,1.83,1.8,1.8,0.81,1584000,0.0,0.0
1972-08-29,1.8,1.82,1.8,1.82,0.82,537600,0.0,0.0
1972-08-30,1.82,1.83,1.8,1.81,0.81,211200,0.0,0.0
1972-08-31,1.81,1.82,1.79,1.82,0.82,681600,0.0,0.0
1972-09-01,1.83,1.85,1.83,1.83,0.82,499200,0.0,0.0
1972-09-05,1.83,1.83,1.81,1.81,0.81,144000,0.0,0.0
1972-09-06,1.81,1.81,1.78,1.79,0.8,201600,0.0,0.0
1972-09-07,1.79,1.79,1.74,1.75,0.78,2112000,0.0,0.0
1972-09-08,1.75,1.76,1.74,1.74,0.78,336000,0.0,0.0
1972-09-11,1.72,1.72,1.7,1.7,0.76,2486400,0.0,0.0
1972-09-12,1.7,1.72,1.66,1.68,0.75,2544000,0.0,0.0
1972-09-13,1.68,1.72,1.67,1.72,0.77,1478400,0.0,0.0
1972-09-14,1.71,1.71,1.68,1.71,0.77,2803200,0.0,0.0
