Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1996-11-04,10.0,10.0,10.0,10.0,2.61,0,0.0,0.0
1996-11-05,10.0,10.0,10.0,10.0,2.61,0,0.0,0.0
1996-11-06,10.0,10.0,10.0,10.0,2.61,0,0.0,0.0
1996-11-07,9.97,9.97,9.97,9.97,2.61,0,0.0,0.0
1996-11-08,9.98,9.98,9.98,9.98,2.61,0,0.0,0.0
1996-11-11,9.98,9.98,9.98,9.98,2.61,0,0.0,0.0
1996-11-12,10.01,10.01,10.01,10.01,2.62,0,0.0,0.0
1996-11-13,10.05,10.05,10.05,10.05,2.63,0,0.0,0.0
1996-11-14,10.07,10.07,10.07,10.07,2.63,0,0.0,0.0
1996-11-15,10.06,10.06,10.06,10.06,2.63,0,0.0,0.0
1996-11-18,10.04,10.04,10.04,10.04,2.62,0,0.0,0.0
1996-11-19,10.05,10.05,10.05,10.05,2.63,0,0.0,0.0
1996-11-20,10.1,10.1,10.1,10.1,2.64,0,0.0,0.0
1996-11-21,10.12,10.12,10.12,10.12,2.65,0,0.0,0.0
1996-11-22,10.12,10.12,10.12,10.12,2.65,0,0.0,0.0
1996-11-25,10.08,10.08,10.08,10.08,2.63,0,0.0,0.0
1996-11-26,10.05,10.05,10.05,10.05,2.63,0,0.0,0.0
1996-11-27,10.03,10.03,10.03,10.03,2.62,0,0.0,0.0
1996-11-29,9.97,9.97,9.97,9.97,2.61,0,0.0,0.0
1996-12-02,9.99,9.99,9.99,9.99,2.61,0,0.0,0.0
1996-12-03,9.95,9.95,9.95,9.95,2.6,0,0.0,0.0
1996-12-04,9.93,9.93,9.93,9.93,2.6,0,0.0,0.0
1996-12-05,9.96,9.96,9.96,9.96,2.6,0,0.0,0.0
1996-12-06,9.88,9.88,9.88,9.88,2.58,0,0.0,0.0
1996-12-09,9.86,9.86,9.86,9.86,2.58,0,0.0,0.0
1996-12-10,9.96,9.96,9.96,9.96,2.6,0,0.0,0.0
1996-12-11,9.96,9.96,9.96,9.96,2.6,0,0.0,0.0
1996-12-12,9.96,9.96,9.96,9.96,2.6,0,0.0,0.0
1996-12-13,9.88,9.88,9.88,9.88,2.58,0,0.01,0.0
1996-12-16,9.88,9.88,9.88,9.88,2.58,0,0.0,0.0
1996-12-17,9.92,9.92,9.92,9.92,2.59,0,0.0,0.0
1996-12-18,9.87,9.87,9.87,9.87,2.58,0,0.0,0.0
1996-12-19,9.8,9.8,9.8,9.8,2.56,0,0.0,0.0
1996-12-20,9.82,9.82,9.82,9.82,2.57,0,0.0,0.0
1996-12-23,9.86,9.86,9.86,9.86,2.58,0,0.0,0.0
1996-12-24,9.83,9.83,9.83,9.83,2.57,0,0.0,0.0
1996-12-26,9.8,9.8,9.8,9.8,2.56,0,0.0,0.0
1996-12-27,9.85,9.85,9.85,9.85,2.58,0,0.0,0.0
1996-12-30,9.86,9.86,9.86,9.86,2.58,0,0.0,0.0
1996-12-31,9.91,9.91,9.91,9.91,2.59,0,0.0,0.0
1997-01-02,9.88,9.88,9.88,9.88,2.58,0,0.0,0.0
1997-01-03,9.87,9.87,9.87,9.87,2.58,0,0.0,0.0
1997-01-06,9.91,9.91,9.91,9.91,2.59,0,0.0,0.0
1997-01-07,9.95,9.95,9.95,9.95,2.6,0,0.0,0.0
1997-01-08,9.94,9.94,9.94,9.94,2.6,0,0.0,0.0
1997-01-09,9.93,9.93,9.93,9.93,2.6,0,0.0,0.0
1997-01-10,9.87,9.87,9.87,9.87,2.58,0,0.0,0.0
1997-01-13,9.87,9.87,9.87,9.87,2.58,0,0.0,0.0
1997-01-14,9.82,9.82,9.82,9.82,2.57,0,0.0,0.0
1997-01-15,9.84,9.84,9.84,9.84,2.57,0,0.0,0.0
