Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2012-06-18,6725.48,6725.48,6463.45,6463.45,6463.45,180287,0.0,0.0
2012-06-19,6463.45,6463.45,6288.76,6376.1,6376.1,263739,0.0,0.0
2012-06-20,6463.45,6463.45,6288.76,6463.45,6463.45,65087,0.0,0.0
2012-06-21,6376.1,6463.45,6288.76,6376.1,6376.1,80257,0.0,0.0
2012-06-22,6288.76,6376.1,6201.42,6201.42,6201.42,186641,0.0,0.0
2012-06-25,6114.07,6288.76,5939.38,5939.38,5939.38,348999,0.0,0.0
2012-06-26,5852.04,5852.04,5677.35,5677.35,5677.35,499073,0.0,0.0
2012-06-27,5764.7,5852.04,5677.35,5677.35,5677.35,260865,0.0,0.0
2012-06-28,5590.01,5764.7,5590.01,5677.35,5677.35,130781,0.0,0.0
2012-06-29,5677.35,5852.04,5590.01,5677.35,5677.35,62580,0.0,0.0
2012-07-02,5764.7,5764.7,5502.66,5590.01,5590.01,132510,0.0,0.0
2012-07-03,5677.35,5677.35,5327.98,5415.32,5415.32,274123,0.0,0.0
2012-07-05,5327.98,5415.32,5153.29,5327.98,5327.98,292521,0.0,0.0
2012-07-06,5415.32,5590.01,5327.98,5415.32,5415.32,231704,0.0,0.0
2012-07-09,5415.32,5415.32,5153.29,5153.29,5153.29,157171,0.0,0.0
2012-07-10,5327.98,5327.98,5327.98,5327.98,5327.98,13006,0.0,0.0
2012-07-11,5590.01,5590.01,5590.01,5590.01,5590.01,15937,0.0,0.0
2012-07-12,5852.04,5852.04,5852.04,5852.04,5852.04,438931,0.0,0.0
2012-07-13,6114.07,6114.07,6114.07,6114.07,6114.07,780,0.0,0.0
2012-07-16,6201.42,6201.42,5852.04,5852.04,5852.04,538446,0.0,0.0
2012-07-17,5852.04,6114.07,5852.04,6114.07,6114.07,385991,0.0,0.0
2012-07-18,6114.07,6376.1,6026.73,6201.42,6201.42,329548,0.0,0.0
2012-07-19,6114.07,6376.1,6026.73,6376.1,6376.1,739124,0.0,0.0
2012-07-20,6376.1,6550.79,6201.42,6201.42,6201.42,698469,0.0,0.0
2012-07-23,6114.07,6201.42,6026.73,6114.07,6114.07,281874,0.0,0.0
2012-07-24,6026.73,6026.73,5852.04,5852.04,5852.04,482552,0.0,0.0
2012-07-25,5852.04,5939.38,5677.35,5764.7,5764.7,299551,0.0,0.0
2012-07-26,5939.38,5939.38,5677.35,5852.04,5852.04,263349,0.0,0.0
2012-07-27,5677.35,5852.04,5590.01,5590.01,5590.01,109395,0.0,0.0
2012-07-30,5677.35,5852.04,5590.01,5590.01,5590.01,109395,0.0,0.0
2012-07-31,5677.35,5852.04,5590.01,5677.35,5677.35,121783,0.0,0.0
2012-08-01,5677.35,5677.35,5502.66,5677.35,5677.35,57290,0.0,0.0
2012-08-02,5677.35,5764.7,5590.01,5677.35,5677.35,83268,0.0,0.0
2012-08-03,5590.01,5677.35,5590.01,5677.35,5677.35,95072,0.0,0.0
2012-08-06,5677.35,5939.38,5677.35,5939.38,5939.38,293266,0.0,0.0
2012-08-07,5939.38,6026.73,5764.7,5939.38,5939.38,124290,0.0,0.0
2012-08-08,5939.38,6026.73,5852.04,5939.38,5939.38,82352,0.0,0.0
2012-08-09,6026.73,6201.42,5939.38,6201.42,6201.42,495547,0.0,0.0
2012-08-10,6376.1,6463.45,6201.42,6288.76,6288.76,1025967,0.0,0.0
2012-08-13,6288.76,6288.76,6026.73,6026.73,6026.73,203151,0.0,0.0
2012-08-14,6114.07,6201.42,6026.73,6201.42,6201.42,151447,0.0,0.0
2012-08-15,6288.76,6376.1,6201.42,6288.76,6288.76,449144,0.0,0.0
2012-08-16,6288.76,6288.76,6114.07,6114.07,6114.07,208932,0.0,0.0
2012-08-17,6114.07,6288.76,6114.07,6201.42,6201.42,307680,0.0,0.0
2012-08-20,6376.1,6463.45,6288.76,6463.45,6463.45,713444,0.0,0.0
2012-08-21,6725.48,6725.48,6201.42,6201.42,6201.42,2512986,0.0,0.0
2012-08-22,6201.42,6463.45,6114.07,6463.45,6463.45,1209392,0.0,0.0
2012-08-23,6288.76,6463.45,6201.42,6201.42,6201.42,240635,0.0,0.0
2012-08-24,6026.73,6463.45,5939.38,6376.1,6376.1,780226,0.0,0.0
2012-08-27,6201.42,6201.42,6114.07,6114.07,6114.07,247985,0.0,0.0
2012-08-28,5852.04,6026.73,5852.04,5852.04,5852.04,902524,0.0,0.0
