Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2004-07-19,13.25,14.53,12.91,13.2,13.2,542331,0.0,0.0
2004-07-20,13.25,13.25,12.7,12.9,12.9,1225773,0.0,0.0
2004-07-21,12.33,13.1,12.32,12.7,12.7,1155337,0.0,0.0
2004-07-22,12.61,12.61,12.08,12.3,12.3,1451007,0.0,0.0
2004-07-23,12.2,12.2,11.5,11.82,11.82,1785640,0.0,0.0
2004-07-26,11.65,11.7,10.89,11.05,11.05,1976589,0.0,0.0
2004-07-27,11.06,11.84,11.05,11.75,11.75,1310459,0.0,0.0
2004-07-28,11.55,13.24,11.55,11.75,11.75,678664,0.0,0.0
2004-07-29,12.1,12.1,11.26,11.3,11.3,512074,0.0,0.0
2004-07-30,11.25,11.32,11.05,11.32,11.32,577227,0.0,0.0
2004-08-02,11.32,11.7,11.3,11.7,11.7,685148,0.0,0.0
2004-08-03,11.65,12.15,11.65,12.1,12.1,613389,0.0,0.0
2004-08-04,11.97,11.97,10.8,11.15,11.15,3602636,0.0,0.0
2004-08-05,11.25,11.3,10.49,10.5,10.5,1917180,0.0,0.0
2004-08-06,10.5,10.6,10.25,10.4,10.4,1137538,0.0,0.0
2004-08-09,10.6,10.63,9.78,10.0,10.0,1343119,0.0,0.0
2004-08-10,9.99,10.25,9.95,10.15,10.15,928763,0.0,0.0
2004-08-11,10.06,10.5,10.06,10.37,10.37,491058,0.0,0.0
2004-08-12,10.3,10.76,10.21,10.75,10.75,745535,0.0,0.0
2004-08-13,10.73,10.87,10.7,10.75,10.75,677141,0.0,0.0
2004-08-16,10.76,11.0,10.7,11.0,11.0,228003,0.0,0.0
2004-08-17,11.01,11.16,10.97,11.05,11.05,725731,0.0,0.0
2004-08-18,11.0,11.25,10.95,11.25,11.25,1142959,0.0,0.0
2004-08-19,11.23,11.23,11.15,11.2,11.2,95842,0.0,0.0
2004-08-20,11.2,11.25,11.14,11.15,11.15,449496,0.0,0.0
2004-08-23,11.16,11.2,10.93,11.0,11.0,63464,0.0,0.0
2004-08-24,11.13,11.21,11.1,11.12,11.12,499201,0.0,0.0
