Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1988-11-02,0.0,2.37,2.36,2.36,0.69,6065707,0.0,0.0
1988-11-03,0.0,2.38,2.36,2.37,0.69,2756671,0.0,0.0
1988-11-04,0.0,2.36,2.34,2.35,0.69,2985857,0.0,0.0
1988-11-07,0.0,2.36,2.34,2.36,0.69,2384566,0.0,0.0
1988-11-08,0.0,2.39,2.38,2.39,0.7,2506884,0.0,0.0
1988-11-09,0.0,2.39,2.38,2.38,0.7,5705189,0.0,0.0
1988-11-10,0.0,2.43,2.39,2.43,0.71,1569539,0.0,0.0
1988-11-11,0.0,2.43,2.4,2.4,0.7,2096152,0.0,0.0
1988-11-14,0.0,2.41,2.39,2.41,0.7,2381991,0.0,0.0
1988-11-15,0.0,2.4,2.39,2.4,0.7,2275123,0.0,0.0
1988-11-16,0.0,2.44,2.42,2.43,0.71,2594438,0.0,0.0
1988-11-17,0.0,2.46,2.44,2.46,0.72,934770,0.0,0.0
1988-11-18,0.0,2.45,2.45,2.45,0.72,887131,0.0,0.0
1988-11-21,0.0,2.46,2.44,2.44,0.71,2416755,0.0,0.0
1988-11-22,0.0,2.45,2.43,2.45,0.72,428758,0.0,0.0
1988-11-23,0.0,2.46,2.45,2.46,0.72,915457,0.0,0.0
1988-11-25,0.0,2.35,2.33,2.33,0.68,2832638,0.0,0.0
1988-11-28,0.0,2.32,2.3,2.31,0.68,2546799,0.0,0.0
1988-11-29,0.0,2.31,2.3,2.31,0.68,2665254,0.0,0.0
1988-11-30,0.0,2.33,2.32,2.32,0.68,3000021,0.0,0.0
1988-12-01,0.0,2.32,2.31,2.32,0.68,3329637,0.0,0.0
1988-12-02,0.0,2.32,2.31,2.32,0.68,1315889,0.0,0.0
1988-12-05,0.0,2.34,2.31,2.34,0.68,1590140,0.0,0.0
1988-12-06,0.0,2.34,2.33,2.34,0.68,1279837,0.0,0.0
1988-12-07,0.0,2.32,2.3,2.31,0.68,3431354,0.0,0.0
1988-12-08,0.0,2.31,2.3,2.31,0.68,974685,0.0,0.0
1988-12-09,0.0,2.31,2.29,2.31,0.68,2236496,0.0,0.0
1988-12-12,0.0,2.32,2.3,2.31,0.68,1462671,0.0,0.0
1988-12-13,0.0,2.32,2.3,2.32,0.68,3038648,0.0,0.0
1988-12-14,0.0,2.38,2.32,2.36,0.69,3753245,0.0,0.0
1988-12-15,0.0,2.4,2.36,2.4,0.7,1718896,0.0,0.0
1988-12-16,2.42,2.48,2.42,2.48,0.72,2029199,0.0,0.0
1988-12-19,2.46,2.49,2.46,2.49,0.73,2581563,0.0,0.0
1988-12-20,2.49,2.5,2.49,2.49,0.73,4165265,0.0,0.0
1988-12-21,2.5,2.51,2.49,2.5,0.73,2494009,0.0,0.0
1988-12-22,2.5,2.51,2.5,2.51,0.74,1387992,0.0,0.0
1988-12-23,2.51,2.52,2.51,2.51,0.74,794426,0.0,0.0
1988-12-27,2.52,2.52,2.51,2.51,0.74,601292,0.0,0.0
1988-12-28,2.52,2.55,2.51,2.55,0.75,2991008,0.0,0.0
1988-12-29,2.57,2.62,2.57,2.61,0.76,1225760,0.0,0.0
1988-12-30,2.63,2.65,2.62,2.62,0.77,742924,0.0,0.0
1989-01-03,2.61,2.65,2.61,2.63,0.77,1613316,0.0,0.0
1989-01-04,2.66,2.76,2.66,2.72,0.79,5188877,0.0,0.0
1989-01-05,2.71,2.73,2.7,2.7,0.79,2197869,0.0,0.0
1989-01-06,2.69,2.72,2.68,2.72,0.79,2181131,0.0,0.0
1989-01-09,2.72,2.75,2.72,2.74,0.8,1248936,0.0,0.0
1989-01-10,2.75,2.75,2.72,2.72,0.79,1488422,0.0,0.0
1989-01-11,2.73,2.78,2.73,2.76,0.81,1466534,0.0,0.0
1989-01-12,2.78,2.85,2.78,2.84,0.83,4624925,0.0,0.0
1989-01-13,2.86,2.89,2.85,2.86,0.84,1237348,0.0,0.0
1989-01-16,2.85,2.88,2.85,2.86,0.84,1026187,0.0,0.0
1989-01-17,2.87,2.87,2.84,2.85,0.83,1542500,0.0,0.0
1989-01-18,2.85,2.98,2.85,2.97,0.87,5527506,0.0,0.0
1989-01-19,3.32,3.32,3.17,3.22,0.94,6919361,0.0,0.0
1989-01-20,3.2,3.24,3.2,3.22,0.94,3696592,0.0,0.0
1989-01-23,3.2,3.23,3.14,3.22,0.94,4219342,0.0,0.0
1989-01-24,3.2,3.34,3.2,3.34,0.98,3522771,0.0,0.0
1989-01-25,3.42,3.5,3.4,3.47,1.01,6643823,0.0,0.0
1989-01-26,3.44,3.45,3.32,3.38,0.99,11575187,0.0,0.0
1989-01-27,3.42,3.48,3.4,3.44,1.0,5088447,0.0,0.0
1989-01-30,3.48,3.49,3.45,3.49,1.02,2486283,0.0,0.0
1989-01-31,3.5,3.6,3.5,3.6,1.05,2654954,0.0,0.0
1989-02-01,3.6,3.68,3.6,3.62,1.06,2922767,0.0,0.0
1989-02-02,3.64,3.65,3.61,3.62,1.06,1839927,0.0,0.0
1989-02-03,3.64,3.71,3.64,3.65,1.07,861379,0.0,0.0
