Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1978-10-31,0.0,1.38,1.12,1.12,0.9,13600,0.0,0.0
1978-11-01,0.0,1.44,1.19,1.19,0.95,27600,0.0,0.0
1978-11-02,0.0,1.56,1.31,1.31,1.05,23000,0.0,0.0
1978-11-03,0.0,1.56,1.31,1.31,1.05,7400,0.0,0.0
1978-11-06,0.0,1.81,1.56,1.56,1.25,10800,0.0,0.0
1978-11-07,0.0,1.75,1.5,1.5,1.2,1800,0.0,0.0
1978-11-08,0.0,1.81,1.56,1.56,1.25,800,0.0,0.0
1978-11-09,0.0,1.81,1.56,1.56,1.25,5000,0.0,0.0
1978-11-10,0.0,1.81,1.56,1.56,1.25,2000,0.0,0.0
1978-11-13,0.0,1.75,1.5,1.5,1.2,10000,0.0,0.0
1978-11-14,0.0,1.62,1.38,1.38,1.1,1800,0.0,0.0
1978-11-15,0.0,1.44,1.19,1.19,0.95,16000,0.0,0.0
1978-11-16,0.0,1.44,1.19,1.19,0.95,8400,0.0,0.0
1978-11-17,0.0,1.38,1.12,1.12,0.9,15600,0.0,0.0
1978-11-20,0.0,1.56,1.31,1.31,1.05,64200,0.0,0.0
1978-11-21,0.0,1.44,1.19,1.19,0.95,15400,0.0,0.0
1978-11-22,0.0,1.44,1.19,1.19,0.95,3800,0.0,0.0
1978-11-24,0.0,1.38,1.12,1.12,0.9,2400,0.0,0.0
1978-11-27,0.0,1.38,1.12,1.12,0.9,1000,0.0,0.0
1978-11-28,0.0,1.38,1.12,1.12,0.9,4600,0.0,0.0
1978-11-29,0.0,1.31,1.06,1.06,0.85,12600,0.0,0.0
1978-11-30,0.0,1.31,1.06,1.06,0.85,5600,0.0,0.0
1978-12-01,0.0,1.31,1.06,1.06,0.85,3800,0.0,0.0
1978-12-04,0.0,1.31,1.06,1.06,0.85,3000,0.0,0.0
1978-12-05,0.0,1.31,1.06,1.06,0.85,3000,0.0,0.0
1978-12-06,0.0,1.25,1.0,1.0,0.8,20000,0.0,0.0
1978-12-07,0.0,1.25,1.0,1.0,0.8,7200,0.0,0.0
1978-12-08,0.0,1.25,1.0,1.0,0.8,3200,0.0,0.0
1978-12-11,0.0,1.25,1.0,1.0,0.8,600,0.0,0.0
1978-12-12,0.0,1.25,1.0,1.0,0.8,5800,0.0,0.0
1978-12-13,0.0,1.19,0.94,0.94,0.75,43200,0.0,0.0
1978-12-14,0.0,1.12,0.88,0.88,0.7,22600,0.0,0.0
1978-12-15,0.0,1.0,0.75,0.75,0.6,39600,0.0,0.0
1978-12-18,0.0,0.94,0.69,0.69,0.55,17600,0.0,0.0
1978-12-19,0.0,1.0,0.75,0.75,0.6,8000,0.0,0.0
1978-12-20,0.75,0.75,0.75,0.75,0.6,0,0.0,0.0
1978-12-21,0.0,1.06,0.81,0.81,0.65,8800,0.0,0.0
1978-12-22,0.0,1.25,1.0,1.0,0.8,7800,0.0,0.0
1978-12-26,0.0,1.25,1.0,1.0,0.8,5200,0.0,0.0
1978-12-27,0.0,1.19,0.94,0.94,0.75,7400,0.0,0.0
1978-12-28,0.0,1.19,0.94,0.94,0.75,2400,0.0,0.0
1978-12-29,0.0,1.19,0.94,0.94,0.75,10200,0.0,0.0
1979-01-02,0.0,1.19,0.94,0.94,0.75,2600,0.0,0.0
1979-01-03,0.0,1.19,0.94,0.94,0.75,2800,0.0,0.0
1979-01-04,0.0,1.25,1.0,1.0,0.8,11400,0.0,0.0
1979-01-05,0.0,1.19,0.94,0.94,0.75,7800,0.0,0.0
1979-01-08,0.0,1.19,0.94,0.94,0.75,30200,0.0,0.0
1979-01-09,0.0,1.19,0.94,0.94,0.75,16400,0.0,0.0
1979-01-10,0.0,1.19,0.94,0.94,0.75,13600,0.0,0.0
1979-01-11,0.0,1.19,0.94,0.94,0.75,23200,0.0,0.0
1979-01-12,0.0,1.38,1.12,1.12,0.9,43400,0.0,0.0
1979-01-15,0.0,1.38,1.12,1.12,0.9,12600,0.0,0.0
1979-01-16,0.0,1.31,1.06,1.06,0.85,14200,0.0,0.0
1979-01-17,0.0,1.25,1.0,1.0,0.8,6000,0.0,0.0
1979-01-18,0.0,1.25,1.0,1.0,0.8,3000,0.0,0.0
1979-01-19,0.0,1.31,1.06,1.06,0.85,13800,0.0,0.0
1979-01-22,0.0,1.38,1.12,1.12,0.9,13600,0.0,0.0
1979-01-23,0.0,1.5,1.25,1.25,1.0,24000,0.0,0.0
1979-01-24,0.0,1.62,1.38,1.38,1.1,52800,0.0,0.0
1979-01-25,0.0,1.81,1.56,1.56,1.25,24000,0.0,0.0
1979-01-26,0.0,1.69,1.44,1.44,1.15,53800,0.0,0.0
1979-01-29,0.0,1.75,1.5,1.5,1.2,41000,0.0,0.0
1979-01-30,0.0,1.69,1.44,1.44,1.15,18400,0.0,0.0
1979-01-31,0.0,1.69,1.44,1.44,1.15,12800,0.0,0.0
1979-02-01,0.0,1.69,1.44,1.44,1.15,15400,0.0,0.0
1979-02-02,0.0,1.69,1.44,1.44,1.15,35400,0.0,0.0
1979-02-05,0.0,1.56,1.31,1.31,1.05,51000,0.0,0.0
1979-02-06,0.0,1.62,1.38,1.38,1.1,6600,0.0,0.0
1979-02-07,0.0,1.62,1.38,1.38,1.1,11800,0.0,0.0
1979-02-08,0.0,1.62,1.38,1.38,1.1,7800,0.0,0.0
1979-02-09,0.0,1.62,1.38,1.38,1.1,19200,0.0,0.0
1979-02-12,0.0,1.62,1.38,1.38,1.1,2200,0.0,0.0
1979-02-13,0.0,1.56,1.31,1.31,1.05,12800,0.0,0.0
1979-02-14,0.0,1.56,1.31,1.31,1.05,5200,0.0,0.0
1979-02-15,0.0,1.56,1.31,1.31,1.05,80000,0.0,0.0
1979-02-16,0.0,1.56,1.31,1.31,1.05,33600,0.0,0.0
1979-02-20,0.0,1.5,1.25,1.25,1.0,14200,0.0,0.0
1979-02-21,0.0,1.5,1.25,1.25,1.0,34600,0.0,0.0
1979-02-22,0.0,1.44,1.19,1.19,0.95,19600,0.0,0.0
1979-02-23,0.0,1.5,1.25,1.25,1.0,21600,0.0,0.0
1979-02-26,0.0,1.44,1.19,1.19,0.95,17800,0.0,0.0
1979-02-27,0.0,1.38,1.12,1.12,0.9,14000,0.0,0.0
1979-02-28,0.0,1.38,1.12,1.12,0.9,3600,0.0,0.0
1979-03-01,0.0,1.31,1.06,1.06,0.85,16000,0.0,0.0
1979-03-02,0.0,1.5,1.25,1.25,1.0,62400,0.0,0.0
1979-03-05,0.0,1.5,1.25,1.25,1.0,31600,0.0,0.0
1979-03-06,0.0,1.44,1.19,1.19,0.95,12000,0.0,0.0
1979-03-07,0.0,1.38,1.12,1.12,0.9,17600,0.0,0.0
1979-03-08,0.0,1.38,1.12,1.12,0.9,10000,0.0,0.0
1979-03-09,0.0,1.38,1.12,1.12,0.9,12200,0.0,0.0
1979-03-12,0.0,1.44,1.19,1.19,0.95,14200,0.0,0.0
1979-03-13,0.0,1.38,1.12,1.12,0.9,15200,0.0,0.0
1979-03-14,0.0,1.38,1.12,1.12,0.9,7800,0.0,0.0
1979-03-15,0.0,1.31,1.06,1.06,0.85,10000,0.0,0.0
1979-03-16,0.0,1.31,1.06,1.06,0.85,7600,0.0,0.0
1979-03-19,0.0,1.31,1.06,1.06,0.85,9200,0.0,0.0
1979-03-20,0.0,1.38,1.12,1.12,0.9,8200,0.0,0.0
1979-03-21,0.0,1.5,1.25,1.25,1.0,22600,0.0,0.0
1979-03-22,0.0,1.5,1.25,1.25,1.0,36400,0.0,0.0
1979-03-23,0.0,1.62,1.38,1.38,1.1,58800,0.0,0.0
1979-03-26,0.0,1.81,1.56,1.56,1.25,29400,0.0,0.0
1979-03-27,0.0,2.0,1.75,1.75,1.4,67400,0.0,0.0
1979-03-28,0.0,1.75,1.5,1.5,1.2,31800,0.0,0.0
1979-03-29,0.0,1.88,1.62,1.62,1.3,27600,0.0,0.0
1979-03-30,0.0,1.94,1.69,1.69,1.35,12400,0.0,0.0
1979-04-02,0.0,1.88,1.62,1.62,1.3,27000,0.0,0.0
1979-04-03,0.0,1.94,1.69,1.69,1.35,21200,0.0,0.0
1979-04-04,0.0,2.0,1.75,1.75,1.4,14600,0.0,0.0
1979-04-05,0.0,1.88,1.62,1.62,1.3,10000,0.0,0.0
1979-04-06,0.0,1.94,1.69,1.69,1.35,8000,0.0,0.0
1979-04-09,0.0,1.88,1.62,1.62,1.3,9000,0.0,0.0
1979-04-10,0.0,1.88,1.62,1.62,1.3,16600,0.0,0.0
1979-04-11,0.0,1.81,1.56,1.56,1.25,21600,0.0,0.0
1979-04-12,0.0,1.75,1.5,1.5,1.2,12400,0.0,0.0
1979-04-16,0.0,1.69,1.44,1.44,1.15,15200,0.0,0.0
1979-04-17,0.0,1.62,1.38,1.38,1.1,19400,0.0,0.0
1979-04-18,0.0,1.62,1.38,1.38,1.1,4800,0.0,0.0
1979-04-19,0.0,1.69,1.44,1.44,1.15,9000,0.0,0.0
1979-04-20,0.0,1.75,1.5,1.5,1.2,5600,0.0,0.0
1979-04-23,0.0,1.75,1.5,1.5,1.2,27200,0.0,0.0
1979-04-24,0.0,1.75,1.5,1.5,1.2,47200,0.0,0.0
1979-04-25,0.0,1.81,1.56,1.56,1.25,8800,0.0,0.0
1979-04-26,0.0,1.81,1.56,1.56,1.25,8600,0.0,0.0
1979-04-27,0.0,1.81,1.56,1.56,1.25,10800,0.0,0.0
1979-04-30,0.0,1.81,1.56,1.56,1.25,8800,0.0,0.0
1979-05-01,0.0,1.75,1.5,1.5,1.2,6000,0.0,0.0
1979-05-02,0.0,1.75,1.5,1.5,1.2,6600,0.0,0.0
1979-05-03,0.0,1.75,1.5,1.5,1.2,11600,0.0,0.0
1979-05-04,0.0,1.75,1.5,1.5,1.2,19200,0.0,0.0
1979-05-07,0.0,1.69,1.44,1.44,1.15,9800,0.0,0.0
1979-05-08,0.0,1.69,1.44,1.44,1.15,8200,0.0,0.0
1979-05-09,0.0,1.75,1.5,1.5,1.2,10800,0.0,0.0
1979-05-10,0.0,1.69,1.44,1.44,1.15,11600,0.0,0.0
1979-05-11,0.0,1.75,1.5,1.5,1.2,9600,0.0,0.0
1979-05-14,0.0,1.69,1.44,1.44,1.15,20200,0.0,0.0
1979-05-15,0.0,1.69,1.44,1.44,1.15,9400,0.0,0.0
1979-05-16,0.0,1.69,1.44,1.44,1.15,19600,0.0,0.0
1979-05-17,0.0,1.69,1.44,1.44,1.15,52000,0.0,0.0
1979-05-18,0.0,1.69,1.44,1.44,1.15,7400,0.0,0.0
1979-05-21,0.0,1.69,1.44,1.44,1.15,8800,0.0,0.0
1979-05-22,0.0,1.69,1.44,1.44,1.15,4200,0.0,0.0
1979-05-23,0.0,1.69,1.44,1.44,1.15,3800,0.0,0.0
1979-05-24,0.0,1.69,1.44,1.44,1.15,10400,0.0,0.0
1979-05-25,0.0,1.75,1.5,1.5,1.2,28800,0.0,0.0
1979-05-29,0.0,1.75,1.5,1.5,1.2,6200,0.0,0.0
1979-05-30,0.0,1.75,1.5,1.5,1.2,10600,0.0,0.0
1979-05-31,0.0,1.75,1.5,1.5,1.2,5000,0.0,0.0
1979-06-01,0.0,1.75,1.5,1.5,1.2,9600,0.0,0.0
1979-06-04,0.0,1.75,1.5,1.5,1.2,21200,0.0,0.0
1979-06-05,0.0,1.69,1.44,1.44,1.15,23000,0.0,0.0
1979-06-06,0.0,1.62,1.38,1.38,1.1,3200,0.0,0.0
1979-06-07,0.0,1.62,1.38,1.38,1.1,13600,0.0,0.0
1979-06-08,0.0,1.62,1.38,1.38,1.1,4800,0.0,0.0
1979-06-11,0.0,1.69,1.44,1.44,1.15,6400,0.0,0.0
1979-06-12,0.0,1.69,1.44,1.44,1.15,21000,0.0,0.0
1979-06-13,0.0,1.56,1.31,1.31,1.05,15400,0.0,0.0
1979-06-14,0.0,1.56,1.31,1.31,1.05,8600,0.0,0.0
1979-06-15,0.0,1.56,1.31,1.31,1.05,4000,0.0,0.0
1979-06-18,0.0,1.56,1.31,1.31,1.05,9600,0.0,0.0
1979-06-19,0.0,1.56,1.31,1.31,1.05,4800,0.0,0.0
1979-06-20,0.0,1.56,1.31,1.31,1.05,13600,0.0,0.0
1979-06-21,0.0,1.5,1.25,1.25,1.0,5000,0.0,0.0
1979-06-22,0.0,1.56,1.31,1.31,1.05,17800,0.0,0.0
1979-06-25,0.0,1.56,1.31,1.31,1.05,22400,0.0,0.0
1979-06-26,0.0,1.56,1.31,1.31,1.05,2200,0.0,0.0
1979-06-27,0.0,1.56,1.31,1.31,1.05,200,0.0,0.0
1979-06-28,0.0,1.56,1.31,1.31,1.05,3600,0.0,0.0
1979-06-29,0.0,1.56,1.31,1.31,1.05,2800,0.0,0.0
1979-07-02,0.0,1.56,1.31,1.31,1.05,9000,0.0,0.0
1979-07-03,0.0,1.5,1.25,1.25,1.0,7600,0.0,0.0
1979-07-05,0.0,1.5,1.25,1.25,1.0,3000,0.0,0.0
1979-07-06,0.0,1.56,1.31,1.31,1.05,3000,0.0,0.0
1979-07-09,0.0,1.56,1.31,1.31,1.05,4000,0.0,0.0
1979-07-10,0.0,1.56,1.31,1.31,1.05,5800,0.0,0.0
1979-07-11,0.0,1.56,1.31,1.31,1.05,6200,0.0,0.0
1979-07-12,0.0,1.56,1.31,1.31,1.05,2200,0.0,0.0
1979-07-13,0.0,1.5,1.25,1.25,1.0,3800,0.0,0.0
1979-07-16,0.0,1.5,1.25,1.25,1.0,10200,0.0,0.0
1979-07-17,0.0,1.44,1.19,1.19,0.95,32000,0.0,0.0
1979-07-18,0.0,1.38,1.12,1.12,0.9,20400,0.0,0.0
1979-07-19,0.0,1.38,1.12,1.12,0.9,6000,0.0,0.0
1979-07-20,0.0,1.38,1.12,1.12,0.9,2200,0.0,0.0
1979-07-23,1.12,1.12,1.12,1.12,0.9,0,0.0,0.0
1979-07-24,0.0,1.38,1.12,1.12,0.9,5800,0.0,0.0
1979-07-25,0.0,1.38,1.12,1.12,0.9,6400,0.0,0.0
1979-07-26,0.0,1.31,1.06,1.06,0.85,6600,0.0,0.0
1979-07-27,0.0,1.31,1.06,1.06,0.85,2400,0.0,0.0
