Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1972-06-01,0.0,0.88,0.88,0.88,0.15,249600,0.0,0.0
1972-06-02,0.88,0.89,0.88,0.88,0.15,172800,0.0,0.0
1972-06-05,0.88,0.9,0.88,0.9,0.15,302400,0.0,0.0
1972-06-06,0.9,0.91,0.89,0.9,0.15,196800,0.0,0.0
1972-06-07,0.9,0.9,0.89,0.89,0.15,48000,0.0,0.0
1972-06-08,0.89,0.9,0.89,0.89,0.15,144000,0.0,0.0
1972-06-09,0.89,0.9,0.89,0.89,0.15,43200,0.0,0.0
1972-06-12,0.9,0.9,0.9,0.9,0.15,24000,0.0,0.0
1972-06-13,0.9,0.9,0.89,0.89,0.15,76800,0.0,0.0
1972-06-14,0.89,0.89,0.89,0.89,0.15,244800,0.0,0.0
1972-06-15,0.89,0.89,0.89,0.89,0.15,206400,0.0,0.0
1972-06-16,0.89,0.9,0.89,0.9,0.15,48000,0.0,0.0
1972-06-19,0.9,0.9,0.89,0.89,0.15,91200,0.0,0.0
1972-06-20,0.89,0.9,0.89,0.9,0.15,14400,0.0,0.0
1972-06-21,0.9,0.9,0.89,0.89,0.15,48000,0.0,0.0
1972-06-22,0.89,0.9,0.89,0.9,0.15,86400,0.0,0.0
1972-06-23,0.91,0.91,0.91,0.91,0.16,96000,0.0,0.0
1972-06-26,0.91,0.92,0.91,0.92,0.16,62400,0.0,0.0
1972-06-27,0.92,0.93,0.92,0.92,0.16,67200,0.0,0.0
1972-06-28,0.93,0.95,0.93,0.95,0.16,144000,0.0,0.0
1972-06-29,0.95,0.95,0.95,0.95,0.16,28800,0.0,0.0
1972-06-30,0.95,0.96,0.95,0.96,0.16,72000,0.0,0.0
1972-07-03,0.96,0.97,0.96,0.97,0.17,57600,0.0,0.0
1972-07-05,0.97,0.97,0.96,0.96,0.16,211200,0.0,0.0
1972-07-06,0.97,1.01,0.97,1.01,0.17,254400,0.0,0.0
1972-07-07,1.01,1.03,1.01,1.02,0.17,412800,0.0,0.0
1972-07-10,1.02,1.02,1.01,1.02,0.17,0,0.0,0.0
1972-07-11,1.02,1.02,1.02,1.02,0.17,2904000,0.0,0.0
1972-07-12,1.02,1.03,1.02,1.02,0.17,259200,0.0,0.0
1972-07-13,1.02,1.03,1.02,1.03,0.18,225600,0.0,0.0
1972-07-14,1.03,1.03,1.02,1.03,0.18,172800,0.0,0.0
1972-07-17,1.03,1.03,1.03,1.03,0.18,62400,0.0,0.0
1972-07-18,1.03,1.04,1.03,1.04,0.18,220800,0.0,0.0
