Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
2002-10-25,13.0,13.15,12.85,13.01,7.18,13965800,0.0,0.0
2002-10-28,13.01,13.05,12.96,13.01,7.18,5505900,0.0,0.0
2002-10-29,13.0,13.01,12.04,12.64,6.98,2235800,0.0,0.0
2002-10-30,12.61,12.62,12.13,12.5,6.9,905800,0.0,0.0
2002-10-31,12.56,13.02,12.5,12.61,6.96,298900,0.0,0.0
2002-11-01,12.59,12.7,12.57,12.61,6.96,268800,0.0,0.0
2002-11-04,12.66,12.95,12.65,12.91,7.12,1307600,0.0,0.0
2002-11-05,12.91,13.24,12.89,13.02,7.18,2384700,0.0,0.0
2002-11-06,13.03,13.2,13.0,13.0,7.17,204300,0.0,0.0
2002-11-07,13.08,13.16,12.36,13.05,7.2,724200,0.0,0.0
2002-11-08,13.02,13.03,12.83,12.93,7.14,106400,0.0,0.0
2002-11-11,13.0,13.0,12.65,12.71,7.01,110500,0.0,0.0
2002-11-12,12.73,12.74,11.86,11.96,6.6,540700,0.0,0.0
2002-11-13,12.05,12.09,10.76,11.1,6.13,685600,0.0,0.0
2002-11-14,11.13,11.25,10.88,11.09,6.12,462800,0.0,0.0
2002-11-15,11.1,11.56,11.08,11.55,6.37,460700,0.0,0.0
2002-11-18,11.58,13.05,11.57,12.18,6.72,325400,0.0,0.0
2002-11-19,12.36,12.8,12.02,12.6,6.95,211400,0.0,0.0
2002-11-20,12.56,12.6,12.23,12.41,6.85,92700,0.0,0.0
2002-11-21,12.54,12.85,12.54,12.85,7.09,91300,0.0,0.0
2002-11-22,12.85,12.86,12.5,12.65,6.98,55300,0.0,0.0
2002-11-25,12.8,13.0,12.66,12.93,7.14,111000,0.0,0.0
2002-11-26,12.94,12.94,12.74,12.74,7.03,59300,0.0,0.0
2002-11-27,12.9,12.9,12.5,12.5,6.9,94300,0.0,0.0
2002-11-29,12.78,12.89,12.6,12.82,7.07,35400,0.0,0.0
2002-12-02,12.94,12.95,12.35,12.41,6.85,93600,0.0,0.0
2002-12-03,12.5,12.5,12.31,12.37,6.83,31100,0.0,0.0
2002-12-04,12.45,12.6,12.31,12.6,6.95,42300,0.0,0.0
2002-12-05,12.85,13.3,12.76,13.28,7.33,366100,0.0,0.0
2002-12-06,13.15,13.38,12.99,13.18,7.27,129300,0.0,0.0
2002-12-09,13.29,13.3,12.87,13.0,7.17,106900,0.0,0.0
2002-12-10,13.0,13.19,12.93,13.0,7.17,48300,0.0,0.0
2002-12-11,13.1,13.39,13.02,13.25,7.31,189700,0.0,0.0
2002-12-12,13.39,13.8,13.27,13.74,7.58,361400,0.0,0.0
2002-12-13,13.72,14.39,13.53,13.6,7.5,615500,0.0,0.0
2002-12-16,13.74,14.07,13.66,13.68,7.55,170900,0.0,0.0
2002-12-17,13.91,13.91,13.31,13.48,7.44,95100,0.0,0.0
2002-12-18,13.5,13.59,13.06,13.32,7.35,110800,0.0,0.0
2002-12-19,13.5,13.5,12.5,12.75,7.04,233700,0.0,0.0
2002-12-20,12.79,13.4,12.69,13.08,7.22,134900,0.0,0.0
2002-12-23,13.09,13.59,13.01,13.45,7.42,65300,0.0,0.0
2002-12-24,13.6,13.91,13.32,13.51,7.46,52300,0.0,0.0
2002-12-26,13.66,13.66,12.96,13.25,7.31,16300,0.0,0.0
2002-12-27,13.29,13.29,12.95,13.0,7.17,42500,0.0,0.0
2002-12-30,13.09,13.36,13.0,13.1,7.23,26700,0.0,0.0
2002-12-31,13.35,13.5,13.1,13.11,7.23,72000,0.0,0.0
2003-01-02,13.01,13.5,13.0,13.5,7.45,89700,0.0,0.0
2003-01-03,13.5,13.6,13.32,13.4,7.39,73200,0.0,0.0
2003-01-06,13.4,13.56,13.29,13.29,7.33,90700,0.0,0.0
2003-01-07,13.36,13.52,13.2,13.31,7.34,99300,0.0,0.0
2003-01-08,13.11,13.2,12.76,13.02,7.18,159100,0.0,0.0
2003-01-09,13.07,13.13,12.85,13.0,7.17,125900,0.0,0.0
2003-01-10,13.08,13.1,12.95,13.0,7.17,70500,0.0,0.0
2003-01-13,13.1,13.33,13.0,13.33,7.36,194700,0.0,0.0
2003-01-14,13.33,13.61,13.29,13.45,7.42,131200,0.0,0.0
2003-01-15,13.59,13.67,13.44,13.67,7.54,80300,0.0,0.0
2003-01-16,13.67,13.91,13.45,13.91,7.68,95500,0.0,0.0
2003-01-17,13.8,14.01,13.47,13.48,7.44,71300,0.0,0.0
2003-01-21,13.53,13.91,13.46,13.72,7.57,107700,0.0,0.0
2003-01-22,13.73,14.3,13.58,14.26,7.87,121500,0.0,0.0
2003-01-23,14.3,14.8,14.2,14.25,7.86,185500,0.0,0.0
2003-01-24,14.4,14.4,13.95,14.0,7.73,130500,0.0,0.0
2003-01-27,13.99,14.49,13.97,14.13,7.8,74000,0.0,0.0
2003-01-28,14.2,14.4,14.0,14.26,7.87,65700,0.0,0.0
2003-01-29,14.19,14.31,14.0,14.03,7.74,102800,0.0,0.0
2003-01-30,14.0,14.17,13.76,13.77,7.6,62600,0.0,0.0
2003-01-31,13.9,13.96,13.66,13.75,7.59,184000,0.0,0.0
2003-02-03,13.78,13.87,13.63,13.64,7.53,120100,0.0,0.0
2003-02-04,13.5,13.59,13.35,13.58,7.49,121800,0.0,0.0
2003-02-05,13.6,13.71,13.35,13.55,7.48,60200,0.0,0.0
2003-02-06,13.76,14.65,13.6,14.4,7.95,110600,0.0,0.0
2003-02-07,14.4,14.56,13.79,13.95,7.7,129500,0.0,0.0
2003-02-10,14.06,14.14,13.7,13.71,7.57,54600,0.0,0.0
2003-02-11,13.79,14.54,13.71,14.31,7.9,231000,0.0,0.0
2003-02-12,14.31,14.31,13.94,13.94,7.69,190500,0.0,0.0
2003-02-13,14.04,14.17,13.95,13.98,7.71,107800,0.0,0.0
2003-02-14,13.96,14.49,13.86,14.33,7.91,61100,0.0,0.0
2003-02-18,14.35,14.49,14.06,14.45,7.97,91100,0.0,0.0
2003-02-19,14.39,14.49,13.96,14.29,7.89,93500,0.0,0.0
2003-02-20,14.15,14.39,14.0,14.06,7.76,46800,0.0,0.0
2003-02-21,14.18,14.35,13.93,14.06,7.76,71500,0.0,0.0
2003-02-24,14.18,14.23,13.98,14.0,7.73,38800,0.0,0.0
2003-02-25,14.04,14.24,13.78,14.18,7.83,121100,0.0,0.0
2003-02-26,14.2,14.2,13.81,13.95,7.7,47600,0.0,0.0
2003-02-27,14.0,14.05,13.85,13.95,7.7,36500,0.0,0.0
2003-02-28,14.0,14.29,13.85,14.22,7.85,42700,0.0,0.0
2003-03-03,14.1,14.34,13.96,14.08,7.77,248400,0.0,0.0
2003-03-04,14.12,14.14,13.95,14.05,7.75,258400,0.0,0.0
2003-03-05,14.15,14.15,13.85,13.92,7.68,45500,0.0,0.0
2003-03-06,13.86,14.05,13.85,14.0,7.73,31300,0.0,0.0
2003-03-07,14.01,14.2,13.95,14.16,7.81,45300,0.0,0.0
2003-03-10,14.15,14.3,14.08,14.16,7.81,26700,0.0,0.0
2003-03-11,14.27,14.27,14.02,14.08,7.77,93400,0.0,0.0
2003-03-12,14.11,14.14,13.82,13.83,7.63,175200,0.0,0.0
2003-03-13,13.87,14.13,13.86,14.07,7.76,40800,0.0,0.0
2003-03-14,14.0,14.2,14.0,14.05,7.75,193100,0.0,0.0
2003-03-17,14.18,14.19,13.85,14.12,7.79,119900,0.0,0.0
2003-03-18,13.96,14.2,13.96,14.14,7.8,101900,0.0,0.0
2003-03-19,14.18,14.2,14.1,14.12,7.79,24100,0.0,0.0
2003-03-20,14.16,14.29,14.1,14.2,7.84,50400,0.0,0.0
2003-03-21,14.25,14.59,14.1,14.57,8.04,358200,0.0,0.0
2003-03-24,14.48,14.48,14.11,14.31,7.9,135100,0.0,0.0
2003-03-25,14.34,15.5,14.33,15.4,8.5,150200,0.0,0.0
2003-03-26,14.9,15.37,14.9,15.0,8.28,64500,0.0,0.0
2003-03-27,15.07,15.07,14.35,14.63,8.07,129500,0.0,0.0
2003-03-28,14.6,15.25,14.55,15.04,8.3,65500,0.0,0.0
2003-03-31,15.01,15.5,14.92,15.4,8.5,163100,0.0,0.0
2003-04-01,15.25,15.4,14.68,14.91,8.23,172600,0.0,0.0
2003-04-02,15.02,15.31,14.92,15.01,8.28,115400,0.0,0.0
2003-04-03,15.0,15.05,14.76,14.85,8.19,601900,0.0,0.0
2003-04-04,15.01,15.4,14.99,15.34,8.47,53500,0.0,0.0
2003-04-07,15.35,15.89,15.33,15.87,8.76,131200,0.0,0.0
2003-04-08,15.78,16.29,15.63,16.25,8.97,128400,0.0,0.0
2003-04-09,16.28,17.27,16.25,16.53,9.12,231300,0.0,0.0
