Date,Open,High,Low,Close,Adj_Close,Volume,Dividends,Splits
1987-08-12,0.0,0.7,0.67,0.67,0.55,783600,0.0,0.0
1987-08-13,0.0,0.74,0.72,0.72,0.6,543600,0.0,0.0
1987-08-14,0.0,0.74,0.72,0.72,0.6,348000,0.0,0.0
1987-08-17,0.0,0.76,0.73,0.73,0.61,90000,0.0,0.0
1987-08-18,0.0,0.75,0.71,0.71,0.59,415200,0.0,0.0
1987-08-19,0.0,0.73,0.69,0.69,0.57,158400,0.0,0.0
1987-08-20,0.0,0.73,0.69,0.69,0.57,76800,0.0,0.0
1987-08-21,0.0,0.72,0.69,0.69,0.57,44400,0.0,0.0
1987-08-24,0.0,0.72,0.7,0.7,0.58,26400,0.0,0.0
1987-08-25,0.0,0.72,0.7,0.7,0.58,33600,0.0,0.0
1987-08-26,0.0,0.72,0.7,0.7,0.58,62400,0.0,0.0
1987-08-27,0.0,0.72,0.7,0.7,0.58,26400,0.0,0.0
1987-08-28,0.0,0.72,0.7,0.7,0.58,49200,0.0,0.0
1987-08-31,0.0,0.72,0.7,0.7,0.58,60000,0.0,0.0
1987-09-01,0.0,0.72,0.7,0.7,0.58,230400,0.0,0.0
1987-09-02,0.0,0.72,0.7,0.7,0.58,181200,0.0,0.0
1987-09-03,0.0,0.72,0.7,0.7,0.58,44400,0.0,0.0
1987-09-04,0.0,0.72,0.7,0.7,0.58,79200,0.0,0.0
1987-09-08,0.0,0.71,0.66,0.66,0.55,26400,0.0,0.0
1987-09-09,0.0,0.71,0.66,0.66,0.55,20400,0.0,0.0
1987-09-10,0.0,0.7,0.66,0.66,0.55,4800,0.0,0.0
1987-09-11,0.0,0.7,0.66,0.66,0.55,12000,0.0,0.0
1987-09-14,0.0,0.7,0.66,0.66,0.55,34800,0.0,0.0
1987-09-15,0.0,0.7,0.67,0.67,0.55,13200,0.0,0.0
1987-09-16,0.0,0.7,0.67,0.67,0.55,9600,0.0,0.0
1987-09-17,0.0,0.71,0.67,0.67,0.55,20400,0.0,0.0
1987-09-18,0.67,0.67,0.67,0.67,0.55,0,0.0,0.0
1987-09-21,0.67,0.67,0.67,0.67,0.55,0,0.0,0.0
1987-09-22,0.0,0.7,0.66,0.66,0.55,2400,0.0,0.0
