id,exchange_id,ticker,instrument,name,sector,currency,created_date,last_updated_date
1920,,MMM,stock,3M Company,Industrials,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1921,,ABT,stock,Abbott Laboratories,Health Care,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1922,,ABBV,stock,AbbVie Inc.,Health Care,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1923,,ABMD,stock,ABIOMED Inc,Health Care,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1924,,ACN,stock,Accenture plc,Information Technology,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1925,,ATVI,stock,Activision Blizzard,Communication Services,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1926,,ADBE,stock,Adobe Systems Inc,Information Technology,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1927,,AMD,stock,Advanced Micro Devices Inc,Information Technology,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1928,,AAP,stock,Advance Auto Parts,Consumer Discretionary,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1929,,AES,stock,AES Corp,Utilities,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1930,,AMG,stock,Affiliated Managers Group Inc,Financials,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1931,,AFL,stock,AFLAC Inc,Financials,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1932,,A,stock,Agilent Technologies Inc,Health Care,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1933,,APD,stock,Air Products & Chemicals Inc,Materials,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1934,,AKAM,stock,Akamai Technologies Inc,Information Technology,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1935,,ALK,stock,Alaska Air Group Inc,Industrials,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1936,,ALB,stock,Albemarle Corp,Materials,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1937,,ARE,stock,Alexandria Real Estate Equities,Real Estate,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1938,,ALXN,stock,Alexion Pharmaceuticals,Health Care,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1939,,ALGN,stock,Align Technology,Health Care,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1940,,ALLE,stock,Allegion,Industrials,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1941,,AGN,stock,"Allergan, Plc",Health Care,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1942,,ADS,stock,Alliance Data Systems,Information Technology,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1943,,LNT,stock,Alliant Energy Corp,Utilities,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1944,,ALL,stock,Allstate Corp,Financials,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1945,,GOOGL,stock,Alphabet Inc Class A,Communication Services,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1946,,GOOG,stock,Alphabet Inc Class C,Communication Services,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1947,,MO,stock,Altria Group Inc,Consumer Staples,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1948,,AMZN,stock,Amazon.com Inc.,Consumer Discretionary,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1949,,AMCR,stock,Amcor plc,Materials,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1950,,AEE,stock,Ameren Corp,Utilities,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1951,,AAL,stock,American Airlines Group,Industrials,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1952,,AEP,stock,American Electric Power,Utilities,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1953,,AXP,stock,American Express Co,Financials,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1954,,AIG,stock,American International Group,Financials,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1955,,AMT,stock,American Tower Corp.,Real Estate,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1956,,AWK,stock,American Water Works Company Inc,Utilities,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1957,,AMP,stock,Ameriprise Financial,Financials,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1958,,ABC,stock,AmerisourceBergen Corp,Health Care,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1959,,AME,stock,AMETEK Inc.,Industrials,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1960,,AMGN,stock,Amgen Inc.,Health Care,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
1961,,APH,stock,Amphenol Corp,Information Technology,USD,2019-08-16 04:37:46,2019-08-16 04:37:46
