Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$16.81,-0.37,-2.154%,34432242.00,United States,,4039,Finance,Investment Managers
AAU,Almaden Minerals Ltd. Common Shares,$0.5539,0.0149,2.764%,76006938.00,Canada,2015,659591,,
ACU,Acme United Corporation. Common Stock,$42.66,-0.43,-0.998%,148607262.00,United States,1988,23286,Consumer Durables,Home Furnishings
ACY,AeroCentury Corp. Common Stock,$9.75,0.52,5.634%,15072369.00,United States,,222817,Technology,Diversified Commercial Services
ADRA,Adara Acquisition Corp. Class A Common Stock,$9.74,0.00,0.00%,140012500.00,United States,2021,7,,
AE,Adams Resources & Energy Inc. Common Stock,$27.00,0.00,0.00%,114777405.00,United States,,3372,Energy,Oilfield Services/Equipment
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$8.88,0.025,0.282%,450675789.00,United States,,30313,,
AGE,AgeX Therapeutics Inc. Common Stock,$1.25,-0.02,-1.575%,47418860.00,,2018,115013,Health Care,Major Pharmaceuticals
AIM,AIM ImmunoTech Inc. Common Stock,$2.08,-0.03,-1.422%,82555225.00,United States,,1105814,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$20.08,2.77,16.002%,59528465.00,United States,2014,93595,Finance,Investment Managers
AIRI,Air Industries Group Common Stock,$1.2476,0.0376,3.107%,39970044.00,United States,,164554,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$2.25,-0.06,-2.597%,52253258.00,China,,775246,Miscellaneous,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,$1.83,0.03,1.667%,358111104.00,United States,,1209525,Health Care,Major Pharmaceuticals
AMS,American Shared Hospital Services Common Stock,$2.63,0.09,3.543%,15256630.00,United States,,477716,Health Care,Medical Specialities
ANVS,Annovis Bio Inc. Common Stock,$44.60,-4.13,-8.475%,309848197.00,United States,2020,822476,Consumer Durables,Specialty Chemicals
APT,Alpha Pro Tech Ltd. Common Stock,$8.34,0.07,0.846%,111190973.00,Canada,,155552,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$4.06,-0.13,-3.103%,101258195.00,United States,,1081,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$1.30,0.00,0.00%,131128457.00,Canada,,826952,,
ASXC,Asensus Surgical Inc. Common Stock,$2.41,-0.08,-3.213%,562062171.00,United States,,14006814,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$7.53,0.09,1.21%,152067364.00,United States,,152698,Health Care,Major Pharmaceuticals
AUMN,Golden Minerals Company Common Stock,$0.7128,-0.0122,-1.683%,115808339.00,United States,,841174,,
AWX,Avalon Holdings Corporation Common Stock,$4.10,-0.02,-0.485%,15987667.00,United States,,61988,Public Utilities,Environmental Services
AXU,Alexco Resource Corp Common Shares (Canada),$3.03,0.03,1.00%,431677355.00,Canada,,429033,,
BATL,Battalion Oil Corporation Common Stock,$12.40,-0.25,-1.976%,201718203.00,,,9669,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$30.9462,-0.1262,-0.406%,170754509.00,United States,,8106,,
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$25.75,0.034,0.132%,,United States,,200,,
BDL,Flanigan's Enterprises Inc. Common Stock,$25.30,-7.50,-22.866%,47023769.00,United States,,89409,,
BDR,Blonder Tongue Laboratories Inc. Common Stock,$1.25,0.0636,5.361%,14950631.00,United States,,732939,Capital Goods,Industrial Machinery/Components
BGI,Birks Group Inc. Common Stock,$3.29,0.30,10.033%,59124198.00,Canada,,1205391,,
BHB,Bar Harbor Bankshares Inc. Common Stock,$30.45,0.30,0.995%,455997885.00,United States,,62011,Finance,Major Banks
BKTI,BK Technologies Corporation Common Stock,$3.83,0.06,1.592%,48014684.00,United States,,4364,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$12.33,-0.17,-1.36%,150430661.00,,2018,34142,Technology,EDP Services
BRBS,Blue Ridge Bankshares Inc. Common Stock,$17.43,-0.14,-0.797%,324593121.00,,,32997,Finance,Commercial Banks
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,$9.66,-0.11,-1.126%,273303946.00,,2014,384494,Consumer Services,Real Estate Investment Trusts
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,$25.64,0.1101,0.431%,,,,5344,,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),$25.365,-0.005,-0.02%,,,,4709,,
BRN,Barnwell Industries Inc. Common Stock,$3.45,0.20,6.154%,28556202.00,United States,,1164541,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$5.07,-0.04,-0.783%,5333380056.00,Canada,,7219652,,
