,open,high,low,close,adjclose,volume,ticker
1997-12-29,17.90625,17.96875,17.5625,17.703125,10.725543975830078,40644000,INTC
1997-12-30,17.78125,18.03125,17.765625,17.921875,10.858074188232422,41157200,INTC
1997-12-31,17.9375,17.953125,17.53125,17.5625,10.640344619750977,42123600,INTC
1998-01-02,17.671875,18.15625,17.625,18.15625,11.00007152557373,40927200,INTC
1998-01-05,18.265625,18.78515625,18.0,18.625,11.284065246582031,78368400,INTC
1998-01-06,18.46875,18.578125,18.171875,18.28125,11.075804710388184,48313600,INTC
1998-01-07,18.1875,18.40625,17.890625,18.1875,11.019002914428711,55380800,INTC
1998-01-08,18.0625,18.703125,18.03125,18.578125,11.255669593811035,75730400,INTC
1998-01-09,18.640625,18.75,17.80859375,17.96875,10.886476516723633,88028800,INTC
1998-01-12,17.703125,18.921875,17.671875,18.90625,11.454465866088867,123747600,INTC
1998-01-13,19.09375,19.3125,19.0625,19.234375,11.653261184692383,97348000,INTC
1998-01-14,19.25,19.265625,18.59375,18.859375,11.426069259643555,123962000,INTC
1998-01-15,18.71875,19.09375,18.65625,18.828125,11.40713119506836,53458400,INTC
1998-01-16,18.953125,18.96875,18.65625,18.703125,11.331399917602539,59281200,INTC
1998-01-20,18.78125,19.078125,18.71875,19.0625,11.549131393432617,49972000,INTC
1998-01-21,18.859375,19.421875,18.84375,19.171875,11.615395545959473,69415200,INTC
1998-01-22,19.0,19.375,18.984375,19.125,11.586997032165527,49898000,INTC
1998-01-23,19.21875,19.46875,19.125,19.296875,11.69112491607666,56184800,INTC
1998-01-26,19.25,19.5,19.25,19.421875,11.766860961914062,44695200,INTC
1998-01-27,19.46875,19.890625,19.34375,19.796875,11.994053840637207,58713200,INTC
1998-01-28,19.9375,20.359375,19.875,20.21875,12.254295349121094,67063600,INTC
1998-01-29,20.078125,20.71875,20.0625,20.5,12.424755096435547,72366400,INTC
1998-01-30,20.625,20.6875,20.21875,20.25,12.273239135742188,45384000,INTC
1998-02-02,20.625,20.90234375,20.546875,20.765625,12.585747718811035,62426000,INTC
1998-02-03,21.0,21.78125,20.90625,21.578125,13.078192710876465,99884400,INTC
1998-02-04,21.53125,22.078125,21.40625,21.890625,13.267589569091797,75391600,INTC
1998-02-05,22.1875,22.515625,21.53125,21.625,13.106603622436523,97320800,INTC
1998-02-06,21.4375,22.0,21.40625,21.88671875,13.265227317810059,52042800,INTC
1998-02-09,21.859375,21.96875,21.359375,21.453125,13.00242805480957,45804400,INTC
1998-02-10,21.359375,21.953125,21.265625,21.5625,13.06872272491455,59575200,INTC
1998-02-11,21.421875,21.515625,21.0625,21.265625,12.888786315917969,64918000,INTC
1998-02-12,20.96875,21.3125,20.6875,21.25,12.879315376281738,70388800,INTC
1998-02-13,21.09375,21.234375,20.953125,20.953125,12.699382781982422,39093600,INTC
1998-02-17,21.15625,21.234375,20.984375,21.15625,12.822498321533203,41481600,INTC
1998-02-18,21.09375,21.75,21.0625,21.734375,13.172883987426758,65802800,INTC
1998-02-19,22.25,22.78125,22.03125,22.640625,13.722155570983887,136295200,INTC
1998-02-20,22.8125,23.09375,22.625,22.953125,13.911552429199219,98482000,INTC
1998-02-23,23.25,23.65625,23.09375,23.546875,14.271421432495117,68921200,INTC
1998-02-24,23.53125,23.90625,23.0625,23.09375,13.996790885925293,75785200,INTC
1998-02-25,23.171875,23.59375,23.15625,23.5,14.243010520935059,49980000,INTC
1998-02-26,23.4375,23.515625,23.0625,23.078125,13.987311363220215,55918800,INTC
1998-02-27,22.984375,23.09375,22.375,22.421875,13.589570999145508,73563600,INTC
1998-03-02,22.453125,22.84375,21.875,21.90625,13.277058601379395,71733600,INTC
1998-03-03,21.484375,21.578125,21.03125,21.328125,12.926671028137207,116639200,INTC
1998-03-04,21.234375,21.734375,21.203125,21.609375,13.097124099731445,54200000,INTC
1998-03-05,18.765625,19.34375,18.75,18.890625,11.449333190917969,369330400,INTC
1998-03-06,19.34375,19.5625,19.03125,19.53125,11.837613105773926,128355600,INTC
1998-03-09,19.5625,19.59375,18.734375,18.765625,11.373576164245605,107076800,INTC
1998-03-10,19.125,19.125,18.734375,18.875,11.43986701965332,68406000,INTC
1998-03-11,19.140625,19.15625,18.765625,18.96875,11.496682167053223,56479200,INTC
1998-03-12,19.03125,19.171875,18.828125,19.09375,11.5724515914917,39483600,INTC
1998-03-13,19.25,19.375,19.140625,19.15625,11.610322952270508,33584400,INTC
1998-03-16,19.265625,19.46875,19.25,19.421875,11.771318435668945,36159600,INTC
