,open,high,low,close,adjclose,volume,ticker
1997-12-29,94.59375,95.71875,94.4375,95.625,62.00481033325195,2080000,SPY
1997-12-30,95.9375,97.25,95.84375,97.125,62.97743606567383,3616000,SPY
1997-12-31,96.875,97.625,96.6875,97.0625,62.93692398071289,4359500,SPY
1998-01-02,97.3125,97.65625,96.53125,97.5625,63.26113510131836,2360900,SPY
1998-01-05,97.84375,98.4375,96.78125,97.78125,63.40296936035156,4191800,SPY
1998-01-06,97.25,97.28125,96.1875,96.21875,62.38978958129883,3154900,SPY
1998-01-07,96.09375,96.71875,95.21875,96.46875,62.55193328857422,4424200,SPY
1998-01-08,96.3125,96.3125,95.375,95.625,62.00481033325195,3831000,SPY
1998-01-09,95.25,95.5,91.90625,92.3125,59.85690689086914,10258800,SPY
1998-01-12,91.125,94.1875,90.90625,94.0,60.95112991333008,12097900,SPY
1998-01-13,94.625,95.375,94.21875,95.3125,61.802146911621094,5224900,SPY
1998-01-14,95.6875,95.96875,94.71875,95.75,62.08589172363281,3770400,SPY
1998-01-15,95.5,95.75,94.8125,94.953125,61.56916427612305,2875400,SPY
1998-01-16,96.25,96.6875,95.65625,96.3125,62.450618743896484,4374800,SPY
1998-01-20,96.6875,98.015625,96.5,97.875,63.46375274658203,5091700,SPY
1998-01-21,97.21875,97.6875,96.15625,96.9375,62.8558349609375,4699400,SPY
1998-01-22,96.15625,96.875,95.875,96.078125,62.29860305786133,4543400,SPY
1998-01-23,96.5,96.78125,95.0,95.9375,62.20743179321289,6350300,SPY
1998-01-26,96.375,96.734375,95.40625,95.875,62.16688537597656,4362900,SPY
1998-01-27,95.8125,97.5,95.65625,96.84375,62.79507827758789,7044200,SPY
1998-01-28,97.40625,98.109375,97.1875,97.71875,63.36244583129883,4268600,SPY
1998-01-29,97.84375,99.5625,97.5625,98.25,63.7068977355957,8007700,SPY
1998-01-30,98.78125,98.96875,98.0,98.3125,63.74739074707031,3649100,SPY
1998-02-02,99.90625,100.5,99.75,99.9375,64.80110168457031,5756300,SPY
1998-02-03,100.0,100.8125,99.71875,100.6875,65.2874526977539,2759600,SPY
1998-02-04,100.28125,101.15625,99.9375,100.5625,65.20638275146484,3374000,SPY
1998-02-05,101.3125,101.59375,100.03125,100.5,65.16581726074219,5076200,SPY
1998-02-06,101.0,101.625,100.6875,101.625,65.89530181884766,5701200,SPY
1998-02-09,101.71875,101.75,100.71875,101.28125,65.67237091064453,2322200,SPY
1998-02-10,101.4375,102.46875,101.1875,102.25,66.30057525634766,3660400,SPY
1998-02-11,102.09375,102.34375,101.703125,102.15625,66.23978424072266,4073200,SPY
1998-02-12,101.71875,102.9375,100.875,102.59375,66.52349090576172,5024700,SPY
1998-02-13,102.1875,102.515625,101.875,102.0,66.1384506225586,2101300,SPY
1998-02-17,102.8125,103.09375,102.15625,102.5,66.46263885498047,3055500,SPY
1998-02-18,102.3125,103.484375,102.28125,103.4375,67.0705795288086,3007400,SPY
1998-02-19,103.25,103.40625,102.75,102.890625,66.71600341796875,3387800,SPY
1998-02-20,103.15625,103.71875,102.375,103.65625,67.21240234375,3707000,SPY
1998-02-23,104.25,104.25,103.34375,104.0625,67.47579956054688,3227800,SPY
1998-02-24,103.90625,104.09375,102.9375,103.25,66.94898986816406,3386800,SPY
1998-02-25,103.75,104.875,103.625,104.53125,67.77974700927734,3481800,SPY
1998-02-26,104.4375,105.21875,104.1875,105.125,68.16477966308594,3187600,SPY
1998-02-27,104.96875,105.53125,104.53125,105.125,68.16477966308594,3442900,SPY
1998-03-02,105.25,105.75,104.625,104.90625,68.02290344238281,4252300,SPY
1998-03-03,104.53125,105.625,104.53125,105.5,68.40792846679688,3349200,SPY
1998-03-04,105.09375,105.40625,104.4375,104.8125,67.96212768554688,4404100,SPY
1998-03-05,103.5,104.4375,103.15625,103.84375,67.33396911621094,7268000,SPY
1998-03-06,104.5625,105.9375,104.4375,105.9375,68.69160461425781,6896300,SPY
1998-03-09,105.53125,106.21875,105.25,105.5625,68.44839477539062,3362800,SPY
1998-03-10,106.21875,106.84375,105.9375,106.5625,69.09687042236328,5481900,SPY
1998-03-11,106.96875,107.3125,106.78125,107.0625,69.42105865478516,3439600,SPY
1998-03-12,107.09375,107.59375,106.5,107.5,69.70474243164062,3191300,SPY
1998-03-13,107.84375,108.0,106.875,107.09375,69.44135284423828,2879400,SPY
1998-03-16,107.84375,108.375,107.53125,108.25,70.1910629272461,3223600,SPY
1998-03-17,108.3125,108.5625,107.65625,108.5625,70.3936767578125,4581900,SPY
1998-03-18,108.25,108.96875,108.03125,108.96875,70.65709686279297,1944100,SPY
1998-03-19,108.96875,109.375,108.65625,109.25,70.8394775390625,2554800,SPY
1998-03-20,109.5625,110.1875,108.875,109.875,71.44944763183594,3123300,SPY
1998-03-23,109.71875,110.3125,109.40625,109.625,71.28684997558594,4453100,SPY
1998-03-24,110.0625,110.8125,109.9375,110.5625,71.89649200439453,3333600,SPY
1998-03-25,111.40625,111.53125,109.1875,110.15625,71.63235473632812,4597600,SPY
1998-03-26,109.875,110.75,109.625,110.09375,71.59168243408203,3333500,SPY
1998-03-27,110.75,110.78125,109.0,109.625,71.28684997558594,2611300,SPY
1998-03-30,109.625,110.09375,108.96875,109.5625,71.24625396728516,3108700,SPY
1998-03-31,110.15625,111.1875,109.75,109.9375,71.49010467529297,5926500,SPY
1998-04-01,110.3125,111.078125,109.40625,110.828125,72.0692138671875,2929000,SPY
1998-04-02,110.9375,112.25,110.75,112.03125,72.85160827636719,3920900,SPY
1998-04-03,112.34375,112.8125,111.84375,112.59375,73.21741485595703,3787600,SPY
1998-04-06,113.25,113.375,111.6875,111.6875,72.62808990478516,4550500,SPY
1998-04-07,111.75,111.9375,110.15625,110.9375,72.14037322998047,5583700,SPY
1998-04-08,111.21875,111.28125,109.75,110.3125,71.73395538330078,4854800,SPY
1998-04-09,110.5625,111.28125,110.53125,111.1875,72.30292510986328,4481200,SPY
1998-04-13,111.375,111.375,110.0,110.875,72.09971618652344,4350200,SPY
1998-04-14,111.125,111.8125,110.90625,111.8125,72.70936584472656,3279100,SPY
1998-04-15,111.96875,112.125,111.15625,112.125,72.91259002685547,3867200,SPY
1998-04-16,111.3125,111.5,110.5,110.8125,72.05909729003906,7177900,SPY
1998-04-17,110.71875,112.4375,110.4375,112.28125,73.01415252685547,5688800,SPY
1998-04-20,112.0,112.5625,111.875,112.25,72.99386596679688,3688300,SPY
1998-04-21,112.4375,113.15625,111.90625,112.78125,73.33934020996094,4573200,SPY
