,open,high,low,close,adjclose,volume,ticker
1998-12-22,23.3125,23.390625,23.1875,23.265625,13.201361656188965,15200,XLE
1998-12-23,23.34375,23.75,23.3125,23.75,13.476197242736816,67800,XLE
1998-12-24,23.8125,23.8125,23.59375,23.625,13.405271530151367,12300,XLE
1998-12-28,23.75,23.75,23.34375,23.5,13.334348678588867,13500,XLE
1998-12-29,23.5625,23.734375,23.34375,23.734375,13.467338562011719,22000,XLE
1998-12-30,23.71875,23.71875,23.359375,23.375,13.263427734375,21800,XLE
1998-12-31,23.34375,23.34375,23.21875,23.34375,13.245684623718262,13000,XLE
1999-01-04,23.28125,23.75,23.28125,23.328125,13.23682689666748,28600,XLE
1999-01-05,23.46875,23.46875,23.171875,23.203125,13.165895462036133,42700,XLE
1999-01-06,23.46875,24.0,23.3125,23.96875,13.600320816040039,56400,XLE
1999-01-07,23.96875,23.984375,23.578125,23.859375,13.538272857666016,72600,XLE
1999-01-08,24.0,24.5625,23.375,23.96875,13.600320816040039,421100,XLE
1999-01-11,23.75,23.78125,23.4375,23.515625,13.343210220336914,35000,XLE
1999-01-12,23.5,23.59375,23.125,23.15625,13.139300346374512,89200,XLE
1999-01-13,22.75,23.1875,22.6875,22.8125,12.944247245788574,42400,XLE
1999-01-14,22.75,22.875,22.375,22.375,12.696002006530762,70000,XLE
1999-01-15,22.5625,22.75,22.453125,22.71875,12.891057014465332,10700,XLE
1999-01-19,22.8125,22.8125,22.53125,22.71875,12.891057014465332,12800,XLE
1999-01-20,22.59375,22.8125,22.515625,22.53125,12.784663200378418,15800,XLE
1999-01-21,22.53125,22.90625,22.5,22.71875,12.891057014465332,23900,XLE
1999-01-22,22.75,22.8125,22.5625,22.59375,12.820127487182617,19300,XLE
1999-01-25,22.6875,22.6875,22.375,22.5625,12.80239486694336,18200,XLE
1999-01-26,22.59375,22.59375,22.15625,22.34375,12.678271293640137,25700,XLE
1999-01-27,22.375,22.375,21.875,21.9375,12.447751998901367,37100,XLE
1999-01-28,22.0,22.0,21.625,21.8125,12.376823425292969,30800,XLE
1999-01-29,21.6875,21.8125,21.4375,21.8125,12.376823425292969,18600,XLE
1999-02-01,21.8125,21.875,21.59375,21.59375,12.252707481384277,23100,XLE
1999-02-02,21.625,21.8125,21.53125,21.625,12.270438194274902,26500,XLE
1999-02-03,21.75,22.25,21.75,22.125,12.55414867401123,29400,XLE
1999-02-04,22.125,22.3125,22.0625,22.25,12.625076293945312,26000,XLE
1999-02-05,22.3125,22.9375,22.1875,22.875,12.97970962524414,66000,XLE
1999-02-08,22.96875,23.1875,22.9375,23.1875,13.157026290893555,31100,XLE
1999-02-09,23.21875,23.21875,22.75,22.75,12.908783912658691,64300,XLE
1999-02-10,22.84375,23.0625,22.6875,22.8125,12.944247245788574,69300,XLE
1999-02-11,22.71875,22.71875,22.28125,22.625,12.837858200073242,216800,XLE
1999-02-12,22.375,22.625,22.15625,22.15625,12.57187557220459,242300,XLE
1999-02-16,22.328125,22.4375,21.78125,22.0,12.483222961425781,36600,XLE
1999-02-17,21.875,22.09375,21.75,21.78125,12.35909366607666,41700,XLE
1999-02-18,21.75,21.96875,21.53125,21.84375,12.394559860229492,83000,XLE
1999-02-19,21.9375,21.96875,21.53125,21.71875,12.323633193969727,130300,XLE
1999-02-22,21.875,22.0,21.6875,21.9375,12.447751998901367,79500,XLE
1999-02-23,22.0,22.09375,21.75,21.75,12.341362953186035,309600,XLE
1999-02-24,21.8125,22.09375,21.65625,21.65625,12.28817081451416,34500,XLE
1999-02-25,21.640625,21.90625,21.625,21.765625,12.350234031677246,44600,XLE
1999-02-26,21.84375,22.0,21.625,21.625,12.270438194274902,24900,XLE
1999-03-01,21.671875,21.6875,21.34375,21.40625,12.146309852600098,13300,XLE
1999-03-02,21.4375,21.53125,21.09375,21.1875,12.02219009399414,55100,XLE
1999-03-03,21.375,21.75,21.21875,21.65625,12.28817081451416,103300,XLE
1999-03-04,21.84375,22.5625,21.84375,22.4375,12.731464385986328,90400,XLE
1999-03-05,23.0,23.03125,22.625,22.859375,12.970837593078613,92700,XLE
1999-03-08,22.984375,23.25,22.890625,23.1875,13.157026290893555,107600,XLE
1999-03-09,22.9375,23.3125,22.84375,22.9375,13.015175819396973,79000,XLE
1999-03-10,23.03125,24.3125,23.03125,24.25,13.759917259216309,1733800,XLE
1999-03-11,25.0,25.25,24.25,24.59375,13.954961776733398,909000,XLE
1999-03-12,24.875,25.0625,24.25,24.5,13.901764869689941,604300,XLE
1999-03-15,24.5625,24.625,24.015625,24.3125,13.79537582397461,523000,XLE
1999-03-16,24.09375,24.3125,24.0,24.1875,13.72445011138916,273300,XLE
1999-03-17,24.3125,24.84375,24.25,24.8125,14.079087257385254,362800,XLE
1999-03-18,25.25,25.3125,24.9375,25.125,14.2564058303833,332600,XLE
1999-03-19,25.25,25.28125,24.625,24.78125,14.111900329589844,260400,XLE
1999-03-22,25.0,25.125,24.734375,24.9375,14.200882911682129,165000,XLE
1999-03-23,24.75,24.75,24.25,24.5,13.951742172241211,137900,XLE
1999-03-24,24.625,24.71875,24.15625,24.375,13.880555152893066,61100,XLE
1999-03-25,24.3125,24.5625,24.0625,24.4375,13.916150093078613,166500,XLE
1999-03-26,24.6875,24.875,24.46875,24.75,14.094103813171387,44700,XLE
1999-03-29,25.375,25.6875,25.34375,25.4375,14.48560619354248,84400,XLE
1999-03-30,25.28125,25.3125,24.90625,24.96875,14.2186861038208,60800,XLE
1999-03-31,25.15625,25.1875,24.59375,24.59375,14.005126953125,67000,XLE
1999-04-01,24.625,24.65625,24.296875,24.5625,13.987333297729492,22000,XLE
1999-04-05,24.5625,25.25,24.5625,25.15625,14.32544994354248,58400,XLE
1999-04-06,25.09375,25.125,24.71875,24.90625,14.183091163635254,42600,XLE
1999-04-07,24.875,24.90625,24.46875,24.65625,14.040724754333496,836400,XLE
1999-04-08,24.765625,25.1875,24.671875,24.90625,14.183091163635254,852300,XLE
1999-04-09,24.921875,25.5,24.890625,25.375,14.450016021728516,52400,XLE
1999-04-12,25.25,25.75,25.25,25.5625,14.556793212890625,62500,XLE
1999-04-13,25.40625,25.734375,25.40625,25.53125,14.538994789123535,67800,XLE
1999-04-14,25.5,25.65625,25.21875,25.21875,14.361043930053711,27000,XLE
1999-04-15,25.375,26.4375,25.375,26.3125,14.983887672424316,259400,XLE
1999-04-16,26.59375,27.15625,26.375,27.140625,15.455471992492676,88500,XLE
1999-04-19,27.875,28.34375,27.4375,27.46875,15.642319679260254,245500,XLE
1999-04-20,27.5625,27.5625,26.765625,27.03125,15.39318561553955,386400,XLE
1999-04-21,26.875,27.0625,26.375,26.625,15.161837577819824,181200,XLE
1999-04-22,26.5625,27.09375,26.25,27.09375,15.428777694702148,395900,XLE
1999-04-23,26.984375,27.0,26.546875,26.75,15.233023643493652,16300,XLE
1999-04-26,26.5625,26.5625,26.015625,26.15625,14.894913673400879,297800,XLE
1999-04-27,26.453125,27.0,26.4375,26.984375,15.366496086120605,82400,XLE
1999-04-28,27.125,28.28125,27.125,27.875,15.87367057800293,103700,XLE
1999-04-29,26.8125,28.875,26.75,28.71875,16.354154586791992,240100,XLE
1999-04-30,28.375,28.625,28.0,28.234375,16.078325271606445,966100,XLE
1999-05-03,28.25,28.9375,28.0,28.9375,16.47871208190918,276600,XLE
