,open,high,low,close,adjclose,volume,ticker
1998-12-22,24.8125,25.0625,24.8125,25.03125,17.93820571899414,5700,XLV
1998-12-23,25.1875,25.59375,25.1875,25.59375,18.341312408447266,18100,XLV
1998-12-24,25.625,25.75,25.515625,25.75,18.45328712463379,4900,XLV
1998-12-28,25.671875,25.75,25.375,25.375,18.184547424316406,15500,XLV
1998-12-29,25.375,25.9375,25.375,25.9375,18.58765411376953,5300,XLV
1998-12-30,26.0,26.03125,25.71875,25.71875,18.430889129638672,17300,XLV
1998-12-31,25.8125,26.0,25.75,26.0,18.632436752319336,6600,XLV
1999-01-04,26.25,26.375,25.78125,25.9375,18.58765411376953,249200,XLV
1999-01-05,26.0,26.34375,26.0,26.34375,18.8787784576416,4400,XLV
1999-01-06,26.53125,26.78125,26.46875,26.78125,19.192310333251953,38500,XLV
1999-01-07,26.53125,26.6875,26.34375,26.65625,19.102731704711914,15900,XLV
1999-01-08,26.71875,26.984375,26.71875,26.984375,19.337873458862305,24400,XLV
1999-01-11,26.96875,27.25,26.8125,27.046875,19.382661819458008,7700,XLV
1999-01-12,27.125,27.25,26.90625,26.9375,19.304283142089844,270700,XLV
1999-01-13,25.78125,26.875,25.78125,26.6875,19.125125885009766,7100,XLV
1999-01-14,26.78125,26.859375,26.375,26.46875,18.968366622924805,12200,XLV
1999-01-15,26.5625,26.90625,26.5625,26.828125,19.22589874267578,7700,XLV
1999-01-19,27.28125,27.65625,27.125,27.59375,19.774581909179688,22700,XLV
1999-01-20,27.75,28.125,27.59375,27.75,19.88654899597168,25800,XLV
1999-01-21,27.6875,27.6875,26.71875,26.78125,19.192310333251953,23200,XLV
1999-01-22,26.59375,26.875,26.40625,26.671875,19.113927841186523,67100,XLV
1999-01-25,26.6875,26.90625,26.6875,26.890625,19.270681381225586,495300,XLV
1999-01-26,26.9375,27.03125,26.671875,27.015625,19.360271453857422,187400,XLV
1999-01-27,27.09375,27.09375,26.75,26.75,19.169910430908203,6800,XLV
1999-01-28,27.0,27.34375,27.0,27.25,19.528236389160156,25800,XLV
1999-01-29,27.28125,27.28125,26.90625,27.25,19.528236389160156,13800,XLV
1999-02-01,27.375,27.46875,27.15625,27.40625,19.640207290649414,34000,XLV
1999-02-02,26.96875,27.046875,26.625,27.0,19.349071502685547,141700,XLV
1999-02-03,26.9375,27.515625,26.9375,27.515625,19.718589782714844,38900,XLV
1999-02-04,27.34375,27.4375,27.125,27.3125,19.573022842407227,7400,XLV
1999-02-05,27.3125,27.3125,26.8125,27.0,19.349071502685547,16900,XLV
1999-02-08,27.125,27.125,26.875,26.984375,19.337873458862305,6500,XLV
1999-02-09,27.0625,27.09375,26.5,26.5,18.99075698852539,220800,XLV
1999-02-10,26.3125,26.5625,26.1875,26.5625,19.03554916381836,17800,XLV
1999-02-11,26.46875,27.28125,26.375,27.28125,19.550626754760742,5300,XLV
1999-02-12,27.125,27.125,26.71875,26.875,19.25949478149414,8400,XLV
1999-02-16,27.0,27.3125,27.0,27.125,19.438648223876953,18500,XLV
1999-02-17,27.0625,27.25,26.8125,26.84375,19.23709487915039,12900,XLV
1999-02-18,26.9375,27.203125,26.765625,27.1875,19.483449935913086,11500,XLV
1999-02-19,27.1875,27.375,27.1875,27.265625,19.5394287109375,13900,XLV
1999-02-22,27.375,27.859375,27.3125,27.84375,19.953746795654297,17800,XLV
1999-02-23,27.90625,27.90625,27.5,27.796875,19.920143127441406,15000,XLV
1999-02-24,27.875,27.984375,27.46875,27.46875,19.68499183654785,28000,XLV
1999-02-25,27.34375,27.34375,26.875,27.203125,19.494638442993164,98900,XLV
1999-02-26,27.3125,27.359375,26.890625,27.28125,19.550626754760742,10800,XLV
1999-03-01,27.21875,27.25,26.90625,27.234375,19.517040252685547,8800,XLV
1999-03-02,27.40625,27.640625,27.046875,27.21875,19.505834579467773,11500,XLV
1999-03-03,27.3125,27.3125,27.0,27.046875,19.382661819458008,13100,XLV
1999-03-04,27.4375,27.53125,27.234375,27.53125,19.729785919189453,10400,XLV
1999-03-05,27.9375,28.21875,27.84375,28.15625,20.17768096923828,25400,XLV
1999-03-08,28.09375,28.1875,27.9375,28.1875,20.200069427490234,62700,XLV
1999-03-09,27.84375,28.25,27.8125,27.96875,20.043306350708008,12200,XLV
1999-03-10,27.9375,28.21875,27.78125,28.21875,20.22247314453125,10700,XLV
1999-03-11,28.21875,28.5625,28.21875,28.40625,20.356842041015625,23600,XLV
1999-03-12,28.53125,28.65625,28.25,28.25,20.24485969543457,24600,XLV
