date,realtime_end,realtime_start,value
1959-01-01,2019-09-15,2019-09-15,50463.0
1959-02-01,2019-09-15,2019-09-15,49805.0
1959-03-01,2019-09-15,2019-09-15,49733.0
1959-04-01,2019-09-15,2019-09-15,50058.0
1959-05-01,2019-09-15,2019-09-15,50112.0
1959-06-01,2019-09-15,2019-09-15,50337.0
1959-07-01,2019-09-15,2019-09-15,50802.0
1959-08-01,2019-09-15,2019-09-15,50661.0
1959-09-01,2019-09-15,2019-09-15,50722.0
1959-10-01,2019-09-15,2019-09-15,50660.0
1959-11-01,2019-09-15,2019-09-15,50877.0
1959-12-01,2019-09-15,2019-09-15,51504.0
1960-01-01,2019-09-15,2019-09-15,50661.0
1960-02-01,2019-09-15,2019-09-15,49609.0
1960-03-01,2019-09-15,2019-09-15,49482.0
1960-04-01,2019-09-15,2019-09-15,49656.0
1960-05-01,2019-09-15,2019-09-15,49734.0
1960-06-01,2019-09-15,2019-09-15,50015.0
1960-07-01,2019-09-15,2019-09-15,50455.0
1960-08-01,2019-09-15,2019-09-15,50279.0
1960-09-01,2019-09-15,2019-09-15,49920.0
1960-10-01,2019-09-15,2019-09-15,50130.0
1960-11-01,2019-09-15,2019-09-15,50251.0
1960-12-01,2019-09-15,2019-09-15,49763.0
1961-01-01,2019-09-15,2019-09-15,49103.0
1961-02-01,2019-09-15,2019-09-15,48441.0
1961-03-01,2019-09-15,2019-09-15,48362.0
1961-04-01,2019-09-15,2019-09-15,48455.0
1961-05-01,2019-09-15,2019-09-15,48494.0
1961-06-01,2019-09-15,2019-09-15,48875.0
1961-07-01,2019-09-15,2019-09-15,49216.0
1961-08-01,2019-09-15,2019-09-15,49334.0
1961-09-01,2019-09-15,2019-09-15,49599.0
1961-10-01,2019-09-15,2019-09-15,50032.0
1961-11-01,2019-09-15,2019-09-15,50484.0
1961-12-01,2019-09-15,2019-09-15,51281.0
1962-01-01,2019-09-15,2019-09-15,50603.0
1962-02-01,2019-09-15,2019-09-15,49841.0
1962-03-01,2019-09-15,2019-09-15,50024.0
1962-04-01,2019-09-15,2019-09-15,50365.0
1962-05-01,2019-09-15,2019-09-15,50543.0
1962-06-01,2019-09-15,2019-09-15,50908.0
1962-07-01,2019-09-15,2019-09-15,51314.0
1962-08-01,2019-09-15,2019-09-15,51175.0
1962-09-01,2019-09-15,2019-09-15,51322.0
1962-10-01,2019-09-15,2019-09-15,51552.0
1962-11-01,2019-09-15,2019-09-15,51344.0
1962-12-01,2019-09-15,2019-09-15,52257.0
1963-01-01,2019-09-15,2019-09-15,51635.0
1963-02-01,2019-09-15,2019-09-15,51013.0
1963-03-01,2019-09-15,2019-09-15,51206.0
1963-04-01,2019-09-15,2019-09-15,51489.0
1963-05-01,2019-09-15,2019-09-15,51702.0
1963-06-01,2019-09-15,2019-09-15,52195.0
1963-07-01,2019-09-15,2019-09-15,52768.0
1963-08-01,2019-09-15,2019-09-15,52600.0
1963-09-01,2019-09-15,2019-09-15,52910.0
1963-10-01,2019-09-15,2019-09-15,53117.0
1963-11-01,2019-09-15,2019-09-15,53775.0
1963-12-01,2019-09-15,2019-09-15,54913.0
1964-01-01,2019-09-15,2019-09-15,54238.0
1964-02-01,2019-09-15,2019-09-15,53472.0
1964-03-01,2019-09-15,2019-09-15,53830.0
1964-04-01,2019-09-15,2019-09-15,54052.0
1964-05-01,2019-09-15,2019-09-15,54273.0
1964-06-01,2019-09-15,2019-09-15,54940.0
1964-07-01,2019-09-15,2019-09-15,55426.0
1964-08-01,2019-09-15,2019-09-15,55427.0
1964-09-01,2019-09-15,2019-09-15,55887.0
1964-10-01,2019-09-15,2019-09-15,56162.0
1964-11-01,2019-09-15,2019-09-15,56786.0
1964-12-01,2019-09-15,2019-09-15,57737.0
1965-01-01,2019-09-15,2019-09-15,57138.0
1965-02-01,2019-09-15,2019-09-15,56508.0
1965-03-01,2019-09-15,2019-09-15,56696.0
1965-04-01,2019-09-15,2019-09-15,57089.0
1965-05-01,2019-09-15,2019-09-15,57165.0
1965-06-01,2019-09-15,2019-09-15,57761.0
1965-07-01,2019-09-15,2019-09-15,58407.0
1965-08-01,2019-09-15,2019-09-15,58192.0
1965-09-01,2019-09-15,2019-09-15,58574.0
1965-10-01,2019-09-15,2019-09-15,59137.0
1965-11-01,2019-09-15,2019-09-15,59614.0
1965-12-01,2019-09-15,2019-09-15,61022.0
1966-01-01,2019-09-15,2019-09-15,60520.0
1966-02-01,2019-09-15,2019-09-15,59751.0
1966-03-01,2019-09-15,2019-09-15,59933.0
1966-04-01,2019-09-15,2019-09-15,60510.0
1966-05-01,2019-09-15,2019-09-15,60631.0
1966-06-01,2019-09-15,2019-09-15,61102.0
1966-07-01,2019-09-15,2019-09-15,62064.0
1966-08-01,2019-09-15,2019-09-15,61734.0
1966-09-01,2019-09-15,2019-09-15,62359.0
1966-10-01,2019-09-15,2019-09-15,62603.0
1966-11-01,2019-09-15,2019-09-15,62993.0
1966-12-01,2019-09-15,2019-09-15,64185.0
1967-01-01,2019-09-15,2019-09-15,63850.0
1967-02-01,2019-09-15,2019-09-15,63282.0
1967-03-01,2019-09-15,2019-09-15,63166.0
1967-04-01,2019-09-15,2019-09-15,63274.0
1967-05-01,2019-09-15,2019-09-15,63382.0
1967-06-01,2019-09-15,2019-09-15,64005.0
1967-07-01,2019-09-15,2019-09-15,64821.0
1967-08-01,2019-09-15,2019-09-15,64699.0
1967-09-01,2019-09-15,2019-09-15,65225.0
1967-10-01,2019-09-15,2019-09-15,65894.0
1967-11-01,2019-09-15,2019-09-15,66453.0
1967-12-01,2019-09-15,2019-09-15,67818.0
1968-01-01,2019-09-15,2019-09-15,67698.0
1968-02-01,2019-09-15,2019-09-15,67213.0
1968-03-01,2019-09-15,2019-09-15,67521.0
1968-04-01,2019-09-15,2019-09-15,67953.0
1968-05-01,2019-09-15,2019-09-15,68077.0
1968-06-01,2019-09-15,2019-09-15,68874.0
1968-07-01,2019-09-15,2019-09-15,69700.0
1968-08-01,2019-09-15,2019-09-15,69887.0
1968-09-01,2019-09-15,2019-09-15,70048.0
1968-10-01,2019-09-15,2019-09-15,70830.0
1968-11-01,2019-09-15,2019-09-15,71727.0
1968-12-01,2019-09-15,2019-09-15,73139.0
1969-01-01,2019-09-15,2019-09-15,72865.0
1969-02-01,2019-09-15,2019-09-15,71978.0
1969-03-01,2019-09-15,2019-09-15,71768.0
1969-04-01,2019-09-15,2019-09-15,72361.0
1969-05-01,2019-09-15,2019-09-15,73358.0
1969-06-01,2019-09-15,2019-09-15,73509.0
1969-07-01,2019-09-15,2019-09-15,73725.0
1969-08-01,2019-09-15,2019-09-15,73773.0
1969-09-01,2019-09-15,2019-09-15,73780.0
1969-10-01,2019-09-15,2019-09-15,74436.0
1969-11-01,2019-09-15,2019-09-15,75569.0
1969-12-01,2019-09-15,2019-09-15,76752.0
1970-01-01,2019-09-15,2019-09-15,76398.0
1970-02-01,2019-09-15,2019-09-15,75237.0
1970-03-01,2019-09-15,2019-09-15,75276.0
