date,realtime_end,realtime_start,value
1946-01-01,2019-09-14,2019-09-14,
1946-04-01,2019-09-14,2019-09-14,
1946-07-01,2019-09-14,2019-09-14,
1946-10-01,2019-09-14,2019-09-14,
1947-01-01,2019-09-14,2019-09-14,243.16400000000002
1947-04-01,2019-09-14,2019-09-14,245.968
1947-07-01,2019-09-14,2019-09-14,249.585
1947-10-01,2019-09-14,2019-09-14,259.745
1948-01-01,2019-09-14,2019-09-14,265.742
1948-04-01,2019-09-14,2019-09-14,272.567
1948-07-01,2019-09-14,2019-09-14,279.19599999999997
1948-10-01,2019-09-14,2019-09-14,280.366
1949-01-01,2019-09-14,2019-09-14,275.034
1949-04-01,2019-09-14,2019-09-14,271.351
1949-07-01,2019-09-14,2019-09-14,272.889
1949-10-01,2019-09-14,2019-09-14,270.627
1950-01-01,2019-09-14,2019-09-14,280.828
1950-04-01,2019-09-14,2019-09-14,290.383
1950-07-01,2019-09-14,2019-09-14,308.153
1950-10-01,2019-09-14,2019-09-14,319.945
1951-01-01,2019-09-14,2019-09-14,336.0
1951-04-01,2019-09-14,2019-09-14,344.09
1951-07-01,2019-09-14,2019-09-14,351.385
1951-10-01,2019-09-14,2019-09-14,356.17800000000005
1952-01-01,2019-09-14,2019-09-14,359.82
1952-04-01,2019-09-14,2019-09-14,361.03
1952-07-01,2019-09-14,2019-09-14,367.70099999999996
1952-10-01,2019-09-14,2019-09-14,380.81199999999995
1953-01-01,2019-09-14,2019-09-14,387.98
1953-04-01,2019-09-14,2019-09-14,391.749
1953-07-01,2019-09-14,2019-09-14,391.171
1953-10-01,2019-09-14,2019-09-14,385.97
1954-01-01,2019-09-14,2019-09-14,385.345
1954-04-01,2019-09-14,2019-09-14,386.121
1954-07-01,2019-09-14,2019-09-14,390.996
1954-10-01,2019-09-14,2019-09-14,399.73400000000004
1955-01-01,2019-09-14,2019-09-14,413.07300000000004
1955-04-01,2019-09-14,2019-09-14,421.532
1955-07-01,2019-09-14,2019-09-14,430.221
1955-10-01,2019-09-14,2019-09-14,437.092
1956-01-01,2019-09-14,2019-09-14,439.746
1956-04-01,2019-09-14,2019-09-14,446.01
1956-07-01,2019-09-14,2019-09-14,451.191
1956-10-01,2019-09-14,2019-09-14,460.463
1957-01-01,2019-09-14,2019-09-14,469.779
1957-04-01,2019-09-14,2019-09-14,472.025
1957-07-01,2019-09-14,2019-09-14,479.49
1957-10-01,2019-09-14,2019-09-14,474.86400000000003
1958-01-01,2019-09-14,2019-09-14,467.54
1958-04-01,2019-09-14,2019-09-14,471.978
1958-07-01,2019-09-14,2019-09-14,485.841
1958-10-01,2019-09-14,2019-09-14,499.555
1959-01-01,2019-09-14,2019-09-14,510.33
1959-04-01,2019-09-14,2019-09-14,522.653
1959-07-01,2019-09-14,2019-09-14,525.034
1959-10-01,2019-09-14,2019-09-14,528.6
1960-01-01,2019-09-14,2019-09-14,542.648
1960-04-01,2019-09-14,2019-09-14,541.08
1960-07-01,2019-09-14,2019-09-14,545.604
1960-10-01,2019-09-14,2019-09-14,540.197
1961-01-01,2019-09-14,2019-09-14,545.018
1961-04-01,2019-09-14,2019-09-14,555.545
1961-07-01,2019-09-14,2019-09-14,567.664
1961-10-01,2019-09-14,2019-09-14,580.612
1962-01-01,2019-09-14,2019-09-14,594.013
1962-04-01,2019-09-14,2019-09-14,600.366
1962-07-01,2019-09-14,2019-09-14,609.0269999999999
1962-10-01,2019-09-14,2019-09-14,612.28
1963-01-01,2019-09-14,2019-09-14,621.672
