date,realtime_end,realtime_start,value
1929-01-01,2019-09-14,2019-09-14,104.556
1930-01-01,2019-09-14,2019-09-14,92.16
1931-01-01,2019-09-14,2019-09-14,77.391
1932-01-01,2019-09-14,2019-09-14,59.522
1933-01-01,2019-09-14,2019-09-14,57.153999999999996
1934-01-01,2019-09-14,2019-09-14,66.8
1935-01-01,2019-09-14,2019-09-14,74.241
1936-01-01,2019-09-14,2019-09-14,84.83
1937-01-01,2019-09-14,2019-09-14,93.00299999999999
1938-01-01,2019-09-14,2019-09-14,87.352
1939-01-01,2019-09-14,2019-09-14,93.43700000000001
1940-01-01,2019-09-14,2019-09-14,102.899
1941-01-01,2019-09-14,2019-09-14,129.309
1942-01-01,2019-09-14,2019-09-14,165.952
1943-01-01,2019-09-14,2019-09-14,203.084
1944-01-01,2019-09-14,2019-09-14,224.447
1945-01-01,2019-09-14,2019-09-14,228.007
1946-01-01,2019-09-14,2019-09-14,227.535
1947-01-01,2019-09-14,2019-09-14,249.61599999999999
1948-01-01,2019-09-14,2019-09-14,274.468
1949-01-01,2019-09-14,2019-09-14,272.475
1950-01-01,2019-09-14,2019-09-14,299.827
1951-01-01,2019-09-14,2019-09-14,346.914
1952-01-01,2019-09-14,2019-09-14,367.341
1953-01-01,2019-09-14,2019-09-14,389.218
1954-01-01,2019-09-14,2019-09-14,390.54900000000004
1955-01-01,2019-09-14,2019-09-14,425.478
1956-01-01,2019-09-14,2019-09-14,449.353
1957-01-01,2019-09-14,2019-09-14,474.039
1958-01-01,2019-09-14,2019-09-14,481.22900000000004
1959-01-01,2019-09-14,2019-09-14,521.654
1960-01-01,2019-09-14,2019-09-14,542.382
1961-01-01,2019-09-14,2019-09-14,562.21
1962-01-01,2019-09-14,2019-09-14,603.9209999999999
1963-01-01,2019-09-14,2019-09-14,637.451
1964-01-01,2019-09-14,2019-09-14,684.46
1965-01-01,2019-09-14,2019-09-14,742.289
1966-01-01,2019-09-14,2019-09-14,813.414
1967-01-01,2019-09-14,2019-09-14,859.9580000000001
1968-01-01,2019-09-14,2019-09-14,940.6510000000001
1969-01-01,2019-09-14,2019-09-14,1017.615
1970-01-01,2019-09-14,2019-09-14,1073.303
1971-01-01,2019-09-14,2019-09-14,1164.85
1972-01-01,2019-09-14,2019-09-14,1279.11
1973-01-01,2019-09-14,2019-09-14,1425.376
1974-01-01,2019-09-14,2019-09-14,1545.243
1975-01-01,2019-09-14,2019-09-14,1684.904
1976-01-01,2019-09-14,2019-09-14,1873.412
1977-01-01,2019-09-14,2019-09-14,2081.826
1978-01-01,2019-09-14,2019-09-14,2351.599
1979-01-01,2019-09-14,2019-09-14,2627.3340000000003
1980-01-01,2019-09-14,2019-09-14,2857.3070000000002
1981-01-01,2019-09-14,2019-09-14,3207.042
1982-01-01,2019-09-14,2019-09-14,3343.789
1983-01-01,2019-09-14,2019-09-14,3634.038
1984-01-01,2019-09-14,2019-09-14,4037.613
1985-01-01,2019-09-14,2019-09-14,4338.979
1986-01-01,2019-09-14,2019-09-14,4579.630999999999
1987-01-01,2019-09-14,2019-09-14,4855.215
1988-01-01,2019-09-14,2019-09-14,5236.438
1989-01-01,2019-09-14,2019-09-14,5641.58
1990-01-01,2019-09-14,2019-09-14,5963.144
1991-01-01,2019-09-14,2019-09-14,6158.129
1992-01-01,2019-09-14,2019-09-14,6520.326999999999
1993-01-01,2019-09-14,2019-09-14,6858.559
1994-01-01,2019-09-14,2019-09-14,7287.236
1995-01-01,2019-09-14,2019-09-14,7639.749
1996-01-01,2019-09-14,2019-09-14,8073.121999999999
1997-01-01,2019-09-14,2019-09-14,8577.552
1998-01-01,2019-09-14,2019-09-14,9062.817
1999-01-01,2019-09-14,2019-09-14,9630.663
2000-01-01,2019-09-14,2019-09-14,10252.347
2001-01-01,2019-09-14,2019-09-14,10581.822
2002-01-01,2019-09-14,2019-09-14,10936.418
2003-01-01,2019-09-14,2019-09-14,11458.246000000001
2004-01-01,2019-09-14,2019-09-14,12213.73
2005-01-01,2019-09-14,2019-09-14,13036.636999999999
2006-01-01,2019-09-14,2019-09-14,13814.608999999999
2007-01-01,2019-09-14,2019-09-14,14451.86
2008-01-01,2019-09-14,2019-09-14,14712.845
2009-01-01,2019-09-14,2019-09-14,14448.931999999999
2010-01-01,2019-09-14,2019-09-14,14992.052
2011-01-01,2019-09-14,2019-09-14,15542.582
2012-01-01,2019-09-14,2019-09-14,16197.007
2013-01-01,2019-09-14,2019-09-14,16784.851000000002
2014-01-01,2019-09-14,2019-09-14,17527.258
2015-01-01,2019-09-14,2019-09-14,18224.78
2016-01-01,2019-09-14,2019-09-14,18715.04
2017-01-01,2019-09-14,2019-09-14,19519.424
2018-01-01,2019-09-14,2019-09-14,20580.223
