date,realtime_end,realtime_start,value
1947-01-01,2019-09-14,2019-09-14,2033.0610000000001
1947-04-01,2019-09-14,2019-09-14,2027.639
1947-07-01,2019-09-14,2019-09-14,2023.4520000000002
1947-10-01,2019-09-14,2019-09-14,2055.103
1948-01-01,2019-09-14,2019-09-14,2086.0170000000003
1948-04-01,2019-09-14,2019-09-14,2120.45
1948-07-01,2019-09-14,2019-09-14,2132.598
1948-10-01,2019-09-14,2019-09-14,2134.981
1949-01-01,2019-09-14,2019-09-14,2105.562
1949-04-01,2019-09-14,2019-09-14,2098.38
1949-07-01,2019-09-14,2019-09-14,2120.044
1949-10-01,2019-09-14,2019-09-14,2102.251
1950-01-01,2019-09-14,2019-09-14,2184.8720000000003
1950-04-01,2019-09-14,2019-09-14,2251.507
1950-07-01,2019-09-14,2019-09-14,2338.514
1950-10-01,2019-09-14,2019-09-14,2383.291
1951-01-01,2019-09-14,2019-09-14,2415.66
1951-04-01,2019-09-14,2019-09-14,2457.5170000000003
1951-07-01,2019-09-14,2019-09-14,2508.166
1951-10-01,2019-09-14,2019-09-14,2513.69
1952-01-01,2019-09-14,2019-09-14,2540.55
1952-04-01,2019-09-14,2019-09-14,2546.022
1952-07-01,2019-09-14,2019-09-14,2564.401
1952-10-01,2019-09-14,2019-09-14,2648.6209999999996
1953-01-01,2019-09-14,2019-09-14,2697.855
1953-04-01,2019-09-14,2019-09-14,2718.7090000000003
1953-07-01,2019-09-14,2019-09-14,2703.4109999999996
1953-10-01,2019-09-14,2019-09-14,2662.482
1954-01-01,2019-09-14,2019-09-14,2649.755
1954-04-01,2019-09-14,2019-09-14,2652.643
1954-07-01,2019-09-14,2019-09-14,2682.6009999999997
1954-10-01,2019-09-14,2019-09-14,2735.091
1955-01-01,2019-09-14,2019-09-14,2813.212
1955-04-01,2019-09-14,2019-09-14,2858.988
1955-07-01,2019-09-14,2019-09-14,2897.598
1955-10-01,2019-09-14,2019-09-14,2914.993
1956-01-01,2019-09-14,2019-09-14,2903.671
1956-04-01,2019-09-14,2019-09-14,2927.665
1956-07-01,2019-09-14,2019-09-14,2925.035
1956-10-01,2019-09-14,2019-09-14,2973.179
1957-01-01,2019-09-14,2019-09-14,2992.219
1957-04-01,2019-09-14,2019-09-14,2985.663
1957-07-01,2019-09-14,2019-09-14,3014.9190000000003
1957-10-01,2019-09-14,2019-09-14,2983.7270000000003
1958-01-01,2019-09-14,2019-09-14,2906.2740000000003
1958-04-01,2019-09-14,2019-09-14,2925.3790000000004
1958-07-01,2019-09-14,2019-09-14,2993.0679999999998
1958-10-01,2019-09-14,2019-09-14,3063.085
1959-01-01,2019-09-14,2019-09-14,3121.9359999999997
1959-04-01,2019-09-14,2019-09-14,3192.38
1959-07-01,2019-09-14,2019-09-14,3194.653
1959-10-01,2019-09-14,2019-09-14,3203.759
1960-01-01,2019-09-14,2019-09-14,3275.757
1960-04-01,2019-09-14,2019-09-14,3258.0879999999997
1960-07-01,2019-09-14,2019-09-14,3274.0290000000005
1960-10-01,2019-09-14,2019-09-14,3232.009
1961-01-01,2019-09-14,2019-09-14,3253.8259999999996
1961-04-01,2019-09-14,2019-09-14,3309.059
1961-07-01,2019-09-14,2019-09-14,3372.5809999999997
1961-10-01,2019-09-14,2019-09-14,3438.7209999999995
1962-01-01,2019-09-14,2019-09-14,3500.054
1962-04-01,2019-09-14,2019-09-14,3531.683
1962-07-01,2019-09-14,2019-09-14,3575.07
1962-10-01,2019-09-14,2019-09-14,3586.827
1963-01-01,2019-09-14,2019-09-14,3625.9809999999998
1963-04-01,2019-09-14,2019-09-14,3666.6690000000003
1963-07-01,2019-09-14,2019-09-14,3747.278
1963-10-01,2019-09-14,2019-09-14,3771.845
1964-01-01,2019-09-14,2019-09-14,3851.366
1964-04-01,2019-09-14,2019-09-14,3893.296
1964-07-01,2019-09-14,2019-09-14,3954.1209999999996
1964-10-01,2019-09-14,2019-09-14,3966.335
1965-01-01,2019-09-14,2019-09-14,4062.3109999999997
1965-04-01,2019-09-14,2019-09-14,4113.629
1965-07-01,2019-09-14,2019-09-14,4205.085999999999
1965-10-01,2019-09-14,2019-09-14,4301.973
1966-01-01,2019-09-14,2019-09-14,4406.693
1966-04-01,2019-09-14,2019-09-14,4421.747
1966-07-01,2019-09-14,2019-09-14,4459.195
1966-10-01,2019-09-14,2019-09-14,4495.777
1967-01-01,2019-09-14,2019-09-14,4535.590999999999
1967-04-01,2019-09-14,2019-09-14,4538.37
1967-07-01,2019-09-14,2019-09-14,4581.309
1967-10-01,2019-09-14,2019-09-14,4615.853
1968-01-01,2019-09-14,2019-09-14,4709.9929999999995
1968-04-01,2019-09-14,2019-09-14,4788.688
1968-07-01,2019-09-14,2019-09-14,4825.799
1968-10-01,2019-09-14,2019-09-14,4844.779
1969-01-01,2019-09-14,2019-09-14,4920.605
1969-04-01,2019-09-14,2019-09-14,4935.564
1969-07-01,2019-09-14,2019-09-14,4968.164000000001
1969-10-01,2019-09-14,2019-09-14,4943.935
1970-01-01,2019-09-14,2019-09-14,4936.594
1970-04-01,2019-09-14,2019-09-14,4943.6
1970-07-01,2019-09-14,2019-09-14,4989.159000000001
1970-10-01,2019-09-14,2019-09-14,4935.693
1971-01-01,2019-09-14,2019-09-14,5069.746
1971-04-01,2019-09-14,2019-09-14,5097.179
1971-07-01,2019-09-14,2019-09-14,5139.128
1971-10-01,2019-09-14,2019-09-14,5151.245
1972-01-01,2019-09-14,2019-09-14,5245.974
1972-04-01,2019-09-14,2019-09-14,5365.045
1972-07-01,2019-09-14,2019-09-14,5415.7119999999995
1972-10-01,2019-09-14,2019-09-14,5506.396
1973-01-01,2019-09-14,2019-09-14,5642.669
1973-04-01,2019-09-14,2019-09-14,5704.098000000001
1973-07-01,2019-09-14,2019-09-14,5674.1
1973-10-01,2019-09-14,2019-09-14,5727.96
1974-01-01,2019-09-14,2019-09-14,5678.713000000001
1974-04-01,2019-09-14,2019-09-14,5692.21
1974-07-01,2019-09-14,2019-09-14,5638.411
1974-10-01,2019-09-14,2019-09-14,5616.526
1975-01-01,2019-09-14,2019-09-14,5548.156
1975-04-01,2019-09-14,2019-09-14,5587.8
1975-07-01,2019-09-14,2019-09-14,5683.444
1975-10-01,2019-09-14,2019-09-14,5759.972
1976-01-01,2019-09-14,2019-09-14,5889.5
1976-04-01,2019-09-14,2019-09-14,5932.710999999999
1976-07-01,2019-09-14,2019-09-14,5965.265
1976-10-01,2019-09-14,2019-09-14,6008.504
1977-01-01,2019-09-14,2019-09-14,6079.494000000001
1977-04-01,2019-09-14,2019-09-14,6197.686
1977-07-01,2019-09-14,2019-09-14,6309.514
1977-10-01,2019-09-14,2019-09-14,6309.651999999999
1978-01-01,2019-09-14,2019-09-14,6329.791
