date,realtime_end,realtime_start,value
1977-12-30,2019-09-15,2019-09-15,100.0
1978-01-02,2019-09-15,2019-09-15,
1978-01-03,2019-09-15,2019-09-15,
1978-01-04,2019-09-15,2019-09-15,
1978-01-05,2019-09-15,2019-09-15,
1978-01-06,2019-09-15,2019-09-15,
1978-01-09,2019-09-15,2019-09-15,
1978-01-10,2019-09-15,2019-09-15,
1978-01-11,2019-09-15,2019-09-15,
1978-01-12,2019-09-15,2019-09-15,
1978-01-13,2019-09-15,2019-09-15,
1978-01-16,2019-09-15,2019-09-15,
1978-01-17,2019-09-15,2019-09-15,
1978-01-18,2019-09-15,2019-09-15,
1978-01-19,2019-09-15,2019-09-15,
1978-01-20,2019-09-15,2019-09-15,
1978-01-23,2019-09-15,2019-09-15,
1978-01-24,2019-09-15,2019-09-15,
1978-01-25,2019-09-15,2019-09-15,
1978-01-26,2019-09-15,2019-09-15,
1978-01-27,2019-09-15,2019-09-15,
1978-01-30,2019-09-15,2019-09-15,
1978-01-31,2019-09-15,2019-09-15,97.15
1978-02-01,2019-09-15,2019-09-15,
1978-02-02,2019-09-15,2019-09-15,
1978-02-03,2019-09-15,2019-09-15,
1978-02-06,2019-09-15,2019-09-15,
1978-02-07,2019-09-15,2019-09-15,
1978-02-08,2019-09-15,2019-09-15,
1978-02-09,2019-09-15,2019-09-15,
1978-02-10,2019-09-15,2019-09-15,
1978-02-13,2019-09-15,2019-09-15,
1978-02-14,2019-09-15,2019-09-15,
1978-02-15,2019-09-15,2019-09-15,
1978-02-16,2019-09-15,2019-09-15,
1978-02-17,2019-09-15,2019-09-15,
1978-02-20,2019-09-15,2019-09-15,
1978-02-21,2019-09-15,2019-09-15,
1978-02-22,2019-09-15,2019-09-15,
1978-02-23,2019-09-15,2019-09-15,
1978-02-24,2019-09-15,2019-09-15,
1978-02-27,2019-09-15,2019-09-15,
1978-02-28,2019-09-15,2019-09-15,99.19
1978-03-01,2019-09-15,2019-09-15,
1978-03-02,2019-09-15,2019-09-15,
1978-03-03,2019-09-15,2019-09-15,
1978-03-06,2019-09-15,2019-09-15,
1978-03-07,2019-09-15,2019-09-15,
1978-03-08,2019-09-15,2019-09-15,
1978-03-09,2019-09-15,2019-09-15,
1978-03-10,2019-09-15,2019-09-15,
1978-03-13,2019-09-15,2019-09-15,
1978-03-14,2019-09-15,2019-09-15,
1978-03-15,2019-09-15,2019-09-15,
1978-03-16,2019-09-15,2019-09-15,
1978-03-17,2019-09-15,2019-09-15,
1978-03-20,2019-09-15,2019-09-15,
1978-03-21,2019-09-15,2019-09-15,
1978-03-22,2019-09-15,2019-09-15,
1978-03-23,2019-09-15,2019-09-15,
1978-03-24,2019-09-15,2019-09-15,
1978-03-27,2019-09-15,2019-09-15,
1978-03-28,2019-09-15,2019-09-15,
1978-03-29,2019-09-15,2019-09-15,
1978-03-30,2019-09-15,2019-09-15,
1978-03-31,2019-09-15,2019-09-15,106.9
1978-04-03,2019-09-15,2019-09-15,
1978-04-04,2019-09-15,2019-09-15,
1978-04-05,2019-09-15,2019-09-15,
1978-04-06,2019-09-15,2019-09-15,
1978-04-07,2019-09-15,2019-09-15,
1978-04-10,2019-09-15,2019-09-15,
1978-04-11,2019-09-15,2019-09-15,
1978-04-12,2019-09-15,2019-09-15,
1978-04-13,2019-09-15,2019-09-15,
1978-04-14,2019-09-15,2019-09-15,
1978-04-17,2019-09-15,2019-09-15,
1978-04-18,2019-09-15,2019-09-15,
1978-04-19,2019-09-15,2019-09-15,
1978-04-20,2019-09-15,2019-09-15,
1978-04-21,2019-09-15,2019-09-15,
1978-04-24,2019-09-15,2019-09-15,
1978-04-25,2019-09-15,2019-09-15,
1978-04-26,2019-09-15,2019-09-15,
1978-04-27,2019-09-15,2019-09-15,
1978-04-28,2019-09-15,2019-09-15,112.04
1978-05-01,2019-09-15,2019-09-15,
1978-05-02,2019-09-15,2019-09-15,
1978-05-03,2019-09-15,2019-09-15,
1978-05-04,2019-09-15,2019-09-15,
1978-05-05,2019-09-15,2019-09-15,
1978-05-08,2019-09-15,2019-09-15,
1978-05-09,2019-09-15,2019-09-15,
1978-05-10,2019-09-15,2019-09-15,
1978-05-11,2019-09-15,2019-09-15,
1978-05-12,2019-09-15,2019-09-15,
1978-05-15,2019-09-15,2019-09-15,
1978-05-16,2019-09-15,2019-09-15,
1978-05-17,2019-09-15,2019-09-15,
1978-05-18,2019-09-15,2019-09-15,
1978-05-19,2019-09-15,2019-09-15,
1978-05-22,2019-09-15,2019-09-15,
1978-05-23,2019-09-15,2019-09-15,
1978-05-24,2019-09-15,2019-09-15,
1978-05-25,2019-09-15,2019-09-15,
1978-05-26,2019-09-15,2019-09-15,
1978-05-29,2019-09-15,2019-09-15,
1978-05-30,2019-09-15,2019-09-15,
1978-05-31,2019-09-15,2019-09-15,110.16
1978-06-01,2019-09-15,2019-09-15,
1978-06-02,2019-09-15,2019-09-15,
1978-06-05,2019-09-15,2019-09-15,
1978-06-06,2019-09-15,2019-09-15,
1978-06-07,2019-09-15,2019-09-15,
1978-06-08,2019-09-15,2019-09-15,
1978-06-09,2019-09-15,2019-09-15,
1978-06-12,2019-09-15,2019-09-15,
1978-06-13,2019-09-15,2019-09-15,
1978-06-14,2019-09-15,2019-09-15,
1978-06-15,2019-09-15,2019-09-15,
1978-06-16,2019-09-15,2019-09-15,
1978-06-19,2019-09-15,2019-09-15,
1978-06-20,2019-09-15,2019-09-15,
1978-06-21,2019-09-15,2019-09-15,
1978-06-22,2019-09-15,2019-09-15,
1978-06-23,2019-09-15,2019-09-15,
1978-06-26,2019-09-15,2019-09-15,
1978-06-27,2019-09-15,2019-09-15,
1978-06-28,2019-09-15,2019-09-15,
1978-06-29,2019-09-15,2019-09-15,
1978-06-30,2019-09-15,2019-09-15,107.95
1978-07-03,2019-09-15,2019-09-15,
1978-07-04,2019-09-15,2019-09-15,
1978-07-05,2019-09-15,2019-09-15,
1978-07-06,2019-09-15,2019-09-15,
1978-07-07,2019-09-15,2019-09-15,
1978-07-10,2019-09-15,2019-09-15,
1978-07-11,2019-09-15,2019-09-15,
1978-07-12,2019-09-15,2019-09-15,
1978-07-13,2019-09-15,2019-09-15,
1978-07-14,2019-09-15,2019-09-15,
1978-07-17,2019-09-15,2019-09-15,
1978-07-18,2019-09-15,2019-09-15,
1978-07-19,2019-09-15,2019-09-15,
1978-07-20,2019-09-15,2019-09-15,
