top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
"(24, 20, 9)",9,139,80,16,8,8,25.63,0.29,5.87,150.45,-0.24
"(25, 20, 9)",9,139,80,16,8,8,24.41,0.29,5.79,141.33,-0.24
"(23, 20, 9)",9,139,80,16,8,8,24.38,0.29,5.75,140.18,-0.24
"(27, 20, 9)",9,139,80,16,8,8,23.73,0.28,5.78,137.16,-0.24
"(26, 20, 9)",9,139,80,16,8,8,23.43,0.28,5.74,134.49,-0.24
"(28, 20, 9)",9,139,80,16,8,8,23.19,0.28,5.75,133.34,-0.24
"(31, 20, 9)",9,139,80,16,8,8,22.54,0.28,5.75,129.6,-0.24
"(22, 20, 9)",9,139,80,16,8,8,21.93,0.28,5.68,124.56,-0.23
"(30, 20, 9)",9,139,80,16,8,8,21.73,0.28,5.7,123.86,-0.24
"(29, 20, 9)",9,139,80,16,8,8,21.67,0.28,5.68,123.09,-0.24
"(33, 20, 9)",9,139,80,16,8,8,20.83,0.27,5.64,117.48,-0.24
"(20, 20, 9)",9,139,80,16,8,8,20.84,0.27,5.63,117.33,-0.23
"(40, 20, 9)",9,139,80,16,8,8,20.87,0.27,5.62,117.29,-0.25
"(34, 20, 9)",9,139,80,16,8,8,20.83,0.27,5.63,117.27,-0.25
"(32, 20, 9)",9,139,80,16,8,8,20.67,0.27,5.63,116.37,-0.24
"(21, 20, 9)",9,139,80,16,8,8,20.66,0.27,5.59,115.49,-0.23
"(35, 20, 9)",9,139,80,16,8,8,20.53,0.27,5.61,115.17,-0.25
"(36, 20, 9)",9,139,80,16,8,8,20.5,0.27,5.6,114.8,-0.25
"(37, 20, 9)",9,139,80,16,8,8,20.38,0.27,5.58,113.72,-0.25
"(41, 20, 9)",9,139,80,16,8,8,20.08,0.27,5.56,111.64,-0.25
"(43, 20, 9)",9,139,80,16,8,8,19.48,0.26,5.51,107.33,-0.25
"(46, 20, 9)",9,139,80,16,8,8,18.86,0.26,5.47,103.16,-0.26
"(57, 20, 9)",9,139,80,16,8,8,18.6,0.26,5.49,102.11,-0.25
"(51, 20, 9)",9,139,80,16,8,8,18.24,0.26,5.44,99.23,-0.26
"(50, 20, 9)",9,139,80,16,8,8,18.16,0.26,5.44,98.79,-0.26
