rebal_int,top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd,stats_file
1,"(25, 20, 1)",9,139,80,34,16,8,513.28,1.26,5.91,3033.48,-0.73,M_nasdaq100_stats_2023.06.02.190501.csv
1,"(25, 20, 1)",9,139,80,34,16,8,513.28,1.26,5.91,3033.48,-0.73,M_nasdaq100_stats_2023.06.02.192101.csv
1,"(25, 20, 5)",9,139,80,34,16,8,421.67,0.68,7.06,2976.99,-0.45,M_nasdaq100_stats_2023.06.03.140711.csv
1,"(25, 20, 5)",9,139,80,34,16,8,421.67,0.68,7.06,2976.99,-0.45,M_nasdaq100_stats_2023.06.03.141337.csv
3,"(25, 20, 1)",9,139,60,34,16,8,293.82,0.58,6.69,1965.66,-0.52,M_nasdaq100_stats_2023.06.04.133243.csv
1,"(25, 20, 3)",9,139,80,34,16,8,175.45,0.96,7.17,1257.98,-0.52,M_nasdaq100_stats_2023.06.02.192101.csv
1,"(25, 20, 3)",9,139,80,34,16,8,175.45,0.96,7.17,1257.98,-0.52,M_nasdaq100_stats_2023.06.02.190501.csv
1,"(25, 20, 4)",9,139,80,34,16,8,110.91,0.85,7.29,808.53,-0.49,M_nasdaq100_stats_2023.06.02.192101.csv
1,"(25, 20, 4)",9,139,80,34,16,8,110.91,0.85,7.29,808.53,-0.49,M_nasdaq100_stats_2023.06.02.190501.csv
8,"(25, 20, 3)",9,139,40,34,16,8,65.9,0.42,12.09,796.73,-0.26,M_nasdaq100_stats_2023.06.04.143238.csv
4,"(25, 20, 3)",9,139,40,34,16,8,64.57,0.4,10.89,703.17,-0.24,M_nasdaq100_stats_2023.06.04.143238.csv
3,"(25, 20, 3)",9,139,170,34,16,8,79.21,0.42,8.28,655.86,-0.31,M_nasdaq100_stats_2023.06.04.142408.csv
3,"(25, 20, 3)",9,139,40,34,16,8,79.21,0.42,8.28,655.86,-0.31,M_nasdaq100_stats_2023.06.04.142811.csv
3,"(25, 20, 3)",9,139,159,34,16,8,79.21,0.42,8.28,655.86,-0.31,M_nasdaq100_stats_2023.06.04.142408.csv
3,"(25, 20, 3)",9,139,148,34,16,8,79.21,0.42,8.28,655.86,-0.31,M_nasdaq100_stats_2023.06.04.142408.csv
3,"(25, 20, 3)",9,139,137,34,16,8,79.21,0.42,8.28,655.86,-0.31,M_nasdaq100_stats_2023.06.04.142408.csv
3,"(25, 20, 3)",9,139,126,34,16,8,79.21,0.42,8.28,655.86,-0.31,M_nasdaq100_stats_2023.06.04.142408.csv
3,"(25, 20, 3)",9,139,100,34,16,8,79.21,0.42,8.28,655.86,-0.31,M_nasdaq100_stats_2023.06.04.142408.csv
3,"(25, 20, 3)",9,139,40,34,16,8,79.21,0.42,8.28,655.86,-0.31,M_nasdaq100_stats_2023.06.04.143238.csv
