rebal_int,top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
3,"(25, 20, 5)",9,139,11,34,16,8,10.88,0.22,7.81,84.97,-0.25
3,"(25, 20, 5)",9,139,10,34,16,8,9.74,0.21,8.61,83.86,-0.22
3,"(25, 20, 5)",9,139,12,34,16,8,10.48,0.22,7.43,77.87,-0.24
3,"(25, 20, 5)",9,139,13,34,16,8,9.62,0.21,7.18,69.07,-0.24
3,"(25, 20, 5)",9,139,9,34,16,8,6.13,0.17,7.85,48.12,-0.2
3,"(25, 20, 5)",9,139,8,34,16,8,4.5,0.15,7.07,31.82,-0.2
3,"(25, 20, 5)",9,139,7,34,16,8,2.97,0.12,6.48,19.25,-0.22
3,"(25, 20, 5)",9,139,4,34,16,8,1.77,0.08,5.79,10.25,-0.14
3,"(25, 20, 5)",9,139,6,34,16,8,1.9,0.09,5.3,10.07,-0.2
3,"(25, 20, 5)",9,139,2,34,16,8,1.17,0.06,6.31,7.38,-0.09
3,"(25, 20, 5)",9,139,3,34,16,8,1.26,0.07,5.69,7.17,-0.09
3,"(25, 20, 5)",9,139,1,34,16,8,0.98,0.06,7.14,7.0,-0.06
3,"(25, 20, 5)",9,139,5,34,16,8,1.42,0.07,4.9,6.96,-0.2
