top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
"(25, 20, 4)",9,139,80,85,47,4,21.18,0.27,2.46,52.1,-0.29
"(25, 20, 5)",9,139,80,85,47,4,17.98,0.26,2.45,44.05,-0.27
"(25, 20, 3)",9,139,80,85,47,4,17.64,0.25,2.18,38.46,-0.31
"(25, 20, 6)",9,139,80,85,47,4,12.15,0.22,2.32,28.19,-0.24
"(25, 20, 1)",9,139,80,85,47,4,15.41,0.24,1.62,24.96,-0.51
"(25, 14, 10)",9,139,80,85,47,4,10.4,0.21,2.37,24.65,-0.24
"(25, 16, 10)",9,139,80,85,47,4,10.27,0.21,2.39,24.55,-0.23
"(25, 15, 10)",9,139,80,85,47,4,10.28,0.21,2.37,24.36,-0.23
"(25, 20, 7)",9,139,80,85,47,4,10.48,0.21,2.29,24.0,-0.23
"(25, 18, 10)",9,139,80,85,47,4,9.84,0.2,2.35,23.12,-0.21
"(25, 12, 10)",9,139,80,85,47,4,9.54,0.2,2.26,21.56,-0.25
"(25, 20, 8)",9,139,80,85,47,4,9.3,0.2,2.25,20.92,-0.21
"(25, 11, 10)",9,139,80,85,47,4,9.44,0.2,2.2,20.77,-0.28
"(25, 17, 10)",9,139,80,85,47,4,9.02,0.19,2.29,20.66,-0.22
"(24, 20, 10)",9,139,80,85,47,4,8.96,0.19,2.29,20.52,-0.23
"(30, 20, 10)",9,139,80,85,47,4,8.88,0.19,2.31,20.51,-0.19
"(25, 20, 9)",9,139,80,85,47,4,8.85,0.19,2.25,19.91,-0.22
"(29, 20, 10)",9,139,80,85,47,4,8.6,0.19,2.29,19.69,-0.19
"(25, 20, 10)",9,139,80,85,47,4,8.54,0.19,2.25,19.21,-0.21
"(28, 20, 10)",9,139,80,85,47,4,8.4,0.19,2.27,19.07,-0.19
"(25, 10, 10)",9,139,80,85,47,4,8.91,0.19,2.13,18.98,-0.29
"(25, 20, 12)",9,139,80,85,47,4,8.32,0.19,2.28,18.97,-0.21
"(25, 13, 10)",9,139,80,85,47,4,8.6,0.19,2.19,18.83,-0.25
"(25, 21, 10)",9,139,80,85,47,4,8.37,0.19,2.25,18.83,-0.21
"(33, 20, 10)",9,139,80,85,47,4,8.32,0.19,2.26,18.8,-0.19
"(26, 20, 10)",9,139,80,85,47,4,8.39,0.19,2.24,18.79,-0.2
"(31, 20, 10)",9,139,80,85,47,4,8.28,0.19,2.26,18.71,-0.19
"(25, 22, 10)",9,139,80,85,47,4,8.24,0.19,2.25,18.54,-0.21
"(25, 20, 11)",9,139,80,85,47,4,8.16,0.19,2.24,18.28,-0.21
"(25, 20, 17)",9,139,80,85,47,4,7.82,0.18,2.29,17.91,-0.21
"(32, 20, 10)",9,139,80,85,47,4,8.0,0.18,2.22,17.76,-0.21
"(22, 20, 10)",9,139,80,85,47,4,8.01,0.19,2.2,17.62,-0.21
"(49, 20, 10)",9,139,80,85,47,4,7.88,0.18,2.21,17.41,-0.22
"(53, 20, 10)",9,139,80,85,47,4,7.85,0.18,2.21,17.35,-0.22
"(46, 20, 10)",9,139,80,85,47,4,7.79,0.18,2.2,17.14,-0.22
"(25, 20, 13)",9,139,80,85,47,4,7.63,0.18,2.22,16.94,-0.21
"(34, 20, 10)",9,139,80,85,47,4,7.72,0.18,2.19,16.91,-0.21
"(45, 20, 10)",9,139,80,85,47,4,7.62,0.18,2.18,16.61,-0.23
"(36, 20, 10)",9,139,80,85,47,4,7.52,0.18,2.17,16.32,-0.22
"(25, 20, 14)",9,139,80,85,47,4,7.38,0.18,2.21,16.31,-0.22
"(25, 20, 18)",9,139,80,85,47,4,7.27,0.18,2.24,16.28,-0.21
"(25, 20, 16)",9,139,80,85,47,4,7.32,0.18,2.22,16.25,-0.21
"(61, 20, 10)",9,139,80,85,47,4,7.39,0.18,2.16,15.96,-0.22
"(43, 20, 10)",9,139,80,85,47,4,7.24,0.18,2.13,15.42,-0.23
"(55, 20, 10)",9,139,80,85,47,4,7.21,0.18,2.13,15.36,-0.22
"(82, 20, 10)",9,139,80,85,47,4,7.2,0.18,2.13,15.34,-0.23
"(25, 20, 15)",9,139,80,85,47,4,7.03,0.17,2.18,15.33,-0.21
"(64, 20, 10)",9,139,80,85,47,4,7.16,0.18,2.14,15.32,-0.22
"(40, 20, 10)",9,139,80,85,47,4,7.19,0.18,2.13,15.31,-0.22
"(25, 20, 2)",9,139,80,85,47,4,9.38,0.2,1.61,15.1,-0.35
"(37, 20, 10)",9,139,80,85,47,4,7.12,0.18,2.12,15.09,-0.22
"(67, 20, 10)",9,139,80,85,47,4,7.01,0.17,2.13,14.93,-0.22
"(73, 20, 10)",9,139,80,85,47,4,6.98,0.17,2.12,14.8,-0.23
"(38, 20, 10)",9,139,80,85,47,4,6.91,0.17,2.1,14.51,-0.23
"(41, 20, 10)",9,139,80,85,47,4,6.9,0.17,2.09,14.42,-0.23
"(25, 20, 19)",9,139,80,85,47,4,6.62,0.17,2.16,14.3,-0.21
"(25, 25, 10)",9,139,80,85,47,4,6.69,0.17,2.07,13.85,-0.25
"(21, 20, 10)",9,139,80,85,47,4,6.36,0.17,2.02,12.85,-0.24
"(25, 24, 10)",9,139,80,85,47,4,6.29,0.17,2.02,12.71,-0.25
"(20, 20, 10)",9,139,80,85,47,4,6.12,0.16,1.96,12.0,-0.27
