rebalance_interval,top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
6,"(25, 20, 5)",2,150,80,64,44,40,15.79,0.43,6.81,107.53,-0.29
6,"(25, 20, 5)",2,149,80,64,44,40,15.79,0.43,6.81,107.53,-0.29
6,"(25, 20, 5)",2,138,80,64,44,40,13.84,0.41,6.56,90.79,-0.29
6,"(25, 20, 5)",2,144,80,64,44,40,13.84,0.41,6.56,90.79,-0.29
6,"(25, 20, 5)",2,142,80,64,44,40,13.84,0.41,6.56,90.79,-0.29
6,"(25, 20, 5)",2,139,80,64,44,40,13.84,0.41,6.56,90.79,-0.29
6,"(25, 20, 5)",1,145,80,64,44,40,13.19,0.4,6.45,85.08,-0.29
6,"(25, 20, 5)",1,139,80,64,44,40,13.19,0.4,6.45,85.08,-0.29
6,"(25, 20, 5)",1,142,80,64,44,40,13.19,0.4,6.45,85.08,-0.29
6,"(25, 20, 5)",1,193,80,64,44,40,13.23,0.4,6.35,84.01,-0.33
6,"(25, 20, 5)",1,169,80,64,44,40,13.23,0.4,6.35,84.01,-0.33
6,"(25, 20, 5)",2,157,80,64,44,40,13.23,0.4,6.35,84.01,-0.33
6,"(25, 20, 5)",2,169,80,64,44,40,13.23,0.4,6.35,84.01,-0.33
6,"(25, 20, 5)",2,189,80,64,44,40,13.23,0.4,6.35,84.01,-0.33
6,"(25, 20, 5)",2,179,80,64,44,40,13.23,0.4,6.35,84.01,-0.33
6,"(25, 20, 5)",2,172,80,64,44,40,13.23,0.4,6.35,84.01,-0.33
6,"(25, 20, 5)",2,159,80,64,44,40,13.23,0.4,6.35,84.01,-0.33
6,"(25, 20, 5)",2,186,80,64,44,40,13.23,0.4,6.35,84.01,-0.33
6,"(25, 20, 5)",2,180,80,64,44,40,13.23,0.4,6.35,84.01,-0.33
6,"(25, 20, 5)",2,174,80,64,44,40,13.23,0.4,6.35,84.01,-0.33
6,"(25, 20, 5)",2,168,80,64,44,40,13.23,0.4,6.35,84.01,-0.33
6,"(25, 20, 5)",2,162,80,64,44,40,13.23,0.4,6.35,84.01,-0.33
6,"(25, 20, 5)",2,192,80,64,44,40,13.23,0.4,6.35,84.01,-0.33
6,"(25, 20, 5)",2,156,80,64,44,40,13.23,0.4,6.35,84.01,-0.33
6,"(25, 20, 5)",2,187,80,64,44,40,13.23,0.4,6.35,84.01,-0.33
6,"(25, 20, 5)",3,139,80,64,44,40,12.26,0.39,6.39,78.34,-0.29
6,"(25, 20, 5)",3,142,80,64,44,40,12.26,0.39,6.39,78.34,-0.29
