rebal_int,top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
4,"(25, 20, 10)",2,139,15,71,21,10,13.93,0.23,4.71,65.61,-0.28
4,"(25, 20, 10)",2,139,15,71,19,10,13.84,0.23,4.68,64.77,-0.28
4,"(25, 20, 10)",2,139,15,71,11,10,13.69,0.23,4.65,63.66,-0.28
4,"(25, 20, 10)",2,139,15,71,27,10,13.32,0.23,4.57,60.87,-0.31
4,"(25, 20, 10)",2,139,15,71,29,10,13.22,0.23,4.53,59.89,-0.31
4,"(25, 20, 10)",2,139,15,71,13,10,12.82,0.23,4.64,59.48,-0.28
4,"(25, 20, 10)",2,139,15,71,17,10,12.65,0.23,4.63,58.57,-0.28
4,"(25, 20, 10)",2,139,15,71,15,10,12.11,0.22,4.59,55.58,-0.28
4,"(25, 20, 10)",2,139,15,67,17,10,12.09,0.22,4.59,55.49,-0.28
4,"(25, 20, 10)",2,139,15,71,23,10,11.97,0.22,4.58,54.82,-0.28
4,"(25, 20, 10)",2,139,15,83,17,10,11.87,0.22,4.53,53.77,-0.29
4,"(25, 20, 10)",2,139,15,71,17,15,11.87,0.22,4.47,53.06,-0.31
4,"(25, 20, 10)",2,139,15,71,25,10,11.51,0.22,4.42,50.87,-0.32
4,"(25, 20, 10)",2,139,15,71,16,16,11.0,0.21,4.48,49.28,-0.28
4,"(25, 20, 10)",2,139,15,71,17,16,10.87,0.21,4.45,48.37,-0.28
4,"(25, 20, 10)",2,139,15,66,17,16,10.93,0.21,4.39,47.98,-0.3
4,"(25, 20, 10)",2,139,15,71,17,17,10.89,0.21,4.32,47.04,-0.28
4,"(25, 20, 10)",2,139,15,71,49,16,10.76,0.21,4.34,46.7,-0.28
4,"(25, 20, 10)",2,139,15,75,17,10,10.51,0.21,4.44,46.66,-0.28
4,"(25, 20, 10)",2,139,15,71,19,16,10.43,0.21,4.4,45.89,-0.28
4,"(25, 20, 10)",2,139,15,43,17,10,10.48,0.21,4.36,45.69,-0.28
4,"(25, 20, 10)",2,139,15,19,17,10,10.18,0.21,4.35,44.28,-0.28
4,"(25, 20, 10)",2,139,15,71,22,16,10.13,0.21,4.34,43.96,-0.28
4,"(25, 20, 10)",2,139,15,71,41,16,10.18,0.21,4.26,43.37,-0.32
4,"(25, 20, 10)",2,139,15,71,32,17,10.19,0.21,4.19,42.7,-0.3
4,"(25, 20, 10)",2,139,15,71,32,9,9.81,0.2,4.19,41.1,-0.29
4,"(25, 20, 10)",2,139,15,71,28,16,9.64,0.2,4.2,40.49,-0.32
4,"(25, 20, 10)",2,139,15,71,17,9,9.48,0.2,4.27,40.48,-0.27
4,"(25, 20, 10)",2,139,15,71,33,16,9.5,0.2,4.18,39.71,-0.32
4,"(25, 20, 10)",2,139,15,71,57,16,9.38,0.2,4.18,39.21,-0.28
4,"(25, 20, 10)",2,139,15,71,34,16,9.37,0.2,4.18,39.17,-0.32
4,"(25, 20, 10)",2,139,15,71,17,13,9.26,0.2,4.09,37.87,-0.29
4,"(25, 20, 10)",2,139,15,91,17,10,9.12,0.2,4.12,37.57,-0.29
4,"(25, 20, 10)",2,139,15,99,17,10,9.09,0.2,4.13,37.54,-0.29
4,"(25, 20, 10)",2,139,15,71,17,11,9.18,0.2,4.07,37.36,-0.3
4,"(25, 20, 10)",2,139,15,53,17,16,8.6,0.19,4.14,35.6,-0.28
4,"(25, 20, 10)",2,139,15,71,31,16,8.73,0.19,4.06,35.44,-0.32
4,"(25, 20, 10)",2,139,15,51,17,10,8.55,0.19,4.12,35.23,-0.29
