top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
"(30, 20, 5)",9,139,382.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,309.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,317.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,321.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,329.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,333.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,341.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,361.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,349.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,353.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,357.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,365.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,369.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,373.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,297.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,377.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,422.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,418.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,414.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,410.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,350.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,80.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,366.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,426.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,301.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,345.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,100.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,313.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,325.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,337.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,406.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,380.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,358.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,402.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,305.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,334.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,338.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
"(30, 20, 5)",9,139,342.0,16,11,10,76.68,0.4,6.99,535.99,-0.24
