Date,VFINX,VINEX,VUSTX
2010-01-04,82.42,8.33,5.74
2010-01-05,82.68,8.36,5.77
2010-01-06,82.76,8.41,5.71
2010-01-07,83.1,8.38,5.73
2010-01-08,83.34,8.46,5.73
2010-01-11,83.48,8.52,5.7
2010-01-12,82.7,8.48,5.79
2010-01-13,83.4,8.51,5.74
2010-01-14,83.6,8.56,5.79
2010-01-15,82.7,8.49,5.81
2010-01-19,83.73,8.53,5.81
2010-01-20,82.85,8.36,5.85
2010-01-21,81.29,8.29,5.88
2010-01-22,79.49,8.18,5.88
2010-01-25,79.85,8.23,5.85
2010-01-26,79.52,8.16,5.86
2010-01-27,79.91,8.11,5.85
2010-01-28,78.97,8.07,5.84
2010-01-29,78.2,7.97,5.9
2010-02-01,79.31,8.04,5.86
2010-02-02,80.34,8.17,5.87
2010-02-03,79.93,8.13,5.81
2010-02-04,77.44,7.89,5.9
2010-02-05,77.66,7.76,5.91
2010-02-08,77.0,7.67,5.91
2010-02-09,78.01,7.8,5.86
2010-02-10,77.85,7.79,5.81
2010-02-11,78.62,7.85,5.79
2010-02-12,78.42,7.83,5.81
2010-02-16,79.84,7.94,5.82
2010-02-17,80.2,7.95,5.77
2010-02-18,80.73,7.99,5.75
2010-02-19,80.92,7.93,5.76
2010-02-22,80.83,7.97,5.75
2010-02-23,79.86,7.86,5.82
2010-02-24,80.65,7.88,5.83
2010-02-25,80.5,7.84,5.86
2010-02-26,80.61,7.9,5.89
2010-03-01,81.43,7.96,5.9
2010-03-02,81.62,8.0,5.89
2010-03-03,81.67,8.08,5.88
2010-03-04,81.97,8.04,5.9
2010-03-05,83.13,8.13,5.84
2010-03-08,83.13,8.16,5.81
2010-03-09,83.27,8.17,5.82
2010-03-10,83.66,8.23,5.81
2010-03-11,84.01,8.26,5.82
2010-03-12,84.0,8.32,5.84
2010-03-15,84.04,8.26,5.84
2010-03-16,84.7,8.35,5.88
2010-03-17,85.2,8.41,5.9
2010-03-18,85.17,8.39,5.88
2010-03-19,84.73,8.35,5.88
2010-03-22,85.17,8.35,5.89
2010-03-23,85.79,8.39,5.87
2010-03-24,85.32,8.29,5.78
2010-03-25,85.17,8.29,5.74
2010-03-26,85.24,8.37,5.75
2010-03-29,85.73,8.44,5.74
2010-03-30,85.75,8.45,5.76
2010-03-31,85.46,8.47,5.8
2010-04-01,86.11,8.59,5.79
2010-04-05,86.79,8.61,5.71
2010-04-06,86.94,8.65,5.72
2010-04-07,86.46,8.62,5.78
2010-04-08,86.76,8.61,5.77
2010-04-09,87.34,8.71,5.78
2010-04-12,87.5,8.71,5.81
2010-04-13,87.56,8.69,5.83
2010-04-14,88.53,8.8,5.79
2010-04-15,88.61,8.81,5.8
2010-04-16,87.19,8.69,5.84
2010-04-19,87.57,8.63,5.82
2010-04-20,88.28,8.68,5.84
2010-04-21,88.19,8.68,5.87
2010-04-22,88.4,8.65,5.86
2010-04-23,89.03,8.74,5.84
2010-04-26,88.65,8.75,5.84
2010-04-27,86.57,8.52,5.92
2010-04-28,87.15,8.46,5.87
2010-04-29,88.28,8.55,5.89
2010-04-30,86.81,8.56,5.96
2010-05-03,87.95,8.58,5.96
2010-05-04,85.85,8.31,6.04
2010-05-05,85.31,8.17,6.06
2010-05-06,82.57,7.95,6.21
2010-05-07,81.3,7.79,6.15
2010-05-10,84.88,8.13,6.05
2010-05-11,84.61,8.08,6.04
2010-05-12,85.8,8.18,6.01
2010-05-13,84.77,8.12,6.04
2010-05-14,83.17,7.96,6.11
2010-05-17,83.28,7.9,6.09
2010-05-18,82.11,7.73,6.17
2010-05-19,81.7,7.67,6.18
2010-05-20,78.52,7.46,6.29
2010-05-21,79.7,7.54,6.29
2010-05-24,78.67,7.46,6.28
2010-05-25,78.7,7.3,6.31
2010-05-26,78.26,7.3,6.29
2010-05-27,80.86,7.63,6.17
2010-05-28,79.87,7.57,6.22
2010-06-01,78.5,7.57,6.24
2010-06-02,80.54,7.65,6.2
2010-06-03,80.87,7.67,6.16
2010-06-04,78.09,7.47,6.3
2010-06-07,77.04,7.36,6.34
2010-06-08,77.9,7.43,6.31
2010-06-09,77.44,7.45,6.3
2010-06-10,79.72,7.69,6.21
2010-06-11,80.09,7.72,6.27
2010-06-14,79.95,7.8,6.25
2010-06-15,81.83,7.95,6.22
2010-06-16,81.79,7.92,6.25
2010-06-17,81.9,7.95,6.29
2010-06-18,82.01,7.97,6.28
2010-06-21,81.7,7.99,6.27
2010-06-22,80.4,7.93,6.32
2010-06-23,80.16,7.95,6.36
2010-06-24,78.81,7.82,6.33
2010-06-25,79.03,7.86,6.35
2010-06-28,78.88,7.83,6.4
2010-06-29,76.44,7.59,6.46
2010-06-30,75.68,7.56,6.51
2010-07-01,75.44,7.62,6.51
2010-07-02,75.09,7.64,6.47
2010-07-06,75.49,7.79,6.52
2010-07-07,77.9,7.9,6.46
2010-07-08,78.63,7.96,6.43
2010-07-09,79.2,7.97,6.39
2010-07-12,79.25,7.97,6.39
2010-07-13,80.48,8.06,6.35
2010-07-14,80.46,8.09,6.4
2010-07-15,80.56,8.13,6.45
2010-07-16,78.25,7.96,6.49
2010-07-19,78.71,7.95,6.45
2010-07-20,79.61,7.99,6.46
2010-07-21,78.6,7.92,6.55
2010-07-22,80.38,8.13,6.49
2010-07-23,81.04,8.22,6.43
2010-07-26,81.94,8.31,6.42
2010-07-27,81.86,8.3,6.37
2010-07-28,81.29,8.25,6.39
2010-07-29,80.97,8.31,6.39
2010-07-30,80.97,8.28,6.5
2010-08-02,82.76,8.48,6.43
2010-08-03,82.36,8.48,6.46
2010-08-04,82.89,8.46,6.43
2010-08-05,82.78,8.48,6.46
2010-08-06,82.49,8.5,6.52
2010-08-09,82.93,8.51,6.5
