Date,ATVI,ADBE,ADP,ABNB,ALGN,GOOG,AMZN,AMD,AEP,AMGN,ADI,ANSS,AAPL,AMAT,ASML,AZN,TEAM,ADSK,BKR,BIIB,BKNG,AVGO,CDNS,CHTR,CTAS,CSCO,CTSH,CMCSA,CEG,CPRT,CSGP,COST,CRWD,CSX,DDOG,DXCM,FANG,DLTR,EBAY,EA,ENPH,EXC,FAST,FISV,FTNT,GILD,GFS,HON,IDXX,ILMN,INTC,INTU,ISRG,JD,KDP,KLAC,KHC,LRCX,LCID,LULU,MAR,MRVL,MELI,META,MCHP,MU,MSFT,MRNA,MDLZ,MNST,NFLX,NVDA,NXPI,ORLY,ODFL,PCAR,PANW,PAYX,PYPL,PDD,PEP,QCOM,REGN,RIVN,ROST,SGEN,SIRI,SBUX,SNPS,TMUS,TSLA,TXN,VRSK,VRTX,WBA,WBD,WDAY,XEL,ZM,ZS
2010-01-04,10.02,37.09,27.49,,18.5,15.61,6.7,9.7,21.14,43.27,23.07,44.64,6.52,11.33,24.25,13.64,,25.67,22.28,53.64,223.96,13.9,6.12,,21.71,17.53,21.8,6.63,,4.55,4.22,43.93,,4.29,,2.14,,16.06,9.48,17.93,,20.73,7.55,12.36,1.8,16.72,,28.95,27.04,30.55,14.02,27.74,34.31,,3.41,21.51,,34.98,,15.45,22.72,18.14,49.02,,10.32,10.76,23.68,,13.62,6.55,7.64,4.24,,38.5,8.48,23.5,,19.86,,,41.91,33.58,24.63,,9.38,10.54,0.58,9.26,22.44,13.21,,18.77,29.07,44.24,26.33,15.84,,13.6,,
2010-01-05,10.04,37.7,27.34,,18.01,15.54,6.73,9.71,20.9,42.89,23.03,43.64,6.53,11.24,24.44,13.36,,25.28,23.59,53.38,226.56,14.0,6.06,35.0,21.68,17.45,22.04,6.54,,4.55,4.24,43.8,,4.4,,2.17,,15.85,9.38,18.44,,20.39,7.71,12.41,1.84,16.7,,29.01,27.08,30.35,14.01,27.74,34.15,,3.37,21.27,,34.74,,15.91,22.85,18.49,50.27,,10.15,11.08,23.69,,14.29,6.57,7.36,4.3,,38.56,8.67,23.93,,19.85,,,42.42,34.38,25.1,,9.56,10.53,0.62,9.47,22.25,13.24,,18.66,29.27,42.78,26.11,16.46,,13.44,,
2010-01-06,9.98,37.62,27.28,,17.48,15.15,6.61,9.57,21.11,42.57,22.99,43.35,6.42,11.22,24.66,13.25,,25.34,24.77,53.43,219.08,14.11,6.13,35.0,21.73,17.34,22.04,6.49,,4.53,4.25,44.37,,4.41,,2.24,,16.78,9.32,17.96,,20.51,8.22,12.36,1.94,17.28,,29.01,27.15,32.22,13.97,27.35,34.65,,3.45,21.18,,34.58,,16.25,22.91,18.65,49.68,,10.07,11.13,23.55,,14.39,6.71,7.62,4.33,,38.39,8.83,24.24,,20.01,,,42.0,34.05,24.72,,9.7,10.82,0.62,9.4,22.21,12.35,,18.52,29.65,42.03,25.92,16.71,,13.46,,
2010-01-07,9.74,36.89,27.27,,17.43,14.8,6.5,9.47,21.29,42.18,22.81,43.46,6.41,11.1,23.98,13.4,,25.48,24.94,52.99,216.13,14.02,6.25,35.0,21.92,17.42,21.21,6.63,,4.51,4.24,44.15,,4.38,,2.3,,16.67,9.22,17.83,,20.58,8.36,12.3,1.95,17.32,,29.57,28.18,32.77,13.83,27.26,34.52,,3.41,21.3,,34.52,,16.16,23.0,18.22,48.7,,10.01,10.75,23.3,,14.35,6.68,7.49,4.25,,38.27,8.4,24.56,,20.32,,,41.73,35.03,24.57,,10.1,10.76,0.6,9.38,22.15,12.46,,18.58,29.6,41.5,26.07,16.7,,13.4,,
2010-01-08,9.66,36.69,27.23,,17.66,14.99,6.68,9.43,21.55,42.56,22.94,43.76,6.45,11.53,23.4,13.45,,26.26,25.45,54.08,216.21,14.12,6.34,33.5,22.14,17.51,21.82,6.61,,4.52,4.23,43.83,,4.59,,2.26,,16.44,9.33,18.18,,20.49,8.44,12.16,2.01,17.19,,30.22,27.95,33.15,13.99,27.98,34.33,,3.38,21.62,,35.39,,16.14,23.05,18.43,48.94,,10.07,11.01,23.46,,14.37,6.72,7.61,4.26,,37.93,8.52,24.6,,20.34,,,41.59,35.39,24.37,,9.91,10.82,0.6,9.35,22.31,11.77,,19.01,29.22,40.67,26.11,16.75,,13.41,,
2010-01-11,9.65,36.21,27.35,,17.54,14.97,6.52,9.14,21.77,42.74,22.81,43.93,6.4,11.78,22.91,13.7,,26.25,25.18,53.9,218.91,14.21,6.34,33.5,22.05,17.46,21.65,6.57,,4.5,4.24,43.88,,4.55,,2.25,,16.35,9.3,18.05,,20.72,8.28,12.23,2.01,17.33,,30.6,28.89,33.82,14.07,28.11,34.59,,3.36,21.53,,36.34,,15.9,23.0,18.29,44.23,,10.06,10.81,23.16,,14.3,6.72,7.6,4.2,,38.13,8.47,25.0,,20.46,,,41.54,35.26,24.84,,9.95,10.6,0.62,9.32,22.12,11.91,,18.76,29.15,41.83,26.15,16.69,,13.54,,
2010-01-12,9.55,35.66,27.16,,17.23,14.71,6.37,8.65,21.55,42.0,21.86,42.74,6.32,11.25,22.94,13.63,,25.89,24.7,53.25,213.98,14.0,6.2,33.5,21.75,17.19,21.98,6.45,,4.47,4.17,43.65,,4.45,,2.37,,16.55,9.2,16.65,,20.81,8.27,12.12,1.98,17.35,,30.25,28.84,39.17,13.84,28.11,33.82,,3.31,20.78,,33.98,,15.68,22.81,17.56,43.6,,9.89,10.18,23.01,,14.54,6.66,7.48,4.05,,38.85,8.42,24.93,,20.39,,,42.13,34.68,24.51,,9.99,10.32,0.61,9.16,21.8,10.52,,17.97,29.38,41.79,25.93,16.25,,13.7,,
2010-01-13,9.67,36.28,27.36,,17.58,14.62,6.46,9.15,21.82,42.38,21.85,43.04,6.41,11.3,23.58,13.95,,26.25,25.15,54.08,214.3,13.57,6.39,32.75,22.09,17.5,22.72,6.55,,4.43,4.15,43.92,,4.48,,2.31,,16.47,9.36,16.97,,21.06,8.39,12.22,1.94,17.57,,30.36,29.58,40.51,14.07,28.43,34.0,,3.34,21.02,,34.08,,16.16,23.13,17.85,43.83,,9.98,10.38,23.22,,14.51,6.76,7.71,4.11,,38.98,8.47,25.04,,20.4,,,42.47,34.83,24.65,,10.1,10.66,0.6,9.39,22.01,10.49,,18.05,29.37,42.72,26.17,16.35,,13.91,,
2010-01-14,9.63,35.9,27.28,,17.13,14.69,6.37,9.0,21.9,42.1,21.83,43.49,6.38,11.37,23.42,14.21,,26.6,25.68,54.36,208.77,13.58,6.32,32.75,21.95,17.72,22.41,6.51,,4.47,4.25,43.42,,4.43,,2.31,,16.42,9.08,16.98,,20.82,8.32,12.19,1.99,17.55,,30.54,29.82,39.03,14.42,28.61,34.22,,3.34,20.39,,33.63,,15.93,24.41,17.6,41.88,,9.91,10.65,23.69,,14.46,6.75,7.28,4.04,,38.79,8.45,24.99,,20.2,,,42.98,34.6,24.62,,10.02,10.67,0.61,9.46,22.19,10.32,,17.83,29.13,41.3,26.19,16.21,,13.94,,
2010-01-15,9.65,35.87,27.13,,16.93,14.45,6.36,8.84,21.79,42.17,21.09,43.34,6.27,10.88,22.9,14.05,,26.08,25.54,54.18,208.77,13.44,6.22,32.25,21.59,17.33,22.32,6.49,,4.4,4.14,43.47,,4.39,,2.42,,16.46,8.92,16.83,,20.61,8.24,11.98,1.96,17.57,,30.58,29.55,39.02,13.97,28.32,34.29,,3.33,19.42,,32.29,,15.57,24.09,16.89,40.84,,9.68,10.05,23.61,,14.69,6.74,7.28,3.93,,38.21,8.23,24.4,,19.76,,,42.63,34.71,23.88,,9.87,10.3,0.6,9.34,21.97,10.47,,17.68,28.2,40.21,25.83,16.57,,13.81,,
