Date,AAL,AAPL,ABNB,ADBE,ADI,ADP,ADSK,AEP,AKAM,ALGN,AMAT,AMD,AMGN,AMLN,AMZN,ANSS,APOL,ASML,ATVI,AVGO,AZN,BBBY,BIDU,BIIB,BKNG,BKR,BMC,BMRN,CDNS,CDW,CERN,CHKP,CHRW,CHTR,CMCSA,CMCSK,COST,CPRT,CRWD,CSCO,CSGP,CSX,CTAS,CTRP,CTRX,CTSH,CTXS,DDOG,DISCA,DISCK,DISH,DLTR,DOCU,DXCM,EA,EBAY,ENDP,ENPH,EQIX,ERIC,ESRX,EXC,EXPD,EXPE,FANG,FAST,FFIV,FISV,FLEX,FLIR,FMCN,FOSL,FOX,FOXA,FSLR,FTNT,FWLT,GFS,GILD,GMCR,GOLD,GOOG,GRMN,HANS,HAS,HOLX,HON,HSIC,IACI,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,JD,KDP,KHC,KLAC,LAMR,LBTYA,LBTYK,LCID,LEAP,LIFE,LILA,LILAC,LMCA,LOGI,LRCX,LULU,LVLT,MAR,MAT,MCHP,MDLZ,MELI,META,MNST,MRNA,MRVL,MSFT,MTCH,MU,MXIM,MYL,NCLH,NFLX,NIHD,NLOK,NTAP,NTES,NUAN,NVDA,NXPI,ODFL,OKTA,ORLY,PANW,PAYX,PCAR,PDCO,PDD,PEP,PETM,PPDI,PTEN,PTON,PYPL,QCOM,QGEN,QRTEA,REGN,RIMM,RIVN,ROST,RYAAY,SBAC,SBUX,SEPR,SGEN,SHLD,SHPG,SIRI,SNDK,SNPS,SPLK,SPLS,SRCL,STLD,STX,SWKS,TCOM,TEAM,TMUS,TRIP,TSCO,TSLA,TTWO,TXN,UAL,ULTA,URBN,VIAB,VIP,VMED,VOD,VRSK,VRSN,VRTX,WBA,WBD,WCRX,WDAY,WDC,WFM,WFMI,WLTW,WYNN,XEL,XMSR,XRAY,ZM,ZS
2010-01-04,4.5,6.52,,37.09,23.07,27.49,25.67,21.14,25.92,18.5,11.33,9.7,43.27,14.5,6.7,44.64,,24.25,10.02,13.9,13.64,34.03,41.0,53.64,223.96,22.28,,18.95,6.12,,,34.11,44.1,,6.63,,43.93,4.55,,17.53,4.22,4.29,21.71,,,21.8,,,,,19.0,16.06,,2.14,17.93,9.48,,,86.67,7.07,44.26,20.73,29.64,34.01,,7.55,53.98,12.36,7.36,,16.48,33.7,,,135.46,1.8,,,16.72,,32.5,15.61,20.03,,22.29,14.94,28.95,20.95,,27.04,30.55,9.5,14.02,27.74,34.31,29.05,,3.41,,21.51,21.03,11.24,10.97,,,,,,,13.66,34.98,15.45,,22.72,14.35,10.32,13.62,49.02,,6.55,,18.14,23.68,5.17,10.76,,,,7.64,,,27.14,6.98,,4.24,,8.48,,38.5,,19.86,23.5,20.09,,41.91,,,13.69,,,33.58,22.66,5.36,24.63,,,9.38,23.72,34.27,9.26,,10.54,,57.08,0.58,,22.44,,,55.16,13.33,10.7,13.02,18.12,,13.21,,11.5,,10.4,18.77,12.8,18.64,34.91,,,17.46,10.87,29.07,21.01,44.24,26.33,15.84,,,36.33,,,,41.96,13.6,,32.37,,
2010-01-05,5.01,6.53,,37.7,23.03,27.34,25.28,20.9,26.69,18.01,11.24,9.71,42.89,14.59,6.73,43.64,,24.44,10.04,14.0,13.36,33.72,40.59,53.38,226.56,23.59,,19.15,6.06,,,33.82,43.19,35.0,6.54,,43.8,4.55,,17.45,4.24,4.4,21.68,,,22.04,,,,,18.88,15.85,,2.17,18.44,9.38,,,85.86,7.15,43.46,20.39,29.84,34.16,,7.71,52.52,12.41,7.29,,17.3,33.97,,,137.4,1.84,,,16.7,,32.91,15.54,20.08,,22.04,14.94,29.01,20.89,,27.08,30.35,10.27,14.01,27.74,34.15,29.13,,3.37,,21.27,21.55,11.23,10.95,,,,,,,13.56,34.74,15.91,,22.85,14.05,10.15,14.29,50.27,,6.57,,18.49,23.69,5.28,11.08,,,,7.36,,,26.66,7.01,,4.3,,8.67,,38.56,,19.85,23.93,20.02,,42.42,,,14.76,,,34.38,22.38,5.5,25.1,,,9.56,23.44,35.09,9.47,,10.53,,56.02,0.62,,22.25,,,54.67,13.25,10.49,13.22,19.14,,13.24,,11.37,,10.47,18.66,13.91,18.55,35.56,,,17.36,10.79,29.27,21.23,42.78,26.11,16.46,,,37.3,,,,44.52,13.44,,31.99,,
2010-01-06,4.8,6.42,,37.62,22.99,27.28,25.34,21.11,26.47,17.48,11.22,9.57,42.57,14.93,6.61,43.35,,24.66,9.98,14.11,13.25,34.2,41.25,53.43,219.08,24.77,,19.18,6.13,,,34.0,42.61,35.0,6.49,,44.37,4.53,,17.34,4.25,4.41,21.73,,,22.04,,,,,18.56,16.78,,2.24,17.96,9.32,,,86.65,7.28,43.33,20.51,29.15,32.4,,8.22,52.76,12.36,7.27,,17.13,34.19,,,140.02,1.94,,,17.28,,33.61,15.15,19.93,,22.02,15.01,29.01,20.96,,27.15,32.22,11.0,13.97,27.35,34.65,28.95,,3.45,,21.18,21.98,11.89,11.56,,,,,,,13.59,34.58,16.25,,22.91,14.0,10.07,14.39,49.68,,6.71,,18.65,23.55,5.24,11.13,,,,7.62,,,26.47,7.02,,4.33,,8.83,,38.39,,20.01,24.24,20.01,,42.0,,,14.95,,,34.05,22.62,5.49,24.72,,,9.7,23.69,35.02,9.4,,10.82,,56.29,0.62,,22.21,,,54.63,14.21,10.42,13.1,18.73,,12.35,,11.35,,10.44,18.52,13.27,19.01,35.28,,,17.38,10.7,29.65,21.0,42.03,25.92,16.71,,,37.33,,,,43.93,13.46,,32.2,,
2010-01-07,4.94,6.41,,36.89,22.81,27.27,25.48,21.29,26.48,17.43,11.1,9.47,42.18,15.2,6.5,43.46,,23.98,9.74,14.02,13.4,36.57,40.46,52.99,216.13,24.94,,20.26,6.25,,,33.92,42.21,35.0,6.63,,44.15,4.51,,17.42,4.24,4.38,21.92,,,21.21,,,,,18.65,16.67,,2.3,17.83,9.22,,,84.88,7.32,44.33,20.58,28.97,32.23,,8.36,52.23,12.3,7.23,,17.0,34.75,,,140.48,1.95,,,17.32,,33.13,14.8,20.02,,21.7,14.99,29.57,21.04,,28.18,32.77,10.82,13.83,27.26,34.52,29.06,,3.41,,21.3,21.57,11.89,11.59,,,,,,,13.38,34.52,16.16,,23.0,14.36,10.01,14.35,48.7,,6.68,,18.22,23.3,5.26,10.75,,,,7.49,,,26.41,6.79,,4.25,,8.4,,38.27,,20.32,24.56,20.44,,41.73,,,15.03,,,35.03,22.72,5.51,24.57,,,10.1,23.25,35.52,9.38,,10.76,,56.84,0.6,,22.15,,,54.72,14.11,10.22,12.95,18.28,,12.46,,11.51,,10.39,18.58,13.55,20.63,34.08,,,17.0,10.5,29.6,20.71,41.5,26.07,16.7,,,36.6,,,,44.87,13.4,,32.62,,
2010-01-08,4.85,6.45,,36.69,22.94,27.23,26.26,21.55,26.48,17.66,11.53,9.43,42.56,15.34,6.68,43.76,,23.4,9.66,14.12,13.45,36.65,40.43,54.08,216.21,25.45,,20.25,6.34,,,33.59,42.77,33.5,6.61,,43.83,4.52,,17.51,4.23,4.59,22.14,,,21.82,,,,,18.98,16.44,,2.26,18.18,9.33,,,84.46,7.29,45.83,20.49,29.28,31.93,,8.44,52.96,12.16,7.26,,16.89,35.24,,,139.68,2.01,,,17.19,,33.34,14.99,21.03,,21.76,14.97,30.22,21.16,,27.95,33.15,10.94,13.99,27.98,34.33,29.91,,3.38,,21.62,21.55,12.23,11.92,,,,,,,13.96,35.39,16.14,,23.05,14.19,10.07,14.37,48.94,,6.72,,18.43,23.46,5.3,11.01,,,,7.61,,,26.62,6.67,,4.26,,8.52,,37.93,,20.34,24.6,20.85,,41.59,,,15.54,,,35.39,22.62,5.52,24.37,,,9.91,23.34,35.56,9.35,,10.82,,56.54,0.6,,22.31,,,55.34,14.71,10.13,13.18,18.19,,11.77,,11.5,,10.42,19.01,13.33,21.37,34.01,,,17.04,10.34,29.22,20.87,40.67,26.11,16.75,,,36.78,,,,44.55,13.41,,32.62,,
2010-01-11,4.75,6.4,,36.21,22.81,27.35,26.25,21.77,26.39,17.54,11.78,9.14,42.74,15.77,6.52,43.93,,22.91,9.65,14.21,13.7,36.43,40.06,53.9,218.91,25.18,,20.11,6.34,,,33.68,42.9,33.5,6.57,,43.88,4.5,,17.46,4.24,4.55,22.05,,,21.65,,,,,19.04,16.35,,2.25,18.05,9.3,,,85.16,7.3,45.12,20.72,29.4,31.65,,8.28,52.45,12.23,7.14,,17.43,36.07,,,138.24,2.01,,,17.33,,33.51,14.97,21.34,,21.74,14.94,30.6,21.86,,28.89,33.82,11.09,14.07,28.11,34.59,30.35,,3.36,,21.53,21.51,12.11,11.81,,,,,,,14.18,36.34,15.9,,23.0,14.28,10.06,14.3,44.23,,6.72,,18.29,23.16,5.34,10.81,,,,7.6,,,26.15,6.54,,4.2,,8.47,,38.13,,20.46,25.0,21.45,,41.54,,,15.06,,,35.26,22.73,5.72,24.84,,,9.95,23.05,35.8,9.32,,10.6,,57.42,0.62,,22.12,,,55.35,14.25,10.39,13.18,18.41,,11.91,,11.41,,10.68,18.76,13.11,21.04,33.82,,,17.14,10.49,29.15,20.81,41.83,26.15,16.69,,,36.82,,,,44.4,13.54,,33.04,,
2010-01-12,4.79,6.32,,35.66,21.86,27.16,25.89,21.55,26.16,17.23,11.25,8.65,42.0,15.99,6.37,42.74,,22.94,9.55,14.0,13.63,36.09,38.65,53.25,213.98,24.7,,19.72,6.2,,,33.75,42.35,33.5,6.45,,43.65,4.47,,17.19,4.17,4.45,21.75,,,21.98,,,,,18.22,16.55,,2.37,16.65,9.2,,,81.71,7.18,44.58,20.81,29.14,30.67,,8.27,51.02,12.12,7.04,,16.85,35.92,,,132.98,1.98,,,17.35,,32.43,14.71,21.04,,21.4,14.92,30.25,21.55,,28.84,39.17,10.36,13.84,28.11,33.82,29.62,,3.31,,20.78,20.9,11.83,11.56,,,,,,,13.82,33.98,15.68,,22.81,13.89,9.89,14.54,43.6,,6.66,,17.56,23.01,5.29,10.18,,,,7.48,,,25.76,6.43,,4.05,,8.42,,38.85,,20.39,24.93,21.01,,42.13,,,14.74,,,34.68,22.55,5.56,24.51,,,9.99,22.92,34.43,9.16,,10.32,,57.21,0.61,,21.8,,,54.87,13.9,10.04,12.92,17.7,,10.52,,11.41,,10.19,17.97,12.69,20.91,33.59,,,16.61,10.48,29.38,20.53,41.79,25.93,16.25,,,35.88,,,,44.6,13.7,,32.8,,
2010-01-13,5.17,6.41,,36.28,21.85,27.36,26.25,21.82,26.04,17.58,11.3,9.15,42.38,16.8,6.46,43.04,,23.58,9.67,13.57,13.95,36.62,43.95,54.08,214.3,25.15,,20.29,6.39,,,33.86,42.6,32.75,6.55,,43.92,4.43,,17.5,4.15,4.48,22.09,,,22.72,,,,,18.38,16.47,,2.31,16.97,9.36,,,81.54,7.5,45.05,21.06,29.41,31.05,,8.39,52.39,12.22,7.25,,16.8,35.87,,,132.12,1.94,,,17.57,,32.75,14.62,21.58,,21.7,15.17,30.36,22.12,,29.58,40.51,10.33,14.07,28.43,34.0,29.75,,3.34,,21.02,21.07,11.86,11.56,,,,,,,13.86,34.08,16.16,,23.13,14.35,9.98,14.51,43.83,,6.76,,17.85,23.22,5.48,10.38,,,,7.71,,,26.77,6.42,,4.11,,8.47,,38.98,,20.4,25.04,21.32,,42.47,,,14.95,,,34.83,23.51,5.58,24.65,,,10.1,22.83,35.35,9.39,,10.66,,57.48,0.6,,22.01,,,55.78,13.68,10.3,13.22,17.54,,10.49,,11.48,,10.36,18.05,13.95,21.07,34.16,,,17.11,10.61,29.37,20.72,42.72,26.17,16.35,,,36.5,,,,45.53,13.91,,33.26,,
2010-01-14,5.27,6.38,,35.9,21.83,27.28,26.6,21.9,26.88,17.13,11.37,9.0,42.1,16.44,6.37,43.49,,23.42,9.63,13.58,14.21,36.13,46.42,54.36,208.77,25.68,,20.42,6.32,,,34.1,42.82,32.75,6.51,,43.42,4.47,,17.72,4.25,4.43,21.95,,,22.41,,,,,18.11,16.42,,2.31,16.98,9.08,,,82.37,7.63,45.47,20.82,29.33,30.38,,8.32,52.14,12.19,7.22,,17.56,35.85,,,124.84,1.99,,,17.55,,32.57,14.69,21.9,,21.93,15.31,30.54,22.02,,29.82,39.03,10.16,14.42,28.61,34.22,30.49,,3.34,,20.39,20.95,11.77,11.51,,,,,,,13.89,33.63,15.93,,24.41,14.7,9.91,14.46,41.88,,6.75,,17.6,23.69,5.46,10.65,,,,7.28,,,26.71,6.56,,4.04,,8.45,,38.79,,20.2,24.99,21.33,,42.98,,,15.4,,,34.6,23.35,5.56,24.62,,,10.02,23.17,35.48,9.46,,10.67,,58.31,0.61,,22.19,,,55.52,13.43,10.39,13.47,18.33,,10.32,,11.39,,10.15,17.83,13.93,20.21,33.78,,,17.42,10.55,29.13,20.66,41.3,26.19,16.21,,,36.74,,,,47.31,13.94,,33.51,,
2010-01-15,5.19,6.27,,35.87,21.09,27.13,26.08,21.79,26.61,16.93,10.88,8.84,42.17,16.01,6.36,43.34,,22.9,9.65,13.44,14.05,35.46,46.77,54.18,208.77,25.54,,20.81,6.22,,,34.41,42.9,32.25,6.49,,43.47,4.4,,17.33,4.14,4.39,21.59,,,22.32,,,,,17.86,16.46,,2.42,16.83,8.92,,,80.78,7.51,45.02,20.61,29.13,29.94,,8.24,51.39,11.98,7.08,,17.2,35.8,,,124.07,1.96,,,17.57,,31.95,14.45,21.86,,22.03,15.38,30.58,21.8,,29.55,39.02,9.86,13.97,28.32,34.29,29.89,,3.33,,19.42,20.33,11.62,11.35,,,,,,,13.88,32.29,15.57,,24.09,14.56,9.68,14.69,40.84,,6.74,,16.89,23.61,5.38,10.05,,,,7.28,,,26.31,6.25,,3.93,,8.23,,38.21,,19.76,24.4,20.93,,42.63,,,15.21,,,34.71,23.48,5.39,23.88,,,9.87,22.63,35.71,9.34,,10.3,,56.89,0.6,,21.97,,,54.81,13.12,10.06,12.98,18.19,,10.47,,11.3,,10.08,17.68,13.25,20.12,32.45,,,17.13,10.35,28.2,20.36,40.21,25.83,16.57,,,35.31,,,,46.25,13.81,,32.94,,
