Date,Tickers
2010-09-30,['BIDU' 'BKNG' 'CTSH' 'AAPL' 'ADSK']
2010-10-31,['BIDU' 'BKNG' 'AAPL' 'ADSK' 'CTSH']
2010-11-30,['BKNG' 'WYNN' 'SWKS' 'ILMN' 'PCAR']
2010-12-31,['SIRI' 'SWKS' 'NTAP' 'ILMN' 'SRCL']
2011-01-31,['NFLX' 'SWKS' 'ILMN' 'BKNG' 'NTAP']
2011-02-28,['BKNG' 'SWKS' 'SIRI' 'QCOM' 'FFIV']
2011-03-31,['BKNG' 'NFLX' 'BIDU' 'WYNN' 'CHKP']
2011-04-30,['BKNG' 'NVDA' 'SIRI' 'BIDU' 'WYNN']
2011-05-31,['SIRI' 'NFLX' 'NVDA' 'WYNN' 'QRTEA']
2011-07-31,['CHTR' 'WYNN' 'NFLX' 'ISRG' 'SHPG']
2012-01-31,['MNST' 'FAST' 'ROST' 'SBUX' 'AAPL']
2012-02-29,['STX' 'FAST' 'MNST' 'AAPL' 'ISRG']
2012-03-31,['AAPL' 'MNST' 'ROST' 'ISRG' 'SBUX']
2012-04-30,['STX' 'ORLY' 'MNST' 'ROST' 'DLTR']
2012-06-30,['STX' 'ALGN' 'JBHT' 'INCY' 'AKAM']
2012-07-31,['STX' 'INCY' 'CHTR' 'ROST' 'AAPL']
2012-08-31,['STX' 'SWKS' 'AAPL' 'EBAY' 'ROST']
2012-09-30,['EXPE' 'VRTX' 'GILD' 'DXCM' 'EBAY']
2012-10-31,['EXPE' 'EBAY' 'CMCSA' 'GILD' 'SIRI']
2012-12-31,['BMRN' 'DXCM' 'SIRI' 'CMCSA' 'LBTYA']
2013-01-31,['NFLX' 'BMRN' 'DXCM' 'GILD' 'SIRI']
2013-02-28,['NFLX' 'GILD' 'BMRN' 'CMCSA' 'GOOG']
2013-03-31,['GILD' 'WBA' 'MU' 'BMRN' 'REGN']
2013-04-30,['NFLX' 'TSLA' 'GILD' 'BMRN' 'REGN']
2013-05-31,['TSLA' 'TCOM' 'GILD' 'MU' 'REGN']
2013-06-30,['TSLA' 'MU' 'TCOM' 'ENPH' 'CHTR']
2013-07-31,['TSLA' 'NFLX' 'REGN' 'GILD' 'TCOM']
2013-08-31,['TSLA' 'NFLX' 'TCOM' 'MU' 'ENPH']
2013-09-30,['TSLA' 'NFLX' 'MU' 'TCOM' 'INCY']
2013-10-31,['MU' 'INCY' 'NFLX' 'DXCM' 'ALGN']
2013-11-30,['MU' 'DXCM' 'INCY' 'NFLX' 'BIDU']
2013-12-31,['TSLA' 'TCOM' 'INCY' 'META' 'DXCM']
2014-01-31,['TSLA' 'INCY' 'DXCM' 'MU' 'ILMN']
2014-02-28,['META' 'TSLA' 'ILMN' 'DXCM' 'WYNN']
2014-03-31,['VIP' 'NXPI' 'DXCM' 'WYNN' 'AVGO']
2014-04-30,['MU' 'NXPI' 'AVGO' 'SWKS' 'AZN']
2014-05-31,['MU' 'ILMN' 'AVGO' 'SWKS' 'NXPI']
2014-06-30,['ILMN' 'SHPG' 'SWKS' 'MU' 'NXPI']
2014-07-31,['SWKS' 'SHPG' 'AVGO' 'MAR' 'META']
2014-08-31,['SWKS' 'TSLA' 'ENPH' 'AVGO' 'ILMN']
2014-09-30,['ENPH' 'SWKS' 'SHPG' 'AVGO' 'VIP']
2014-10-31,['SWKS' 'MAR' 'AAPL' 'BIDU' 'MNST']
2014-11-30,['SWKS' 'AAPL' 'NTES' 'INTC' 'AVGO']
2014-12-31,['SWKS' 'ENPH' 'VRTX' 'EA' 'AVGO']
2015-01-31,['SWKS' 'EA' 'DXCM' 'MNST' 'INCY']
2015-02-28,['MNST' 'BMRN' 'AVGO' 'INCY' 'VRTX']
2015-03-31,['SWKS' 'BMRN' 'EA' 'INCY' 'REGN']
2015-04-30,['MNST' 'INCY' 'DXCM' 'EA' 'MELI']
2015-05-31,['INCY' 'SWKS' 'AVGO' 'BMRN' 'EA']
2015-06-30,['DXCM' 'BMRN' 'EA' 'NTES' 'ORLY']
2015-07-31,['NFLX' 'DXCM' 'BMRN' 'AMZN' 'EA']
2015-10-31,['TCOM' 'AMZN' 'ATVI' 'NVDA' 'ORLY']
2015-11-30,['TCOM' 'NFLX' 'AMZN' 'NTES' 'ATVI']
2015-12-31,['AMZN' 'NTES' 'ATVI' 'NVDA' 'GOOGL']
2016-03-31,['NVDA' 'GOOG' 'ATVI' 'AMZN' 'XEL']
2016-04-30,['NVDA' 'ATVI' 'ULTA' 'META' 'AMZN']
