top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
"(3, 2, 1)",9,122,17,13,6,1,4.0,0.13,5.76,23.04,-0.16
"(3, 2, 1)",9,122,18,13,6,1,4.0,0.13,5.76,23.04,-0.16
"(3, 2, 1)",9,122,16,13,6,1,4.0,0.13,5.76,23.04,-0.16
"(3, 2, 1)",9,123,17,13,6,1,3.99,0.13,5.75,22.94,-0.16
"(3, 2, 1)",9,122,17,14,6,1,3.96,0.13,5.75,22.77,-0.16
"(3, 2, 1)",9,139,19,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,139,18,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,139,19,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,139,17,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",9,146,17,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",9,140,17,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",9,144,17,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,143,17,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",9,139,15,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",9,139,16,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",9,139,17,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",9,142,17,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,142,17,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",9,139,18,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,139,16,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,17,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,139,20,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",11,139,17,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,139,15,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",9,139,17,14,6,1,3.93,0.13,5.7,22.4,-0.16
"(3, 2, 1)",10,139,17,14,6,1,3.92,0.13,5.69,22.3,-0.16
"(3, 2, 1)",10,147,17,13,6,1,3.92,0.13,5.66,22.19,-0.16
"(3, 2, 1)",10,148,17,13,6,1,3.92,0.13,5.66,22.19,-0.16
"(3, 2, 1)",9,136,17,13,6,1,3.9,0.13,5.65,22.04,-0.16
"(3, 2, 1)",9,137,17,13,6,1,3.9,0.13,5.65,22.04,-0.16
"(3, 2, 1)",8,139,17,13,6,1,3.9,0.13,5.65,22.04,-0.16
"(3, 2, 1)",10,137,16,13,6,1,3.9,0.13,5.65,22.04,-0.16
"(3, 2, 1)",10,137,18,13,6,1,3.9,0.13,5.65,22.04,-0.16
"(3, 2, 1)",10,136,17,13,6,1,3.9,0.13,5.65,22.04,-0.16
"(3, 2, 1)",8,137,17,13,6,1,3.9,0.13,5.65,22.04,-0.16
"(3, 2, 1)",10,137,17,13,6,1,3.9,0.13,5.65,22.04,-0.16
"(3, 2, 1)",10,137,19,13,6,1,3.9,0.13,5.65,22.04,-0.16
"(3, 2, 1)",9,138,17,13,6,1,3.9,0.13,5.65,22.04,-0.16
"(3, 2, 1)",10,137,20,13,6,1,3.9,0.13,5.65,22.04,-0.16
"(3, 2, 1)",10,137,15,13,6,1,3.9,0.13,5.65,22.04,-0.16
"(3, 2, 1)",10,137,21,13,6,1,3.9,0.13,5.65,22.04,-0.16
"(3, 2, 1)",10,130,17,13,6,1,3.87,0.13,5.64,21.83,-0.16
"(3, 2, 1)",9,131,17,13,6,1,3.87,0.13,5.64,21.83,-0.16
"(3, 2, 1)",9,124,17,13,6,1,3.87,0.13,5.64,21.83,-0.16
"(3, 2, 1)",10,131,17,13,6,1,3.87,0.13,5.64,21.83,-0.16
"(3, 2, 1)",10,127,17,13,6,1,3.87,0.13,5.64,21.83,-0.16
"(3, 2, 1)",9,130,17,13,6,1,3.87,0.13,5.64,21.83,-0.16
"(3, 2, 1)",9,125,17,13,6,1,3.87,0.13,5.64,21.83,-0.16
"(3, 2, 1)",9,129,17,13,6,1,3.87,0.13,5.64,21.83,-0.16
"(3, 2, 1)",9,128,17,13,6,1,3.87,0.13,5.64,21.83,-0.16
"(3, 2, 1)",9,127,17,13,6,1,3.87,0.13,5.64,21.83,-0.16
"(3, 2, 1)",9,126,17,13,6,1,3.87,0.13,5.64,21.83,-0.16
"(3, 2, 1)",9,132,17,13,6,1,3.87,0.13,5.64,21.83,-0.16
"(3, 2, 1)",10,137,17,14,6,1,3.86,0.13,5.65,21.81,-0.16
"(3, 2, 1)",12,137,17,13,6,1,3.85,0.13,5.63,21.68,-0.16
"(3, 2, 1)",10,124,17,13,6,1,3.85,0.13,5.63,21.68,-0.16
"(3, 2, 1)",9,148,17,13,6,1,3.85,0.13,5.6,21.56,-0.16
"(3, 2, 1)",10,139,17,15,6,1,3.78,0.13,5.64,21.32,-0.16
"(3, 2, 1)",9,134,17,13,6,1,3.79,0.13,5.58,21.15,-0.16
"(3, 2, 1)",11,137,17,13,6,1,3.79,0.13,5.58,21.15,-0.16
"(3, 2, 1)",10,135,17,13,6,1,3.79,0.13,5.58,21.15,-0.16
"(3, 2, 1)",10,133,17,13,6,1,3.79,0.13,5.58,21.15,-0.16
"(3, 2, 1)",9,113,17,13,6,1,3.76,0.13,5.62,21.13,-0.16
"(3, 2, 1)",9,112,17,13,6,1,3.76,0.13,5.62,21.13,-0.16
"(3, 2, 1)",10,118,17,13,6,1,3.74,0.13,5.6,20.94,-0.16
"(3, 2, 1)",10,121,17,13,6,1,3.74,0.13,5.6,20.94,-0.16
"(3, 2, 1)",10,119,17,13,6,1,3.74,0.13,5.6,20.94,-0.16
"(3, 2, 1)",10,115,17,13,6,1,3.74,0.13,5.6,20.94,-0.16
"(3, 2, 1)",9,114,17,13,6,1,3.74,0.13,5.6,20.94,-0.16
"(3, 2, 1)",9,116,17,13,6,1,3.74,0.13,5.6,20.94,-0.16
"(3, 2, 1)",9,121,17,13,6,1,3.74,0.13,5.6,20.94,-0.16
