top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
"(3, 2, 1)",1,154,30,13,6,1,3.71,0.13,5.5,20.4,-0.16
"(3, 2, 1)",1,154,27,13,6,1,3.71,0.13,5.5,20.4,-0.16
"(3, 2, 1)",1,154,35,13,6,1,3.71,0.13,5.5,20.4,-0.16
"(3, 2, 1)",1,154,25,13,6,1,3.71,0.13,5.5,20.4,-0.16
"(3, 2, 1)",1,154,26,13,6,1,3.71,0.13,5.5,20.4,-0.16
"(3, 2, 1)",1,154,34,13,6,1,3.71,0.13,5.5,20.4,-0.16
"(3, 2, 1)",1,154,33,13,6,1,3.71,0.13,5.5,20.4,-0.16
"(3, 2, 1)",1,154,31,13,6,1,3.71,0.13,5.5,20.4,-0.16
"(3, 2, 1)",1,154,29,13,6,1,3.71,0.13,5.5,20.4,-0.16
"(3, 2, 1)",1,154,28,13,6,1,3.71,0.13,5.5,20.4,-0.16
"(3, 2, 1)",1,154,32,13,6,1,3.71,0.13,5.5,20.4,-0.16
"(3, 2, 1)",1,153,30,13,6,1,3.71,0.13,5.5,20.4,-0.16
"(3, 2, 1)",1,154,30,14,6,1,3.67,0.13,5.49,20.15,-0.16
"(3, 2, 1)",1,159,25,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,29,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,31,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,166,30,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,24,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,39,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,23,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,21,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,28,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,155,30,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,34,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,40,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,33,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,35,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,164,30,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,45,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,27,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,38,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,41,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,160,30,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,20,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,15,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,157,30,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,158,30,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,30,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,161,30,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,163,30,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,165,30,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,167,30,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,169,30,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,171,30,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,32,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,36,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,37,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,17,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,26,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,19,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,22,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,159,43,13,6,1,3.64,0.13,5.44,19.8,-0.16
"(3, 2, 1)",1,221,30,13,6,1,3.62,0.13,5.46,19.77,-0.17
"(3, 2, 1)",1,210,30,13,6,1,3.62,0.13,5.46,19.77,-0.17
"(3, 2, 1)",1,214,30,13,6,1,3.62,0.13,5.46,19.77,-0.17
"(3, 2, 1)",1,222,30,13,6,1,3.62,0.13,5.46,19.77,-0.17
"(3, 2, 1)",1,159,30,14,6,1,3.6,0.13,5.43,19.55,-0.16
"(3, 2, 1)",1,175,30,13,6,1,3.59,0.13,5.4,19.39,-0.17
"(3, 2, 1)",1,177,30,13,6,1,3.59,0.13,5.4,19.39,-0.17
"(3, 2, 1)",1,188,30,13,6,1,3.59,0.13,5.4,19.39,-0.17
"(3, 2, 1)",1,179,30,13,6,1,3.59,0.13,5.4,19.39,-0.17
"(3, 2, 1)",1,184,30,13,6,1,3.59,0.13,5.4,19.39,-0.17
"(3, 2, 1)",1,180,30,13,6,1,3.59,0.13,5.4,19.39,-0.17
"(3, 2, 1)",1,181,30,13,6,1,3.59,0.13,5.4,19.39,-0.17
"(3, 2, 1)",1,174,30,13,6,1,3.59,0.13,5.4,19.39,-0.17
"(3, 2, 1)",1,186,30,13,6,1,3.59,0.13,5.4,19.39,-0.17
"(3, 2, 1)",1,172,30,13,6,1,3.59,0.13,5.4,19.39,-0.17
"(3, 2, 1)",1,178,30,13,6,1,3.59,0.13,5.4,19.39,-0.17
"(3, 2, 1)",1,173,30,13,6,1,3.59,0.13,5.4,19.39,-0.17
"(3, 2, 1)",1,154,30,15,6,1,3.53,0.12,5.43,19.17,-0.16
"(3, 2, 1)",1,159,30,15,6,1,3.47,0.12,5.38,18.67,-0.16
"(3, 2, 1)",1,200,16,13,6,1,3.49,0.12,5.34,18.64,-0.17
"(3, 2, 1)",1,200,40,13,6,1,3.49,0.12,5.34,18.64,-0.17
"(3, 2, 1)",1,201,30,13,6,1,3.49,0.12,5.34,18.64,-0.17
"(3, 2, 1)",1,200,28,13,6,1,3.49,0.12,5.34,18.64,-0.17
"(3, 2, 1)",1,200,24,13,6,1,3.49,0.12,5.34,18.64,-0.17
"(3, 2, 1)",1,200,36,13,6,1,3.49,0.12,5.34,18.64,-0.17
"(3, 2, 1)",1,200,32,13,6,1,3.49,0.12,5.34,18.64,-0.17
"(3, 2, 1)",1,200,52,13,6,1,3.49,0.12,5.34,18.64,-0.17
"(3, 2, 1)",1,200,20,13,6,1,3.49,0.12,5.34,18.64,-0.17
"(3, 2, 1)",1,207,30,13,6,1,3.49,0.12,5.34,18.64,-0.17
"(3, 2, 1)",1,200,44,13,6,1,3.49,0.12,5.34,18.64,-0.17
"(3, 2, 1)",1,200,48,13,6,1,3.49,0.12,5.34,18.64,-0.17
"(3, 2, 1)",1,200,30,13,6,1,3.49,0.12,5.34,18.64,-0.17
"(3, 2, 1)",1,200,30,14,6,1,3.45,0.12,5.33,18.39,-0.17
"(3, 2, 1)",1,189,30,13,6,1,3.43,0.12,5.29,18.14,-0.17
"(3, 2, 1)",1,194,30,13,6,1,3.43,0.12,5.29,18.14,-0.17
"(3, 2, 1)",1,193,30,13,6,1,3.43,0.12,5.29,18.14,-0.17
"(3, 2, 1)",1,199,30,13,6,1,3.43,0.12,5.29,18.14,-0.17
"(3, 2, 1)",1,159,30,16,6,1,3.4,0.12,5.32,18.09,-0.16
"(3, 2, 1)",1,243,30,13,6,1,3.34,0.12,5.3,17.7,-0.17
"(3, 2, 1)",1,232,30,13,6,1,3.34,0.12,5.3,17.7,-0.17
"(3, 2, 1)",1,145,30,13,6,1,3.33,0.12,5.31,17.68,-0.16
"(3, 2, 1)",1,149,30,13,6,1,3.33,0.12,5.31,17.68,-0.16
"(3, 2, 1)",1,151,30,13,6,1,3.33,0.12,5.31,17.68,-0.16
"(3, 2, 1)",1,144,30,13,6,1,3.33,0.12,5.31,17.68,-0.16
"(3, 2, 1)",1,148,30,13,6,1,3.33,0.12,5.31,17.68,-0.16
"(3, 2, 1)",1,147,30,13,6,1,3.33,0.12,5.31,17.68,-0.16
"(3, 2, 1)",1,159,30,18,6,1,3.28,0.12,5.36,17.58,-0.16
"(3, 2, 1)",1,200,30,15,6,1,3.32,0.12,5.27,17.5,-0.17
"(3, 2, 1)",1,154,30,12,6,1,3.32,0.12,5.25,17.43,-0.16
"(3, 2, 1)",1,200,30,16,6,1,3.26,0.12,5.21,16.98,-0.17
"(3, 2, 1)",1,159,30,12,6,1,3.26,0.12,5.19,16.92,-0.16
"(3, 2, 1)",1,211,30,12,6,1,3.24,0.12,5.21,16.88,-0.17
"(3, 2, 1)",1,200,30,12,12,1,3.26,0.12,5.14,16.76,-0.17
"(3, 2, 1)",1,264,30,13,6,1,3.22,0.12,5.2,16.74,-0.17
"(3, 2, 1)",1,176,30,12,6,1,3.22,0.12,5.15,16.58,-0.17
"(3, 2, 1)",1,200,30,18,6,1,3.14,0.12,5.25,16.48,-0.17
"(3, 2, 1)",1,200,19,12,6,1,3.13,0.12,5.09,15.93,-0.17
"(3, 2, 1)",1,200,30,12,6,1,3.13,0.12,5.09,15.93,-0.17
"(3, 2, 1)",1,200,43,12,6,1,3.13,0.12,5.09,15.93,-0.17
"(3, 2, 1)",1,200,25,12,6,1,3.13,0.12,5.09,15.93,-0.17
"(3, 2, 1)",1,200,61,12,6,1,3.13,0.12,5.09,15.93,-0.17
"(3, 2, 1)",1,200,49,12,6,1,3.13,0.12,5.09,15.93,-0.17
"(3, 2, 1)",1,200,31,12,6,1,3.13,0.12,5.09,15.93,-0.17
"(3, 2, 1)",1,200,37,12,6,1,3.13,0.12,5.09,15.93,-0.17
"(3, 2, 1)",1,200,55,12,6,1,3.13,0.12,5.09,15.93,-0.17
"(3, 2, 1)",1,136,30,13,6,1,3.06,0.12,5.14,15.73,-0.16
"(3, 2, 1)",1,142,30,13,6,1,3.06,0.12,5.14,15.73,-0.16
"(3, 2, 1)",1,134,30,13,6,1,3.06,0.12,5.14,15.73,-0.16
"(3, 2, 1)",1,138,30,13,6,1,3.06,0.12,5.14,15.73,-0.16
"(3, 2, 1)",1,137,30,13,6,1,3.06,0.12,5.14,15.73,-0.16
"(3, 2, 1)",1,135,30,13,6,1,3.06,0.12,5.14,15.73,-0.16
"(3, 2, 1)",1,143,30,13,6,1,3.06,0.12,5.14,15.73,-0.16
"(3, 2, 1)",1,141,30,13,6,1,3.06,0.12,5.14,15.73,-0.16
"(3, 2, 1)",1,139,30,13,6,1,3.06,0.12,5.14,15.73,-0.16
"(3, 2, 1)",1,285,30,13,6,1,3.08,0.12,5.09,15.68,-0.17
"(3, 2, 1)",1,129,30,13,6,1,3.05,0.11,5.13,15.65,-0.16
"(3, 2, 1)",1,127,30,13,6,1,3.05,0.12,5.13,15.65,-0.16
"(3, 2, 1)",1,130,30,13,6,1,3.01,0.11,5.11,15.38,-0.16
"(3, 2, 1)",1,133,30,13,6,1,2.97,0.11,5.06,15.03,-0.16
"(3, 2, 1)",1,200,12,13,6,1,3.0,0.11,4.94,14.82,-0.17
"(3, 2, 1)",1,159,30,17,6,1,2.98,0.11,4.97,14.81,-0.16
"(3, 2, 1)",1,154,30,13,7,1,2.97,0.11,4.97,14.76,-0.16
"(3, 2, 1)",1,306,30,13,6,1,3.07,0.12,4.8,14.74,-0.24
"(3, 2, 1)",1,159,30,19,6,1,2.93,0.11,4.92,14.42,-0.16
"(3, 2, 1)",1,246,30,12,6,1,2.9,0.11,4.97,14.41,-0.17
"(3, 2, 1)",1,154,30,13,5,1,2.96,0.11,4.84,14.33,-0.19
"(3, 2, 1)",1,327,30,13,6,1,3.0,0.11,4.77,14.31,-0.24
"(3, 2, 1)",1,159,30,13,7,1,2.91,0.11,4.91,14.29,-0.16
"(3, 2, 1)",1,200,30,12,10,1,2.96,0.11,4.77,14.12,-0.22
"(3, 2, 1)",2,200,30,12,6,1,2.85,0.11,4.88,13.91,-0.17
"(3, 2, 1)",1,159,30,13,5,1,2.9,0.11,4.78,13.86,-0.19
"(3, 2, 1)",1,200,30,17,6,1,2.85,0.11,4.86,13.85,-0.17
"(3, 2, 1)",1,200,30,12,11,1,2.84,0.11,4.83,13.72,-0.17
"(3, 2, 1)",1,111,30,13,6,1,2.77,0.11,4.9,13.57,-0.17
"(3, 2, 1)",1,200,30,19,6,1,2.8,0.11,4.81,13.47,-0.17
"(3, 2, 1)",1,200,30,13,7,1,2.79,0.11,4.81,13.42,-0.16
"(3, 2, 1)",1,124,30,13,6,1,2.78,0.11,4.82,13.4,-0.17
"(3, 2, 1)",1,119,30,13,6,1,2.78,0.11,4.82,13.4,-0.17
"(3, 2, 1)",1,122,30,13,6,1,2.78,0.11,4.82,13.4,-0.17
"(3, 2, 1)",1,123,30,13,6,1,2.78,0.11,4.82,13.4,-0.17
"(3, 2, 1)",1,141,30,12,6,1,2.73,0.11,4.89,13.35,-0.16
"(3, 2, 1)",1,281,30,12,6,1,2.75,0.11,4.84,13.31,-0.17
"(3, 2, 1)",1,109,30,13,6,1,2.73,0.11,4.87,13.3,-0.17
"(3, 2, 1)",1,200,30,13,10,1,2.84,0.11,4.65,13.21,-0.22
"(3, 2, 1)",1,200,30,20,6,1,2.71,0.11,4.76,12.9,-0.17
"(3, 2, 1)",1,200,30,13,5,1,2.74,0.11,4.66,12.77,-0.2
"(3, 2, 1)",1,200,30,12,6,2,2.7,0.11,4.69,12.66,-0.19
"(3, 2, 1)",1,154,30,11,6,1,2.6,0.1,4.87,12.66,-0.16
"(3, 2, 1)",1,200,13,12,6,1,2.67,0.11,4.69,12.52,-0.17
"(3, 2, 1)",1,159,30,11,6,1,2.55,0.1,4.81,12.27,-0.16
"(3, 2, 1)",1,116,30,13,6,1,2.6,0.1,4.68,12.17,-0.17
"(3, 2, 1)",1,117,30,13,6,1,2.6,0.1,4.68,12.17,-0.17
"(3, 2, 1)",1,159,30,10,6,1,2.53,0.1,4.75,12.02,-0.16
"(3, 2, 1)",1,200,30,1,6,1,2.57,0.1,4.67,12.0,-0.16
"(3, 2, 1)",1,200,30,12,5,1,2.61,0.11,4.57,11.93,-0.2
"(3, 2, 1)",1,200,30,21,6,1,2.57,0.1,4.63,11.9,-0.17
"(3, 2, 1)",1,159,30,9,6,1,2.54,0.1,4.68,11.89,-0.16
"(3, 2, 1)",1,200,30,12,7,1,2.55,0.1,4.63,11.81,-0.16
"(3, 2, 1)",1,200,30,22,6,1,2.55,0.1,4.61,11.76,-0.16
"(3, 2, 1)",1,106,30,12,6,1,2.48,0.1,4.66,11.56,-0.17
"(3, 2, 1)",1,200,30,13,2,1,2.52,0.1,4.57,11.52,-0.2
"(3, 2, 1)",1,200,30,12,2,1,2.51,0.1,4.57,11.47,-0.16
"(3, 2, 1)",1,200,30,11,6,1,2.43,0.1,4.7,11.42,-0.17
"(3, 2, 1)",1,159,30,7,6,1,2.5,0.1,4.53,11.32,-0.16
"(3, 2, 1)",1,316,30,12,6,1,2.56,0.1,4.42,11.32,-0.24
"(3, 2, 1)",1,200,30,10,6,1,2.42,0.1,4.65,11.25,-0.17
"(3, 2, 1)",1,386,30,12,6,1,2.57,0.1,4.33,11.13,-0.24
"(3, 2, 1)",1,200,30,9,6,1,2.43,0.1,4.57,11.11,-0.17
"(3, 2, 1)",1,200,30,12,8,1,2.49,0.1,4.42,11.01,-0.17
"(3, 2, 1)",1,200,30,4,6,1,2.45,0.1,4.48,10.98,-0.15
"(3, 2, 1)",1,102,30,13,6,1,2.4,0.1,4.56,10.94,-0.17
"(3, 2, 1)",1,159,30,8,6,1,2.43,0.1,4.43,10.76,-0.16
"(3, 2, 1)",1,100,30,13,6,1,2.36,0.1,4.52,10.67,-0.17
"(3, 2, 1)",1,200,30,7,6,1,2.39,0.1,4.43,10.59,-0.17
"(3, 2, 1)",1,200,30,6,6,1,2.39,0.1,4.43,10.59,-0.17
"(3, 2, 1)",1,200,30,12,6,5,2.47,0.1,4.18,10.32,-0.13
"(3, 2, 1)",1,200,30,12,1,1,2.32,0.1,4.41,10.23,-0.18
"(3, 2, 1)",1,200,30,1,6,3,2.43,0.1,4.17,10.13,-0.15
"(3, 2, 1)",1,200,30,23,6,1,2.33,0.1,4.33,10.09,-0.16
"(3, 2, 1)",1,200,30,8,6,1,2.32,0.1,4.33,10.05,-0.17
"(3, 2, 1)",1,351,30,12,6,1,2.4,0.1,4.17,10.01,-0.25
"(3, 2, 1)",1,159,30,13,8,1,2.36,0.1,4.22,9.96,-0.23
"(3, 2, 1)",1,200,8,13,6,1,2.42,0.1,4.09,9.9,-0.22
"(3, 2, 1)",1,159,30,13,3,1,2.26,0.1,4.25,9.6,-0.2
"(3, 2, 1)",1,159,30,13,4,1,2.28,0.1,4.21,9.6,-0.22
"(3, 2, 1)",1,200,30,19,6,3,2.34,0.1,4.1,9.59,-0.19
"(3, 2, 1)",1,200,30,12,6,6,2.27,0.1,4.22,9.58,-0.15
"(3, 2, 1)",1,200,30,13,6,3,2.36,0.1,4.06,9.58,-0.2
"(3, 2, 1)",1,200,30,12,4,1,2.25,0.1,4.21,9.47,-0.22
"(3, 2, 1)",1,200,30,12,3,1,2.23,0.1,4.23,9.43,-0.22
"(3, 2, 1)",1,200,30,25,6,3,2.28,0.1,4.09,9.33,-0.19
"(3, 2, 1)",1,200,30,13,8,1,2.25,0.1,4.12,9.27,-0.23
"(3, 2, 1)",1,200,30,12,6,4,2.3,0.1,4.01,9.22,-0.18
"(3, 2, 1)",1,200,30,13,3,1,2.13,0.09,4.12,8.78,-0.2
"(3, 2, 1)",1,200,30,13,4,1,2.15,0.09,4.08,8.77,-0.22
"(3, 2, 1)",1,200,30,12,3,3,2.21,0.09,3.95,8.73,-0.21
"(3, 2, 1)",1,200,30,4,6,3,2.22,0.1,3.93,8.72,-0.2
"(3, 2, 1)",1,200,30,12,5,3,2.21,0.1,3.93,8.69,-0.2
"(3, 2, 1)",1,351,30,12,6,3,2.2,0.09,3.9,8.58,-0.21
"(3, 2, 1)",1,200,30,3,6,1,2.09,0.09,4.1,8.57,-0.16
"(3, 2, 1)",1,96,30,13,6,1,2.01,0.09,4.25,8.54,-0.18
"(3, 2, 1)",1,301,30,12,6,3,2.17,0.09,3.86,8.38,-0.2
"(3, 2, 1)",1,159,30,13,9,1,2.1,0.09,3.95,8.3,-0.22
"(3, 2, 1)",1,89,30,13,6,1,1.97,0.09,4.21,8.29,-0.18
"(3, 2, 1)",1,200,30,12,9,1,2.09,0.09,3.96,8.28,-0.22
"(3, 2, 1)",1,401,30,12,6,3,2.12,0.09,3.9,8.27,-0.21
"(3, 2, 1)",1,200,30,12,1,3,2.13,0.09,3.82,8.14,-0.23
"(3, 2, 1)",1,200,30,16,6,3,2.11,0.09,3.83,8.08,-0.24
"(3, 2, 1)",1,200,30,22,6,3,2.08,0.09,3.85,8.01,-0.19
"(3, 2, 1)",1,200,30,12,7,3,2.11,0.09,3.78,7.98,-0.2
"(3, 2, 1)",1,200,25,12,6,3,2.09,0.09,3.81,7.96,-0.19
"(3, 2, 1)",1,200,65,12,6,3,2.09,0.09,3.81,7.96,-0.19
"(3, 2, 1)",1,200,33,12,6,3,2.09,0.09,3.81,7.96,-0.19
"(3, 2, 1)",1,201,30,12,6,3,2.09,0.09,3.81,7.96,-0.19
"(3, 2, 1)",1,200,41,12,6,3,2.09,0.09,3.81,7.96,-0.19
"(3, 2, 1)",1,200,17,12,6,3,2.09,0.09,3.81,7.96,-0.19
"(3, 2, 1)",1,200,30,12,6,3,2.09,0.09,3.81,7.96,-0.19
