top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
"(3, 2, 1)",9,145,76,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,50,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,30,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",11,145,30,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,47,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,35,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,39,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",9,145,45,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",11,145,45,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,27,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,57,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,41,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,49,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,55,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,29,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,31,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,33,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,141,45,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,37,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,53,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,51,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,15,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,56,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,17,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,143,30,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,61,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,46,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,58,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,60,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,86,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,140,76,13,6,1,3.97,0.13,5.7,22.63,-0.16
"(3, 2, 1)",10,145,66,13,6,1,3.97,0.13,5.7,22.63,-0.16
