top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
"(30, 20, 10)",12,141,76,6,6,3,24.91,0.29,8.19,204.01,-0.14
"(30, 20, 10)",12,141,69,6,6,3,24.91,0.29,8.19,204.01,-0.14
"(30, 20, 10)",12,141,59,6,6,3,24.91,0.29,8.19,204.01,-0.14
"(30, 20, 10)",12,141,75,6,6,3,24.91,0.29,8.19,204.01,-0.14
"(30, 20, 10)",12,141,74,6,6,3,24.91,0.29,8.19,204.01,-0.14
"(30, 20, 10)",12,141,73,6,6,3,24.91,0.29,8.19,204.01,-0.14
"(30, 20, 10)",12,141,68,6,6,3,24.91,0.29,8.19,204.01,-0.14
"(30, 20, 10)",12,141,71,6,6,3,24.91,0.29,8.19,204.01,-0.14
"(30, 20, 10)",12,141,70,6,6,3,24.91,0.29,8.19,204.01,-0.14
"(30, 20, 10)",12,141,72,6,6,3,24.91,0.29,8.19,204.01,-0.14
"(30, 20, 10)",12,141,67,6,6,3,24.91,0.29,8.19,204.01,-0.14
"(30, 20, 10)",12,141,62,6,6,3,24.91,0.29,8.19,204.01,-0.14
"(30, 20, 10)",12,141,60,6,6,3,24.91,0.29,8.19,204.01,-0.14
"(30, 20, 10)",12,141,66,6,6,3,24.91,0.29,8.19,204.01,-0.14
"(30, 20, 10)",12,141,61,6,6,3,24.91,0.29,8.19,204.01,-0.14
"(30, 20, 10)",12,141,58,6,6,3,24.91,0.29,8.19,204.01,-0.14
"(30, 20, 10)",12,141,63,6,6,3,24.91,0.29,8.19,204.01,-0.14
"(30, 20, 10)",12,141,64,6,6,3,24.91,0.29,8.19,204.01,-0.14
"(30, 20, 10)",12,141,65,6,6,3,24.91,0.29,8.19,204.01,-0.14
"(30, 20, 10)",12,140,68,6,6,3,24.78,0.29,8.19,202.95,-0.14
"(30, 20, 10)",12,141,51,6,6,3,24.71,0.29,8.16,201.63,-0.14
"(30, 20, 10)",12,141,50,6,6,3,24.71,0.29,8.16,201.63,-0.14
"(30, 20, 10)",12,141,52,6,6,3,24.71,0.29,8.16,201.63,-0.14
"(30, 20, 10)",12,141,48,6,6,3,24.71,0.29,8.16,201.63,-0.14
"(30, 20, 10)",12,141,46,6,6,3,24.71,0.29,8.16,201.63,-0.14
"(30, 20, 10)",12,141,47,6,6,3,24.71,0.29,8.16,201.63,-0.14
"(30, 20, 10)",12,141,53,6,6,3,24.71,0.29,8.16,201.63,-0.14
