top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
"(30, 20, 2)",10,160,8,12,8,3,30.83,0.31,5.18,159.7,-0.36
"(30, 20, 2)",10,160,8,12,8,3,30.83,0.31,5.18,159.7,-0.36
"(30, 20, 2)",10,160,8,12,8,3,30.83,0.31,5.18,159.7,-0.36
"(30, 20, 2)",10,160,8,12,8,3,30.83,0.31,5.18,159.7,-0.36
"(30, 20, 2)",10,160,8,12,8,3,30.83,0.31,5.18,159.7,-0.36
"(30, 20, 2)",11,160,8,12,8,3,30.83,0.31,5.18,159.7,-0.36
"(30, 20, 2)",10,160,8,12,8,3,30.83,0.31,5.18,159.7,-0.36
"(30, 20, 2)",10,160,8,12,8,3,30.83,0.31,5.18,159.7,-0.36
"(30, 20, 2)",11,140,8,12,8,4,24.32,0.29,4.81,116.98,-0.32
"(30, 20, 2)",11,160,8,12,8,5,24.86,0.29,4.55,113.11,-0.33
"(30, 20, 2)",11,160,8,13,8,4,23.65,0.28,4.77,112.81,-0.34
"(30, 20, 2)",11,160,8,12,7,4,23.47,0.28,4.76,111.72,-0.3
"(30, 20, 2)",11,160,8,12,6,4,22.57,0.28,4.71,106.3,-0.3
"(30, 20, 2)",13,160,8,12,8,4,22.07,0.28,4.66,102.85,-0.27
"(30, 20, 2)",11,152,8,12,8,4,21.76,0.28,4.65,101.18,-0.32
"(30, 20, 2)",11,148,8,12,8,4,21.76,0.28,4.65,101.18,-0.32
"(30, 20, 2)",11,144,8,12,8,4,21.76,0.28,4.65,101.18,-0.32
"(30, 20, 2)",15,160,8,12,8,4,21.7,0.28,4.66,101.12,-0.27
"(30, 20, 2)",7,160,8,12,8,4,21.67,0.27,4.63,100.33,-0.32
"(30, 20, 2)",11,176,8,12,8,4,21.32,0.27,4.61,98.29,-0.29
"(30, 20, 2)",6,160,8,12,8,4,21.3,0.27,4.61,98.19,-0.32
"(30, 20, 2)",11,160,12,12,8,4,20.54,0.27,4.56,93.66,-0.32
"(30, 20, 2)",10,160,8,12,8,4,20.54,0.27,4.56,93.66,-0.32
"(30, 20, 2)",11,172,8,12,8,4,20.54,0.27,4.56,93.66,-0.32
"(30, 20, 2)",11,160,10,12,8,4,20.54,0.27,4.56,93.66,-0.32
"(30, 20, 2)",11,164,8,12,8,4,20.54,0.27,4.56,93.66,-0.32
"(30, 20, 2)",11,160,14,12,8,4,20.54,0.27,4.56,93.66,-0.32
"(30, 20, 2)",11,168,8,12,8,4,20.54,0.27,4.56,93.66,-0.32
"(30, 20, 2)",11,160,2,12,8,4,20.54,0.27,4.56,93.66,-0.32
"(30, 20, 2)",11,160,8,12,8,4,20.54,0.27,4.56,93.66,-0.32
"(30, 20, 2)",11,160,8,12,8,4,20.54,0.27,4.56,93.66,-0.32
"(30, 20, 2)",9,160,8,12,8,4,20.54,0.27,4.56,93.66,-0.32
"(30, 20, 2)",11,160,8,12,8,4,20.54,0.27,4.56,93.66,-0.32
"(30, 20, 2)",11,160,6,12,8,4,20.54,0.27,4.56,93.66,-0.32
"(30, 20, 2)",12,160,8,12,8,4,20.54,0.27,4.56,93.66,-0.32
"(30, 20, 2)",11,160,4,12,8,4,20.54,0.27,4.56,93.66,-0.32
"(30, 20, 2)",11,156,8,12,8,4,20.54,0.27,4.56,93.66,-0.32
"(30, 20, 2)",8,160,8,12,8,4,20.54,0.27,4.56,93.66,-0.32
"(30, 20, 2)",11,160,8,12,8,4,20.54,0.27,4.56,93.66,-0.32
"(30, 20, 2)",11,160,8,12,8,4,20.54,0.27,4.56,93.66,-0.32
"(30, 20, 2)",11,160,8,12,8,4,20.54,0.27,4.56,93.66,-0.32
"(30, 20, 2)",14,160,8,12,8,4,20.48,0.27,4.57,93.59,-0.27
"(30, 20, 2)",10,160,8,14,8,2,18.05,0.26,4.77,86.1,-0.36
"(30, 20, 2)",10,160,8,14,8,2,18.05,0.26,4.77,86.1,-0.36
"(30, 20, 2)",10,160,8,14,8,2,18.05,0.26,4.77,86.1,-0.36
"(30, 20, 2)",10,160,8,14,8,2,18.05,0.26,4.77,86.1,-0.36
"(30, 20, 2)",10,160,8,14,8,2,18.05,0.26,4.77,86.1,-0.36
"(30, 20, 2)",10,160,8,14,8,2,18.05,0.26,4.77,86.1,-0.36
"(30, 20, 2)",10,160,8,14,8,2,18.05,0.26,4.77,86.1,-0.36
"(30, 20, 2)",10,160,8,12,9,2,16.71,0.25,4.65,77.7,-0.34
"(30, 20, 2)",10,160,8,12,9,2,16.71,0.25,4.65,77.7,-0.34
"(30, 20, 2)",10,160,8,12,9,2,16.71,0.25,4.65,77.7,-0.34
"(30, 20, 2)",10,160,8,12,9,2,16.71,0.25,4.65,77.7,-0.34
"(30, 20, 2)",10,160,8,12,9,2,16.71,0.25,4.65,77.7,-0.34
"(30, 20, 2)",10,160,8,12,9,2,16.71,0.25,4.65,77.7,-0.34
"(30, 20, 2)",10,160,8,12,9,2,16.71,0.25,4.65,77.7,-0.34
"(30, 20, 2)",11,160,8,10,8,4,16.84,0.25,4.53,76.29,-0.32
"(30, 20, 2)",10,160,8,12,7,2,16.46,0.25,4.6,75.72,-0.34
"(30, 20, 2)",10,160,8,12,7,2,16.46,0.25,4.6,75.72,-0.34
"(30, 20, 2)",10,160,8,12,7,2,16.46,0.25,4.6,75.72,-0.34
"(30, 20, 2)",10,160,8,12,7,2,16.46,0.25,4.6,75.72,-0.34
"(30, 20, 2)",10,160,8,12,7,2,16.46,0.25,4.6,75.72,-0.34
"(30, 20, 2)",10,160,8,12,7,2,16.46,0.25,4.6,75.72,-0.34
"(30, 20, 2)",10,160,8,12,7,2,16.46,0.25,4.6,75.72,-0.34
"(30, 20, 2)",11,160,8,12,9,4,16.05,0.25,4.57,73.35,-0.32
"(30, 20, 2)",10,160,8,12,5,2,15.11,0.24,4.56,68.9,-0.34
"(30, 20, 2)",10,160,8,12,5,2,15.11,0.24,4.56,68.9,-0.34
"(30, 20, 2)",10,160,8,12,5,2,15.11,0.24,4.56,68.9,-0.34
"(30, 20, 2)",10,160,8,12,5,2,15.11,0.24,4.56,68.9,-0.34
"(30, 20, 2)",10,160,8,12,5,2,15.11,0.24,4.56,68.9,-0.34
"(30, 20, 2)",10,160,8,12,5,2,15.11,0.24,4.56,68.9,-0.34
"(30, 20, 2)",10,160,8,12,5,2,15.11,0.24,4.56,68.9,-0.34
"(30, 20, 2)",10,160,8,12,6,2,14.9,0.24,4.53,67.5,-0.34
"(30, 20, 2)",10,160,8,12,6,2,14.9,0.24,4.53,67.5,-0.34
"(30, 20, 2)",10,160,8,12,6,2,14.9,0.24,4.53,67.5,-0.34
"(30, 20, 2)",10,160,8,12,6,2,14.9,0.24,4.53,67.5,-0.34
"(30, 20, 2)",10,160,8,12,6,2,14.9,0.24,4.53,67.5,-0.34
"(30, 20, 2)",10,160,8,12,6,2,14.9,0.24,4.53,67.5,-0.34
"(30, 20, 2)",10,160,8,12,6,2,14.9,0.24,4.53,67.5,-0.34
"(30, 20, 2)",10,160,8,12,10,2,14.74,0.24,4.56,67.21,-0.34
"(30, 20, 2)",10,160,8,12,10,2,14.74,0.24,4.56,67.21,-0.34
"(30, 20, 2)",10,160,8,12,10,2,14.74,0.24,4.56,67.21,-0.34
"(30, 20, 2)",10,160,8,12,10,2,14.74,0.24,4.56,67.21,-0.34
"(30, 20, 2)",10,160,8,12,10,2,14.74,0.24,4.56,67.21,-0.34
"(30, 20, 2)",10,160,8,12,10,2,14.74,0.24,4.56,67.21,-0.34
"(30, 20, 2)",10,160,8,12,10,2,14.74,0.24,4.56,67.21,-0.34
"(30, 20, 2)",10,160,8,10,8,2,14.28,0.24,4.39,62.69,-0.31
"(30, 20, 2)",10,160,8,10,8,2,14.28,0.24,4.39,62.69,-0.31
"(30, 20, 2)",10,160,8,10,8,2,14.28,0.24,4.39,62.69,-0.31
"(30, 20, 2)",10,160,8,10,8,2,14.28,0.24,4.39,62.69,-0.31
"(30, 20, 2)",10,160,8,10,8,2,14.28,0.24,4.39,62.69,-0.31
"(30, 20, 2)",10,160,8,10,8,2,14.28,0.24,4.39,62.69,-0.31
"(30, 20, 2)",10,160,8,10,8,2,14.28,0.24,4.39,62.69,-0.31
"(30, 20, 2)",11,160,8,11,8,4,14.31,0.24,4.28,61.25,-0.32
"(30, 20, 2)",10,160,8,16,8,2,13.06,0.23,4.58,59.81,-0.31
"(30, 20, 2)",10,160,8,16,8,2,13.06,0.23,4.58,59.81,-0.31
"(30, 20, 2)",10,160,8,16,8,2,13.06,0.23,4.58,59.81,-0.31
"(30, 20, 2)",10,160,8,16,8,2,13.06,0.23,4.58,59.81,-0.31
"(30, 20, 2)",10,160,8,16,8,2,13.06,0.23,4.58,59.81,-0.31
"(30, 20, 2)",10,160,8,16,8,2,13.06,0.23,4.58,59.81,-0.31
"(30, 20, 2)",10,160,8,16,8,2,13.06,0.23,4.58,59.81,-0.31
"(30, 20, 2)",13,160,8,12,8,2,13.36,0.23,4.45,59.45,-0.32
"(30, 20, 2)",13,160,8,12,8,2,13.36,0.23,4.45,59.45,-0.32
"(30, 20, 2)",13,160,8,12,8,2,13.36,0.23,4.45,59.45,-0.32
"(30, 20, 2)",13,160,8,12,8,2,13.36,0.23,4.45,59.45,-0.32
"(30, 20, 2)",13,160,8,12,8,2,13.36,0.23,4.45,59.45,-0.32
"(30, 20, 2)",13,160,8,12,8,2,13.36,0.23,4.45,59.45,-0.32
"(30, 20, 2)",13,160,8,12,8,2,13.36,0.23,4.45,59.45,-0.32
"(30, 20, 2)",10,128,8,12,8,2,13.07,0.23,4.42,57.77,-0.35
"(30, 20, 2)",10,128,8,12,8,2,13.07,0.23,4.42,57.77,-0.35
"(30, 20, 2)",10,128,8,12,8,2,13.07,0.23,4.42,57.77,-0.35
"(30, 20, 2)",10,128,8,12,8,2,13.07,0.23,4.42,57.77,-0.35
"(30, 20, 2)",10,128,8,12,8,2,13.07,0.23,4.42,57.77,-0.35
"(30, 20, 2)",10,128,8,12,8,2,13.07,0.23,4.42,57.77,-0.35
"(30, 20, 2)",10,128,8,12,8,2,13.07,0.23,4.42,57.77,-0.35
"(30, 20, 2)",15,160,8,12,8,2,12.86,0.23,4.42,56.84,-0.32
"(30, 20, 2)",7,160,8,12,8,2,12.88,0.23,4.37,56.29,-0.35
"(30, 20, 2)",7,160,8,12,8,2,12.88,0.23,4.37,56.29,-0.35
"(30, 20, 2)",7,160,8,12,8,2,12.88,0.23,4.37,56.29,-0.35
"(30, 20, 2)",7,160,8,12,8,2,12.88,0.23,4.37,56.29,-0.35
"(30, 20, 2)",7,160,8,12,8,2,12.88,0.23,4.37,56.29,-0.35
"(30, 20, 2)",7,160,8,12,8,2,12.88,0.23,4.37,56.29,-0.35
"(30, 20, 2)",7,160,8,12,8,2,12.88,0.23,4.37,56.29,-0.35
"(30, 20, 2)",10,224,8,12,8,2,12.65,0.23,4.35,55.03,-0.32
"(30, 20, 2)",10,224,8,12,8,2,12.65,0.23,4.35,55.03,-0.32
"(30, 20, 2)",10,224,8,12,8,2,12.65,0.23,4.35,55.03,-0.32
"(30, 20, 2)",10,224,8,12,8,2,12.65,0.23,4.35,55.03,-0.32
"(30, 20, 2)",10,224,8,12,8,2,12.65,0.23,4.35,55.03,-0.32
"(30, 20, 2)",10,224,8,12,8,2,12.65,0.23,4.35,55.03,-0.32
"(30, 20, 2)",10,224,8,12,8,2,12.65,0.23,4.35,55.03,-0.32
"(30, 20, 2)",11,160,8,14,8,4,13.0,0.23,4.18,54.34,-0.34
"(30, 20, 2)",10,144,8,12,8,2,12.34,0.22,4.34,53.56,-0.35
"(30, 20, 2)",10,144,8,12,8,2,12.34,0.22,4.34,53.56,-0.35
