top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
"(3, 2, 1)",93,200,25,16,1,2,4.7,0.15,6.22,29.23,-0.09
"(3, 2, 1)",93,201,25,15,1,2,4.41,0.14,6.01,26.5,-0.09
"(3, 2, 1)",93,200,25,15,1,2,4.41,0.14,6.01,26.5,-0.09
"(3, 2, 1)",93,200,15,15,1,2,4.41,0.14,6.01,26.5,-0.09
"(3, 2, 1)",93,200,26,15,1,2,4.41,0.14,6.01,26.5,-0.09
"(3, 2, 1)",94,200,25,15,1,2,4.41,0.14,6.01,26.5,-0.09
"(3, 2, 1)",93,200,25,9,1,2,4.06,0.13,6.16,25.01,-0.08
"(3, 2, 1)",73,200,25,16,1,2,3.69,0.13,5.55,20.48,-0.12
"(3, 2, 1)",73,150,25,15,1,2,3.45,0.12,5.4,18.63,-0.12
"(3, 2, 1)",74,200,25,15,1,2,3.45,0.12,5.35,18.46,-0.12
"(3, 2, 1)",73,200,25,15,1,2,3.45,0.12,5.35,18.46,-0.12
"(3, 2, 1)",73,200,27,15,1,2,3.45,0.12,5.35,18.46,-0.12
"(3, 2, 1)",73,200,20,15,1,2,3.45,0.12,5.35,18.46,-0.12
"(3, 2, 1)",73,200,34,15,1,2,3.45,0.12,5.35,18.46,-0.12
"(3, 2, 1)",73,202,25,15,1,2,3.45,0.12,5.35,18.46,-0.12
"(3, 2, 1)",29,200,25,15,1,2,3.47,0.12,5.29,18.36,-0.13
"(3, 2, 1)",50,287,25,15,1,2,3.51,0.12,5.23,18.36,-0.12
"(3, 2, 1)",73,200,25,12,1,2,3.4,0.12,5.33,18.12,-0.12
"(3, 2, 1)",73,254,25,15,1,2,3.41,0.12,5.17,17.63,-0.12
"(3, 2, 1)",36,200,25,15,1,2,3.34,0.12,5.21,17.4,-0.13
"(3, 2, 1)",18,200,25,15,1,2,3.3,0.12,5.14,16.96,-0.13
"(3, 2, 1)",73,98,25,15,1,2,3.28,0.12,5.17,16.96,-0.11
"(3, 2, 1)",40,200,25,15,1,2,3.2,0.12,5.08,16.26,-0.13
"(3, 2, 1)",62,200,25,15,1,2,3.17,0.12,5.03,15.95,-0.12
"(3, 2, 1)",50,158,25,15,1,2,3.07,0.12,4.99,15.32,-0.13
"(3, 2, 1)",50,244,25,15,1,2,3.04,0.11,4.99,15.17,-0.12
"(3, 2, 1)",73,200,25,20,1,2,3.03,0.11,4.97,15.06,-0.15
"(3, 2, 1)",50,200,25,14,1,2,3.02,0.11,4.96,14.98,-0.16
"(3, 2, 1)",73,200,13,15,1,2,2.96,0.11,4.94,14.62,-0.12
"(3, 2, 1)",50,200,25,18,1,2,2.79,0.11,5.14,14.34,-0.15
"(3, 2, 1)",73,200,25,8,1,2,2.87,0.11,4.91,14.09,-0.1
"(3, 2, 1)",50,115,25,15,1,2,2.83,0.11,4.87,13.78,-0.14
"(3, 2, 1)",50,200,25,15,1,2,2.84,0.11,4.82,13.69,-0.16
"(3, 2, 1)",50,200,15,15,1,2,2.84,0.11,4.82,13.69,-0.16
"(3, 2, 1)",50,200,21,15,1,2,2.84,0.11,4.82,13.69,-0.16
"(3, 2, 1)",50,200,39,15,1,2,2.84,0.11,4.82,13.69,-0.16
"(3, 2, 1)",50,200,33,15,1,2,2.84,0.11,4.82,13.69,-0.16
"(3, 2, 1)",50,201,25,15,1,2,2.84,0.11,4.82,13.69,-0.16
"(3, 2, 1)",50,200,27,15,1,2,2.84,0.11,4.82,13.69,-0.16
"(3, 2, 1)",51,200,25,15,1,2,2.84,0.11,4.82,13.69,-0.16
"(3, 2, 1)",55,200,25,15,1,2,2.84,0.11,4.82,13.69,-0.16
"(3, 2, 1)",50,200,25,18,1,6,2.64,0.11,4.73,12.49,-0.15
"(3, 2, 1)",20,200,25,15,1,6,2.63,0.11,4.63,12.18,-0.16
"(3, 2, 1)",50,80,25,15,1,6,2.59,0.1,4.67,12.1,-0.15
"(3, 2, 1)",73,200,25,15,1,3,2.71,0.11,4.45,12.06,-0.09
"(3, 2, 1)",50,160,25,15,1,6,2.62,0.11,4.6,12.05,-0.16
"(3, 2, 1)",50,200,20,15,1,6,2.55,0.1,4.57,11.65,-0.15
"(3, 2, 1)",50,200,35,15,1,6,2.55,0.1,4.57,11.65,-0.15
"(3, 2, 1)",50,200,25,15,1,6,2.55,0.1,4.57,11.65,-0.15
"(3, 2, 1)",50,200,40,15,1,6,2.55,0.1,4.57,11.65,-0.15
"(3, 2, 1)",50,200,30,15,1,6,2.55,0.1,4.57,11.65,-0.15
"(3, 2, 1)",50,200,15,15,1,6,2.55,0.1,4.57,11.65,-0.15
"(3, 2, 1)",10,200,25,15,1,6,2.53,0.1,4.52,11.44,-0.16
"(3, 2, 1)",50,200,25,12,1,6,2.5,0.1,4.52,11.3,-0.15
"(3, 2, 1)",93,119,25,15,1,2,2.48,0.1,4.5,11.16,-0.16
"(3, 2, 1)",50,200,25,15,1,4,2.55,0.1,4.37,11.14,-0.2
"(3, 2, 1)",50,200,25,22,1,2,2.46,0.1,4.45,10.95,-0.15
"(3, 2, 1)",40,200,25,15,1,6,2.41,0.1,4.42,10.65,-0.16
"(3, 2, 1)",50,200,25,15,7,6,2.38,0.1,4.42,10.52,-0.11
"(3, 2, 1)",30,200,25,15,1,6,2.38,0.1,4.38,10.42,-0.16
"(3, 2, 1)",60,200,25,15,1,6,2.38,0.1,4.25,10.12,-0.22
"(3, 2, 1)",50,280,25,15,1,6,2.38,0.1,4.2,10.0,-0.23
"(3, 2, 1)",50,120,25,15,1,6,2.22,0.1,4.3,9.55,-0.16
"(3, 2, 1)",50,200,25,9,1,6,2.19,0.09,4.35,9.53,-0.15
"(3, 2, 1)",50,200,25,24,1,6,2.25,0.1,4.23,9.52,-0.17
"(3, 2, 1)",50,200,25,15,15,6,2.21,0.1,4.27,9.44,-0.15
"(3, 2, 1)",80,200,25,15,1,6,2.26,0.1,4.16,9.4,-0.22
"(3, 2, 1)",50,200,25,10,1,2,2.1,0.09,4.47,9.39,-0.15
"(3, 2, 1)",50,320,25,15,1,6,2.26,0.1,4.1,9.27,-0.23
"(3, 2, 1)",50,240,25,15,1,6,2.2,0.09,4.13,9.09,-0.22
"(3, 2, 1)",70,200,25,15,1,6,2.15,0.09,4.04,8.69,-0.22
"(3, 2, 1)",50,200,25,15,9,1,2.13,0.09,4.07,8.67,-0.21
"(3, 2, 1)",50,200,9,15,1,2,2.17,0.09,3.97,8.61,-0.18
"(3, 2, 1)",50,200,25,15,3,6,2.08,0.09,4.09,8.51,-0.16
"(3, 2, 1)",50,200,25,21,1,6,2.05,0.09,4.05,8.3,-0.17
"(3, 2, 1)",50,72,25,15,1,2,2.09,0.09,3.92,8.19,-0.15
"(3, 2, 1)",50,200,25,6,1,2,1.97,0.09,4.15,8.18,-0.14
"(3, 2, 1)",50,200,25,1,9,6,1.96,0.09,4.01,7.86,-0.16
"(3, 2, 1)",50,200,10,15,1,6,2.01,0.09,3.87,7.78,-0.18
"(3, 2, 1)",50,200,25,15,1,3,2.03,0.09,3.75,7.61,-0.19
