top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
"(30, 20, 2)",11,136,6,13,6,3,31.8,0.31,5.85,186.03,-0.15
"(30, 20, 2)",11,138,6,13,6,3,31.8,0.31,5.85,186.03,-0.15
"(30, 20, 2)",11,135,6,13,6,3,31.8,0.31,5.85,186.03,-0.15
"(30, 20, 2)",11,137,6,13,6,3,31.8,0.31,5.85,186.03,-0.15
"(30, 20, 2)",11,138,6,13,5,3,31.75,0.31,5.82,184.78,-0.15
"(30, 20, 2)",11,136,6,13,5,3,31.75,0.31,5.82,184.78,-0.15
"(30, 20, 2)",11,141,6,13,6,3,30.57,0.31,5.78,176.69,-0.15
"(30, 20, 2)",11,139,6,13,6,3,30.57,0.31,5.78,176.69,-0.15
"(30, 20, 2)",10,138,6,13,6,3,30.57,0.31,5.78,176.69,-0.15
"(30, 20, 2)",10,143,6,13,6,3,30.57,0.31,5.78,176.69,-0.15
"(30, 20, 2)",11,142,6,13,6,3,30.57,0.31,5.78,176.69,-0.15
"(30, 20, 2)",11,140,6,13,6,3,30.57,0.31,5.78,176.69,-0.15
"(30, 20, 2)",11,145,6,13,6,3,30.57,0.31,5.78,176.69,-0.15
"(30, 20, 2)",11,144,6,13,6,3,30.57,0.31,5.78,176.69,-0.15
"(30, 20, 2)",11,143,6,13,6,3,30.57,0.31,5.78,176.69,-0.15
"(30, 20, 2)",10,138,6,13,5,3,30.52,0.31,5.74,175.18,-0.15
"(30, 20, 2)",11,136,7,13,6,3,31.0,0.31,5.61,173.91,-0.16
"(30, 20, 2)",11,138,7,13,6,3,31.0,0.31,5.61,173.91,-0.16
"(30, 20, 2)",12,136,6,13,6,3,29.75,0.31,5.83,173.44,-0.15
"(30, 20, 2)",12,138,6,13,6,3,29.75,0.31,5.83,173.44,-0.15
"(30, 20, 2)",10,138,7,13,5,3,30.93,0.31,5.57,172.28,-0.16
"(30, 20, 2)",11,146,6,13,6,3,29.48,0.3,5.71,168.33,-0.15
"(30, 20, 2)",10,138,10,13,6,3,31.21,0.31,5.39,168.22,-0.18
"(30, 20, 2)",10,138,7,13,6,3,29.8,0.31,5.54,165.09,-0.16
"(30, 20, 2)",10,139,7,13,6,3,29.8,0.31,5.54,165.09,-0.16
"(30, 20, 2)",10,149,6,13,6,3,28.71,0.3,5.67,162.79,-0.15
"(30, 20, 2)",11,147,6,13,6,3,28.71,0.3,5.67,162.79,-0.15
"(30, 20, 2)",11,151,6,13,6,3,28.71,0.3,5.67,162.79,-0.15
